,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,725767576215797761,2016-04-28 19:24:08,['https://t.co/IjDd5eKq'],"RT @MPO_DFO: Le Canada et l'Union européenne https://t.co/IjDd5eKqu8 ensemble pour lutter contre la pêche illicite, non déclarée et non rég…",RT Le Canada et Union enne https co IjDd5eKqu8 ensemble pour lutter contre la illicite non et non,[],Social,14,0.0,fr,MPO_Centre_tweeter
1,725034826395451392,2016-04-26 18:52:27,['https://t.c\xe2\x80\xa6'],RT @MPO_DFO: SVQ l’exportation du #homard constitue la plus importante @AuCanada avec plus de 2 G$ en 2015! #SEG16 #FruitsDeMer https://t.c…,RT SVQ exportation du homard constitue la plus importante AuCanada avec plus de en 2015 SEG16 FruitsDeMer https,"['#homard', '#SEG16', '#FruitsDeMer']",Economical,12,0.0,fr,MPO_Centre_tweeter
2,725347482281082881,2016-04-27 15:34:50,"['https://t.co/8lYjlHRRYT', 'https://t.co/b9xllcq1pX']",RT @MPO_DFO: Le  Canada travaille fort pour que ses pêches continuent à être durables #SEG16 https://t.co/8lYjlHRRYT https://t.co/b9xllcq1pX,RT Le Canada travaille fort pour que ses continuent durables SEG16 https co 8lYjlHRRYT https co b9xllcq1pX,['#SEG16'],Environmental,10,0.0,fr,MPO_Centre_tweeter
3,723533544543408128,2016-04-22 15:26:54,['https://t.co/Wv91r50H'],RT @GCC_CCG: Regardez cette vidéo (anglais seulement) https://t.co/Wv91r50H92 - #GCC Fière du #Partenariat,RT Regardez cette anglais seulement https co Wv91r50H92 GCC du Partenariat,"['#GCC', '#Partenariat']",Economical,8,0.0,fr,MPO_Centre_tweeter
4,723585839738052609,2016-04-22 18:54:42,['https://t.co/FJ8fDsoPse'],RT @GCC_CCG: Heureux #Jourdelaterre! https://t.co/FJ8fDsoPse,RT Heureux Jourdelaterre https co FJ8fDsoPse,['#Jourdelaterre'],Social,8,0.0,fr,MPO_Centre_tweeter
5,725347460298727424,2016-04-27 15:34:45,['https://t.co/eQDLznI0cQ'],"RT @MPO_DFO: Total des exportations de poissons et #FruitsDeMer du @Canada : 6 G$ en 2015!
#SEG16 https://t.co/eQDLznI0cQ",RT Total exportations poissons FruitsDeMer Canada 2015 SEG16 https co eQDLznI0cQ,"['#FruitsDeMer', '#SEG16']",Environmental,8,0.0,fr,MPO_Centre_tweeter
6,725049898098429955,2016-04-26 19:52:21,[],RT @MPO_DFO: Visitez le stand du Canada à #SEG16 pour l’infographie sur nos exportations clés de poisson + fruits de mer par province/terri…,RT Visitez le stand du Canada SEG16 pour infographie sur nos exportations de poisson fruits de mer par province,['#SEG16'],Environmental,8,0.0,fr,MPO_Centre_tweeter
7,717481236961357824,2016-04-05 22:37:11,['https://t.\xe2\x80\xa6'],RT @GCC_CCG: Les agents des #SCTM fournissent un des 1er services aux navires en détresse. Nous embauchons à l’échelle nationale https://t.…,RT Les agents des SCTM fournissent un des 1er services aux navires en tresse Nous embauchons chelle nationale https,['#SCTM'],Environmental,7,0.0,fr,MPO_Centre_tweeter
8,719966629715689472,2016-04-12 19:13:15,['https://t.co/MlA0gFG4b4'],"Ouverture de 3 postes de sauvetage de la GCC en Ontario: Meaford, Tobermory et Goderich https://t.co/MlA0gFG4b4",Ouverture postes sauvetage GCC Ontario Meaford Tobermory Goderich https co MlA0gFG4b4,[],Environmental,7,0.0,en,MPO_Centre_tweeter
9,716282453497876480,2016-04-02 15:13:39,['https://t.co/AOpkMQ7VeL'],"Ces 5 bases de ReS ouvrent le 1 avril : Amherstburg, Port Dover, Port Weller, Coburg et Kingston. #GCC_CGG #SAR https://t.co/AOpkMQ7VeL",bases ReS ouvrent avril Amherstburg Port Dover Port Weller Coburg Kingston SAR https co AOpkMQ7VeL,"['#GCC_CGG', '#SAR']",Environmental,6,0.0,de,MPO_Centre_tweeter
