,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
5,5,723517387392311296,2016-04-22 14:22:42,['https://t.co/K5cUhpWUKi'],Des crabbiers ont quitté le quai de #Shippagan avant le lever du jour. Bonne pêche et soyez prudents! https://t.co/K5cUhpWUKi,Des crabbiers ont le quai de Shippagan avant le lever du jour Bonne et soyez prudents https co K5cUhpWUKi,['#Shippagan'],8,14,22,unknown,fr,0.0,Neutral,MPO_Golfe_tweeter,
16,16,725243838705602560,2016-04-27 08:43:00,['https://t.c\xe2\x80\xa6'],RT @MPO_DFO: SVQ l’exportation du #homard constitue la plus importante @AuCanada avec plus de 2 G$ en 2015! #SEG16 #FruitsDeMer https://t.c…,RT SVQ exportation du homard constitue la plus importante AuCanada avec plus de en 2015 SEG16 FruitsDeMer https,"['#homard', '#SEG16', '#FruitsDeMer']",12,0,12,Economical,fr,0.0,Neutral,MPO_Golfe_tweeter,"['import', 'export']"
27,27,725243990115778560,2016-04-27 08:43:36,"['https://t.co/8lYjlHRRYT', 'https://t.co/b9xllcq1pX']",RT @MPO_DFO: Le  Canada travaille fort pour que ses pêches continuent à être durables #SEG16 https://t.co/8lYjlHRRYT https://t.co/b9xllcq1pX,RT Le Canada travaille fort pour que ses continuent durables SEG16 https co 8lYjlHRRYT https co b9xllcq1pX,['#SEG16'],10,0,10,Environmental,fr,0.0,Neutral,MPO_Golfe_tweeter,"['durable', 'or']"
36,36,723590012068085760,2016-04-22 19:11:17,['https://t.c\xe2\x80\xa6'],RT @MPO_DFO: C’est le #JourDeLaTerre! Voici l’oppor-thon-ité d’en savoir plus sur la protection des eaux canadiennes par le MPO https://t.c…,RT est le JourDeLaTerre Voici oppor thon en savoir plus sur la protection des eaux canadiennes par le MPO https,['#JourDeLaTerre'],9,0,9,Environmental,fr,0.0,Neutral,MPO_Golfe_tweeter,"['eau', 'or']"
39,39,723589951275806722,2016-04-22 19:11:02,['https://t.co/Kvrrql3g3'],RT @MPO_DFO: Joyeux #JourDeLaTerre!🌏 Voyez comment le MPO protège nos océans : https://t.co/Kvrrql3g3U,RT Joyeux JourDeLaTerre Voyez comment le MPO ge nos ans https co Kvrrql3g3U,['#JourDeLaTerre'],9,0,9,unknown,fr,0.0,Neutral,MPO_Golfe_tweeter,
43,43,725243927935201280,2016-04-27 08:43:21,[],RT @MPO_DFO: Visitez le stand du Canada à #SEG16 pour l’infographie sur nos exportations clés de poisson + fruits de mer par province/terri…,RT Visitez le stand du Canada SEG16 pour infographie sur nos exportations de poisson fruits de mer par province,['#SEG16'],8,0,8,Environmental,fr,0.0,Neutral,MPO_Golfe_tweeter,"['or', 'mer']"
44,44,723573778660397057,2016-04-22 18:06:46,['https://t.co/Wv91r50H'],RT @GCC_CCG: Regardez cette vidéo (anglais seulement) https://t.co/Wv91r50H92 - #GCC Fière du #Partenariat,RT Regardez cette anglais seulement https co Wv91r50H92 GCC du Partenariat,"['#GCC', '#Partenariat']",8,0,8,Economical,fr,0.0,Neutral,MPO_Golfe_tweeter,['partenariat']
56,56,723237937584939008,2016-04-21 19:52:16,['https://t.co/B4X6TPEOFw'],Les pêcheurs de crabe au quai de #Shippagan se préparent à prendre la mer aux petites heures vendredi matin. https://t.co/B4X6TPEOFw,Les de crabe au quai de Shippagan se parent prendre la mer aux petites heures vendredi matin https co B4X6TPEOFw,['#Shippagan'],4,4,8,Social,fr,0.0,Neutral,MPO_Golfe_tweeter,['mer']
99,99,726386844217278464,2016-04-30 12:24:53,['https://t.co/Tjdk5GClAx'],Ces homardiers quittent le quai de North Rustico #IPE au levé du soleil. Bonne pêche et soyez prudents! https://t.co/Tjdk5GClAx,Ces homardiers quittent le quai de North Rustico IPE au du soleil Bonne et soyez prudents https co Tjdk5GClAx,['#IPE'],4,1,5,Environmental,fr,0.0,Neutral,MPO_Golfe_tweeter,['or']
100,100,725243786851397633,2016-04-27 08:42:47,['https://t\xe2\x80\xa6'],RT @MPO_DFO: Le Canada s’engage à prôner une pêche au #homard durable et à trouver des marchés pour ce produit de classe mondiale https://t…,RT Le Canada engage ner une au homard durable et trouver des pour ce produit de classe mondiale https,['#homard'],5,0,5,Economical,fr,0.0,Neutral,MPO_Golfe_tweeter,"['mondiale', 'mondial']"
