,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
28,28,377625007887_10154195854727888,2016-05-10 14:16:59,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795890792888.1073741827.377625007887/10154195854727888/?type=3,Rappel : VUS Dodge Journey 2009-2016. Rupture possible du tuyau souple de la direction assistée au démarrage du véhicule par temps froid. http://www.tc.gc.ca/xt7po,Rappel : VUS Dodge Journey -2016. Rupture possible du tuyau souple de la direction assistée au démarrage du véhicule par temps froid.,[],2,13,46,1,0,0,0,0,1,0,61,unknown,fr,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
61,61,377625007887_10154216981782888,2016-05-19 11:22:26,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10154216981782888/,"En prévision de la Semaine de la sécurité nautique, voici quelques conseils du ministre Garneau. http://ow.ly/gNVy300niQD","En prévision de la Semaine de la sécurité nautique, voici quelques conseils du ministre Garneau. D",[],8,0,20,8,0,0,0,0,0,0,28,Economical,fr,0.0,TransportsetInfrastructureauCanada_facebook,['ministre'],neutral
62,62,377625007887_10154209796567888,2016-05-16 14:00:57,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795890792888.1073741827.377625007887/10154209796567888/?type=3,Rappel : Fiat 500 2012-2016 à transmission manuelle. L’embrayage pourrait faire défaut. http://www.tc.gc.ca/v4193,Rappel : Fiat -2016 à transmission manuelle. L’embrayage pourrait faire défaut.,[],4,7,17,4,0,0,0,0,0,0,28,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,['air'],neutral
81,81,377625007887_10154227550157888,2016-05-23 19:01:14,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10154227550157888/?type=3,"Pointer un laser vers un aéronef, c’est un crime. Vous risquez une amende ou même la prison.  www.tc.gc.ca/PasBrillant","Pointer un laser vers un aéronef, c’est un crime. Vous risquez une amende ou même la prison.",[],7,0,13,6,1,0,0,0,0,0,20,unknown,fr,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
95,95,377625007887_10154177161117888,2016-05-02 18:30:22,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795890792888.1073741827.377625007887/10154177161117888/?type=3,Rappel : Véhicules Nissan et Infiniti 2013-2017. Il est possible que le siège passager soit perçu comme étant inoccupé. Le coussin gonflable pourrait ne pas se déployer. http://www.tc.gc.ca/4gh4w,Rappel : Véhicules Nissan et Infiniti -2017. Il est possible que le siège passager soit perçu comme étant inoccupé. Le coussin gonflable pourrait ne pas se déployer.,[],4,1,13,4,0,0,0,0,0,0,18,unknown,fr,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
105,105,377625007887_10154233588927888,2016-05-26 10:07:58,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795890792888.1073741827.377625007887/10154233577742888/?type=3,"Nous avons regroupé les rappels les plus récents dans des recueils classés par type de véhicules. Pour les rappels qui datent de plus de six mois, veuillez consulter notre banque de données : http://www.tc.gc.ca/g98zv","Nous avons regroupé les rappels les plus récents dans des recueils classés par type de véhicules. Pour les rappels qui datent de plus de six mois, veuillez consulter notre banque de données :",[],4,4,10,3,1,0,0,0,0,0,18,unknown,fr,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
109,109,377625007887_10154201909067888,2016-05-13 09:03:56,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795890792888.1073741827.377625007887/10154201909067888/?type=3,Rappel : Véhicules Subaru Legacy et Outback 2016. Les composants de la colonne de direction pourraient ne pas être conformes aux spécifications. http://www.tc.gc.ca/8hst8,Rappel : Véhicules Subaru Legacy et Outback . Les composants de la colonne de direction pourraient ne pas être conformes aux spécifications. 8,[],2,2,13,2,0,0,0,0,0,0,17,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,['or'],neutral
112,112,377625007887_10154169038517888,2016-05-03 15:25:51,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10154169038517888/,"« Un peu plus haut, un peu plus loin… » Comment utiliser un drone en toute sécurité: http://www.tc.gc.ca/SecuriteDabord","« Un peu plus haut, un peu plus loin… » Comment utiliser un drone en toute sécurité: d",[],6,1,10,6,0,0,0,0,0,0,17,unknown,fr,0.0,TransportsetInfrastructureauCanada_facebook,,neutral
128,128,377625007887_10154219221372888,2016-05-20 11:02:00,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10154219221372888/?type=3,"Sur l’eau en ce week-end, n’oubliez pas votre gilet de sauvetage!
http://ow.ly/lw2F300nxnn","Sur l’eau en ce week-end, n’oubliez pas votre gilet de sauvetage!",[],2,0,13,1,1,0,0,0,0,0,15,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,['eau'],neutral
158,158,377625007887_10154245843912888,2016-05-31 15:40:05,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795890792888.1073741827.377625007887/10154245843912888/?type=3,Rappel : Voitures Ford Fusion 2017. Le support de phare LED pourrait être défectueux. http://www.tc.gc.ca/jwsuh,Rappel : Voitures Ford Fusion . Le support de phare LED pourrait être défectueux.,[],4,0,9,3,0,1,0,0,0,0,13,Environmental,fr,0.0,TransportsetInfrastructureauCanada_facebook,['or'],neutral
