,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,740550618532696064,2016-06-08 14:26:40,['https://t.co/TsQBZAsZ\xe2\x80\xa6'],RT @MPO_DFO: Min LeBlanc annonce la nouvelle Alliance de recherche océanique au Canada (AROC)  #JournéeMondialeOcéans https://t.co/TsQBZAsZ…,RT Min LeBlanc annonce la nouvelle Alliance de recherche anique au Canada AROC ans https co,['#Journ'],Economical,25,0.0,fr,MPO_TNL_tweeter
1,745217880468357121,2016-06-21 11:32:42,[],RT @salledepresseGC: Le gouvernement lance un examen des processus environnementaux/réglementaires pour rétablir la confiance du public htt…,RT salledepresseGC Le gouvernement lance un examen des processus environnementaux glementaires pour tablir la confiance du public,[],Environmental,13,0.0,fr,MPO_TNL_tweeter
2,740550615286358016,2016-06-08 14:26:40,['https://t\xe2\x80\xa6'],RT @MPO_DFO: AROC réunit les experts océanographes du Can. pour collaborer dans des domaines d'intérêt commun. Voici les membres! https://t…,RT AROC unit les experts anographes du pour collaborer dans des domaines commun Voici les membres https,[],Environmental,9,0.0,fr,MPO_TNL_tweeter
3,745208247079043072,2016-06-21 10:54:26,['https://t.co/PmDdrjs1oS'],RT @MPO_DFO: Donnez votre avis sur la protection du poisson et de son habitat #Act4fish #Loisurlespêches https://t.co/PmDdrjs1oS,RT Donnez votre avis sur la protection du poisson et de son habitat Act4fish https co PmDdrjs1oS,"['#Act4fish', '#Loisurlesp']",Social,8,0.0,fr,MPO_TNL_tweeter
4,742396702527762436,2016-06-13 16:42:21,['https://t.co/pb2gLljm4Z'],RT @GCC_CCG: #GCCFière de ses employés dévoués qui aident à protéger les Canadiens #ServCDNs #SNFP https://t.co/pb2gLljm4Z,RT de ses qui aident ger les Canadiens ServCDNs SNFP https co pb2gLljm4Z,"['#GCCFi', '#ServCDNs', '#SNFP']",Social,7,0.0,ca,MPO_TNL_tweeter
5,738817624092610561,2016-06-03 19:40:22,['https://t.co/ZhmNHS2FIB'],RT @salledepresseGC: #Le GC investit en vue de moderniser les infrastructures du #Collège de la GCC https://t.co/ZhmNHS2FIB,RT salledepresseGC Le GC investit en vue de moderniser les infrastructures du ge de la GCC https co ZhmNHS2FIB,"['#Le', '#Coll']",Economical,6,0.0,fr,MPO_TNL_tweeter
6,745306132424560640,2016-06-21 17:23:23,"['https://t.co/BTC9uYkl9g', 'https://t.c\xe2\x80\xa6']",RT @MPO_DFO: Aujourd’hui est la Journée mondiale de l’#hydrographie. Apprenez-en plus sur cette science https://t.co/BTC9uYkl9g https://t.c…,RT hui est la mondiale de hydrographie Apprenez en plus sur cette science https co BTC9uYkl9g https,['#hydrographie'],Economical,6,0.0,fr,MPO_TNL_tweeter
7,739904320251006976,2016-06-06 19:38:31,['https://t.co/oq3PqC7aqb'],RT @salledepresseGC: Le Collège de la @GCC_CCG célèbre sa promotion de 2016 #GCCfière https://t.co/oq3PqC7aqb,RT salledepresseGC Le ge de la bre sa promotion de 2016 https co oq3PqC7aqb,['#GCCfi'],Social,4,0.0,fr,MPO_TNL_tweeter
8,740540123599777792,2016-06-08 13:44:58,['https://t.co/DLTf50QVUn'],RT @MPO_DFO: #JournéeMondialeOcéans https://t.co/DLTf50QVUn,RT ans https co DLTf50QVUn,['#Journ'],Economical,4,0.0,en,MPO_TNL_tweeter
9,744896198125981696,2016-06-20 14:14:27,['https://t.co/ogzUXBYyeV'],RT @GCC_CCG: Bonne #JournéeMondialeOcéans #Arctique #GCCFière https://t.co/ogzUXBYyeV,RT Bonne ans Arctique https co ogzUXBYyeV,"['#Journ', '#Arctique', '#GCCFi']",Economical,4,0.0,fr,MPO_TNL_tweeter
