,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
22,22,485734081568161_745646078910292,2016-06-28 10:45:37,http://ow.ly/kx8w301BWIt,"Attention, parents! La nouvelle allocation canadienne pour enfants entrera en vigueur le 1er juillet 2016 (sous réserve de l’approbation parlementaire). L’allocation est un versement mensuel non imposable dont le montant dépend du revenu familial net rajusté.  

Si vous recevez déjà des prestations pour enfants, comme la prestation universelle pour la garde d’enfants ou la prestation fiscale canadienne pour enfants, ou les deux, vous n’avez pas à présenter de demande pour l’allocation canadienne pour enfants.

Renseignements au sujet de la nouvelle allocation canadienne pour enfants : http://ow.ly/kx8w301BWIt 

Renseignements complémentaires sur les prestations pour enfants et familles : http://ow.ly/RbfR301BWTQ","Attention, parents! La nouvelle allocation canadienne pour enfants entrera en vigueur le er juillet (sous réserve de l’approbation parlementaire). L’allocation est un versement mensuel non imposable dont le montant dépend du revenu familial net rajusté. Si vous recevez déjà des prestations pour enfants, comme la prestation universelle pour la garde d’enfants ou la prestation fiscale canadienne pour enfants, ou les deux, vous n’avez pas à présenter de demande pour l’allocation canadienne pour enfants. Renseignements au sujet de la nouvelle allocation canadienne pour enfants : Renseignements complémentaires sur les prestations pour enfants et familles :",[],16,3,74,16,0,0,0,0,0,0,93,Social,fr,0.0,QuestionsdargentCanada_facebook,"['ami', 'enfants', 'famille']",neutral
29,29,485734081568161_743773562430877,2016-06-24 17:45:26,http://ow.ly/J4Fc301ntX5,"Vous êtes un travailleur de plus de 60 ans et vous contribuez au Régime de pension du Canada (RPC)?

Si oui, vous pourriez recevoir une prestation à vie qui augmente votre revenu de retraite.

Apprenez-en plus : http://ow.ly/J4Fc301ntX5","Vous êtes un travailleur de plus de ans et vous contribuez au Régime de pension du Canada (RPC)? Si oui, vous pourriez recevoir une prestation à vie qui augmente votre revenu de retraite. Apprenez-en plus :",[],15,2,60,13,2,0,0,0,0,0,77,Economical,fr,0.125,QuestionsdargentCanada_facebook,['revenu'],positive
41,41,485734081568161_741882925953274,2016-06-20 17:45:24,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/741882925953274/?type=3,"Quand avez-vous vérifié votre dossier de crédit pour la dernière fois?

Il est bon de vérifier votre dossier de crédit au moins une fois par année pour vous assurer qu’il ne contient pas d’erreur. Il peut s’agit de renseignements d’autrui inscrit à votre dossier, de dettes au dossier pourtant remboursées en entier ou encore d’un historique de paiement erroné. Ces erreurs pourraient affecter votre capacité à obtenir un prêt ou un prêt hypothécaire!

Demandez une copie de votre dossier de crédit sans frais : http://ow.ly/t0NI301lajH","Quand avez-vous vérifié votre dossier de crédit pour la dernière fois? Il est bon de vérifier votre dossier de crédit au moins une fois par année pour vous assurer qu’il ne contient pas d’erreur. Il peut s’agit de renseignements d’autrui inscrit à votre dossier, de dettes au dossier pourtant remboursées en entier ou encore d’un historique de paiement erroné. Ces erreurs pourraient affecter votre capacité à obtenir un prêt ou un prêt hypothécaire! Demandez une copie de votre dossier de crédit sans frais :",[],23,3,29,22,0,1,0,0,0,0,55,Environmental,fr,0.1,QuestionsdargentCanada_facebook,"['or', 'air']",positive
45,45,485734081568161_736512176490349,2016-06-09 11:00:13,http://ow.ly/Nw1c300U08a,"L’article que vous avez acheté la semaine dernière est maintenant soldé à moitié prix. Vous désirez profiter du rabais? 

La chance pourrait vous sourire si vous avez payé par carte de crédit. En effet, certaines cartes offrent un régime de protection des prix, et vous pourriez obtenir le remboursement de la différence.

Utilisez cet outil de sélection de cartes de crédit interactif, afin de connaître les caractéristiques des différentes cartes, dont le régime de protection des prix: http://ow.ly/Nw1c300U08a","L’article que vous avez acheté la semaine dernière est maintenant soldé à moitié prix. Vous désirez profiter du rabais? La chance pourrait vous sourire si vous avez payé par carte de crédit. En effet, certaines cartes offrent un régime de protection des prix, et vous pourriez obtenir le remboursement de la différence. Utilisez cet outil de sélection de cartes de crédit interactif, afin de connaître les caractéristiques des différentes cartes, dont le régime de protection des prix:",[],22,1,28,21,1,0,0,0,0,0,51,unknown,fr,0.0,QuestionsdargentCanada_facebook,,neutral
52,52,485734081568161_742186885922878,2016-06-21 10:45:41,http://ow.ly/NgPb301noSw,"Vous ne savez pas quelle dette rembourser en premier?

Voici un truc simple: Payez d’abord la dette portant le taux d'intérêt le plus élevé. Vous paierez ainsi moins d'intérêt à long terme et réduirez votre dette globale plus rapidement.

Voyez d’autres conseils pour vous sortir de l’endettement : http://ow.ly/NgPb301noSw",Vous ne savez pas quelle dette rembourser en premier? Voici un truc simple: Payez d’abord la dette portant le taux d'intérêt le plus élevé. Vous paierez ainsi moins d'intérêt à long terme et réduirez votre dette globale plus rapidement. Voyez d’autres conseils pour vous sortir de l’endettement :,[],18,0,28,18,0,0,0,0,0,0,46,Economical,fr,0.0,QuestionsdargentCanada_facebook,['global'],neutral
63,63,485734081568161_733892726752294,2016-06-03 10:45:47,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/733892726752294/?type=3,"#Saviezvous qu’une agence de recouvrement NE PEUT PAS recouvrer plus que la somme due ni exiger des frais de recouvrement de dette?

Connaissez vos droits. Renseignez-vous pour savoir quoi faire si vous êtes traité injustement par une agence de recouvrement : http://ow.ly/6BAW300FdFG",qu’une agence de recouvrement NE PEUT PAS recouvrer plus que la somme due ni exiger des frais de recouvrement de dette? Connaissez vos droits. Renseignez-vous pour savoir quoi faire si vous êtes traité injustement par une agence de recouvrement :,['#Saviezvous'],14,1,22,14,0,0,0,0,0,0,37,Environmental,fr,0.0,QuestionsdargentCanada_facebook,['air'],neutral
65,65,485734081568161_743275969147303,2016-06-23 17:45:27,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/743275969147303/?type=3,"Vous est-il déjà arrivé qu’à la caisse, le prix d’un article lu par lecteur optique soit plus élevé que le prix affiché?

#Saviezvous pour vous pourriez alors obtenir le premier article (d’une valeur d’au plus 10 $) gratuitement? Lors de votre prochaine séance de magasinage, demandez au détaillant s’il respecte le Code sur la lecture optique des prix ou vérifiez si l’affiche ci-après est présente à l’entrée ou à la caisse. http://ow.ly/makO301ntlI","Vous est-il déjà arrivé qu’à la caisse, le prix d’un article lu par lecteur optique soit plus élevé que le prix affiché? pour vous pourriez alors obtenir le premier article (d’une valeur d’au plus $) gratuitement? Lors de votre prochaine séance de magasinage, demandez au détaillant s’il respecte le Code sur la lecture optique des prix ou vérifiez si l’affiche ci-après est présente à l’entrée ou à la caisse.",['#Saviezvous'],20,0,16,20,0,0,0,0,0,0,36,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['gas', 'or']",neutral
77,77,485734081568161_746859152122318,2016-06-30 17:45:25,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/746859152122318/?type=3,"Vous remboursez votre carte de crédit à l’aide d’une autre?

Apprenez à reconnaître les signes avant-coureurs des difficultés financières et prenez les mesures appropriées pour gérer votre dette courante tout en évitant de l’alourdir.

Voici dix conseils qui vous aideront à gérer votre dette : http://ow.ly/XNz0301kT9r",Vous remboursez votre carte de crédit à l’aide d’une autre? Apprenez à reconnaître les signes avant-coureurs des difficultés financières et prenez les mesures appropriées pour gérer votre dette courante tout en évitant de l’alourdir. Voici dix conseils qui vous aideront à gérer votre dette :,[],19,1,11,18,0,0,0,1,0,0,31,unknown,fr,0.0,QuestionsdargentCanada_facebook,,neutral
97,97,485734081568161_738342169640683,2016-06-13 10:45:36,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/738342169640683/?type=3,"#Saviezvous que si vous n’avez pas un testament valide, votre succession sera réglée selon les lois de la province ou du territoire où vous vivez?

Il n’est jamais trop tôt pour planifier de quelle façon on disposera de votre argent, de vos propriétés et d’autres biens après votre décès.

 
Renseignez-vous sur les avantages de planifier une succession : http://ow.ly/77tG3018q78","que si vous n’avez pas un testament valide, votre succession sera réglée selon les lois de la province ou du territoire où vous vivez? Il n’est jamais trop tôt pour planifier de quelle façon on disposera de votre argent, de vos propriétés et d’autres biens après votre décès. Renseignez-vous sur les avantages de planifier une succession : 8",['#Saviezvous'],14,0,14,12,1,1,0,0,0,0,28,unknown,fr,0.0,QuestionsdargentCanada_facebook,,neutral
111,111,485734081568161_746337288841171,2016-06-29 17:45:23,http://ow.ly/cOHe301BYpQ,"Si vous êtes à la recherche d’un emploi d’été ou d’un emploi pendant que vous fréquentez un établissement postsecondaire, vous pouvez poser votre candidature au Programme fédéral d’expérience de travail étudiant (PFETE).

Le PFETE offre aux étudiants à temps plein une belle occasion d’explorer leurs intérêts, de développer leurs compétences ET de gagner de l’argent. Un emploi dans le cadre du Programme est aussi un très bon début pour ceux et celles qui souhaitent faire carrière à la fonction publique.

Le processus est permanent, et certains ministères commenceront même leur sélection pour l’été 2017 en août 2016. 

Apprenez-en davantage sur le PFETE et postulez dès maintenant : http://ow.ly/cOHe301BYpQ","Si vous êtes à la recherche d’un emploi d’été ou d’un emploi pendant que vous fréquentez un établissement postsecondaire, vous pouvez poser votre candidature au Programme fédéral d’eérience de travail étudiant (PFETE). Le PFETE offre aux étudiants à temps plein une belle occasion d’elorer leurs intérêts, de développer leurs compétences ET de gagner de l’argent. Un emploi dans le cadre du Programme est aussi un très bon début pour ceux et celles qui souhaitent faire carrière à la fonction publique. Le processus est permanent, et certains ministères commenceront même leur sélection pour l’été en août . Apprenez-en davantage sur le PFETE et postulez dès maintenant :",[],7,3,16,7,0,0,0,0,0,0,26,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['or', 'air']",neutral
132,132,485734081568161_742802642527969,2016-06-22 17:45:26,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/742802642527969/?type=3,"Votre facture d’eau gonfle durant les chauds mois d’été?

Arroser votre pelouse, vos haies et votre potager peut faire exploser votre facture d’eau, surtout si vous utilisez des gicleurs chaque soir. Pour une pelouse verte et un potager en santé, utilisez l’eau de pluie récupérée dans un baril et économisez sur votre facture d’eau.

Voyez d’autres conseils pour économiser l’eau : http://ow.ly/jJ0T301ns31","Votre facture d’eau gonfle durant les chauds mois d’été? Arroser votre pelouse, vos haies et votre potager peut faire eloser votre facture d’eau, surtout si vous utilisez des gicleurs chaque soir. Pour une pelouse verte et un potager en santé, utilisez l’eau de pluie récupérée dans un baril et économisez sur votre facture d’eau. Voyez d’autres conseils pour économiser l’eau : 1",[],14,1,9,14,0,0,0,0,0,0,24,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['eau', 'vert', 'air']",neutral
137,137,485734081568161_745772882230945,2016-06-28 17:45:26,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/745772882230945/?type=3,"Membre de la génération Y? Craignez-vous de ne pas pouvoir obtenir une préapprobation pour un prêt hypothécaire?  

Le Calculateur de la capacité d’emprunt hypothécaire peut vous aider à déterminer le montant maximal du prêt hypothécaire que vous avez les moyens de contracter, ainsi que les paiements abordables en fonction de votre revenu, de vos dépenses mensuelles et des dépenses de propriété : http://ow.ly/7mvG301BXaT","Membre de la génération Y? Craignez-vous de ne pas pouvoir obtenir une préapprobation pour un prêt hypothécaire? Le Calculateur de la capacité d’emprunt hypothécaire peut vous aider à déterminer le montant maximal du prêt hypothécaire que vous avez les moyens de contracter, ainsi que les paiements abordables en fonction de votre revenu, de vos dépenses mensuelles et des dépenses de propriété :",[],13,1,9,12,1,0,0,0,0,0,23,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['or', 'air']",neutral
151,151,485734081568161_736625473145686,2016-06-09 17:45:26,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/736625473145686/?type=3,"Vous cherchez à réduire vos coûts d’énergie durant l’été?

Utilisez une corde à linge plutôt que la sécheuse pour sécher vos vêtements. Pour des vêtements plus doux, ajoutez une tasse de vinaigre blanc au cycle de lavage pour faciliter la dissolution du détergent. #Conseildevie

Pour plus de conseils pour économiser énergie et argent, consultez : http://ow.ly/mCsm300U0Da","Vous cherchez à réduire vos coûts d’énergie durant l’été? Utilisez une corde à linge plutôt que la sécheuse pour sécher vos vêtements. Pour des vêtements plus doux, ajoutez une tasse de vinaigre blanc au cycle de lavage pour faciliter la dissolution du détergent. Pour plus de conseils pour économiser énergie et argent, consultez :",['#Conseildevie'],11,0,11,11,0,0,0,0,0,0,22,Environmental,fr,0.0,QuestionsdargentCanada_facebook,['or'],neutral
158,158,485734081568161_746160555525511,2016-06-29 10:45:40,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/746160555525511/?type=3,"#Camping : vous avez envie de passer au niveau supérieur?

Jetez un coup d’œil à la tente oTENTik de Parcs Canada qui vous offre un bon lit et un campement déjà monté.

Une solution économique pour des vacances classiques! #glamping http://ow.ly/r89j301BXZQ",: vous avez envie de passer au niveau supérieur? Jetez un coup d’œil à la tente oTENTik de Parcs Canada qui vous offre un bon lit et un campement déjà monté. Une solution économique pour des vacances classiques!,"['#Camping', '#glamping']",10,1,10,9,1,0,0,0,0,0,21,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['eau', 'parc']",neutral
183,183,485734081568161_745091025632464,2016-06-27 10:45:35,http://ow.ly/T9hU301BVGX,"Vous cherchez une belle activité pour souligner la fête du Canada?  

Ottawa, notre capitale nationale, propose plusieurs activités amusantes et GRATUITES pour toute la famille. Si vous cherchez quelque chose plus près de chez vous, consultez le répertoire des activités ayant lieu ailleurs au Canada. Bonne fête! http://ow.ly/T9hU301BVGX","Vous cherchez une belle activité pour souligner la fête du Canada? Ottawa, notre capitale nationale, propose plusieurs activités amusantes et GRATUITES pour toute la famille. Si vous cherchez quelque chose plus près de chez vous, consultez le répertoire des activités ayant lieu ailleurs au Canada. Bonne fête!",[],17,0,2,17,0,0,0,0,0,0,19,Social,fr,0.0,QuestionsdargentCanada_facebook,"['ami', 'famille']",neutral
262,262,485734081568161_740338659441034,2016-06-20 10:45:01,https://www.facebook.com/QuestionsdargentCanada/videos/740338659441034/,"Ne soyez pas cloué au sol en raison de frais imprévus!

Le billet d’avion est un contrat qui vous lie à une compagnie aérienne. Lisez attentivement les modalités et assurez-vous de bien les comprendre avant de signer. Vous éviterez ainsi des frais supplémentaires, de mauvaises surprises et beaucoup de frustration.

Prenez l’air averti. Soyez informé de vos droits et responsabilités:","Ne soyez pas cloué au sol en raison de frais imprévus! Le billet d’avion est un contrat qui vous lie à une compagnie aérienne. Lisez attentivement les modalités et assurez-vous de bien les comprendre avant de signer. Vous éviterez ainsi des frais supplémentaires, de mauvaises surprises et beaucoup de frustration. Prenez l’air averti. Soyez informé de vos droits et responsabilités:",[],7,1,7,7,0,0,0,0,0,0,15,Environmental,fr,0.0,QuestionsdargentCanada_facebook,"['eau', 'or', 'vert', 'air']",neutral
266,266,485734081568161_743627365778830,2016-06-24 10:45:19,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/743627365778830/?type=3,"Que vous soyez francophone ou francophile, que vous viviez à Trois-Rivières (Québec), Kapuskasing (Ontario), Saint-Boniface (Manitoba) ou ailleurs au pays, nous vous souhaitons une bonne fête de la Saint-Jean-Baptiste!

Vous êtes à la recherche d’activités amusantes et gratuites? Consultez http://ow.ly/JpoZ301BkQh","Que vous soyez francophone ou francophile, que vous viviez à Trois-Rivières (Québec), Kapuskasing (Ontario), Saint-Boniface (Manitoba) ou ailleurs au pays, nous vous souhaitons une bonne fête de la Saint-Jean-Baptiste! Vous êtes à la recherche d’activités amusantes et gratuites? Consultez",[],11,0,4,11,0,0,0,0,0,0,15,unknown,fr,0.0,QuestionsdargentCanada_facebook,,neutral
