,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
30,30,759037850822193153,2016-07-29 14:48:20,[],RT @MinisterISED: Join me TODAY at 3pm ET to talk #CdnInnovation. Send me your questions using #AskBains.,RT MinisterISED Join TODAY 3pm ET talk CdnInnovation Send questions using AskBains,"['#CdnInnovation', '#AskBains']",68,0,68,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,"['minister', 'innovation']"
74,74,756190795389165568,2016-07-21 18:15:09,['https://t.co/PXQvAbm3v'],Canada’s Ag export sales continued to increase in 2015 #AgFPT16 https://t.co/PXQvAbm3v9,Ag export sales continued increase 2015 AgFPT16 https co PXQvAbm3v9,['#AgFPT16'],17,15,32,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,['export']
82,82,759083637392412673,2016-07-29 17:50:16,"['https://t.co/ezBuXBWQJm', 'https://t.co/b0VgjE8kGM']",Our #CdnAg youth #green jobs initiative is online! Sign up today: https://t.co/ezBuXBWQJm https://t.co/b0VgjE8kGM,CdnAg youth green jobs initiative online Sign today https co ezBuXBWQJm https co b0VgjE8kGM,"['#CdnAg', '#green']",17,13,30,Economical,en,-0.25,Neutral,AAFC_Canada_tweeter,"['green', 'jobs']"
85,85,755786967137353730,2016-07-20 15:30:29,"['https://t.co/mvWRLQmP4F', 'https://t.co/C6mkUNX1yv']",#DYK how many jobs come from the #CdnAg sector? https://t.co/mvWRLQmP4F #AgFPT16 https://t.co/C6mkUNX1yv,DYK many jobs come CdnAg sector https co mvWRLQmP4F AgFPT16 https co C6mkUNX1yv,"['#DYK', '#CdnAg', '#AgFPT16']",19,11,30,Economical,en,0.5,Positive,AAFC_Canada_tweeter,['jobs']
97,97,755832297186791424,2016-07-20 18:30:36,"['https://t.co/HXFbxf4CPt', 'https://t.co/YpMSUAuUI']",#CdnAg produces a lot of wheat – over 80% is exported annually! Learn more: https://t.co/HXFbxf4CPt #DiscoverAg https://t.co/YpMSUAuUIu,CdnAg produces lot wheat 80 exported annually Learn https co HXFbxf4CPt DiscoverAg https co YpMSUAuUIu,"['#CdnAg', '#DiscoverAg']",16,11,27,Economical,en,0.5,Positive,AAFC_Canada_tweeter,['export']
139,139,757646076253970436,2016-07-25 18:37:55,['https://t.co/xGbpczDqbL'],Keeping the #CdnAg environment just right for wild bees protects wild blueberry production!  https://t.co/xGbpczDqbL,Keeping CdnAg environment right wild bees protects wild blueberry production https co xGbpczDqbL,['#CdnAg'],11,11,22,unknown,en,0.17023809523809522,Neutral,AAFC_Canada_tweeter,
165,165,755771830242250752,2016-07-20 14:30:20,['https://t.co/YQybhGwA2w'],Potatoes are blossoming as #CdnAg ministers meet in Calgary! Join the convo #AgFPT16 https://t.co/YQybhGwA2w,Potatoes blossoming CdnAg ministers meet Calgary Join convo AgFPT16 https co YQybhGwA2w,"['#CdnAg', '#AgFPT16']",6,14,20,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,['minister']
187,187,755802086919536642,2016-07-20 16:30:34,['https://t.co/kOa24iziE'],#DYK Canada’s top three export trade partners are…. https://t.co/kOa24iziE8,DYK top three export trade partners https co kOa24iziE8,['#DYK'],11,8,19,Economical,en,0.5,Positive,AAFC_Canada_tweeter,['export']
230,230,758312045305626624,2016-07-27 14:44:15,"['https://t.co/qWcIbPVM5V', 'https://t.co/GaLEcj3v84']",Helping #CdnAg youth get valuable experience with #green jobs? We can help: https://t.co/qWcIbPVM5V https://t.co/GaLEcj3v84,Helping CdnAg youth get valuable experience green jobs help https co qWcIbPVM5V https co GaLEcj3v84,"['#CdnAg', '#green']",12,4,16,Economical,en,-0.2,Neutral,AAFC_Canada_tweeter,"['green', 'jobs']"
255,255,756580878843772930,2016-07-22 20:05:12,"['https://t.co/6GmqS9Pf6m', 'https://t.co/cERvvIahah']","Ministers issue Calgary Statement, outlining key priority areas for #CdnAg. Share your views https://t.co/6GmqS9Pf6m https://t.co/cERvvIahah",Ministers issue Calgary Statement outlining key priority areas CdnAg Share views https co 6GmqS9Pf6m https co cERvvIahah,['#CdnAg'],9,6,15,Economical,en,0.0,Neutral,AAFC_Canada_tweeter,['minister']
485,485,758725454505373696,2016-07-28 18:06:59,['https://t.co/xGbpczDqbL'],Protecting the habitats of wild bees helps protect #CdnAg blueberry crops by keeping their pollination possible! https://t.co/xGbpczDqbL,Protecting habitats wild bees helps protect CdnAg blueberry crops keeping pollination possible https co xGbpczDqbL,['#CdnAg'],5,5,10,unknown,en,0.05,Neutral,AAFC_Canada_tweeter,
486,486,759402051956867072,2016-07-30 14:55:32,"['https://t.co/FYqW75ORr6', 'https://t.co/UIb5cBRzN']","It’s #FoodDayCanada! Discover Cdn flavours: food, #nature &amp; #AgriFood industry. #BuyCanadian
https://t.co/FYqW75ORr6 https://t.co/UIb5cBRzN9",FoodDayCanada Discover Cdn flavours food nature amp AgriFood industry BuyCanadian https co FYqW75ORr6 https co UIb5cBRzN9,"['#FoodDayCanada', '#nature', '#AgriFood', '#BuyCanadian']",5,5,10,Environmental,en,0.0,Neutral,AAFC_Canada_tweeter,"['or', 'nature']"
