,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
10,10,753198417661272064,2016-07-13 12:04:31,['https://t.co/vExNSAyCUJ'],L’équipe du BST poursuit son enquête sur collision avec relief aux Îles-de-la-Madeleine (QC) survenue en mars 2016 https://t.co/vExNSAyCUJ,quipe du BST poursuit son sur collision avec relief aux les de la Madeleine QC survenue en mars 2016 https co vExNSAyCUJ,[],7,0,7,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
57,57,750714542108319744,2016-07-06 15:34:29,['https://t.co/8j0B1KheV'],"3 ans après le déraillement de #LacMégantic, 4 recommandations sur 5 sont toujours en suspens https://t.co/8j0B1KheVd #sécurité",ans le raillement de gantic recommandations sur sont toujours en suspens https co 8j0B1KheVd,"['#LacM', '#s']",2,1,3,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
75,75,751473494437879808,2016-07-08 17:50:17,[],#FF @CASARAOttawa Merci de nous avoir invité à parler de préservation des sites d'écrasement et d'enquêtes sur les accidents la sem dernière,FF CASARAOttawa Merci de nous avoir parler de servation des sites crasement et sur les accidents la sem,['#FF'],1,1,2,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['mer']
90,90,759022045787140096,2016-07-29 13:45:32,['https://t.co/wYrkg6b3KG'],"Chaque année, environ 4000 événements nous sont signalés. Les critères d'enquête sont fixés selon cette politique https://t.co/wYrkg6b3KG",Chaque environ 4000 nements nous sont Les res sont selon cette politique https co wYrkg6b3KG,[],1,1,2,Economical,fr,0.0,Neutral,BSTCanada_tweeter,['politique']
126,126,753197598673100800,2016-07-13 12:01:15,['https://t.co/Z4jGew6W5G'],"Mise à jour, enquête sur collision avec relief, Îles-de-la-Madeleine (QC) – Travaux à ce jour &amp; données factuelles https://t.co/Z4jGew6W5G",Mise jour sur collision avec relief les de la Madeleine QC Travaux ce jour amp es factuelles https co Z4jGew6W5G,[],2,0,2,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
336,336,752942951534305280,2016-07-12 19:09:23,['https://t.co/QavwbRm4XR'],Envoie équipe d’enquêteurs à l'aéroport international de Calgary pour évaluer un événement survenu à l’atterrissage https://t.co/QavwbRm4XR,Envoie quipe roport international de Calgary pour valuer un nement survenu atterrissage https co QavwbRm4XR,[],1,0,1,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['or']
397,397,753295693024989189,2016-07-13 18:31:03,['https://t.co/iCbayCIQ1P'],Ns sommes à la recherche d'un ou d'une ingénieur(e) des systèmes. Postulez dès maintenant : 2 sem avant date limite! https://t.co/iCbayCIQ1P,Ns sommes la recherche un ou une nieur des mes Postulez maintenant sem avant date limite https co iCbayCIQ1P,[],0,1,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
377,377,749982382896377856,2016-07-04 15:05:08,['https://t.co/mXketN0h7v'],"Rapport d’enquête sur le déraillement près de Pearce (Alberta) en novembre 2014, est maintenant disponible https://t.co/mXketN0h7v",Rapport sur le raillement de Pearce Alberta en novembre 2014 est maintenant disponible https co mXketN0h7v,[],0,1,1,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['or']
363,363,750329673956098048,2016-07-05 14:05:09,['https://t.co/g0M7FCzNkE'],"Rapport d’enquête sur la défaillance de rotor de turbine aéroport Mirabel en mai 2014, est maintenant disponible https://t.co/g0M7FCzNkE",Rapport sur la faillance de rotor de turbine roport Mirabel en mai 2014 est maintenant disponible https co g0M7FCzNkE,[],1,0,1,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['or']
362,362,750748724050202625,2016-07-06 17:50:18,['https://t.co/RD2xRa1lZg'],#LSV : Notre photo la + visionnée dans #Flickr est une image aérienne du site du déraillement de Lac-Mégantic (2013) https://t.co/RD2xRa1lZg,LSV Notre photo la dans Flickr est une image rienne du site du raillement de Lac gantic 2013 https co RD2xRa1lZg,"['#LSV', '#Flickr']",1,0,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
361,361,751050724621115393,2016-07-07 13:50:21,['https://t.co/iCbayCIQ1P'],Ns sommes à la recherche d'un ou d'une Ingénieur(e) des systèmes. Date limite : 27 juillet. Postulez dès maintenant! https://t.co/iCbayCIQ1P,Ns sommes la recherche un ou une nieur des mes Date limite 27 juillet Postulez maintenant https co iCbayCIQ1P,[],1,0,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
355,355,751125020332683264,2016-07-07 18:45:34,['https://t.co/stMZ1BJjsQ'],#JeudiRétro Accident aérien mortel 1996 : ACRSA C-B requiert moteurs + puissants pour missions régions montagneuses https://t.co/stMZ1BJjsQ,tro Accident rien mortel 1996 ACRSA requiert moteurs puissants pour missions gions montagneuses https co stMZ1BJjsQ,['#JeudiR'],1,0,1,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['or']
350,350,752510174846390272,2016-07-11 14:29:41,['https://t.co/FrpH7g7OWi'],Abonnez-vous à notre chaîne #YouTube! Visionnez des reconstitutions d'accidents et apprenez-en advantage sur le BST https://t.co/FrpH7g7OWi,Abonnez vous notre ne YouTube Visionnez des reconstitutions accidents et apprenez en advantage sur le BST https co FrpH7g7OWi,['#YouTube'],1,0,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
396,396,750034726342299648,2016-07-04 18:33:08,['https://t.co/TiLlp1Cnbs'],Notre plus récent bulletin trimestriel est en ligne! Découvrez ce qui ns a tenu occupés au cours des 3 derniers mois https://t.co/TiLlp1Cnbs,Notre plus cent bulletin trimestriel est en ligne couvrez ce qui ns tenu au cours des derniers mois https co TiLlp1Cnbs,[],1,0,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
335,335,750690899542278144,2016-07-06 14:00:32,['https://t.co/A8o39l3Vj'],Une forte turbulence a causé la perte de maîtrise d’un aéronef d’ExpressJet en septembre 2014 près de London https://t.co/A8o39l3Vj2,Une forte turbulence la perte de trise un ronef ExpressJet en septembre 2014 de London https co A8o39l3Vj2,[],1,0,1,Environmental,fr,0.0,Neutral,BSTCanada_tweeter,['or']
263,263,756125405694746629,2016-07-21 13:55:19,['https://t.co/b3Ud30rMEZ'],"#JeudiRétro il y a 23 ans, abordage entre remorqueur-chaland &amp; bateau de pêche : 3 rec. du coroner, et 1 rec. du BST https://t.co/b3Ud30rMEZ",tro il 23 ans abordage entre remorqueur chaland amp bateau de rec du coroner et rec du BST https co b3Ud30rMEZ,['#JeudiR'],1,0,1,Environmental,fr,0.5,Positive,BSTCanada_tweeter,"['eau', 'or']"
317,317,756492898275827712,2016-07-22 14:15:36,['https://t.co/wrc4dCK8N'],Comment signaler un accident/incident selon le mode de transport : Exigences de déclaration obligatoire &amp; autre info https://t.co/wrc4dCK8Nu,Comment signaler un accident incident selon le mode de transport Exigences de claration obligatoire amp autre info https co wrc4dCK8Nu,[],0,1,1,Economical,fr,0.0,Neutral,BSTCanada_tweeter,['transport']
158,158,748922845409976321,2016-07-01 16:54:55,['https://t.co/0mFWzVZyTB'],Envoie une équipe d'enquêteurs sur site d'un accident impliquant un petit avion survenu près de Winnipeg (Manitoba) https://t.co/0mFWzVZyTB,Envoie une quipe sur site un accident impliquant un petit avion survenu de Winnipeg Manitoba https co 0mFWzVZyTB,[],0,1,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
159,159,748886735526977536,2016-07-01 14:31:26,[],"Bonne #fêteduCanada ! Peu importe l’endroit où vous célébrez, assurez-vous de voyager en toute sécurité",Bonne Peu importe endroit vous brez assurez vous de voyager en toute,['#f'],0,1,1,Economical,fr,0.0,Neutral,BSTCanada_tweeter,['import']
147,147,749668470552403968,2016-07-03 18:17:46,['https://t.co/Gd38AnsOTa'],Envoie une équipe à Montréal QC suite à l’échouement d’un navire de marchandises diverses près de Varennes QC https://t.co/Gd38AnsOTa,Envoie une quipe al QC suite chouement un navire de marchandises diverses de Varennes QC https co Gd38AnsOTa,[],1,0,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
278,278,755405268360556545,2016-07-19 14:13:45,['https://t.co/9LBUHp3QqJ'],#Listedesurveillance : Gestion sécurité &amp; surveillance. Enquêtes du BST décelé des prob. à l'égard de 3 éléments https://t.co/9LBUHp3QqJ,Listedesurveillance Gestion amp surveillance du BST des prob gard de ments https co 9LBUHp3QqJ,['#Listedesurveillance'],1,0,1,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
294,294,757681505762177024,2016-07-25 20:58:42,['https://t.co/9sb95fyMRf'],Déclaration de présidente Fox sur le retrait accéléré des anciens wagons-citernes pour le transport de pétrole brut https://t.co/9sb95fyMRf,claration de sidente Fox sur le retrait des anciens wagons citernes pour le transport de trole brut https co 9sb95fyMRf,[],1,0,1,Economical,fr,0.0,Neutral,BSTCanada_tweeter,['transport']
306,306,758363935384997888,2016-07-27 18:10:26,['https://t.co/gKjyMqUPJk'],Vous l'avez manqué? Texte de Kathy Fox dans @TheHillsTimes : Le BST dévoile ses priorités pour l’année à venir https://t.co/gKjyMqUPJk,Vous avez Texte de Kathy Fox dans TheHillsTimes Le BST voile ses pour venir https co gKjyMqUPJk,[],1,0,1,Economical,fr,0.0,Neutral,BSTCanada_tweeter,['oil']
721,721,755447283802595333,2016-07-19 17:00:42,['https://t.co/t3FyqZQ9v'],Un essieu grippé et la fatigue de l’équipe de train ont mené au #déraillement en nov 2014 près de Kwinitsa (C-B) https://t.co/t3FyqZQ9v1,Un essieu et la fatigue de quipe de train ont au raillement en nov 2014 de Kwinitsa https co t3FyqZQ9v1,['#d'],0,0,0,unknown,fr,0.0,Neutral,BSTCanada_tweeter,
