,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
35,35,751453016444833793,2016-07-08 16:28:55,['https://t.co/q9w47UGtI7'],The crew of our #SAR lifeboat CCGS Cape Hearne honoured to escort #HMCSKingston into her namesake city @RCN_MARLANT https://t.co/q9w47UGtI7,crew SAR lifeboat CCGS Cape Hearne honoured escort HMCSKingston namesake city https co q9w47UGtI7,"['#SAR', '#HMCSKingston']",30,40,70,Environmental,en,0.0,Neutral,DFO_Central_tweeter,['or']
38,38,750704990369579008,2016-07-06 14:56:31,[],RT @NickMurray91: Sweet time lapse of the @CCG_GCC Pierre Radisson escorting the tanker Traverstern through Frobisher Bay this week https:/…,RT NickMurray91 Sweet time lapse Pierre Radisson escorting tanker Traverstern Frobisher Bay week https,[],60,0,60,Environmental,en,0.35,Positive,DFO_Central_tweeter,['or']
63,63,753971575829962753,2016-07-15 15:16:46,['https://t.co/dHYqInwkm'],"The CCGS Terry Fox is ensuring the cargo ship can deliver supplies to communities around Ungava Bay, Nunavik https://t.co/dHYqInwkmD",CCGS Terry Fox ensuring cargo ship deliver supplies communities around Ungava Bay Nunavik https co dHYqInwkmD,[],28,18,46,unknown,en,0.0,Neutral,DFO_Central_tweeter,
71,71,755844938911387650,2016-07-20 19:20:51,['https://t.co/mrtT0phHra'],RT @CCG_GCC: #DYK the #CCG saves 15 lives on an average day? #SAR https://t.co/mrtT0phHra,RT DYK CCG saves 15 lives average day SAR https co mrtT0phHra,"['#DYK', '#CCG', '#SAR']",44,0,44,unknown,en,-0.15,Neutral,DFO_Central_tweeter,
91,91,755867680599576576,2016-07-20 20:51:13,['https://t.co/qROZb92QCn'],CCGS #SirWilfridLaurier has reported more Walrus sightings this year in Chukchi Sea than in the past. #Arctic https://t.co/qROZb92QCn,CCGS SirWilfridLaurier reported Walrus sightings year Chukchi Sea past Arctic https co qROZb92QCn,"['#SirWilfridLaurier', '#Arctic']",15,24,39,Economical,en,0.125,Neutral,DFO_Central_tweeter,['arctic']
105,105,753678428650475520,2016-07-14 19:51:54,['https://t.co/wQp3a3lVBG'],"RT @DFO_MPO: We don’t need to know if you’ve caught a Magikarp, but we do if you’ve caught an Asian Carp! #PokemonGo https://t.co/wQp3a3lVBG",RT need know caught Magikarp caught Asian Carp PokemonGo https co wQp3a3lVBG,['#PokemonGo'],37,0,37,unknown,en,0.0,Neutral,DFO_Central_tweeter,
125,125,758017862724415490,2016-07-26 19:15:16,['https://t.co/oLCZNMjH\xe2\x80\xa6'],RT @NewsroomGC: #GC announces new funding for CDN researchers to study effects of contaminants in oceans &amp; freshwater https://t.co/oLCZNMjH…,RT NewsroomGC GC announces new funding CDN researchers study effects contaminants oceans amp freshwater https co,['#GC'],33,0,33,Environmental,en,0.13636363636363635,Neutral,DFO_Central_tweeter,"['water', 'oceans']"
131,131,755527687800774660,2016-07-19 22:20:12,['https://t.co/Qkj\xe2\x80\xa6'],RT @Transport_gc: Our NASP plane spotted @CCG_GCC’s #TerryFox slicing through ice at the mouth of Hudson Strait. #NASPCrew https://t.co/Qkj…,RT NASP plane spotted TerryFox slicing ice mouth Hudson Strait NASPCrew https co,"['#TerryFox', '#NASPCrew']",33,0,33,Environmental,en,0.0,Neutral,DFO_Central_tweeter,['ice']
137,137,750710339117936640,2016-07-06 15:17:47,"['https://t.co/Ckl9O9hqcI', 'https://t.co/opmaxemTFq']",We are #CCGproud to provide support for the @RCN_MRC visit to #Cobourg #GreatLakes  Article: https://t.co/Ckl9O9hqcI https://t.co/opmaxemTFq,CCGproud provide support visit Cobourg GreatLakes Article https co Ckl9O9hqcI https co opmaxemTFq,"['#CCGproud', '#Cobourg', '#GreatLakes']",14,19,33,Environmental,en,0.0,Neutral,DFO_Central_tweeter,"['lakes', 'or']"
143,143,752640409017393152,2016-07-11 23:07:11,['https://t.co/VYB66g7H3R'],"Meet our #CCG Meaford crew members who rescued 2 canoeists: Dan Fox, Greg Sepetdjian and Eric VanTwuiver. #CCGproud https://t.co/VYB66g7H3R",Meet CCG Meaford crew members rescued canoeists Dan Fox Greg Sepetdjian Eric VanTwuiver CCGproud https co VYB66g7H3R,"['#CCG', '#CCGproud']",17,15,32,Environmental,en,0.0,Neutral,DFO_Central_tweeter,['or']
