,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,1203325126385126_1213165282067777,2016-08-16 10:55:54,https://www.otc-cta.gc.ca/eng/aspar-q-and-a,"Booking a flight soon?

Airlines have to display the final price on their website, including all taxes, charges and fees. So the price you see is the price you'll pay.

Learn more:","Booking a flight soon? Airlines have to display the final price on their website, including all taxes, charges and fees. So the price you see is the price you'll pay. Learn more:",[],Environmental,23,0.0,en,CanadianTransportationAgency_facebook
1,1203325126385126_1217102435007395,2016-08-21 07:31:22,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1217102435007395/?type=3,"Airline lost your luggage? @#$%
 
We may be able to help!
 
Check out our video: http://bit.ly/2afCvid 
 
#MamaSaidThereWouldBeDaysLikeThis #LostLuggage #LostBaggage",Airline lost your luggage? $% We may be able to help! Check out our video: d,"['#', '#MamaSaidThereWouldBeDaysLikeThis', '#LostLuggage', '#LostBaggage']",Environmental,12,0.0,en,CanadianTransportationAgency_facebook
2,1203325126385126_1215448501839455,2016-08-19 08:30:00,https://www.otc-cta.gc.ca/eng/take-charge,"Travelling with accessibility needs?

Take charge of your travel with this helpful guide:",Travelling with accessibility needs? Take charge of your travel with this helpful guide:,[],Social,5,0.0,en,CanadianTransportationAgency_facebook
3,1203325126385126_1210693528981619,2016-08-13 09:46:15,http://bit.ly/2b4F1IW,Agency Chair discusses airline passenger rights on CBC's Power & Politics:,Agency Chair discusses airline passenger rights on CBC's Power & Politics:,[],Environmental,5,0.0,en,CanadianTransportationAgency_facebook
4,1203325126385126_1219114308139541,2016-08-23 13:32:53,https://www.otc-cta.gc.ca/eng/consultation/accessible-transportation-consultation,,,[],Social,4,0.0,tl,CanadianTransportationAgency_facebook
5,1203325126385126_1214837571900548,2016-08-18 12:43:04,https://services.otc-cta.gc.ca/eng/mediation,"If facilitation doesn't work for airline complaints, what next?

Mediation is an informal, voluntary and confidential process that promotes open and respectful communication. A neutral and impartial mediator helps guide the process.","If facilitation doesn't work for airline complaints, what next? Mediation is an informal, voluntary and confidential process that promotes open and respectful communication. A neutral and impartial mediator helps guide the process.",[],Environmental,4,0.0,en,CanadianTransportationAgency_facebook
6,1203325126385126_1219821458068826,2016-08-24 08:15:15,https://www.otc-cta.gc.ca/eng/publication/carriage-mobility-aids-planes-trains-ferries,"If you're planning to travel with a mobility aid, check out our resource tool.","If you're planning to travel with a mobility aid, check out our resource tool.",[],Social,4,0.0,en,CanadianTransportationAgency_facebook
7,1203325126385126_1225496110834694,2016-08-30 12:58:07,https://services.otc-cta.gc.ca/eng/air-complaints,"Do you have a complaint related to air travel?

Find out more here:",Do you have a complaint related to air travel? Find out more here:,[],Environmental,4,0.0,en,CanadianTransportationAgency_facebook
8,1203325126385126_1221843277866644,2016-08-26 11:05:19,https://www.otc-cta.gc.ca/eng/fly-smart,"Air travel has become a part of life.

The Canadian Transportation Agency is here to ensure that our transportation system is one that is competitive, efficient and accessible.

This season, #FlySmart!","Air travel has become a part of life. The Canadian Transportation Agency is here to ensure that our transportation system is one that is competitive, efficient and accessible. This season, !",['#FlySmart'],Environmental,2,0.0,en,CanadianTransportationAgency_facebook
9,1203325126385126_1212190575498581,2016-08-15 08:15:47,http://www.cbc.ca/news/politics/airline-passenger-protections-rights-1.3718790,CBC: Air passengers with complaints urged to contact Canadian Transportation Agency,CBC: Air passengers with complaints urged to contact Canadian Transportation Agency,[],Environmental,2,0.0,en,CanadianTransportationAgency_facebook
10,1203325126385126_1207631535954485,2016-08-09 12:27:18,http://ow.ly/UmDc300YQra,"Are you a traveller with accessibility needs?

Our accessible transportation consultation is now underway: http://ow.ly/UmDc300YQra",Are you a traveller with accessibility needs? Our accessible transportation consultation is now underway:,[],Economical,2,0.0,en,CanadianTransportationAgency_facebook
11,1203325126385126_1221758511208454,2016-08-26 08:46:20,https://www.thestar.com/business/2016/08/26/delta-air-lines-introduces-tracking-tags-to-combat-lost-luggage.html,,,[],Social,2,0.0,tl,CanadianTransportationAgency_facebook
12,1203325126385126_1217095855008053,2016-08-21 07:19:45,https://services.otc-cta.gc.ca/eng/arbitration,"It's faster, cheaper and more efficient than formal adjudication.
 
During arbitration, an arbitrator hears arguments from parties and renders a decision that is legally binding.","It's faster, cheaper and more efficient than formal adjudication. During arbitration, an arbitrator hears arguments from parties and renders a decision that is legally binding.",[],Environmental,2,0.0,en,CanadianTransportationAgency_facebook
13,1203325126385126_1218956664821972,2016-08-23 09:20:12,http://startouch.thestar.com/screens/af9f007a-e230-45de-98a3-570279030d1b%7C_0.html,,,[],Social,2,0.0,tl,CanadianTransportationAgency_facebook
14,1203325126385126_1209996889051283,2016-08-12 13:13:45,https://www.otc-cta.gc.ca/eng/members#chair,"Our Chair and CEO, Scott Streiner, is scheduled to appear on CBC's Power & Politics, airing today beginning at 5 pm.","Our Chair and CEO, Scott Streiner, is scheduled to appear on CBC's Power & Politics, airing today beginning at pm.",[],Environmental,1,0.0,en,CanadianTransportationAgency_facebook
