,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,770976889850761216,2016-08-31 13:29:49,['https://t.co/quQrHCajIG'],RT @AmazingRaceCDA: RT if you think the Canadian Coast Guard is amazing! #AmazingRaceCanada cc: @EmmettBlois https://t.co/quQrHCajIG,RT AmazingRaceCDA RT think Canadian Coast Guard amazing AmazingRaceCanada cc EmmettBlois https co quQrHCajIG,['#AmazingRaceCanada'],Social,83,0.7500000000000001,en,DFO_NL_tweeter
1,770672504570535936,2016-08-30 17:20:18,['https://t.co/QUEnh2q3Cl'],Rough seas and high winds this afternoon continue to put today’s Manolis L ops on hold #SafetyFirst #CCG #nlwx https://t.co/QUEnh2q3Cl,Rough seas high winds afternoon continue put Manolis ops hold SafetyFirst CCG nlwx https co QUEnh2q3Cl,"['#SafetyFirst', '#CCG', '#nlwx']",Social,69,0.03,en,DFO_NL_tweeter
2,770262588538122240,2016-08-29 14:11:26,['https://t.co/TOQob2o7g'],Santa tracked down CCGS #LouisSStLaurent @ North Pole last week with a special message to 3 yr-old Kaiden @JanewayNL https://t.co/TOQob2o7gD,Santa tracked CCGS LouisSStLaurent North Pole last week special message yr old Kaiden JanewayNL https co TOQob2o7gD,['#LouisSStLaurent'],Environmental,36,0.06719576719576717,en,DFO_NL_tweeter
3,768452473589727232,2016-08-24 14:18:41,['https://t.co/rkRqYmtVji'],Tangly Whales’ Wayne Ledwell and Fishery Officer Butler free an entangled humpback #whale in Long Harbour yesterday https://t.co/rkRqYmtVji,Tangly Wayne Ledwell Fishery Officer Butler free entangled humpback whale Long Harbour yesterday https co rkRqYmtVji,['#whale'],Environmental,35,0.17500000000000002,en,DFO_NL_tweeter
4,760825183146041345,2016-08-03 13:10:33,['https://t.co/D2x6bIW95V'],"A humpback #whale is a familiar NL visitor. If you ""fluke"" into seeing the underside of a tail, please share a pic! https://t.co/D2x6bIW95V",humpback whale familiar NL visitor fluke seeing underside tail please share pic https co D2x6bIW95V,['#whale'],Social,27,0.46875,en,DFO_NL_tweeter
5,761621842679439360,2016-08-05 17:56:12,[],Congratulations #IMCC4 organizers and participants on a successful event in St. John's this week! And of course - #WeAreProud! #DFOScience,Congratulations IMCC4 organizers participants successful event St John week course WeAreProud DFOScience,"['#IMCC4', '#WeAreProud', '#DFOScience']",Environmental,27,1.0,en,DFO_NL_tweeter
6,763428575320170496,2016-08-10 17:35:30,['https://t.co/Q1AAeo1EfS'],Always safety first on the river! #DFO fishery guardian suiting up for patrol. #NLSalmon #NLTrout https://t.co/Q1AAeo1EfS,Always safety first river DFO fishery guardian suiting patrol NLSalmon NLTrout https co Q1AAeo1EfS,"['#DFO', '#NLSalmon', '#NLTrout']",Social,27,0.3125,en,DFO_NL_tweeter
7,763346751721992193,2016-08-10 12:10:22,['https://t.co/oiHWnGNyvN'],#CCGS Cape Norman tows a disabled vessel safely to shore following a recent call for assistance on NL’s west coast https://t.co/oiHWnGNyvN,CCGS Cape Norman tows disabled vessel safely shore following recent call assistance west coast https co oiHWnGNyvN,['#CCGS'],Environmental,26,0.075,en,DFO_NL_tweeter
8,764867973064617984,2016-08-14 16:55:09,"['https://t.co/YP6LXl5UX6', 'https://t.co/QGShmiNyaj']",Spotting a #whale or other marine mammal is fun when they are observed safely. See our tips: https://t.co/YP6LXl5UX6 https://t.co/QGShmiNyaj,Spotting whale marine mammal fun observed safely See tips https co YP6LXl5UX6 https co QGShmiNyaj,['#whale'],Environmental,25,0.225,en,DFO_NL_tweeter
9,767806108509540352,2016-08-22 19:30:16,['https://t.co/6EwLmkBfyp'],Aerial shot from @Transport_gc surveillance. Federal partner in #CCG enviro ongoing Manolis L operations. https://t.co/6EwLmkBfyp,Aerial shot surveillance Federal partner CCG enviro ongoing Manolis operations https co 6EwLmkBfyp,['#CCG'],Social,23,0.0,en,DFO_NL_tweeter
