,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
7,7,134615279898518_1409728312387202,2016-08-08 06:40:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1409728312387202/?type=3,"Envie de petites vacances pour terminer l'été en beauté? Offrez-vous une escapade #oTENTik à seulement une heure de route de Montréal!
http://ow.ly/EYV1302XwnC",Envie de petites vacances pour terminer l'été en beauté? Offrez-vous une escapade à seulement une heure de route de Montréal! C,['#oTENTik'],326,34,94,317,9,0,0,0,0,0,454,Environmental,fr,0.0,ParcsCanada_facebook,['eau'],neutral
59,59,134615279898518_1414036231956410,2016-08-15 05:26:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1414036231956410/?type=3,Bonne Journée nationale de la #Relaxation!!!,Bonne Journée nationale de la !!!,['#Relaxation'],94,0,14,83,11,0,0,0,0,0,108,unknown,fr,0.0,ParcsCanada_facebook,,neutral
113,113,134615279898518_1433942853299081,2016-08-31 18:40:08,https://www.facebook.com/pnMauricie/photos/a.179214605608709.1073741831.159868794209957/506106849586148/?type=3,"Mais quelle rencontre spéciale! #lynx #MercrediSauvage Parc national de la Mauricie, Parcs Canada","Mais quelle rencontre spéciale! Parc national de la Mauricie, Parcs Canada","['#lynx', '#MercrediSauvage']",68,3,0,60,6,0,2,0,0,0,71,Social,ca,0.0,ParcsCanada_facebook,['parc'],neutral
130,130,134615279898518_1376850512341649,2016-08-27 08:50:01,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1376850512341649/?type=3,Êtes-vous emballé à l'idée de gagner un séjour en famille à Parcs Canada? Nous le sommes! Il est encore temps de vous inscrire au concours de Leclerc ! http://ow.ly/ad0c300wSyN #ConcoursLeclerc #serapprocher,Êtes-vous emballé à l'idée de gagner un séjour en famille à Parcs Canada? Nous le sommes! Il est encore temps de vous inscrire au concours de Leclerc !,"['#ConcoursLeclerc', '#serapprocher']",56,3,6,55,1,0,0,0,0,0,65,Social,fr,0.0,ParcsCanada_facebook,"['ami', 'parc', 'famille']",neutral
145,145,134615279898518_1401464783213555,2016-08-01 06:55:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1401464783213555/?type=3,"Bonne fête, Parc national Tuktut Nogait! Ce parc superbe et isolé a 20 ans aujourd'hui. http://ow.ly/lNKC302AU8T","Bonne fête, Parc national Tuktut Nogait! Ce parc superbe et isolé a ans aujourd'hui.",[],49,3,8,45,2,2,0,0,0,0,60,Social,fr,0.0,ParcsCanada_facebook,['parc'],neutral
230,230,134615279898518_1428463987180301,2016-08-28 06:55:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1428463987180301/?type=3,"Pendant votre visite au Parc national des Mille-Îles, on vous suggère de pagayer jusqu'à l’île McDonald et passer la nuit dans une tente #oTENTik! N'oubliez pas de réserver : http://ow.ly/ClWR303Ahn8","Pendant votre visite au Parc national des Mille-Îles, on vous suggère de pagayer jusqu'à l’île McDonald et passer la nuit dans une tente ! N'oubliez pas de réserver : 8",['#oTENTik'],42,2,3,41,1,0,0,0,0,0,47,Social,fr,0.0,ParcsCanada_facebook,['parc'],neutral
251,251,134615279898518_1414102005283166,2016-08-12 08:15:01,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1414102005283166/?type=3,"Joyeux vendredi photo des abonnés! 
Cette photo captivante du Parc national Kluane nous vient de Guillaume P.-J. (The Stoke Factor).
Parcs Canada Yukon

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.","Joyeux vendredi photo des abonnés! Cette photo captivante du Parc national Kluane nous vient de Guillaume P.-J. (The Stoke Factor). Parcs Canada Yukon Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.",[],37,1,5,33,3,1,0,0,0,0,43,Environmental,fr,0.0,ParcsCanada_facebook,"['parc', 'or', 'mer']",neutral
276,276,134615279898518_1414894705203896,2016-08-16 07:14:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1414894705203896/?type=3,"C'est temps pour un #MardiQuiz! Pouvez-vous nous dire à quel endroit cette photo a été prise?

Réponse: la Réserve de parc national Nááts'ihch'oh! Pour en savoir plus : http://ow.ly/W4iL303imf4 Merci à tous d'avoir joué!",C'est temps pour un ! Pouvez-vous nous dire à quel endroit cette photo a été prise? Réponse: la Réserve de parc national Nááts'ihch'oh! Pour en savoir plus : Merci à tous d'avoir joué!,['#MardiQuiz'],34,3,2,32,1,1,0,0,0,0,39,Social,fr,0.0,ParcsCanada_facebook,"['parc', 'mer']",neutral
333,333,134615279898518_1409107192449314,2016-08-05 08:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1409107192449314/?type=3,"Joyeux vendredi photo des abonnés! 

Cette photo merveilleuse du Parc national Jasper nous vient de Alana (Instagram: alana_marie33), accompagnée de la légende suivante : « Les nuages et les fleurs sauvages... Une belle randonnée au sommet du sentier Sulphur Skyline. » 

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.","Joyeux vendredi photo des abonnés! Cette photo merveilleuse du Parc national Jasper nous vient de Alana (Instagram: alana_marie33), accompagnée de la légende suivante : « Les nuages et les fleurs sauvages... Une belle randonnée au sommet du sentier Sulphur Skyline. » Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.",[],33,0,2,31,2,0,0,0,0,0,35,Social,fr,0.0,ParcsCanada_facebook,"['parc', 'mer']",neutral
392,392,134615279898518_1409728045720562,2016-08-11 09:45:01,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1409726482387385/?type=3,"Saviez-vous que demain est la Journée internationale de la jeunesse? Nous voulons souligner le travail des Jeunes Ambassadeurs de Parcs Canada, qui inspirent les jeunes Canadiens et Canadiennes à découvrir nos grands espaces et à profiter de ce pays magnifique! http://ow.ly/Jo21302XweZ","Saviez-vous que demain est la Journée internationale de la jeunesse? Nous voulons souligner le travail des Jeunes Ambassadeurs de Parcs Canada, qui inspirent les jeunes Canadiens et Canadiennes à découvrir nos grands espaces et à profiter de ce pays magnifique!",[],29,0,3,27,2,0,0,0,0,0,32,Social,fr,0.0,ParcsCanada_facebook,"['jeunes', 'parc']",neutral
402,402,134615279898518_1428449597181740,2016-08-26 08:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1428449597181740/?type=3,"Joyeux vendredi photo des abonnés! 
Cette photo extraordinaire du Parc national Kootenay nous vient de Celia S., accompagnée de la légende suivante : « Quelle endroit incroyable! :) Je suis tombée en amour avec ce parc. » 

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.","Joyeux vendredi photo des abonnés! Cette photo extraordinaire du Parc national Kootenay nous vient de Celia S., accompagnée de la légende suivante : « Quelle endroit incroyable! Je suis tombée en amour avec ce parc. » Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.",[],30,0,1,29,1,0,0,0,0,0,31,Environmental,fr,0.0,ParcsCanada_facebook,"['mer', 'parc', 'or', 'air']",neutral
404,404,134615279898518_1376882209005146,2016-08-31 05:00:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1376882209005146/?type=3,DERNIER JOUR pour PARTICIPER au concours Célébrez le plein air de Leclerc! Ne manquez pas votre chance! http://ow.ly/ad0c300wSyN #ConcoursLeclerc #serapprocher,DERNIER JOUR pour PARTICIPER au concours Célébrez le plein air de Leclerc! Ne manquez pas votre chance!,"['#ConcoursLeclerc', '#serapprocher']",23,0,8,20,3,0,0,0,0,0,31,Environmental,fr,0.0,ParcsCanada_facebook,['air'],neutral
