,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,781510412651159553,2016-09-29 15:06:16,['https://t.co/wExS2mF8\xe2\x80\xa6'],"RT @NASA: Water swirls seen in reflections off the waters of the Gulf of St. Lawrence, north of Prince Edward Island: https://t.co/wExS2mF8…",RT NASA Water swirls seen reflections waters Gulf St Lawrence north Prince Edward Island https co,[],Environmental,476,0.0,en,DFO_Gulf_tweeter
1,777951654113079296,2016-09-19 19:25:02,['https://t.co/FYZtmzRBFS'],"Scientists work 24/24, in two 12 hour shifts to maximize time on the Teleost #SeptSurvey https://t.co/FYZtmzRBFS",Scientists work 24 24 two 12 hour shifts maximize time Teleost SeptSurvey https co FYZtmzRBFS,['#SeptSurvey'],Environmental,19,0.0,en,DFO_Gulf_tweeter
2,775733834897850369,2016-09-13 16:32:13,[],"RT @DFO_MPO: Min LeBlanc: Proud of the role of @CCG_GCC, #CHS, our partners &amp; local Inuit in #MissionErebusTerror in #Nunavut since 2008",RT Min LeBlanc Proud role CHS partners amp local Inuit MissionErebusTerror Nunavut since 2008,"['#CHS', '#MissionErebusTerror', '#Nunavut']",Social,15,0.4,fr,DFO_Gulf_tweeter
3,776827496511725568,2016-09-16 16:58:02,['https://t.co/70Vm6fsnSH'],"Multi-species survey on the @CCG_GCC Teleost. Each september since ’71, our scientists make the trip #SeptSurvey. https://t.co/70Vm6fsnSH",Multi species survey Teleost september since 71 scientists make trip SeptSurvey https co 70Vm6fsnSH,['#SeptSurvey'],Environmental,14,0.0,en,DFO_Gulf_tweeter
4,779331874804142081,2016-09-23 14:49:32,['https://t.co/9p918PXALl'],"RT @DFO_MAR: In the Atlantic region, the CCG do approximately 15 search and rescue exercises per year #SAREX https://t.co/9p918PXALl",RT Atlantic region CCG approximately 15 search rescue exercises per year SAREX https co 9p918PXALl,['#SAREX'],Social,12,-0.4,en,DFO_Gulf_tweeter
5,781566652009807872,2016-09-29 18:49:45,['https://t.co/NA6OQkRdtV'],The @DFO_Science team &amp; @CCG_GCC crew have completed the #SeptSurvey and arrived safely at the Sydney #NS dock yesterday. More pics to come! https://t.co/NA6OQkRdtV,team amp crew completed SeptSurvey arrived safely Sydney NS dock yesterday pics come https co NA6OQkRdtV,"['#SeptSurvey', '#NS']",Social,11,0.5625,en,DFO_Gulf_tweeter
6,776827832911757312,2016-09-16 16:59:22,['https://t.co/ltj0kjh7Ao'],"Steve Hachey, communications advisor, helps scientists and shares pictures of the #SeptSurvey. Stay tuned! https://t.co/ltj0kjh7Ao",Steve Hachey communications advisor helps scientists shares pictures SeptSurvey Stay tuned https co ltj0kjh7Ao,['#SeptSurvey'],Environmental,10,0.0,en,DFO_Gulf_tweeter
7,778207209587171328,2016-09-20 12:20:31,['https://t.co/k5sYWaQiRH'],"Fish caught in #SeptSurvey include cod, white hake, plaice, yellowtail flounder and halibut https://t.co/k5sYWaQiRH",Fish caught SeptSurvey include cod white hake plaice yellowtail flounder halibut https co k5sYWaQiRH,['#SeptSurvey'],Environmental,10,0.0,en,DFO_Gulf_tweeter
8,779332000217980928,2016-09-23 14:50:02,['https://t.co/r10WnfKu1W'],RT @DFO_MAR: #DYK? CCG receive on average 8 calls for help a day. Crucial to be ready #SAREX https://t.co/r10WnfKu1W,RT DYK CCG receive average calls help day Crucial ready SAREX https co r10WnfKu1W,"['#DYK', '#SAREX']",Environmental,7,0.016666666666666673,en,DFO_Gulf_tweeter
9,778280104598335488,2016-09-20 17:10:11,['https://t.co/rBJowz9ovP'],166 sites in the Southern Gulf are trawled to capture marine animals at depths ranging from 20 to 350 m #SeptSurvey @DFO_Science https://t.co/rBJowz9ovP,166 sites Southern Gulf trawled capture marine animals depths ranging 20 350 SeptSurvey https co rBJowz9ovP,['#SeptSurvey'],Environmental,7,0.0,en,DFO_Gulf_tweeter
10,779009264438415360,2016-09-22 17:27:36,['https://t.co/5w6CIs7sih'],DYK? The 63 metre-long Teleost is used mainly for @DFO_Science research at sea #SeptSurvey @CCG_GCC https://t.co/5w6CIs7sih,DYK 63 metre long Teleost used mainly research sea SeptSurvey https co 5w6CIs7sih,['#SeptSurvey'],Environmental,6,0.16666666666666666,en,DFO_Gulf_tweeter
11,780470794837262337,2016-09-26 18:15:12,['https://t.co/kJbYvvYqmv'],DYK that snow crabs grow seagrass on their shell as they get older? This one is remarkably lush! #SeptSurvey @DFO_Science https://t.co/kJbYvvYqmv,DYK snow crabs grow seagrass shell get older one remarkably lush SeptSurvey https co kJbYvvYqmv,['#SeptSurvey'],Social,6,0.14583333333333331,en,DFO_Gulf_tweeter
12,778983006866399232,2016-09-22 15:43:16,['https://t.co/EOkxlJRVHg'],The @CCG_GCC Teleost crew control the trawl while scientists analyse the catches #SeptSurvey @DFO_Science https://t.co/EOkxlJRVHg,Teleost crew control trawl scientists analyse catches SeptSurvey https co EOkxlJRVHg,['#SeptSurvey'],Social,5,0.0,en,DFO_Gulf_tweeter
13,780462485325438978,2016-09-26 17:42:11,['https://t.co/fwma7IEvXm'],"Exceptional catch: female cod, fished 86 m below the surface off the coast of Miscou. Weight: 9 kg. Length: 99 cm #SeptSurvey @DFO_Science https://t.co/fwma7IEvXm",Exceptional catch female cod fished 86 surface coast Miscou Weight kg Length 99 cm SeptSurvey https co fwma7IEvXm,['#SeptSurvey'],Environmental,5,0.3333333333333333,en,DFO_Gulf_tweeter
14,778599559568195584,2016-09-21 14:19:35,['https://t.co/lRejaFT'],"Once harvested, each fish is identified, measured and weighted individually #SeptSurvey @DFO_Science https://t.co/lRejaFT188",harvested fish identified measured weighted individually SeptSurvey https co lRejaFT188,['#SeptSurvey'],Social,4,0.0,en,DFO_Gulf_tweeter
