,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,780424836237692929,2016-09-26 15:12:35,[],"RT @ENERGYSTAR: #EcoMonday tip: on cool fall days, open blinds to let in sunlight. You'll lessen demand on your #HVAC system &amp; save on your…",RT ENERGYSTAR EcoMonday tip cool fall days open blinds let sunlight lessen demand HVAC system amp save,"['#EcoMonday', '#HVAC']",Economical,18,0.175,en,ENERGYSTAR_CAN_tweeter
1,780419714602467328,2016-09-26 14:52:14,['https://t.co/Dw8tkiiArR'],"RT @NRCan: Making #EnergyEfficient decisions just became that much easier. Welcome to Twitter, @ENERGYSTAR_CAN! https://t.co/Dw8tkiiArR",RT NRCan Making EnergyEfficient decisions became much easier Welcome Twitter https co Dw8tkiiArR,['#EnergyEfficient'],Economical,13,0.6,en,ENERGYSTAR_CAN_tweeter
2,781856901860655104,2016-09-30 14:03:06,['https://t.co/2qRyVwvEtR'],RT if you recognize our little blue symbol! #ENERGYSTARCanada https://t.co/2qRyVwvEtR,RT if you recognize our little blue symbol ENERGYSTARCanada https co 2qRyVwvEtR,['#ENERGYSTARCanada'],Economical,13,-0.09375,en,ENERGYSTAR_CAN_tweeter
3,776150381671874560,2016-09-14 20:07:25,['https://t.co/enEagV94Vo'],ENERGY STAR Canada has just arrived in the Twittersphere! #EnergyEfficiency #SaveMoney https://t.co/enEagV94Vo,ENERGY STAR Canada arrived Twittersphere EnergyEfficiency SaveMoney https co enEagV94Vo,"['#EnergyEfficiency', '#SaveMoney']",Economical,11,0.0,en,ENERGYSTAR_CAN_tweeter
4,776151978825093120,2016-09-14 20:13:46,['https://t.co/EM3RPMwBUn'],"We’re the little blue symbol you see on appliances, electronics and household items. #EnergyEfficiency #SaveMoney https://t.co/EM3RPMwBUn",little blue symbol see appliances electronics household items EnergyEfficiency SaveMoney https co EM3RPMwBUn,"['#EnergyEfficiency', '#SaveMoney']",Economical,8,-0.09375,en,ENERGYSTAR_CAN_tweeter
5,781229819266818048,2016-09-28 20:31:18,['https://t.co/R7svzu961Z'],"Yes, be sure to follow us for that and more useful information on our ENERGY STAR Program #WednesdayWisdom https://t.co/R7svzu961Z",Yes sure follow us useful information ENERGY STAR Program WednesdayWisdom https co R7svzu961Z,['#WednesdayWisdom'],Economical,7,0.43333333333333335,en,ENERGYSTAR_CAN_tweeter
6,776830011328368640,2016-09-16 17:08:02,['https://t.co/uV7GNVKp66'],"Happy #FollowFriday to our U.S. partners @ENERGYSTAR, @ENERGYSTARHomes and @EPA! #EnergyEfficiency https://t.co/uV7GNVKp66",Happy FollowFriday partners ENERGYSTAR ENERGYSTARHomes EPA EnergyEfficiency https co uV7GNVKp66,"['#FollowFriday', '#EnergyEfficiency']",Economical,6,1.0,en,ENERGYSTAR_CAN_tweeter
7,777950562511949824,2016-09-19 19:20:42,['https://t.co/e1hlaUpyyE'],Thank you @ENERGYSTAR we are excited too! https://t.co/e1hlaUpyyE,Thank ENERGYSTAR excited https co e1hlaUpyyE,[],Economical,5,0.46875,en,ENERGYSTAR_CAN_tweeter
8,780044558411374592,2016-09-25 14:01:29,['https://t.co/fyJa98V99i'],#DYK our program is powered by a voluntary partnership between industry and GoC? #EnergyEfficiency https://t.co/fyJa98V99i,DYK program powered voluntary partnership industry GoC EnergyEfficiency https co fyJa98V99i,"['#DYK', '#EnergyEfficiency']",Economical,5,0.0,en,ENERGYSTAR_CAN_tweeter
9,777145398377013249,2016-09-17 14:01:16,"['https://t.co/wJusUwZbPb', 'https://t.co/irTeeDvbRg']",Trust the little blue symbol! We test and certify products to ensure high #EnergyEfficiency https://t.co/wJusUwZbPb https://t.co/irTeeDvbRg,Trust little blue symbol test certify products ensure high EnergyEfficiency https co wJusUwZbPb https co irTeeDvbRg,['#EnergyEfficiency'],Economical,4,-0.009166666666666663,en,ENERGYSTAR_CAN_tweeter
10,781917210415685632,2016-09-30 18:02:44,[],"#FactFriday: since 2005 ENERGY STAR certified homes have delivered energy savings equivalent to taking 12,000 cars off the road",FactFriday since 2005 ENERGY STAR certified homes delivered energy savings equivalent taking 12 000 cars road,['#FactFriday'],Economical,4,0.0,en,ENERGYSTAR_CAN_tweeter
11,781192348726419457,2016-09-28 18:02:24,['https://t.co/CHIbbGuS5'],#EnergyEfficiency matters! &gt;80% of the energy used in a typical home is for space and water heating. https://t.co/CHIbbGuS5c,EnergyEfficiency matters gt 80 energy used typical home space water heating https co CHIbbGuS5c,['#EnergyEfficiency'],Environmental,4,-0.16666666666666666,en,ENERGYSTAR_CAN_tweeter
12,780407282219769857,2016-09-26 14:02:50,['https://t.co/ToV9IrtaO'],#DYK 88% of Canadians prefer buying our certified products? RT if you are one of them! #EnergyEfficiency https://t.co/ToV9IrtaO1,DYK 88 Canadians prefer buying certified products RT one EnergyEfficiency https co ToV9IrtaO1,"['#DYK', '#EnergyEfficiency']",Economical,4,0.0,en,ENERGYSTAR_CAN_tweeter
13,776841996317188096,2016-09-16 17:55:39,"['https://t.co/cNUmAn6A0s', 'https://t.co/jtSezzmgfL']",#DYK that you can choose an ENERGY STAR home? https://t.co/cNUmAn6A0s #EnergyEfficiency https://t.co/jtSezzmgfL,DYK choose ENERGY STAR home https co cNUmAn6A0s EnergyEfficiency https co jtSezzmgfL,"['#DYK', '#EnergyEfficiency']",Economical,3,0.0,en,ENERGYSTAR_CAN_tweeter
14,776445325179363332,2016-09-15 15:39:25,['https://t.co/EnKb387aE'],Products with the ENERGY STAR symbol meet technical specifications for high efficiency in Canada! https://t.co/EnKb387aEd,Products ENERGY STAR symbol meet technical specifications high efficiency Canada https co EnKb387aEd,[],Economical,3,0.1,en,ENERGYSTAR_CAN_tweeter
15,781494400010575872,2016-09-29 14:02:39,['https://t.co/CwdtpdzAEl'],#DYK if you use less energy you reduce greenhouse gas emissions—the main cause of #ClimateChange today? https://t.co/CwdtpdzAEl,DYK use less energy reduce greenhouse gas main cause ClimateChange today https co CwdtpdzAEl,"['#DYK', '#ClimateChange']",Environmental,3,0.0,en,ENERGYSTAR_CAN_tweeter
16,778575496019898368,2016-09-21 12:43:58,"['https://t.co/RJEYLVegLv', 'https://t.co/XRtDE7VZgn']",Great tip! For more info visit: https://t.co/RJEYLVegLv https://t.co/XRtDE7VZgn,Great tip info visit https co RJEYLVegLv https co XRtDE7VZgn,[],Environmental,3,0.75,en,ENERGYSTAR_CAN_tweeter
17,780467581467693056,2016-09-26 18:02:26,"['https://t.co/kttY23Fjxo', 'https://t.co/S7ULqShgtI']",Don’t be left in the dark! Check out ENERGY STAR certified lightbulbs here: https://t.co/kttY23Fjxo #EnergyEfficiency https://t.co/S7ULqShgtI,left dark Check ENERGY STAR certified lightbulbs https co kttY23Fjxo EnergyEfficiency https co S7ULqShgtI,['#EnergyEfficiency'],Economical,3,-0.09375,en,ENERGYSTAR_CAN_tweeter
18,778957676982202368,2016-09-22 14:02:37,"['https://t.co/EnKb37PzMF', 'https://t.co/TjHCkzQyKh']",Our certified products are the top 15-30% best energy performers in Canada. https://t.co/EnKb37PzMF #EnergyEfficiency https://t.co/TjHCkzQyKh,certified products top 15 30 best energy performers Canada https co EnKb37PzMF EnergyEfficiency https co TjHCkzQyKh,['#EnergyEfficiency'],Environmental,2,0.75,en,ENERGYSTAR_CAN_tweeter
19,781131911003512832,2016-09-28 14:02:14,[],#ENERGYSTARCanada is the simple choice for your home energy needs. Follow us to find out why! #WednesdayWisdom,ENERGYSTARCanada simple choice home energy needs Follow us find WednesdayWisdom,"['#ENERGYSTARCanada', '#WednesdayWisdom']",Environmental,2,0.0,en,ENERGYSTAR_CAN_tweeter
20,780830015185416192,2016-09-27 18:02:37,['https://t.co/uoGVOGFtlW'],Search by different features like model or brand. Check out Product Finder at: https://t.co/uoGVOGFtlW.  Select Canada under “markets” 2/2,Search different features like model brand Check Product Finder https co uoGVOGFtlW Select Canada,[],Environmental,2,0.0,en,ENERGYSTAR_CAN_tweeter
21,780769674812395520,2016-09-27 14:02:51,[],#DYK that ENERGY STAR has a simple online tool that lists every certified make and model available in Canada? #EnergyEfficiency 1/2,DYK ENERGY STAR simple online tool lists every certified make model available Canada EnergyEfficiency,"['#DYK', '#EnergyEfficiency']",Economical,2,0.2,en,ENERGYSTAR_CAN_tweeter
