,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
26,26,788427703858978816,2016-10-18 17:13:07,"['https://t.co/pQX0lGg5hb', 'https://t.\xe2\x80\xa6']",RT @DFO_MPO: Let’s #TalkFishHabitat! #GoC is consulting on the #FisheriesAct. Join the conversation on https://t.co/pQX0lGg5hb ! https://t.…,RT TalkFishHabitat GoC consulting FisheriesAct Join conversation https co pQX0lGg5hb https,"['#TalkFishHabitat', '#GoC', '#FisheriesAct']",44,0,44,unknown,en,0.0,Neutral,DFO_Gulf_tweeter,
37,37,788805595155619840,2016-10-19 18:14:43,['https://t.co\xe2\x80\xa6'],RT @DFO_MPO: Canada’s Marine Protected Areas house several rare underwater species that can’t be found anywhere else on Earth! https://t.co…,RT Marine Protected Areas house several rare underwater species found anywhere else Earth https,[],35,0,35,Environmental,en,0.1875,Neutral,DFO_Gulf_tweeter,"['water', 'marine', 'species']"
56,56,790639328061956096,2016-10-24 19:41:19,['https://t.co/pQX0lGg5hb'],RT @DFO_MPO: Ideas for fish habitat protection in Canada? Have your say on https://t.co/pQX0lGg5hb! #FisheriesAct  #TalkFishHabitat https:/…,RT Ideas fish habitat protection Canada say https co pQX0lGg5hb FisheriesAct TalkFishHabitat https,"['#FisheriesAct', '#TalkFishHabitat']",27,0,27,unknown,en,0.0,Neutral,DFO_Gulf_tweeter,
60,60,788017225894621184,2016-10-17 14:02:01,[],RT @DFO_Science: This #WomensHistoryMonth we honour the extraordinary contributions to oceans research made by our female scientists’ #Beca…,RT WomensHistoryMonth honour extraordinary contributions oceans research made female,"['#WomensHistoryMonth', '#Beca']",25,0,25,Environmental,en,0.16666666666666666,Neutral,DFO_Gulf_tweeter,"['oceans', 'or']"
84,84,786982642029830144,2016-10-14 17:30:57,[],"RT @Min_LeBlanc: Following a request by @rodgercuzner &amp; @markeyking_mp, I've asked that CCG College in Cape Breton be open to house those a…",RT Following request rodgercuzner amp asked CCG College Cape Breton open house,[],19,0,19,unknown,en,0.0,Neutral,DFO_Gulf_tweeter,
110,110,788351078601465856,2016-10-18 12:08:38,['https://t.co/CLvJyAHH\xe2\x80\xa6'],RT @ec_minister: It’s #WasteReductionWeek! Check out @WRWCanada for resources and events happening in your community! https://t.co/CLvJyAHH…,RT WasteReductionWeek Check WRWCanada resources events happening community https co,['#WasteReductionWeek'],16,0,16,Social,en,0.0,Neutral,DFO_Gulf_tweeter,['community']
124,124,789534358982057985,2016-10-21 18:30:34,[],"RT @DFO_Pacific: #BecauseOfHer research, Marine biologist Edith Berkeley shaped Canada as a world authority on polychaetes in the early 190…",RT BecauseOfHer research Marine biologist Edith Berkeley shaped Canada world authority polychaetes early,['#BecauseOfHer'],14,0,14,Environmental,en,0.1,Neutral,DFO_Gulf_tweeter,"['marine', 'or']"
148,148,791322577864105984,2016-10-26 16:56:19,['https://t.co/C6fT4of3Eh'],Florence Albert started her career as a fisheries officer in the Gulf region in 1982 #BecauseofHer #WHM2016 https://t.co/C6fT4of3Eh,Florence Albert started career fisheries officer Gulf region 1982 BecauseofHer WHM2016 https co C6fT4of3Eh,"['#BecauseofHer', '#WHM2016']",5,6,11,Environmental,en,0.0,Neutral,DFO_Gulf_tweeter,"['fisheries ', 'or', 'ice', 'flore']"
173,173,786982659306184704,2016-10-14 17:31:02,[],RT @Min_LeBlanc: The @CCG_GCC will be working with local officials to make rooms available on a priority basis.,RT working local officials make rooms available priority basis,[],9,0,9,Social,en,0.2,Neutral,DFO_Gulf_tweeter,['local']
198,198,784069829640814593,2016-10-06 16:36:29,['https://t.co/yLrZpcf7ym'],RT @NewsroomGC: #GC providing more than $600K for new research to support wild Atlantic salmon recovery https://t.co/yLrZpcf7ym,RT NewsroomGC GC providing 600K new research support wild Atlantic salmon recovery https co yLrZpcf7ym,['#GC'],8,0,8,Environmental,en,0.24545454545454545,Neutral,DFO_Gulf_tweeter,['or']
203,203,784096258570977281,2016-10-06 18:21:30,['https://t.co/owzo6qIl'],RT @DFO_MAR: $100K will go to @CRI_News  to study the population &amp; range of Atlantic salmon in the Miramichi River https://t.co/owzo6qIlD1,RT 100K go study population amp range Atlantic salmon Miramichi River https co owzo6qIlD1,[],8,0,8,Social,en,0.0,Neutral,DFO_Gulf_tweeter,"['ami', 'population']"
285,285,783734974063243264,2016-10-05 18:25:53,['https://t.co/Uend9rwak'],"RT @DFO_MAR: #CCG Marine and Civil Infrastructure (MCI) team working on various range lights in #Miramichi, NB https://t.co/Uend9rwakd",RT CCG Marine Civil Infrastructure MCI team working various range lights Miramichi NB https co Uend9rwakd,"['#CCG', '#Miramichi']",5,0,5,Economical,en,0.0,Neutral,DFO_Gulf_tweeter,['infrastructure']
301,301,784096080430559234,2016-10-06 18:20:48,['https://t.co/owzo6qIl'],RT @DFO_MAR: $250K will go to @SalmonNews to support research on Atlantic salmon migration routes &amp; behaviour https://t.co/owzo6qIlD1,RT 250K go SalmonNews support research Atlantic salmon migration routes amp behaviour https co owzo6qIlD1,[],4,0,4,Environmental,en,0.0,Neutral,DFO_Gulf_tweeter,['or']
297,297,786193691580825600,2016-10-12 13:15:57,['https://t.co/vZGCdqJ4AR'],"The American Plaice is at the right. At the centre is a yellowtail flounder and at the left, a winter flounder #SeptSurvey https://t.co/vZGCdqJ4AR",American Plaice right centre yellowtail flounder left winter flounder SeptSurvey https co vZGCdqJ4AR,['#SeptSurvey'],2,2,4,Environmental,en,0.09523809523809523,Neutral,DFO_Gulf_tweeter,"['ice', 'mer']"
334,334,785895630396882945,2016-10-11 17:31:34,['https://t.co/unNNAdzvBG'],Do you know your flat fish? Which one is the American plaice? Look out for the answer tomorrow! #TriviaTuesday #SeptSurvey https://t.co/unNNAdzvBG,know flat fish one American plaice Look answer tomorrow TriviaTuesday SeptSurvey https co unNNAdzvBG,"['#TriviaTuesday', '#SeptSurvey']",2,1,3,Environmental,en,-0.0125,Neutral,DFO_Gulf_tweeter,"['or', 'ice', 'mer']"
341,341,784070288501866496,2016-10-06 16:38:18,[],.@umoncton will receive $74K to develop technology aimed at improving the accuracy of river temperature forecasting,umoncton receive 74K develop technology aimed improving accuracy river temperature forecasting,[],1,2,3,Environmental,en,0.0,Neutral,DFO_Gulf_tweeter,['or']
344,344,784462981304311808,2016-10-07 18:38:44,['https://t.co/bXuAxRrPuf'],#AtlanticSalmon need all the allies they can get. The Atlantic Salmon Research Joint Venture #ASRJV announced yesterday brings them together https://t.co/bXuAxRrPuf,AtlanticSalmon need allies get Atlantic Salmon Research Joint Venture ASRJV announced yesterday brings together https co bXuAxRrPuf,"['#AtlanticSalmon', '#ASRJV']",0,3,3,unknown,en,0.0,Neutral,DFO_Gulf_tweeter,
345,345,784096316729200645,2016-10-06 18:21:44,['https://\xe2\x80\xa6'],RT @DFO_MAR: $26.5K will go to @UNB to increase knowledge of sea lice infections in Atlantic salmon &amp; help create recovery methods https://…,RT 26 5K go UNB increase knowledge sea lice infections Atlantic salmon amp help create recovery methods https,[],3,0,3,Environmental,en,0.0,Neutral,DFO_Gulf_tweeter,['ice']
