,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
15,15,787018718429741056,2016-10-14 19:54:19,[],RT @JustinTrudeau: Jim Prentice nous laisse le fruit de son travail pour les Albertains et les Canadiens. Mes sincères condoléances.https:/…,RT JustinTrudeau Jim Prentice nous laisse le fruit de son travail pour les Albertains et les Canadiens Mes res ances https,[],60,0,60,Environmental,fr,0.0,Neutral,GCAutochtones_tweeter,"['eau', 'ice']"
124,124,783726783904481280,2016-10-05 17:53:20,['https://t.co/OdKaIG8Vb'],RT @PMcanadien: Le PM Trudeau remercie ces leaders inspirants qui contribuent à un monde meilleur: https://t.co/OdKaIG8VbD #JourneeMondiale…,RT PMcanadien Le PM Trudeau remercie ces leaders inspirants qui contribuent un monde meilleur https co OdKaIG8VbD,['#JourneeMondiale'],18,0,18,Environmental,fr,0.0,Neutral,GCAutochtones_tweeter,"['eau', 'mer']"
144,144,786589949445439488,2016-10-13 15:30:32,"['https://t.co/riHB7rGS1r', 'https://t.co/WtvI29jUwl']",Kwé! Mé talwléin? Bonjour! Comment ça va? Apprenez un nouveau mot en #mikmaq chaque jour avec @Pemaptoq : https://t.co/riHB7rGS1r https://t.co/WtvI29jUwl,Bonjour Comment va Apprenez un nouveau mot en mikmaq chaque jour avec Pemaptoq https co riHB7rGS1r https co WtvI29jUwl,['#mikmaq'],11,5,16,Environmental,fr,0.0,Neutral,GCAutochtones_tweeter,['eau']
159,159,787030674792386562,2016-10-14 20:41:49,"['https://t.co/X1yKykSCCV', 'https://t.co/EWY4XiPqQi']","#GdC, É.-U. et Mexique unis dans la lutte contre la violence envers les filles et les #femmesautochtones. https://t.co/X1yKykSCCV https://t.co/EWY4XiPqQi",GdC et Mexique unis dans la lutte contre la violence envers les filles et les femmesautochtones https co X1yKykSCCV https co EWY4XiPqQi,"['#GdC', '#femmesautochtones']",9,6,15,Social,fr,0.0,Neutral,GCAutochtones_tweeter,"['femmes', 'autochtones']"
198,198,789108939170406400,2016-10-20 14:20:06,['https://t.co/v3isQMTgr3'],RT @HistoricaCanada: Une nouvelle Minute du patrimoine : « Kenojuak Ashevak » raconte l’histoire de l'artiste inuite https://t.co/v3isQMTgr3,RT HistoricaCanada Une nouvelle Minute du patrimoine Kenojuak Ashevak raconte histoire de artiste inuite https co v3isQMTgr3,[],13,0,13,Social,fr,0.0,Neutral,GCAutochtones_tweeter,['inuit']
204,204,785872842596442112,2016-10-11 16:01:01,"['https://t.co/6J38w6up2P', 'https://t.co/lCh3Fk71h']","Roberta Jamieson, 1ère femme #autochtone au Can à obtenir un diplôme en droit en 1976 #GrâceÀElle #histoiredesfemmes https://t.co/6J38w6up2P https://t.co/lCh3Fk71hc",Roberta Jamieson femme autochtone au obtenir un en droit en 1976 Elle histoiredesfemmes https co 6J38w6up2P https co lCh3Fk71hc,"['#autochtone', '#Gr', '#histoiredesfemmes']",8,5,13,Social,fr,0.0,Neutral,GCAutochtones_tweeter,"['ami', 'femmes']"
246,246,792735439312551940,2016-10-30 14:30:31,"['https://t.co/SBOAHoOZaH', 'https://t.co/xqEfIT2n45']",Le nbre de femmes chefs de #PN est à la hausse au Canada. Ce qui se passe en Ontario: https://t.co/SBOAHoOZaH #histoiredesfemmes #GrâceÀElle https://t.co/xqEfIT2n45,Le nbre de femmes chefs de PN est la hausse au Canada Ce qui se passe en Ontario https co SBOAHoOZaH histoiredesfemmes Elle https co xqEfIT2n45,"['#PN', '#histoiredesfemmes', '#Gr']",7,5,12,Social,fr,0.0,Neutral,GCAutochtones_tweeter,['femmes']
252,252,789865968294125570,2016-10-22 16:28:16,['https://t.c\xe2\x80\xa6'],RT @BiblioArchives: 22 octobre 1844: naissance de #LouisRiel près de la ville actuelle de #Winnipeg au Manitoba. #NationMétisse https://t.c…,RT BiblioArchives 22 octobre 1844 naissance de LouisRiel de la ville actuelle de Winnipeg au Manitoba tisse https,"['#LouisRiel', '#Winnipeg', '#NationM']",12,0,12,Social,fr,0.0,Neutral,GCAutochtones_tweeter,['archives']
259,259,792058144587407360,2016-10-28 17:39:12,[],RT @Transports_gc: #Pneus d’hiver : plus efficaces que pneus toutes #saisons en dessous de 7°C. Installez-les dès qu’il fait froid! https:/…,RT Pneus hiver plus efficaces que pneus toutes saisons en dessous de Installez les il fait froid https,"['#Pneus', '#saisons']",12,0,12,unknown,fr,0.0,Neutral,GCAutochtones_tweeter,
266,266,783721691776217088,2016-10-05 17:33:06,"['https://t.co/JGzw8LU8nB', 'https://t.co/SewrQuz9KF']",RT @RadioCanadaInfo: Des rituels ancestraux pour garder les jeunes Autochtones à l'école https://t.co/JGzw8LU8nB https://t.co/SewrQuz9KF,RT RadioCanadaInfo Des rituels ancestraux pour garder les jeunes Autochtones cole https co JGzw8LU8nB https co SewrQuz9KF,[],12,0,12,Social,fr,0.0,Neutral,GCAutochtones_tweeter,"['jeunes', 'autochtones']"
319,319,783384588865376256,2016-10-04 19:13:35,['https://t.co\xe2\x80\xa6'],"RT @Min_AANC: Avec @MinJusticeFr + @PMcanadien, en mémoire des #FFADA, de tout cœur avec #femmesautochtones et leurs familles. https://t.co…",RT Avec MinJusticeFr PMcanadien en moire des FFADA de tout ur avec femmesautochtones et leurs familles https,"['#FFADA', '#femmesautochtones']",10,0,10,Social,fr,0.0,Neutral,GCAutochtones_tweeter,"['justice', 'ami', 'femmes', 'autochtones', 'famille']"
320,320,786911039019507713,2016-10-14 12:46:26,"['https://t.co/Epl1OzYxpq', 'https://t.co/1YnhIJdrZj']",RT @RC_Arts: Une première maison de disques voit le jour au Nunavut https://t.co/Epl1OzYxpq https://t.co/1YnhIJdrZj,RT Une maison de disques voit le jour au Nunavut https co Epl1OzYxpq https co 1YnhIJdrZj,[],10,0,10,unknown,fr,0.0,Neutral,GCAutochtones_tweeter,
324,324,792380722518654980,2016-10-29 15:01:00,"['https://t.co/yJe7aqKWI5', 'https://t.co/ORblmkWUKb']","Traditionnellement, les #Mikmaq documentaient leur histoire sur la pierre à l'aide de pétroglyphes : https://t.co/yJe7aqKWI5 @ParcsCanada https://t.co/ORblmkWUKb",Traditionnellement les Mikmaq documentaient leur histoire sur la pierre aide de troglyphes https co yJe7aqKWI5 ParcsCanada https co ORblmkWUKb,['#Mikmaq'],3,7,10,Environmental,fr,0.0,Neutral,GCAutochtones_tweeter,"['parc', 'or']"
400,400,792848831738150913,2016-10-30 22:01:06,"['https://t.co/yHx4yw6wn', 'https://t.co/OMjsLr69h']",C'est la Semaine des #OursPolaires! Saviez-vous que le Canada abrite 60% de la population mondiale d'ours polaires? https://t.co/yHx4yw6wn2 https://t.co/OMjsLr69h9,Semaine OursPolaires Saviez Canada abrite 60 population mondiale ours polaires https co yHx4yw6wn2 https co OMjsLr69h9,['#OursPolaires'],5,4,9,Social,fr,0.0,Neutral,GCAutochtones_tweeter,['population']
397,397,783664332001468417,2016-10-05 13:45:11,['https://t.co/MjVJm0Cgph'],Mois de l'#histoiredesfemmes : préparez-vous à rencontrer des #femmesautochtones extra! @Femmes_Canada #GrâceÀElle https://t.co/MjVJm0Cgph,Mois de histoiredesfemmes parez vous rencontrer des femmesautochtones extra Elle https co MjVJm0Cgph,"['#histoiredesfemmes', '#femmesautochtones', '#Gr']",3,6,9,Social,fr,0.0,Neutral,GCAutochtones_tweeter,"['femmes', 'autochtones']"
453,453,788001237182648320,2016-10-17 12:58:29,['https://t.\xe2\x80\xa6'],RT @Femmes_Canada: Mary Two-Axe Early a revendiqué l’égalité pour les femmes autochtones dans la Loi sur les Indiens #GrâceàElle https://t.…,RT Mary Two Axe Early pour les femmes autochtones dans la Loi sur les Indiens Elle https,['#Gr'],8,0,8,Social,fr,0.1,Neutral,GCAutochtones_tweeter,"['femmes', 'autochtones']"
456,456,788801182340972544,2016-10-19 17:57:11,['https://t.co/RnvCrMAtKI'],RT @SocDevSoc: Le ministre @jyduclos partage ses pensées au sujet du Nouvel agenda urbain @Habitat3UN #Habitat3 🇨🇦🇪🇨 https://t.co/RnvCrMAtKI,RT SocDevSoc Le ministre jyduclos partage ses es au sujet du Nouvel agenda urbain Habitat3UN Habitat3 https co RnvCrMAtKI,['#Habitat3'],8,0,8,Economical,fr,0.0,Neutral,GCAutochtones_tweeter,['ministre']
473,473,789487515979943937,2016-10-21 15:24:26,[],RT @PMcanadien: Le premier ministre Trudeau rencontre des étudiants et des employés du @MohawkCollege lors de sa visite au campus de Stoney…,RT PMcanadien Le premier ministre Trudeau rencontre des tudiants et des du MohawkCollege lors de sa visite au campus de,[],8,0,8,Environmental,fr,0.0,Neutral,GCAutochtones_tweeter,"['eau', 'or']"
