,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
11,11,790606545805541376,2016-10-24 17:31:03,[],"RT @Transports_gc: Solide chaîne d'approvisionnement par train essentielle. Min. Garneau, table ronde avec repr. du secteur cdn du grain ht…",RT Solide ne approvisionnement par train essentielle Min Garneau table ronde avec repr du secteur cdn du grain,[],4,0,4,Economical,fr,0.0,Neutral,OTC_gc_tweeter,['secteur']
30,30,786919869728129024,2016-10-14 13:21:31,['https://t\xe2\x80\xa6'],RT @salledepresseGC: L'@ACEE_CEAA et l'@OTC_gc séances d'info sur l'examen du projet #PôleLogistiqueMilton : 26-27 oct. à #Milton https://t…,RT salledepresseGC et ances info sur examen du projet leLogistiqueMilton 26 27 oct Milton https,"['#P', '#Milton']",3,0,3,unknown,fr,0.0,Neutral,OTC_gc_tweeter,
35,35,791687739263578112,2016-10-27 17:07:20,[],"RT @acsta_gc: Le temps froid est arrivé. Habillez-vous chaudement, mais n’oubliez pas d’enlever les vêtements d’extérieur au #contrôleACSTA…",RT Le temps froid est Habillez vous chaudement mais oubliez pas enlever les rieur au,['#contr'],2,0,2,unknown,fr,0.0,Neutral,OTC_gc_tweeter,
71,71,790906571521949696,2016-10-25 13:23:15,"['https://t.co/VUSxUVx4CW', 'https://t.co/apX7t5Xd1H']",#MardiVoyage Vous voyagez avec un animal aidant? Ces renseignements pourraient vous intéresser : https://t.co/VUSxUVx4CW #voyage #Canada https://t.co/apX7t5Xd1H,MardiVoyage Vous voyagez avec un animal aidant Ces renseignements pourraient vous resser https co VUSxUVx4CW voyage Canada https co apX7t5Xd1H,"['#MardiVoyage', '#voyage', '#Canada']",0,1,1,unknown,fr,0.0,Neutral,OTC_gc_tweeter,
72,72,789496418193006592,2016-10-21 15:59:48,[],"RT @icisaskatchewan: Transport du grain :  les ministres fédéraux des Transports, Marc Garneau, et de l'Agriculture, Lawrence MacAulay... h…",RT icisaskatchewan Transport du grain les ministres raux des Transports Marc Garneau et de Agriculture Lawrence MacAulay,[],1,0,1,Environmental,fr,0.0,Neutral,OTC_gc_tweeter,"['eau', 'agriculture', 'or']"
264,264,786578005716004864,2016-10-13 14:43:05,['https://t.co/IlgtwRVONA'],Il existe plusieurs façons de régler un problème. Apprenez-en davantage sur nos modes alternatifs de règlement : https://t.co/IlgtwRVONA,Il existe plusieurs ons de gler un Apprenez en davantage sur nos modes alternatifs de glement https co IlgtwRVONA,[],0,0,0,unknown,fr,0.0,Neutral,OTC_gc_tweeter,
273,273,790603879402594304,2016-10-24 17:20:28,['https://t.co/wc6gVaTSjP'],"MT: Dans une semaine, le nouveau terminal international de Calgary ouvrira ses portes. Renseignements ici : https://t.co/wc6gVaTSjP",MT semaine nouveau terminal international Calgary ouvrira portes Renseignements ici https co wc6gVaTSjP,[],0,0,0,Environmental,fr,0.0,Neutral,OTC_gc_tweeter,"['eau', 'or']"
272,272,790169716555935745,2016-10-23 12:35:15,['https://t.co/7MkHFDvGwB'],Vous avez des #allergies et prévoyez faire un #voyage? Découvrez nos conseils utiles : https://t.co/7MkHFDvGwB #Canada,Vous avez des allergies et voyez faire un voyage couvrez nos conseils utiles https co 7MkHFDvGwB Canada,"['#allergies', '#voyage', '#Canada']",0,0,0,Environmental,fr,0.0,Neutral,OTC_gc_tweeter,['air']
269,269,789121732120543232,2016-10-20 15:10:56,['https://t.co/Cvjb0blafL'],Le service de médiation fournit l'occasion d'engager une discussion fructueuse en face à face : https://t.co/Cvjb0blafL #MuniCan #AgCan,Le service de diation fournit occasion engager une discussion fructueuse en face face https co Cvjb0blafL MuniCan AgCan,"['#MuniCan', '#AgCan']",0,0,0,Environmental,fr,0.0,Neutral,OTC_gc_tweeter,['ice']
268,268,788462808488931329,2016-10-18 19:32:37,"['https://t.co/fKH0bDACzB', 'https://t.co/pFM191wYEK']",LSV? Nous pouvons apporter de l'aide en ce qui concerne les plaintes et les différends liés au transport maritime : https://t.co/fKH0bDACzB https://t.co/pFM191wYEK,LSV Nous pouvons apporter de aide en ce qui concerne les plaintes et les rends au transport maritime https co fKH0bDACzB https co pFM191wYEK,[],0,0,0,Economical,fr,0.0,Neutral,OTC_gc_tweeter,['transport']
