,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
0,0,793478400417656833,2016-11-01 15:42:47,['https://t.co/gbohCQNnkX'],"RT @VeteransENG_CA: This November, place a poppy on your profile picture to honour, thank and #RememberThem https://t.co/gbohCQNnkX https:/…",RT November place poppy profile picture honour thank RememberThem https co gbohCQNnkX https,['#RememberThem'],2794,0,2794,unknown,en,0.0,Neutral,DFO_MPO_tweeter,
3,3,795649269705437185,2016-11-07 15:29:03,[],"RT @CanadianPM: During Veterans’ Week, we pay tribute to more than 2.3M Canadians who have served in uniform throughout our history. #Remem…",RT CanadianPM Week pay tribute 3M Canadians served uniform throughout history,['#Remem'],841,0,841,Environmental,en,0.5,Positive,DFO_MPO_tweeter,['or']
4,4,798983157273870337,2016-11-16 20:16:43,['https://t.co/t39QWletBr'],#GoC’s new #Arctic marine protected area was designated thanks to collaboration with Inuvialuit &amp; Indigenous traditional knowledge https://t.co/t39QWletBr,new Arctic marine protected area designated thanks collaboration Inuvialuit amp Indigenous traditional knowledge https co t39QWletBr,"['#GoC', '#Arctic']",195,344,539,Social,en,0.11212121212121212,Neutral,DFO_MPO_tweeter,"['collaboration', 'indigenous']"
26,26,795748473018732545,2016-11-07 22:03:14,['https://t.co/\xe2\x80\xa6'],RT @Transport_gc: .@CanadianPM &amp; Min. #Garneau announce Canada’s #OceansProtectionPlan to improve #MarineSafety on #OurCoasts https://t.co/…,RT CanadianPM amp Min Garneau announce OceansProtectionPlan improve MarineSafety OurCoasts https co,"['#Garneau', '#OceansProtectionPlan', '#MarineSafety', '#OurCoasts']",218,0,218,Environmental,en,0.0,Neutral,DFO_MPO_tweeter,"['eau', 'coasts', 'oceans', 'marine', 'coast']"
30,30,797179983701622784,2016-11-11 20:51:33,['https://t.co/PHboOJ\xe2\x80\xa6'],"RT @VeteransENG_CA: Today, we join the tens of thousands of Canadians as they gather to honour the fallen #RememberThem https://t.co/PHboOJ…",RT Today join tens thousands Canadians gather honour fallen RememberThem https co,['#RememberThem'],185,0,185,unknown,en,0.0,Neutral,DFO_MPO_tweeter,
39,39,797179512299601921,2016-11-11 20:49:41,[],"RT @CanadianPM: ""Today, we stand sombre and silent, with poppies close to our hearts, and take the time to remember."" #RememberThem https:/…",RT CanadianPM Today stand sombre silent poppies close hearts take time remember RememberThem https,['#RememberThem'],156,0,156,unknown,en,0.0,Neutral,DFO_MPO_tweeter,
45,45,796074126452621312,2016-11-08 19:37:16,[],RT @VeteransENG_CA: Today is #AboriginalVeteransDay. We thank the brave Indigenous people who have served in the military over the yrs. htt…,RT Today AboriginalVeteransDay thank brave Indigenous people served military yrs,['#AboriginalVeteransDay'],144,0,144,Social,en,0.35000000000000003,Positive,DFO_MPO_tweeter,['indigenous']
82,82,793518079280091137,2016-11-01 18:20:27,['https://t.co/tI9w\xe2\x80\xa6'],"RT @VeteransENG_CA: Veterans’ Week, Nov. 5-11-How will you remember? Visit our website for info &amp; resources #RememberThem https://t.co/tI9w…",RT Week Nov 11 remember Visit website info amp resources RememberThem https co,['#RememberThem'],89,0,89,Environmental,en,0.0,Neutral,DFO_MPO_tweeter,['resources']
85,85,795762855316455424,2016-11-07 23:00:23,[],RT @CanadianPM: PM Trudeau &amp; Min. Garneau announce a $1.5B national Oceans Protection Plan to ensure that our coasts are protected: https:/…,RT CanadianPM PM Trudeau amp Min Garneau announce 5B national Oceans Protection Plan ensure coasts protected https,[],88,0,88,Environmental,en,0.0,Neutral,DFO_MPO_tweeter,"['coasts', 'oceans', 'eau', 'coast']"
109,109,799355141744799744,2016-11-17 20:54:51,"['https://t.co/115xnenWzv', 'https://t.co/rxh8GEWvBx']",Canada is happy to welcome it’s second #Arctic MPA in the Beaufort Sea #NWT https://t.co/115xnenWzv https://t.co/rxh8GEWvBx,Canada happy welcome second Arctic MPA Beaufort Sea NWT https co 115xnenWzv https co rxh8GEWvBx,"['#Arctic', '#NWT']",39,41,80,Environmental,en,0.5333333333333333,Positive,DFO_MPO_tweeter,"['eau', 'or']"
114,114,793469771790639104,2016-11-01 15:08:30,"['https://t.co/ZF4HvemxQB', 'https://t.co/kptlHUpqJp']",RT @VeteransENG_CA: Observe two minutes of silence on November 11th #RememberThem https://t.co/ZF4HvemxQB https://t.co/kptlHUpqJp,RT Observe two minutes silence November 11th RememberThem https co ZF4HvemxQB https co kptlHUpqJp,['#RememberThem'],78,0,78,unknown,en,0.0,Neutral,DFO_MPO_tweeter,
120,120,794265053306437632,2016-11-03 19:48:40,"['https://t.co/pQX0lGg5hb', 'https://t.co/tdooPILwmv']",Have your say on the #FisheriesAct from now until Nov 25. https://t.co/pQX0lGg5hb #TalkFishHabitat https://t.co/tdooPILwmv,say FisheriesAct Nov 25 https co pQX0lGg5hb TalkFishHabitat https co tdooPILwmv,"['#FisheriesAct', '#TalkFishHabitat']",48,29,77,unknown,en,0.0,Neutral,DFO_MPO_tweeter,
148,148,798982032437215237,2016-11-16 20:12:15,['https://t.co/7d8R2lAeuO'],RT @NewsroomGC: #DFO and #GoC proudly announce a new marine protected area in the #Arctic https://t.co/7d8R2lAeuO,RT NewsroomGC DFO GoC proudly announce new marine protected area Arctic https co 7d8R2lAeuO,"['#DFO', '#GoC', '#Arctic']",67,0,67,Environmental,en,0.4681818181818182,Positive,DFO_MPO_tweeter,['marine']
167,167,800760272088612864,2016-11-21 17:58:20,"['https://t.co/pQX0lGg5hb', 'https://t.co/3th7NiBo9v']",It’s not too late to join the conversation on the #FisheriesAct. 5 days left to participate #TalkFishHabitat https://t.co/pQX0lGg5hb https://t.co/3th7NiBo9v,late join conversation FisheriesAct days left participate TalkFishHabitat https co pQX0lGg5hb https co 3th7NiBo9v,"['#FisheriesAct', '#TalkFishHabitat']",40,21,61,unknown,en,-0.15,Neutral,DFO_MPO_tweeter,
170,170,793462511999848448,2016-11-01 14:39:39,[],RT @environmentca: Canada has approximately a quarter of the world’s remaining #wetlands.  Let’s help keep it that way! #Conservation https…,RT environmentca Canada approximately quarter remaining wetlands help keep way Conservation,"['#wetlands', '#Conservation']",60,0,60,Environmental,en,-0.5,Negative,DFO_MPO_tweeter,"['conservation', 'wetlands', 'lands']"
173,173,796073922923995138,2016-11-08 19:36:28,['https://t.co/MlPMZIxBmV'],RT @VeteransENG_CA: Today's Honour Roll recognizes 370 Canadians who fell on this day in history. #RememberThem https://t.co/MlPMZIxBmV htt…,RT Today Honour Roll recognizes 370 Canadians fell day history RememberThem https co MlPMZIxBmV,['#RememberThem'],59,0,59,Environmental,en,0.0,Neutral,DFO_MPO_tweeter,['or']
