,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
249,249,802618189746204672,2016-11-26 21:01:03,"['https://t.co/cmYp8JzgjG', 'https://t.co/MN68jbC1Ip']",Don’t stand by while you waste energy. Use certified electronics to cut down on active &amp; standby energy use. https://t.co/cmYp8JzgjG https://t.co/MN68jbC1Ip,stand waste energy Use certified electronics cut active amp standby energy use https co cmYp8JzgjG https co MN68jbC1Ip,[],4,6,10,Economical,en,-0.16296296296296298,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
296,296,795370437530238976,2016-11-06 21:01:04,['https://t.co/8XEpEUOK4Q'],The stats about ENERGY STAR certified washers are anything but washed up! https://t.co/8XEpEUOK4Q,stats ENERGY STAR certified washers anything washed https co 8XEpEUOK4Q,[],4,5,9,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
281,281,796115265742311425,2016-11-08 22:20:45,"['https://t.co/qyujCWsqBV', 'https://t.co/sZTqtNnHw']","Wow! That’s a lot of #savings! For more information on #ENERGYSTARCanada LEDS, visit https://t.co/qyujCWsqBV https://t.co/sZTqtNnHw8",Wow lot savings information ENERGYSTARCanada LEDS visit https co qyujCWsqBV https co sZTqtNnHw8,"['#savings', '#ENERGYSTARCanada']",3,6,9,Economical,en,0.328125,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
320,320,796457787471568897,2016-11-09 21:01:48,['https://t.co/DIjLv1P7TK'],#Builders have flexibility when building #homes to meet ENERGY STAR requirements. Become a certified builder! https://t.co/DIjLv1P7TK,Builders flexibility building homes meet ENERGY STAR requirements Become certified builder https co DIjLv1P7TK,"['#Builders', '#homes']",4,4,8,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
351,351,794555171397312512,2016-11-04 15:01:29,['https://t.co/Sy0iNMQ9bT'],"Every certified #home saves 16 gigajoules of energy per year, equivalent to driving 6,000 kms. #FactFriday! https://t.co/Sy0iNMQ9bT",Every certified home saves 16 gigajoules energy per year equivalent driving 000 kms FactFriday https co Sy0iNMQ9bT,"['#home', '#FactFriday']",6,2,8,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
432,432,794630622610423810,2016-11-04 20:01:18,['https://t.co/NSzlWYj9f'],#DYK 88% of Canadians prefer buying our certified products? RT if you are one of them! #EnergyEfficiency https://t.co/NSzlWYj9fU,DYK 88 Canadians prefer buying certified products RT one EnergyEfficiency https co NSzlWYj9fU,"['#DYK', '#EnergyEfficiency']",6,1,7,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
560,560,799356901200826368,2016-11-17 21:01:51,['https://t.co/EctAHPtyjL'],14 Canadian labs independently test products for compliance with our technical specifications. Trust our certified products! #Savings https://t.co/EctAHPtyjL,14 Canadian labs independently test products compliance technical specifications Trust certified products Savings https co EctAHPtyjL,['#Savings'],1,5,6,unknown,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,
600,600,801093073862324224,2016-11-22 16:00:47,['https://t.co/oe6RMTppnF'],6 days to #CyberMonday! Great opportunity to get ENERGY STAR-certified electronics at a lower price. https://t.co/oe6RMTppnF,days CyberMonday Great opportunity get ENERGY STAR certified electronics lower price https co oe6RMTppnF,['#CyberMonday'],3,3,6,Environmental,en,0.8,Positive,ENERGYSTAR_CAN_tweeter,"['or', 'ice']"
599,599,800443879765909504,2016-11-20 21:01:07,"['https://t.co/Dr3vyYNO0K', 'https://t.co/Vs4ZvaBHtM']","Don’t be left in the cold, be prepared! Check out our guide to help you w/ your heating systems maintenance. #home https://t.co/Dr3vyYNO0K https://t.co/Vs4ZvaBHtM",left cold prepared Check guide help heating systems maintenance home https co Dr3vyYNO0K https co Vs4ZvaBHtM,['#home'],1,5,6,unknown,en,-0.375,Negative,ENERGYSTAR_CAN_tweeter,
563,563,794234156008034304,2016-11-03 17:45:53,[],"RT @ec_minister: #ICYMI: Last week, I looked at #ENERGYSTARCanada products with Min. Carr! Learn why #EnergyEfficiency is important: #CanCl…",RT ICYMI Last week looked ENERGYSTARCanada products Min Carr Learn EnergyEfficiency important,"['#ICYMI', '#ENERGYSTARCanada', '#EnergyEfficiency', '#CanCl']",6,0,6,Economical,en,0.2,Neutral,ENERGYSTAR_CAN_tweeter,"['import', 'energy']"
562,562,798994704255877120,2016-11-16 21:02:36,['https://t.co/6d6grII5cZ'],"Canadians are choosing ENERGY STAR certified #homes for comfort, #EnergyEfficiency, and peace of mind. https://t.co/6d6grII5cZ",Canadians choosing ENERGY STAR certified homes comfort EnergyEfficiency peace mind https co 6d6grII5cZ,"['#homes', '#EnergyEfficiency']",2,4,6,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
535,535,794917513901592580,2016-11-05 15:01:18,"['https://t.co/GJjlZZeqHK', 'https://t.co/F5DEWFrlNT']",Printing double-sided saves paper AND energy! Learn more about how to make your office more #EnergyEfficient here: https://t.co/GJjlZZeqHK https://t.co/F5DEWFrlNT,Printing double sided saves paper energy Learn make office EnergyEfficient https co GJjlZZeqHK https co F5DEWFrlNT,['#EnergyEfficient'],4,2,6,Economical,en,0.5,Positive,ENERGYSTAR_CAN_tweeter,['energy']
557,557,793830387227193345,2016-11-02 15:01:27,"['https://t.co/X8zRrnT9lx', 'https://t.co/0cKy5W4l8S']",Keep the heat in this winter and to help keep your utility bill from climbing! #EnergyEfficiency #Savings https://t.co/X8zRrnT9lx https://t.co/0cKy5W4l8S,Keep heat winter help keep utility bill climbing EnergyEfficiency Savings https co X8zRrnT9lx https co 0cKy5W4l8S,"['#EnergyEfficiency', '#Savings']",2,4,6,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
522,522,802255790274809857,2016-11-25 21:01:00,"['https://t.co/kLiSQbcO', 'https://t.co/u3GVOCizj']",1 month until #Christmas! Start your shopping list by checking out certified products available! #ENERGYSTARCanada https://t.co/kLiSQbcOc0 https://t.co/u3GVOCizj0,month Christmas Start shopping list checking certified products available ENERGYSTARCanada https co kLiSQbcOc0 https co u3GVOCizj0,"['#Christmas', '#ENERGYSTARCanada']",2,4,6,Economical,en,0.5,Positive,ENERGYSTAR_CAN_tweeter,['energy']
514,514,795294970265686016,2016-11-06 16:01:11,"['https://t.co/XUyVlqh7uw', 'https://t.co/D7zwJtxXoA']","Sunday chores got you down? An ENERGY STAR certified clothes washer can save you energy, water and cash! https://t.co/XUyVlqh7uw https://t.co/D7zwJtxXoA",Sunday chores got ENERGY STAR certified clothes washer save energy water cash https co XUyVlqh7uw https co D7zwJtxXoA,[],2,4,6,Environmental,en,-0.19444444444444448,Neutral,ENERGYSTAR_CAN_tweeter,"['water', 'or']"
504,504,793467995607732226,2016-11-01 15:01:26,"['https://t.co/FrGNMTYi2r', 'https://t.co/5dyD0T6Ysg']",Products with the ENERGY STAR symbol meet technical specifications for high efficiency in Canada! https://t.co/FrGNMTYi2r https://t.co/5dyD0T6Ysg,Products ENERGY STAR symbol meet technical specifications high efficiency Canada https co FrGNMTYi2r https co 5dyD0T6Ysg,[],3,3,6,Economical,en,0.1,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
641,641,796828042899423233,2016-11-10 21:33:04,['https://t.co/IHsLVB56Sg'],So many coupons for ENERGY STAR certified products! #ENERGYSTARCanada #Savings https://t.co/IHsLVB56Sg,many coupons ENERGY STAR certified products ENERGYSTARCanada Savings https co IHsLVB56Sg,"['#ENERGYSTARCanada', '#Savings']",0,5,5,Economical,en,0.625,Positive,ENERGYSTAR_CAN_tweeter,['energy']
