,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,795743783883247616,2016-11-07 21:44:36,['https://t.co/fHH7512mIQ'],.@CanadianPM &amp; Min. #Garneau announce Canada’s #OceansProtectionPlan to improve #MarineSafety on #OurCoasts https://t.co/fHH7512mIQ,CanadianPM amp Min Garneau announce OceansProtectionPlan improve MarineSafety OurCoasts https co fHH7512mIQ,"['#Garneau', '#OceansProtectionPlan', '#MarineSafety', '#OurCoasts']",Environmental,624,0.0,en,Transport_gc_tweeter
1,797087551077183488,2016-11-11 14:44:16,"['https://t.co/6mY00UNGVO', 'https://t.co/V1oxV1GbV3']",RT @VeteransENG_CA: They served for Canada and today Canada remembers them #RememberThem https://t.co/6mY00UNGVO https://t.co/V1oxV1GbV3,RT served Canada today Canada remembers RememberThem https co 6mY00UNGVO https co V1oxV1GbV3,['#RememberThem'],Environmental,291,0.0,en,Transport_gc_tweeter
2,803288135622856705,2016-11-28 17:23:10,[],Congratulations @Bombardier on 1st #CS300 aircraft delivery! #CSeries,Congratulations Bombardier 1st CS300 aircraft delivery CSeries,"['#CS300', '#CSeries']",Environmental,95,0.0,en,Transport_gc_tweeter
3,794872278957912064,2016-11-05 12:01:33,['https://t.co/3u5lD05Ba'],"By 1945, the Dept. of Transport staffed &amp; trained 18K + mariners to serve on 200 Canadian-registered merchant ships. https://t.co/3u5lD05BaU",1945 Dept Transport staffed amp trained 18K mariners serve 200 Canadian registered merchant ships https co 3u5lD05BaU,[],Environmental,91,0.0,en,Transport_gc_tweeter
4,795635607909318656,2016-11-07 14:34:45,['https://t.co/DavxNIe9vp'],"Today, @CanadianPM &amp; Min. #Garneau are in #VanCity to announce new action on #MarineSafety #OurCoasts #PMJT https://t.co/DavxNIe9vp",Today CanadianPM amp Min Garneau VanCity announce new action MarineSafety OurCoasts PMJT https co DavxNIe9vp,"['#Garneau', '#VanCity', '#MarineSafety', '#OurCoasts', '#PMJT']",Environmental,90,0.11818181818181818,en,Transport_gc_tweeter
5,795750950279450624,2016-11-07 22:13:05,[],RT @CanadianPM: PM Trudeau &amp; Min. Garneau announce a $1.5B national Oceans Protection Plan to ensure that our coasts are protected: https:/…,RT CanadianPM PM Trudeau amp Min Garneau announce 5B national Oceans Protection Plan ensure coasts protected https,[],Environmental,88,0.0,en,Transport_gc_tweeter
6,798873766671634432,2016-11-16 13:02:02,['https://t.co/REaLYli4qm'],"It's National Day of Remembrance for Road Crash Victims. Drive safe, today and every day. @RoadVictims_Nov https://t.co/REaLYli4qm",National Day Remembrance Road Crash Victims Drive safe today every day https co REaLYli4qm,[],Social,86,0.5,en,Transport_gc_tweeter
7,794238225741180929,2016-11-03 18:02:03,['https://t.co/CtacJHAu3'],"Minister Garneau presented his plan for safe, reliable &amp; efficient transportation system for years to come. #Transportation2030 https://t.co/CtacJHAu3D",Minister Garneau presented plan safe reliable amp efficient transportation system years come Transportation2030 https co CtacJHAu3D,['#Transportation2030'],Economical,76,0.5,en,Transport_gc_tweeter
8,794158483348320256,2016-11-03 12:45:11,"['https://t.co/L4x4RQfinR', 'https://t.co/snUTgV4sMo']",Minister Garneau presents his strategic plan for the future of transportation in CAN #Transportation2030 https://t.co/L4x4RQfinR https://t.co/snUTgV4sMo,Minister Garneau presents strategic plan future transportation Transportation2030 https co L4x4RQfinR https co snUTgV4sMo,['#Transportation2030'],Social,69,0.0,en,Transport_gc_tweeter
9,804023163080343552,2016-11-30 18:03:54,"['https://t.co/FJ217zWska', 'https://t.co/JNw8PtCHoe']",#OceansProtectionPlan: New prevention and response initiatives to better protect #OurCoasts https://t.co/FJ217zWska https://t.co/JNw8PtCHoe,OceansProtectionPlan New prevention response initiatives better protect OurCoasts https co FJ217zWska https co JNw8PtCHoe,"['#OceansProtectionPlan', '#OurCoasts']",Environmental,64,0.3181818181818182,en,Transport_gc_tweeter
