,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
121,121,2016-11-30_06-26-45,2016-11-30 06:26:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/372ce15140662fa3ef694cd6d367dcb1/5AF67813/t51.2885-15/e35/25009893_1557043731016202_3431526213481398272_n.jpg,"« Le nombril de la semaine... pas aussi décourageant que le lundi, mais pas aussi motivant que le vendredi! »Sur la photo, une bande de Chevêches des terriers essaie de survivre à la semaine comme nous tous! Hou, hou!",Le nombril de la semaine pas aussi courageant que le lundi mais pas aussi motivant que le vendredi nSur la photo une bande de des terriers essaie de survivre la semaine comme nous tous Hou hou,[],2,7,9,unknown,fr,0.0,environnementcan_instagram,,neutral
164,164,2016-11-19_11-03-05,2016-11-19 11:03:05,https://instagram.fyvr3-1.fna.fbcdn.net/vp/42917b7bc0d66e0229d6134be591c3f7/5AFA49B6/t51.2885-15/e35/25014868_1329448373832560_3593473401395609600_n.jpg,"Nous accueillons le Sommet des . C’est un peu comme un , mais sur les . N’est-ce pas génial? Ah, et vous êtes invités! Cliquer sur le lien dans notre biographie pour obtenir plus d’info!",Nous accueillons le Sommet des jeunes est un peu comme un Hackathon mais sur les ChangementsClimatiques est ce pas nial Ah et vous Cliquer sur le lien dans notre biographie pour obtenir plus info,"[""jeunes"",""hackathon"",""changementsclimatiques""]",1,6,7,Social,fr,0.0,environnementcan_instagram,"['jeunes', 'changement', 'change']",neutral
167,167,2016-11-01_09-46-19,2016-11-01 09:46:19,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8be09122290f4a159bce5a745dd9f2d9/5AFDE351/t51.2885-15/e35/24838350_1504249012963981_18891602630017024_n.jpg,"Cet hiver, nous suivrons avec grand intérêt les Courlis corlieu qui s’envolent vers des airs d’hivernage aux températures chaudes. En travaillant avec nos partenaires, nous avons muni ces oiseaux migrateurs d’émetteurs afin de suivre leur parcours de l’île Miscou, au Nouveau-Brunswick (Canada), jusqu’au Brésil. En connaissant leur destination et la durée de leur voyage, les biologistes peuvent mieux prédire les dangers auxquels ces oiseaux pourraient se heurter en cours de route.",Cet hiver nous suivrons avec grand les Courlis corlieu qui envolent vers des airs hivernage aux ratures chaudes En travaillant avec nos partenaires nous avons muni ces oiseaux migrateurs metteurs afin de suivre leur parcours de le Miscou au Nouveau Brunswick Canada au sil En connaissant leur destination et la de leur voyage les biologistes peuvent mieux dire les dangers auxquels ces oiseaux pourraient se heurter en cours de route mountallison usfws,[],1,6,7,Environmental,fr,0.0,environnementcan_instagram,"['parc', 'oiseau', 'air', 'oiseaux', 'eau', 'or']",neutral
168,168,2016-11-23_13-41-35,2016-11-23 13:41:35,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5375a1673b6db53708110365b46e8897/5AFAEE68/t51.2885-15/e35/25009417_381628938944807_4369389767750582272_n.jpg,Reconnaissez-vous quelqu’un ici? C’est Henry de retour de !,Reconnaissez vous un ici est Henry de retour de cop22 ActionClimatJeunesse,"[""cop22"",""actionclimatjeunesse""]",0,7,7,Social,fr,0.0,environnementcan_instagram,['jeunes'],neutral
161,161,2016-11-15_15-26-33,2016-11-15 15:26:33,https://instagram.fyvr3-1.fna.fbcdn.net/vp/09069c3c4b160a1391af8538b039fa80/5AE543A7/t51.2885-15/e35/24327682_1932955353623125_8137608509198958592_n.jpg,"J’ai rencontré , et Dominique Souris avant de faire notre Live de . Quel bonheur de rencontrer ces jeunes leaders! Avez-vous vu la vidéo du Facebook Live? C’est à voir! – Henry ",ai meredithadler maataliii et Dominique Souris avant de faire notre Facebook Live de Marrakech COP22ma Quel bonheur de rencontrer ces jeunes leaders Avez vous vu la du Facebook Live est voir Henry EnCoulisses COP22 COP22Can,"[""facebook"",""marrakech"",""encoulisses"",""cop22"",""cop22can""]",0,7,7,Environmental,fr,0.0,environnementcan_instagram,"['mer', 'air']",neutral
173,173,2016-11-21_13-03-43,2016-11-21 13:03:43,https://instagram.fyvr3-1.fna.fbcdn.net/vp/762923ec059efe93ad1d7b280a1611ad/5AF6CE3A/t51.2885-15/e35/25007830_135149190528893_3441522427740291072_n.jpg,"Êtes-vous un jeune canadien passionné de la prise d'action sur les changements climatiques? Avez-vous des idées et des solutions sur comment nous devons adresser les changements climatiques dans les communautés à travers le pays? Nous voulons vous entendre! Le novembre, la ministre de l’Environnement et du Changement climatique, Catherine McKenna, sera l’hôte d’un dialogue national pour les jeunes sur le thème des changements climatiques. Joignez-vous à nous!",tes vous un jeune canadien de la prise action sur les changements climatiques Avez vous des es et des solutions sur comment nous devons adresser les changements climatiques dans les travers le pays Nous voulons vous entendre nLe 23 novembre la ministre de Environnement et du Changement climatique Catherine McKenna sera te un dialogue national pour les jeunes sur le des changements climatiques Joignez vous nous,[],1,5,6,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'changement climatique', 'climat']",neutral
177,177,2016-11-22_06-58-32,2016-11-22 06:58:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4f00d576095ad1e20285c91ed1a155cf/5AEF587F/t51.2885-15/e35/25005443_1807473872618885_7998330966126886912_n.jpg,"ALERTE GRAND ELORATEUR!Voici Geoff Green, éducateur, entrepreneur social, aventurier et fondateur de . Il a dirigé plus de eéditions dans les régions polaires, de même que de nombreux autres périples vers des coins éloignés et fascinants de la planète - WOUAH! (nous aussi on l’envie!). Geoff est l’un des conférenciers du Sommet national des jeunes sur les . Cliquez sur le lien de sa biographie pour avoir tous les détails sur la façon de participer en ligne.",ALERTE GRAND EXPLORATEUR nVoici Geoff Green ducateur entrepreneur social aventurier et fondateur de studentsonice Il plus de 130 ditions dans les gions polaires de que de nombreux autres riples vers des coins et fascinants de la te WOUAH nous aussi envie Geoff est un des renciers du Sommet national des jeunes sur les ChangementsClimatiques Cliquez sur le lien de sa biographie pour avoir tous les tails sur la de participer en ligne ActionClimatJeunesse,"[""changementsclimatiques"",""actionclimatjeunesse""]",0,6,6,Environmental,fr,0.0,environnementcan_instagram,"['climat', 'or', 'green ', 'ice', 'air']",neutral
205,205,2016-11-10_11-06-40,2016-11-10 11:06:40,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1b953315d441a6f832107b9e62e9cb3/5AE61A07/t51.2885-15/e35/25012561_180687112514013_8889567165724753920_n.jpg,"Combien de négociateurs et d’eerts ce très petit espace peut-il accueillir? C’est le centre névralgique où toute la magie se passe. C’est là où la délégation se réunit avec les autres pays, examine les propositions et discute de la voie à suivre dans la lutte contre les ! -Henry",Combien de gociateurs et experts ce petit espace peut il accueillir est le centre vralgique toute la magie se passe est la gation canadienne se unit avec les autres pays examine les propositions et discute de la voie suivre dans la lutte contre les changementsclimatiques Henry COP22 EnvironnementCan Marrakesh Maroc,"[""canadienne"",""changementsclimatiques"",""cop22"",""environnementcan"",""marrakesh"",""maroc""]",1,4,5,Social,fr,0.0,environnementcan_instagram,"['ami', 'changement', 'change']",neutral
216,216,2016-11-23_13-42-46,2016-11-23 13:42:46,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c7c23d4f88d81b96ded476b63ef36d28/5AE7E493/t51.2885-15/e35/25010062_200681213810730_941572194104770560_n.jpg,Coucou!,Coucou ActionClimatJeunesse,"[""actionclimatjeunesse""]",0,5,5,Social,fr,0.0,environnementcan_instagram,['jeunes'],neutral
212,212,2016-11-23_07-40-27,2016-11-23 07:40:27,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1869c20fffa9c941b357cc45858f744/5ADF7BB2/t51.2885-15/e35/25008375_328661770945365_1258878283374657536_n.jpg,Geoff Green the ... une grande inspiration,Geoff Green studentsonice une grande inspiration ActionClimatJeunesse,"[""actionclimatjeunesse""]",1,4,5,Environmental,fr,0.05803571428571429,environnementcan_instagram,"['green ', 'ice', 'climat']",positive
