,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
4,4,811378960324034560,2016-12-21 01:13:13,[],RT @CanadianPM: Canada will designate all Arctic Canadian waters as indefinitely off limits to future offshore oil and gas licensing.,RT CanadianPM Canada designate Arctic Canadian waters indefinitely limits future offshore oil gas licensing,[],617,0,617,Environmental,en,0.0,Neutral,CCG_GCC_tweeter,"['water', 'gas', 'or', 'ice']"
11,11,811944059191357441,2016-12-22 14:38:43,['https://t.co\xe2\x80\xa6'],RT @Transport_gc: #ICYMI- #Santa renewed his commercial pilot’s license! Watch what happened behind the scenes during his exam https://t.co…,RT ICYMI Santa renewed commercial license Watch happened behind scenes exam https,"['#ICYMI', '#Santa']",515,0,515,Environmental,en,-0.2,Neutral,CCG_GCC_tweeter,"['ice', 'mer']"
48,48,811379106176704512,2016-12-21 01:13:48,[],RT @CanadianPM: The $1.5B Oceans Protection Plan announced by PM Trudeau in November will make Canada a world-leader in marine safety. http…,RT CanadianPM 5B Oceans Protection Plan announced PM Trudeau November make Canada world leader marine safety,[],133,0,133,Environmental,en,0.0,Neutral,CCG_GCC_tweeter,"['eau', 'oceans', 'marine', 'or']"
60,60,805064437287763968,2016-12-03 15:01:33,['https://t.co/Sr1ZlrNzQZ'],Some days are more challenging than others working at #sea in the #CCGAtlanticRegion! #Ice #Freezingspray #Canada150 https://t.co/Sr1ZlrNzQZ,days challenging others working sea CCGAtlanticRegion Ice Freezingspray Canada150 https co Sr1ZlrNzQZ,"['#sea', '#CCGAtlanticRegion', '#Ice', '#Freezingspray', '#Canada150']",50,65,115,Environmental,en,0.5625,Positive,CCG_GCC_tweeter,"['or', 'ice']"
77,77,806526693116694528,2016-12-07 15:52:02,"['https://t.co/WhHP3W0kk', 'https://t.co/TwEOhMPOv']",#DYK circular movements of the #CCG hovercraft create waves that break ice one meter thick? #Canada150 https://t.co/WhHP3W0kkC https://t.co/TwEOhMPOv9,DYK circular movements CCG hovercraft create waves break ice one meter thick Canada150 https co WhHP3W0kkC https co TwEOhMPOv9,"['#DYK', '#CCG', '#Canada150']",41,53,94,Economical,en,-0.30000000000000004,Neutral,CCG_GCC_tweeter,['movements']
85,85,810153176934600705,2016-12-17 16:02:23,['https://t.co/3dmAntBWHS'],"From coast to coast, water to land, assets to people, #WeAreProud to celebrate #Canada150 @canada150th https://t.co/3dmAntBWHS",coast coast water land assets people WeAreProud celebrate Canada150 canada150th https co 3dmAntBWHS,"['#WeAreProud', '#Canada150']",32,58,90,Environmental,en,0.0,Neutral,CCG_GCC_tweeter,"['water', 'coast']"
101,101,804400088592289792,2016-12-01 19:01:40,['https://t.co/kRumCBeQ'],"CCG first new #Bell412EPi undergoing acceptance  @BellHelicopter facility in Mirabel, Quebec. #CCGProud https://t.co/kRumCBeQU9",CCG first new Bell412EPi undergoing acceptance BellHelicopter facility Mirabel Quebec CCGProud https co kRumCBeQU9,"['#Bell412EPi', '#CCGProud']",36,45,81,unknown,en,0.19318181818181807,Neutral,CCG_GCC_tweeter,
141,141,806876333074710529,2016-12-08 15:01:23,['https://t.co/u7EKpJJFd3'],Look at this beauty! Winds and tides weren’t our best friend but we got it. #Canada150 project phase 2 completed! @canada150th https://t.co/u7EKpJJFd3,Look beauty Winds tides best friend got Canada150 project phase completed canada150th https co u7EKpJJFd3,['#Canada150'],20,48,68,Social,en,1.0,Positive,CCG_GCC_tweeter,['friend']
145,145,811379061398368256,2016-12-21 01:13:37,[],RT @CanadianPM: Canada is committing to co-develop a new Arctic Policy Framework that will replace Canada’s Northern Strategy.,RT CanadianPM Canada committing co develop new Arctic Policy Framework replace Northern Strategy,[],67,0,67,Economical,en,0.13636363636363635,Neutral,CCG_GCC_tweeter,"['policy', 'arctic', 'northern']"
201,201,810183850081001473,2016-12-17 18:04:17,['https://t.co/6tOedOeGOr'],#CCG Commissioner Thomas unveils our #Canada150 framed picture in #Ottawa! @canada150th #CCGProud https://t.co/6tOedOeGOr,CCG Commissioner Thomas unveils Canada150 framed picture Ottawa canada150th CCGProud https co 6tOedOeGOr,"['#CCG', '#Canada150', '#Ottawa', '#CCGProud']",19,38,57,Economical,en,0.0,Neutral,CCG_GCC_tweeter,['commission']
