,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
16,16,1203325126385126_1319107078140263,2016-12-13 16:04:07,https://www.otc-cta.gc.ca/eng/aspar-q-and-a,"Booking a flight soon?

Airlines have to display the final price on their website, including all taxes, charges and fees. So the price you see is the price you'll pay.

Learn more...","Booking a flight soon? Airlines have to display the final price on their website, including all taxes, charges and fees. So the price you see is the price you'll pay. Learn more...",[],3,0,5,3,0,0,0,0,0,0,8,Environmental,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice', 'air']",neutral
21,21,1203325126385126_1341682392549398,2016-12-28 15:30:00,https://www.facebook.com/CanadianTransportationAgency/videos/1341682392549398/,,,[],6,0,1,6,0,0,0,0,0,0,7,unknown,tl,0.0,CanadianTransportationAgency_facebook,,neutral
43,43,1203325126385126_1319091208141850,2016-12-17 15:40:00,http://ow.ly/SBoX306syU9,Take charge of your travel: a guide for persons with disabilities > http://ow.ly/SBoX306syU9,Take charge of your travel: a guide for persons with disabilities > U9,[],5,0,0,5,0,0,0,0,0,0,5,Environmental,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral
57,57,1203325126385126_1327078227343148,2016-12-08 15:49:04,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1327078227343148/?type=3,@CTA_gc & @STBDOT sign MOU on cooperation & sharing #rail & #westcdnag info,& sign MOU on cooperation & sharing & info,"['#rail', '#westcdnag']",4,0,0,3,0,1,0,0,0,0,4,unknown,en,0.0,CanadianTransportationAgency_facebook,,neutral
70,70,1203325126385126_1301095149941456,2016-12-16 08:30:00,http://ow.ly/QfWF306a48s,"“Nobody can tell what I suffer! But it is always so. Those who do not complain are never pitied.”
                                - Jane Austen
#JaneAustenDay

Air travel complaints? Contact us: http://ow.ly/QfWF306a48s",“Nobody can tell what I suffer! But it is always so. Those who do not complain are never pitied.” - Jane Austen Air travel complaints? Contact us:,['#JaneAustenDay'],4,0,0,4,0,0,0,0,0,0,4,Environmental,en,0.0,CanadianTransportationAgency_facebook,['air'],neutral
88,88,1203325126385126_1344163178967986,2016-12-26 14:15:18,http://ow.ly/4Q6N307iIw1,Air transportation is the focus in the second phase of our Regulatory Modernization Initiative.  Learn more at http://ow.ly/4Q6N307iIw1,Air transportation is the focus in the second phase of our Regulatory Modernization Initiative. Learn more at 1,[],3,0,0,2,1,0,0,0,0,0,3,Environmental,en,0.0,CanadianTransportationAgency_facebook,"['or', 'air']",neutral
89,89,1203325126385126_1319089441475360,2016-12-10 15:30:01,http://ow.ly/fNU4303GS9e,Taking flight? Check out our accessible travel guide > http://ow.ly/fNU4303GS9e,Taking flight? Check out our accessible travel guide >,[],2,0,1,2,0,0,0,0,0,0,3,unknown,en,0.0,CanadianTransportationAgency_facebook,,neutral
162,162,1203325126385126_1319118991472405,2016-12-06 16:23:00,https://www.youtube.com/watch?v=8cVOIdNx8g8&list=PLSetKZd14VJQVAK0QCbNtOfx8mIqg4lN3,"Your ticket is a contract between you and the airline. The airline's tariffs must describe the terms and conditions associated with their fares, rates and charges. 

Find out more...","Your ticket is a contract between you and the airline. The airline's tariffs must describe the terms and conditions associated with their fares, rates and charges. Find out more...",[],1,0,1,1,0,0,0,0,0,0,2,Environmental,en,0.0,CanadianTransportationAgency_facebook,"['or', 'air']",neutral
167,167,1203325126385126_1332288290155475,2016-12-13 10:45:32,https://www.otc-cta.gc.ca/eng/memorandum-understanding-between-canadian-transportation-agency-and-united-states-surface,,,[],2,0,0,2,0,0,0,0,0,0,2,unknown,tl,0.0,CanadianTransportationAgency_facebook,,neutral
172,172,1203325126385126_1319105408140430,2016-12-07 16:01:03,https://www.otc-cta.gc.ca/eng/fly-smart,"This season, #FlySmart!","This season, !",['#FlySmart'],1,0,1,1,0,0,0,0,0,0,2,unknown,en,0.0,CanadianTransportationAgency_facebook,,neutral
133,133,1203325126385126_1344715585579412,2016-12-27 08:01:10,http://ow.ly/20QQ304XpLg,How much should you receive in compensation if your baggage is lost? Learn more > http://ow.ly/20QQ304XpLg #travel #Canada #TravelTuesdays,How much should you receive in compensation if your baggage is lost? Learn more >,"['#travel', '#Canada', '#TravelTuesdays']",1,0,1,1,0,0,0,0,0,0,2,Environmental,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral
120,120,1203325126385126_1319104028140568,2016-12-23 15:00:01,https://www.youtube.com/watch?v=81xxLd1avpg,"What happens if you miss your flight?

Check out our video and know your rights:",What happens if you miss your flight? Check out our video and know your rights:,[],2,0,0,2,0,0,0,0,0,0,2,Economical,en,0.0,CanadianTransportationAgency_facebook,['rights'],neutral
204,204,1203325126385126_1319074831476821,2016-12-03 09:00:00,http://ow.ly/rNJ7306uDGx,"Check out the 2016 #IDPD infographic on ""Achieving 17 Goals for the Future We Want"" > http://ow.ly/rNJ7306uDGx","Check out the infographic on ""Achieving Goals for the Future We Want"" >",['#IDPD'],1,0,0,1,0,0,0,0,0,0,1,Social,en,0.0,CanadianTransportationAgency_facebook,"['future', 'futur']",neutral
214,214,1203325126385126_1319086388142332,2016-12-03 18:30:03,,Reservation checklist for persons with disabilities : a step-by-step guide for planning your travel > http://ow.ly/hiV5306tgvU #IDPD,Reservation checklist for persons with disabilities : a step-by-step guide for planning your travel > U,['#IDPD'],1,0,0,1,0,0,0,0,0,0,1,Environmental,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral
215,215,1203325126385126_1319082668142704,2016-12-03 16:30:00,http://ow.ly/SBoX306syU9,Take charge of your travel: a guide for persons with disabilities > http://ow.ly/SBoX306syU9 #IDPD,Take charge of your travel: a guide for persons with disabilities > U9,['#IDPD'],1,0,0,1,0,0,0,0,0,0,1,Environmental,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral
217,217,1203325126385126_1319076494809988,2016-12-03 12:15:01,http://ow.ly/9Gfp303m0qR,"When you make a website #accessible, you make it better for everyone > http://ow.ly/9Gfp303m0qR #a11y #transportation #AccessibleCanada #IDPD","When you make a website , you make it better for everyone >","['#accessible', '#a11y', '#transportation', '#AccessibleCanada', '#IDPD']",1,0,0,1,0,0,0,0,0,0,1,Environmental,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral
220,220,1203325126385126_1319038868147084,2016-12-03 08:15:00,http://ow.ly/CHac306uztP,Achieving 17 Goals for the Future We Want >today is International Day of Persons with Disabilities #IDPD > http://ow.ly/CHac306uztP,Achieving Goals for the Future We Want >today is International Day of Persons with Disabilities >,['#IDPD'],1,0,0,1,0,0,0,0,0,0,1,Social,en,0.0,CanadianTransportationAgency_facebook,"['future', 'futur']",neutral
243,243,1203325126385126_1347590191958618,2016-12-30 11:15:24,,Do you have a complaint related to air travel? Find out more here > http://ow.ly/tTtb303JgV0 #travel #TravelTuesdays,Do you have a complaint related to air travel? Find out more here > 0,"['#travel', '#TravelTuesdays']",0,0,1,0,0,0,0,0,0,0,1,Environmental,en,0.0,CanadianTransportationAgency_facebook,"['or', 'air']",neutral
251,251,1203325126385126_1340734109310893,2016-12-22 09:55:20,https://www.facebook.com/TransportandInfrastructureinCanada/videos/10154930462952975/,,,[],1,0,0,1,0,0,0,0,0,0,1,unknown,tl,0.0,CanadianTransportationAgency_facebook,,neutral
255,255,1203325126385126_1341697785881192,2016-12-28 15:30:00,https://www.facebook.com/CanadianTransportationAgency/videos/1341697785881192/,#VacationWoes - Airline lost your baggage? Find out more here > http://ow.ly/LhW0300khbn #cdntravel,- Airline lost your baggage? Find out more here >,"['#VacationWoes', '#cdntravel']",1,0,0,1,0,0,0,0,0,0,1,Environmental,en,0.0,CanadianTransportationAgency_facebook,"['or', 'air']",neutral
264,264,1203325126385126_1319108744806763,2016-12-28 16:08:00,https://www.youtube.com/watch?v=hVsT4LuFO-U,"Airline lost your luggage? @#$%

We may be able to help!

Check out our video...",Airline lost your luggage? $% We may be able to help! Check out our video...,['#'],0,0,0,0,0,0,0,0,0,0,0,Environmental,en,0.0,CanadianTransportationAgency_facebook,['air'],neutral
267,267,1203325126385126_1342792865771684,2016-12-25 00:05:08,,Seasons Greetings to all!,Seasons Greetings to all!,[],0,0,0,0,0,0,0,0,0,0,0,unknown,en,0.0,CanadianTransportationAgency_facebook,,neutral
