,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
14,14,811969798859014144,2016-12-22 16:21:00,['https://t\xe2\x80\xa6'],RT @Transports_gc: #EnRappel: Le #pèreNoël a renouvelé sa licence de pilote professionnel! Voici ce qui s’est passé en coulisses: https://t…,RT EnRappel Le sa licence de pilote professionnel Voici ce qui est en coulisses https,"['#EnRappel', '#p']",54,0,54,Environmental,fr,0.0,Neutral,RNCan_tweeter,['ice']
20,20,813232409802145792,2016-12-26 03:58:10,"['https://t.co/yn2OoMCJxF', 'https://t.co/Y0DHIS2ZCK']",RT @PMcanadien: Joyeux Noël Canada! https://t.co/yn2OoMCJxF https://t.co/Y0DHIS2ZCK,RT PMcanadien Joyeux Canada https co yn2OoMCJxF https co Y0DHIS2ZCK,[],48,0,48,unknown,es,0.0,Neutral,RNCan_tweeter,
43,43,811323248822652929,2016-12-20 21:31:50,[],RT @PMcanadien: Le Plan de protection des océans annoncé par le PM Trudeau en novembre fera du Canada un chef de file en matière de sécurit…,RT PMcanadien Le Plan de protection des ans par le PM Trudeau en novembre fera du Canada un chef de file en de,[],25,0,25,Environmental,fr,0.0,Neutral,RNCan_tweeter,['eau']
45,45,811326338464366592,2016-12-20 21:44:07,[],RT @PMcanadien: Le Canada désignera ses eaux arctiques comme étant interdites d’accès aux futures concessions pétrolières et gazières extra…,RT PMcanadien Le Canada signera ses eaux arctiques comme tant interdites aux futures concessions res et res,[],25,0,25,Social,fr,0.0,Neutral,RNCan_tweeter,"['future', 'futur']"
56,56,811323297371750404,2016-12-20 21:32:02,['https://t\xe2\x80\xa6'],RT @PMcanadien: Le PM Trudeau et @POTUS lancent des mesures pour une économie et un écosystème forts et durables dans l’Arctique: https://t…,RT PMcanadien Le PM Trudeau et POTUS lancent des mesures pour une conomie et un forts et durables dans Arctique https,[],20,0,20,Environmental,fr,0.0,Neutral,RNCan_tweeter,"['durable', 'eau', 'or']"
63,63,811326622171361280,2016-12-20 21:45:15,[],RT @PMcanadien: Le Canada s’engage à développer un nouveau cadre stratégique pour l’Arctique afin de remplacer la Stratégie du Canada pour…,RT PMcanadien Le Canada engage velopper un nouveau cadre gique pour Arctique afin de remplacer la gie du Canada,[],18,0,18,Environmental,fr,0.0,Neutral,RNCan_tweeter,['eau']
79,79,808425006845792256,2016-12-12 21:35:16,['https://t.co/EeBZT2Qzrf'],RT @PMcanadien: Les PM du Canada ont travaillé en étroite collaboration au nom de tous les Canadiens et Canadiennes https://t.co/EeBZT2Qzrf,RT PMcanadien Les PM du Canada ont en troite collaboration au nom de tous les Canadiens et Canadiennes https co EeBZT2Qzrf,[],14,0,14,Social,fr,0.0,Neutral,RNCan_tweeter,['collaboration']
87,87,811585513538945024,2016-12-21 14:53:59,[],RT @PMcanadien: Le PM Trudeau et @POTUS ont annoncé la protection de l'Arctique contre de futures concessions pétrolières &amp; gazières https:…,RT PMcanadien Le PM Trudeau et POTUS ont la protection de Arctique contre de futures concessions res amp res https,[],14,0,14,Social,fr,0.0,Neutral,RNCan_tweeter,"['future', 'futur']"
90,90,811685288854650881,2016-12-21 21:30:27,['https://t.co/\xe2\x80\xa6'],RT @ParcsCanada: Le saviez-vous? Le compte à rebours pour #Canada150 et l'entrée #GRATUITE à nos parcs et sites est commencé! https://t.co/…,RT ParcsCanada Le saviez vous Le compte rebours pour Canada150 et GRATUITE nos parcs et sites est https co,"['#Canada150', '#GRATUITE']",13,0,13,Environmental,fr,0.0,Neutral,RNCan_tweeter,['parc']
104,104,811957214281920512,2016-12-22 15:30:59,"['https://t.co/9f4EpCiGEE', 'https://t.co/41Px1MfVDE']","Le Canada s'est réchauffé de 1,6°C de 1948 à 2015. Info sur les impacts du #ChangementClimatique et l'#Adaptation: https://t.co/9f4EpCiGEE https://t.co/41Px1MfVDE",Le Canada est de de 1948 2015 Info sur les impacts du ChangementClimatique et Adaptation https co 9f4EpCiGEE https co 41Px1MfVDE,"['#ChangementClimatique', '#Adaptation']",8,4,12,Environmental,fr,0.0,Neutral,RNCan_tweeter,"['adaptation', 'climatique', 'climat']"
103,103,804419524506292224,2016-12-01 20:18:54,[],RT @MPO_Science: #LSV Décembre est le Mois de la science dans l'Arctique. Célébrons ensemble la recherche dans le Nord du Canada avec le #S…,RT LSV cembre est le Mois de la science dans Arctique brons ensemble la recherche dans le Nord du Canada avec le,"['#LSV', '#S']",12,0,12,Social,fr,0.0,Neutral,RNCan_tweeter,['nord']
117,117,809475651325534208,2016-12-15 19:10:09,"['https://t.co/5Fxq11ZJK7', 'https://t.co/TOQPVwvn5O']",3/3 Téléchargez ou commandez notre affiche sur l’#Adaptation au #ChangementClimatique au Canada! https://t.co/5Fxq11ZJK7 https://t.co/TOQPVwvn5O,chargez ou commandez notre affiche sur Adaptation au ChangementClimatique au Canada https co 5Fxq11ZJK7 https co TOQPVwvn5O,"['#Adaptation', '#ChangementClimatique']",4,6,10,Environmental,fr,0.0,Neutral,RNCan_tweeter,"['adaptation', 'climatique', 'climat']"
128,128,804419023450632193,2016-12-01 20:16:55,[],RT @GCAutochtones: Photos récentes prises au site de construction de la Station de recherche dans l'Extrême-Arctique à #CambridgeBay : http…,RT GCAutochtones Photos centes prises au site de construction de la Station de recherche dans Arctique CambridgeBay,['#CambridgeBay'],10,0,10,Social,fr,0.0,Neutral,RNCan_tweeter,['autochtones']
137,137,811304034493693952,2016-12-20 20:15:29,['https://t.co/hIPtSZEJwG'],Comment le Canada s’adapte-t-il au #ChangementClimatique? Voyez ces quelques exemples: #Adaptation https://t.co/hIPtSZEJwG,Comment le Canada adapte il au ChangementClimatique Voyez ces quelques exemples Adaptation https co hIPtSZEJwG,"['#ChangementClimatique', '#Adaptation']",7,2,9,Environmental,fr,0.0,Neutral,RNCan_tweeter,"['adaptation', 'climatique', 'climat']"
147,147,807334312475508740,2016-12-09 21:21:14,[],"RT @PMcanadien: Le PM Trudeau tient une réunion des premiers ministres, il rencontre les PM et les dirigeants autochtones nationaux. https:…",RT PMcanadien Le PM Trudeau tient une union des premiers ministres il rencontre les PM et les dirigeants autochtones nationaux https,[],9,0,9,Social,fr,0.0,Neutral,RNCan_tweeter,['autochtones']
151,151,805849326379532289,2016-12-05 19:00:26,"['https://t.co/XmemWWHw4E', 'https://t.co/v5xIExsMPm']","25 nlles stations de recharge en Ontario, 1er de plusieurs projets en appui à l’infrastructure #VE du budget 2016 https://t.co/XmemWWHw4E https://t.co/v5xIExsMPm",25 nlles stations de recharge en Ontario 1er de plusieurs projets en appui infrastructure du budget 2016 https co XmemWWHw4E https co v5xIExsMPm,['#VE'],6,3,9,Economical,fr,0.0,Neutral,RNCan_tweeter,['infrastructure']
166,166,811323182376484864,2016-12-20 21:31:34,['https://t.co/JnmK\xe2\x80\xa6'],RT @PMcanadien: Le premier ministre Trudeau annonce l’affectation d’un nouveau navire-remorqueur en Colombie-Britannique: https://t.co/JnmK…,RT PMcanadien Le premier ministre Trudeau annonce affectation un nouveau navire remorqueur en Colombie Britannique https co,[],8,0,8,Environmental,fr,0.0,Neutral,RNCan_tweeter,"['eau', 'or']"
175,175,807344486632353792,2016-12-09 22:01:40,"['https://t.co/kgD73p8D6e', 'https://t.co/hxvan1A8q6']","Passeriez-vous 47 jours sur un navire dans l’#OcéanArctique? Nos scientifiques, oui! https://t.co/kgD73p8D6e #ScienceArctique @CanadaPE https://t.co/hxvan1A8q6",Passeriez vous 47 jours sur un navire dans anArctique Nos scientifiques oui https co kgD73p8D6e ScienceArctique CanadaPE https co hxvan1A8q6,"['#Oc', '#ScienceArctique']",4,4,8,unknown,fr,0.0,Neutral,RNCan_tweeter,
