,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
37,37,2016-12-29_05-49-42,2016-12-29 05:49:42,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1528fc26dd690ec452a5c168662bda20/5AE9B1FD/t51.2885-15/e35/24845302_1861605050796530_5242350039690379264_n.jpg,How stunning is this?!Morning glow outside our Alert Lab in Nunavut. NaturePhotography,stunning nMorning glow outside Alert Lab Nunavut ArcticScience NaturePhotography WinterInCanada ClimateResearch InstaScience CanEnvironment Arctic CanadianArctic ArcticAdventures Canada Nunavut ExploreCanada HiddenGems EnvironmentCanada,"[""arcticscience"",""winterincanada"",""climateresearch"",""instascience"",""scienceofinstagram"",""canenvironment"",""arctic"",""canadianarctic"",""arcticadventures"",""winterwonderland"",""canada"",""nunavut"",""explorecanada"",""hiddengems"",""environmentcanada""]",1,90,91,Environmental,en,0.0,canenvironment_instagram,"['climate', 'or', 'climat', 'nature']",neutral
75,75,2016-12-12_08-01-32,2016-12-12 08:01:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9451a8fca8901eae1ac1f2c859819ce2/5ADD6BBD/t51.2885-15/e35/25006912_195468597694291_2648674660354359296_n.jpg,"“Hi there, we’re two brand new sanderling checking in from the Great White North. We may only be a few hours old, but we are ready to go! Don’t worry, mom and dad are close by as we get our vitals taken. But first, we’ll get a few leg bands that will help track our progress as we migrate south for the . Soon we’ll be soaking up the sun ️on the Florida coast. You may have met our famous cousin, ? Her plumage is a little different from ours, but that’s because we need to blend into the arctic tundra to keep predators at bay. We can’t wait to grow into those beautiful silvery feathers, and to snack on some yummy clams on our own to a sunny beach. Surf’s up!”",Hi two brand new sanderling sandpipers checking Great White North may hours old ready go worry mom dad close get vitals taken first get leg bands help track progress migrate south winter Soon soaking sun Florida coast may met famous cousin PixarPiper plumage little different need blend arctic tundra keep predators bay wait grow beautiful silvery feathers snack yummy clams sunny beach MigratoryBirds BirdYear InstaScience BirdLovers Wildlife CanEnvironment Nunavut ArcticScience BirdsOfInstagram InstaBirds BirdsOfIntagram Birders Piper ArcticTundra Arctic Nature WildlifePhotography EnvironmentCanada,"[""sandpipers"",""winter"",""pixarpiper"",""migratorybirds"",""birdyear"",""instascience"",""birdlovers"",""wildlife"",""canenvironment"",""nunavut"",""arcticscience"",""birdsofinstagram"",""instabirds"",""birdsofintagram"",""birders"",""piper"",""arctictundra"",""arctic"",""nature"",""wildlifephotography"",""environmentcanada""]",3,72,75,Environmental,en,0.2083333333333333,canenvironment_instagram,"['wildlife', 'nature', 'coast', 'bird', 'eau', 'or']",positive
90,90,2016-12-22_05-29-49,2016-12-22 05:29:49,https://instagram.fyvr3-1.fna.fbcdn.net/vp/95c6bb4cf283e83fba00019116e46844/5ADEB0DB/t51.2885-15/e35/24332214_1754677771500224_6589193969161207808_n.jpg,"!Thanks to researchers at the Dr. Neil Trivett Global Atmosphere Watch Lab in Alert, Nunavut! You’ve helped us better understand our North, & pollutant transport for years.",COOLSCIENTISTALERT nThanks researchers Dr Neil Trivett Global Atmosphere Watch Lab Alert Nunavut helped us better understand North climate pollutant transport 30 years ArcticScience NaturePhotography WinterInCanada ClimateResearch InstaScience CanEnvironment Arctic CanadianArctic ArcticAdventures Canada Nunavut ExploreCanada HiddenGems EnvironmentCanada,"[""coolscientistalert"",""climate"",""arcticscience"",""naturephotography"",""winterincanada"",""climateresearch"",""instascience"",""scienceofinstagram"",""canenvironment"",""arctic"",""canadianarctic"",""arcticadventures"",""winterwonderland"",""canada"",""nunavut"",""explorecanada"",""hiddengems"",""environmentcanada""]",0,71,71,Environmental,en,0.0,canenvironment_instagram,"['climate', 'or', 'climat', 'nature']",neutral
112,112,2016-12-20_07-13-08,2016-12-20 07:13:08,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4d449cc65fcc8a2b0469b13d98fa3486/5AF586BC/t51.2885-15/e35/24332182_1886172161411157_8111645247211044864_n.jpg,"“Our Inuit guides built this igloo, seen here framed in the Northern Lights. You can see our main work tools: an ice auger and shovel, leaning up against the outside of the igloo .” - Arvids, Climate Scientist This photo was taken during a research trip to Lake Tunusualuk, , in northern Quebec.",Inuit guides built igloo seen framed Northern Lights see main work tools ice auger shovel leaning outside igloo Arvids Climate Scientist nThis photo taken research trip Lake Tunusualuk Nunavik northern Quebec ArcticScience QuebecOriginal Nunavik Canada instaScience WinterWonderland Adventures ArcticScienceAdventures ScientistOfInstagram ClimateScience CanEnvironment EnvironmentCanada,"[""nunavik"",""arcticscience"",""quebecoriginal"",""nunavik"",""canada"",""instascience"",""nothernlights"",""winterwonderland"",""adventures"",""arcticscienceadventures"",""scientistofinstagram"",""climatescience"",""canenvironment"",""environmentcanada""]",0,66,66,Environmental,en,0.0,canenvironment_instagram,"['climat', 'climate', 'lake ', 'ice', 'or']",neutral
134,134,2016-12-14_12-52-25,2016-12-14 12:52:25,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5aa82702cc761e78062a3962a4dbd7dc/5AECAB93/t51.2885-15/e35/25008216_151559135473560_206655761651073024_n.jpg,"…err.. Here! December st marked the start of meteorological . In winter, light interacting with crystals can create a variety of atmospheric optic phenomena, including parhelia, also known as . Preeeetttyyyyy!",err December 1st marked start meteorological winter winter light interacting ice crystals create variety atmospheric optic phenomena including parhelia also known SunDogs Preeeetttyyyyy,"[""winteriscoming"",""winter"",""ice"",""sundogs""]",1,60,61,Environmental,en,0.0,canenvironment_instagram,"['or', 'ice']",neutral
143,143,2016-12-30_07-22-35,2016-12-30 07:22:35,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9a9bb203dc6b4dff113a16de51f09b0e/5AED21B8/t51.2885-15/e35/25012026_892065847634337_6395800821707046912_n.jpg,"Two climate scientists touch down to do snow surveys near Eureka,. This was just one stop in an international research project to findout how and snow properties differ.    ",Two climate scientists touch snow surveys near Eureka Nunavut one stop international research project find nout Arctic subarctic snow properties differ ArcticScience CanEnvironment Canada instaScience Adventures ArcticScienceAdventues ScientistOfInstagram Eureka ClimateScience WinterWonderland CanEnvironment EnvironmentCanada,"[""nunavut"",""arctic"",""subarctic"",""arcticscience"",""canenvironment"",""canada"",""instascience"",""adventures"",""arcticscienceadventues"",""scientistofinstagram"",""eureka"",""climatescience"",""winterwonderland"",""canenvironment"",""environmentcanada""]",2,57,59,Environmental,en,0.5,canenvironment_instagram,"['climate', 'climat']",positive
153,153,2016-12-07_11-25-28,2016-12-07 11:25:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1380eaeba831770f02e865d37bcf3c66/5AEB2174/t51.2885-15/e35/25005651_2062924713992101_8780731487558303744_n.jpg,These good looking birds are known for their stoic stature and epic appearance - from Southern California to the coastal Alaskan Arctic. Tens of thousands of Tufted Puffins choose the Scott Islands as their preferred breeding grounds when taking a beak break from a lifetime at sea.Everyday I’m puffi-lin. : Greg Jones,good looking birds known stoic stature epic appearance Southern California coastal Alaskan Arctic Tens thousands Tufted Puffins choose Scott Islands preferred breeding grounds taking beak break lifetime sea nEveryday puffi lin Puffin BC ExploreBC Wildlife WildlifePhotography PuffinOfInstagram InstaBirds Nature NaturePhotography ProtectedArea ScottIslands CanEnvironment Breeding BirdLovers SeaAnimals BirdWatching ExploreCanada HiddenGems Cop13 NoFilter Greg Jones,"[""puffin"",""bc"",""explorebc"",""wildlife"",""wildlifephotography"",""puffinofinstagram"",""instabirds"",""nature"",""naturephotography"",""protectedarea"",""scottislands"",""canenvironment"",""breeding"",""birdlovers"",""seaanimals"",""birdwatching"",""explorecanada"",""hiddengems"",""cop13"",""nofilter""]",0,57,57,Environmental,en,0.0,canenvironment_instagram,"['wildlife', 'lands', 'nature', 'or', 'coast', 'coastal', 'bird']",neutral
155,155,2016-12-28_07-23-33,2016-12-28 07:23:33,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0c4e634a5b2b2cd895fc260a7708805a/5AFA6A8A/t51.2885-15/e35/24846017_146585162731166_3091033296587456512_n.jpg,Step inside our Alert Observatory in Nunavut! Scientists have been working there for years providing Greenhouse gases () and atmospheric data.,Step inside Alert Observatory Nunavut Scientists working 30 years providing Greenhouse gases GHG atmospheric data ArcticScience ClimateResearch InstaScience CanEnvironment CanadianArctic ArcticAdventures Canada Nunavut BehindTheScenes EnvironmentCanada,"[""ghg"",""arcticscience"",""climateresearch"",""instascience"",""scienceofinstagram"",""canenvironment"",""arctic"",""canadianarctic"",""arcticadventures"",""winterwonderland"",""canada"",""nunavut"",""behindthescenes"",""environmentcanada""]",1,55,56,Environmental,en,0.0,canenvironment_instagram,"['climate', 'gas', 'or', 'greenhouse gas', 'climat']",neutral
167,167,2016-12-19_11-32-34,2016-12-19 11:32:34,https://instagram.fyvr3-1.fna.fbcdn.net/vp/305f914b6ed9edfca82ae999beba34ca/5AE20139/t51.2885-15/e35/24327847_920531501454086_2090525857599717376_n.jpg,would be proud of our crew’s culinary skills in the field! Trail Valley Creek camp kitchen kept everyone fed and supplied with warm drinks.Bon appetit!,GordonRamsay would proud culinary skills field Trail Valley Creek camp kitchen kept everyone fed supplied warm drinks nBon appetit ArcticScience NorthwestTerritories snow kitchen fieldwork Foodies Camping NaturePhotography NaturePhotography WinterInCanada ClimateResearch InstaScience ScienceofInstagram CanEnvironment Arctic CanadianArctic ArcticAdventures WinterWonderland InstaSnow Canada Outdoors EnvironmentCanada,"[""gordonramsay"",""arcticscience"",""northwestterritories"",""snow"",""kitchen"",""fieldwork"",""foodies"",""camping"",""naturephotography"",""naturephotography"",""winterincanada"",""climateresearch"",""instascience"",""scienceofinstagram"",""canenvironment"",""arctic"",""canadianarctic"",""arcticadventures"",""winterwonderland"",""instasnow"",""canada"",""outdoors"",""environmentcanada""]",0,54,54,Environmental,en,0.0,canenvironment_instagram,"['climate', 'or', 'climat', 'nature']",neutral
169,169,2016-12-02_08-21-55,2016-12-02 08:21:55,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a9a6b2fb8193cf952cca15882ffb1655/5AE8A63A/t51.2885-15/e35/24327402_1137949506342617_3187374068781285376_n.jpg,Rainbows were everywhere this summer on the barrengrounds! We kept eecting unicorns 🦄 too; we got barren-ground caribou instead...,Rainbows everywhere summer barrengrounds kept expecting unicorns got barren ground caribou instead,[],5,49,54,Environmental,en,0.2896969696969697,canenvironment_instagram,"['or', 'mer']",positive
