,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
5,5,460123390028_10158025485060029,2017-01-05 10:20:30,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158025485060029/?type=3,"À l’occasion du 150e anniversaire de la Confédération, l’accès à la réserve nationale de faune du Cap-Tourmente au Québec est gratuit toute l’année 2017. 

Profitez-en pour redécouvrir la nature. http://ow.ly/Losi307IuQn","À l’occasion du e anniversaire de la Confédération, l’accès à la réserve nationale de faune du Cap-Tourmente au Québec est gratuit toute l’année . Profitez-en pour redécouvrir la nature.",[],93,17,155,82,10,0,1,0,0,0,265,Environmental,fr,0.05172413793103448,EnvironnementetressourcesnaturellesauCanada_facebook,"['air', 'faune', 'nature']",positive
19,19,460123390028_10158130912230029,2017-01-24 14:15:15,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158130912230029/?type=3,"Pendant que le Canada se prépare à célébrer la #JournéeMondialeDelEnvironnement le 5 juin 2017, l' ONU Environnement et le gouvernement du Canada invitent les citoyens du monde entier à réfléchir à notre dépendance à l’égard de la nature et à trouver des façons amusantes et stimulantes de souligner et de chérir cette relation vitale. 

Au cours des prochaines semaines, Environnement et Changement climatique Canada partagera le slogan de la campagne de cette année et vous invitera à présenter votre activité. Les meilleures idées seront présentées sur les canaux numériques du Programme des Nations Unies pour l’environnement et sur ceux de ses partenaires, afin que vous puissiez encourager d’autres personnes à participer. Restez à l’affût! http://ow.ly/q08K308joK8 (angl. seul.) #JME2017","Pendant que le Canada se prépare à célébrer la éeMondialeDelEnvironnement le juin , l' ONU Environnement et le gouvernement du Canada invitent les citoyens du monde entier à réfléchir à notre dépendance à l’égard de la nature et à trouver des façons amusantes et stimulantes de souligner et de chérir cette relation vitale. Au cours des prochaines semaines, Environnement et Changement climatique Canada partagera le slogan de la campagne de cette année et vous invitera à présenter votre activité. Les meilleures idées seront présentées sur les canaux numériques du Programme des Nations Unies pour l’environnement et sur ceux de ses partenaires, afin que vous puissiez encourager d’autres personnes à participer. Restez à l’affût! 8 (angl. seul.)","['#Journ', '#JME2017']",14,1,22,14,0,0,0,0,0,0,37,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,"['environnement', 'climat', 'nature', 'changement climatique', 'climatique', 'air']",neutral
43,43,460123390028_10158015006905029,2017-01-03 09:30:16,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.10151461436230029.832066.460123390028/10158015006795029/?type=3,,,[],19,0,2,18,1,0,0,0,0,0,21,unknown,tl,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,,neutral
223,223,460123390028_10158024955005029,2017-01-05 08:15:21,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10158024955005029/,"Il n’est pas trop tard pour donner votre avis sur la proposition de désigner le banc de Sainte-Anne, situé à l’est du cap Breton en Nouvelle-Écosse, comme zone de protection marine. 

La période de consultation publique aura lieu jusqu’au 31 janvier. Assurez-vous de lire le projet de règlement et de nous faire part de vos commentaires sur les plans visant à protéger cet habitat unique qui abrite des espèces marines menacées et en voie de disparition. 

À vous la parole! http://ow.ly/OZeF307G2gj","Il n’est pas trop tard pour donner votre avis sur la proposition de désigner le banc de Sainte-Anne, situé à l’est du cap Breton en Nouvelle-Écosse, comme zone de protection marine. La période de consultation publique aura lieu jusqu’au janvier. Assurez-vous de lire le projet de règlement et de nous faire part de vos commentaires sur les plans visant à protéger cet habitat unique qui abrite des espèces marines menacées et en voie de disparition. À vous la parole!",[],6,0,3,5,1,0,0,0,0,0,9,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,"['marine', 'air']",neutral
379,379,460123390028_10158021086105029,2017-01-04 13:40:37,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158021086105029/?type=3,"Ressources naturelles Canada annonce des modifications au Règlement sur l'efficacité énergétique qui engendreront, pour les Canadiens, des économies sur le coût de l'énergie d'environ 1,8 milliard de dollars d'ici 2030 et des réductions d'émissions de gaz à effet de serre qui atteindront environ 0,7 mégatonne cette année-là. http://ow.ly/DKsZ307GGSq","Ressources naturelles Canada annonce des modifications au Règlement sur l'efficacité énergétique qui engendreront, pour les Canadiens, des économies sur le coût de l'énergie d'environ ,8 milliard de dollars d'ici et des réductions d'émissions de gaz à effet de serre qui atteindront environ ,7 mégatonne cette année-là.",[],2,0,4,2,0,0,0,0,0,0,6,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,"['ressources naturelles', 'gaz', 'nature']",neutral
389,389,460123390028_10158137046850029,2017-01-25 09:25:09,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158137046850029/?type=3,"L’appâtage est une activité rigoureusement contrôlée en vertu de la réglementation du gouvernement du Canada afin d’assurer la conservation et la gestion des oiseaux migrateurs chassés, comme le Canard noir et le Canard colvert.

L’appâtage peut entraîner la concentration d’un grand nombre d’oiseaux dans un endroit restreint. Ainsi, certains chasseurs pourraient chasser un trop grand nombre d’oiseaux, et l’accès aux oiseaux migrateurs pourrait être inéquitable parmi les chasseurs.

Nous proposons des changements à la réglementation, et si vous êtes un chasseur, nous voulons connaître votre opinion. Vous trouverez le document de consultation à l’adresse : http://ow.ly/kEEQ308kUlX 

La période de consultation se termine le 17 février, alors hâtez-vous!","L’appâtage est une activité rigoureusement contrôlée en vertu de la réglementation du gouvernement du Canada afin d’assurer la conservation et la gestion des oiseaux migrateurs chassés, comme le Canard noir et le Canard colvert. L’appâtage peut entraîner la concentration d’un grand nombre d’oiseaux dans un endroit restreint. Ainsi, certains chasseurs pourraient chasser un trop grand nombre d’oiseaux, et l’accès aux oiseaux migrateurs pourrait être inéquitable parmi les chasseurs. Nous proposons des changements à la réglementation, et si vous êtes un chasseur, nous voulons connaître votre opinion. Vous trouverez le document de consultation à l’adresse : La période de consultation se termine le février, alors hâtez-vous!",[],5,0,1,5,0,0,0,0,0,0,6,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,"['vert', 'oiseau', 'conservation', 'oiseaux', 'eau', 'or']",neutral
393,393,460123390028_10158098211270029,2017-01-19 10:25:10,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158098211270029/?type=3,"Ressources naturelles Canada est à la recherche de projets novateurs qui permettront d’accroître l’efficacité énergétique dans les foyers canadiens et de réduire la demande d’énergie en vue de respecter les cibles de lutte contre les changements climatiques fixées pour 2030. 

Si vous avez un projet qui répond à ces critères, envoyez votre proposition : 
http://ow.ly/hvS73089HrJ","Ressources naturelles Canada est à la recherche de projets novateurs qui permettront d’accroître l’efficacité énergétique dans les foyers canadiens et de réduire la demande d’énergie en vue de respecter les cibles de lutte contre les changements climatiques fixées pour . Si vous avez un projet qui répond à ces critères, envoyez votre proposition :",[],5,0,1,5,0,0,0,0,0,0,6,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,"['ressources naturelles', 'climat', 'climatique', 'nature']",neutral
394,394,460123390028_10158083310005029,2017-01-16 10:45:00,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10158083310005029/,"À vous la parole! Les îles Scott et leurs eaux environnantes abritent 40 % des oiseaux marins nicheurs de la côte Pacifique du Canada. 

La mise sur pied de la réserve nationale de faune des îles Scott permettrait de prévenir des activités qui mettent en péril cet important habitat pour les oiseaux marins d’aujourd’hui et de demain. 

La période de consultation concernant le projet de Règlement sur la zone marine protégée des îles Scott se termine le 30 janvier. http://ow.ly/5IhM3082NME",À vous la parole! Les îles Scott et leurs eaux environnantes abritent % des oiseaux marins nicheurs de la côte Pacifique du Canada. La mise sur pied de la réserve nationale de faune des îles Scott permettrait de prévenir des activités qui mettent en péril cet important habitat pour les oiseaux marins d’aujourd’hui et de demain. La période de consultation concernant le projet de Règlement sur la zone marine protégée des îles Scott se termine le janvier.,[],6,0,0,6,0,0,0,0,0,0,6,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,"['oiseau', 'marine', 'oiseaux', 'eau', 'or', 'faune']",neutral
544,544,460123390028_10158045593525029,2017-01-09 10:30:27,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158045593525029/?type=3,Conseil #éconergétique 💡 : Réduisez votre facture de chauffage en scellant vos fenêtres pour empêcher l’air d’entrer. #ConseilÉcolo http://ow.ly/OLRF307OYqS,Conseil éconergétique : Réduisez votre facture de chauffage en scellant vos fenêtres pour empêcher l’air d’entrer. Écolo,"['#', '#Conseil']",4,0,1,4,0,0,0,0,0,0,5,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,['air'],neutral
907,907,460123390028_10158167772140029,2017-01-31 10:40:13,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10158167772140029/?type=3,"Notre économie repose sur les industries du Canada, qui sont également notre plus grande source d’émissions de gaz à effet de serre. Le Cadre pancanadien sur la croissance propre et les changements climatiques accroîtra la compétitivité des industries canadiennes en les aidant à faire des économies et à augmenter leur efficacité.

Apprenez-en davantage ici : http://ow.ly/mf3A308x33T","Notre économie repose sur les industries du Canada, qui sont également notre plus grande source d’émissions de gaz à effet de serre. Le Cadre pancanadien sur la croissance propre et les changements climatiques accroîtra la compétitivité des industries canadiennes en les aidant à faire des économies et à augmenter leur efficacité. Apprenez-en davantage ici :",[],3,0,0,3,0,0,0,0,0,0,3,Environmental,fr,0.0,EnvironnementetressourcesnaturellesauCanada_facebook,"['climat', 'propre', 'gaz', 'climatique', 'air']",neutral
