,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,824300734929924097,2017-01-25 16:59:44,"['https://t.co/TDQFOgQZCP', 'https://t.\xe2\x80\xa6']",RT @Bell_LetsTalk: Wake up and smell the coffee…it’s #BellLetsTalk Day! Here’s how you can get involved: https://t.co/TDQFOgQZCP https://t.…,RT Wake smell BellLetsTalk Day get involved https co TDQFOgQZCP https,['#BellLetsTalk'],Social,4715,0.0,en,GCIndigenous_tweeter
1,824254615516573699,2017-01-25 13:56:28,['https://t.co/iLtBk\xe2\x80\xa6'],RT @CanadianPM: It's #BellLetsTalk Day! Join the conversation and let's work together to #EndTheStigma on #MentalHealth. https://t.co/iLtBk…,RT CanadianPM BellLetsTalk Day Join conversation let work together EndTheStigma MentalHealth https co,"['#BellLetsTalk', '#EndTheStigma', '#MentalHealth']",Social,546,0.0,en,GCIndigenous_tweeter
2,821036316775292928,2017-01-16 16:48:06,"['https://t.co/eceLYSaIjs', 'https://t.co/tsMBWddn9P']",RT @CBCIndigenous: Memorial honouring missing and murdered Indigenous women opens https://t.co/eceLYSaIjs https://t.co/tsMBWddn9P,RT CBCIndigenous Memorial honouring missing murdered Indigenous women opens https co eceLYSaIjs https co tsMBWddn9P,[],Social,130,-0.2,en,GCIndigenous_tweeter
3,815936058705793024,2017-01-02 15:01:30,"['https://t.co/6rSNOy4IBh', 'https://t.co/mu3SVo9KG']",Walk with us towards #reconciliation: celebrate #Canada150 by learning more about the history of #Indigenouspeoples: https://t.co/6rSNOy4IBh https://t.co/mu3SVo9KGC,Walk us towards reconciliation celebrate Canada150 learning history Indigenouspeoples https co 6rSNOy4IBh https co mu3SVo9KGC,"['#reconciliation', '#Canada150', '#Indigenouspeoples']",Social,114,0.5,en,GCIndigenous_tweeter
4,821404079981232131,2017-01-17 17:09:28,[],"RT @TheCdnAcademy: Congratulations to @SchittsCreek, @KimsConvenience, @MohawkGirls, @mrd_on_cbc, &amp; @LetterkennyProb for your #CdnScreenAwa…",RT TheCdnAcademy Congratulations SchittsCreek KimsConvenience MohawkGirls amp LetterkennyProb,['#CdnScreenAwa'],Environmental,94,0.0,en,GCIndigenous_tweeter
5,816325322174058496,2017-01-03 16:48:18,['https://t.co/cHUr1zt1XO'],RT @CanadianPM: “Canada: let’s make this year our year!” #NewYear #NYE https://t.co/cHUr1zt1XO,RT CanadianPM Canada make year year NewYear NYE https co cHUr1zt1XO,"['#NewYear', '#NYE']",Social,92,0.0,en,GCIndigenous_tweeter
6,821390545465577472,2017-01-17 16:15:41,"['https://t.co/20Xc6qO', 'https://t.co/xQDW8kHwZ']",RT @CBCIndigenous: 'It's a happy place now': Literacy rates on Manitoba First Nation soar  https://t.co/20Xc6qO81c https://t.co/xQDW8kHwZD,RT CBCIndigenous happy place Literacy rates Manitoba First Nation soar https co 20Xc6qO81c https co xQDW8kHwZD,[],Social,83,0.525,en,GCIndigenous_tweeter
7,818922292805795840,2017-01-10 20:47:44,[],"RT @JustinTrudeau: My thanks to @CAPChief for the meeting today, as we continue our work to renew relationships with Indigenous Peoples. ht…",RT JustinTrudeau thanks CAPChief meeting today continue work renew relationships Indigenous Peoples,[],Environmental,81,0.2,en,GCIndigenous_tweeter
8,819196289971867648,2017-01-11 14:56:30,[],"RT @WeMatterOrg: Sophie Grégoire Trudeau shares a beautiful message with #IndigenousYouth, part of the #WeMatterCampaign. See it here https…",RT WeMatterOrg Sophie goire Trudeau shares beautiful message IndigenousYouth part WeMatterCampaign See,"['#IndigenousYouth', '#WeMatterCampaign']",Environmental,81,0.85,en,GCIndigenous_tweeter
9,824257906350690305,2017-01-25 14:09:33,['https://t.co/jTy5YYYa6T'],RT @HealthyCdns: Sometimes something as simple as taking a walk with a loved one can improve your #MentalHealth. https://t.co/jTy5YYYa6T #B…,RT HealthyCdns Sometimes something simple taking walk loved one improve MentalHealth https co jTy5YYYa6T,"['#MentalHealth', '#B']",Social,77,0.35,en,GCIndigenous_tweeter
10,825114923873214464,2017-01-27 22:55:02,['https://t.co/dZzfoCimHK'],RT @CanadianPM: WATCH: Highlights from this week’s #PMYouthCouncil meetings. https://t.co/dZzfoCimHK,RT CanadianPM WATCH Highlights PMYouthCouncil meetings https co dZzfoCimHK,['#PMYouthCouncil'],Social,70,0.0,en,GCIndigenous_tweeter
11,816359759167234048,2017-01-03 19:05:08,"['https://t.co/9ykcP7cbuf', 'https://t.co/uoqpcEHZ']",Let's make 2017 a year of #reconciliation and participate in reconciliation efforts for #Canada150: https://t.co/9ykcP7cbuf #FNMI https://t.co/uoqpcEHZ99,Let make 2017 year reconciliation participate reconciliation efforts Canada150 https co 9ykcP7cbuf FNMI https co uoqpcEHZ99,"['#reconciliation', '#Canada150', '#FNMI']",Environmental,68,0.0,en,GCIndigenous_tweeter
