,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
3,3,2017-01-17_06-52-48,2017-01-17 06:52:48,https://instagram.fyvr3-1.fna.fbcdn.net/vp/57c4439f344949307181a9dc8ba5143a/5ADE25D5/t51.2885-15/e35/24838999_227232221149013_8966438413079150592_n.jpg,"We use motion-sensor cameras to photograph wildlife in their natural habitats. 🦅🦌🦊Turns out, our bait stick is quite popular with all species, be they winged, pawed, or hooved! Keep checking for our great candid shots of Canadian wildlife.•••",use motion sensor cameras photograph wildlife natural habitats Turns bait stick quite popular species winged pawed hooved nKeep checking great candid shots Canadian wildlife Raven CorvusCorax Fisher MartesPennanti Coyote CanisLatrans Elk Wapiti CervusCanadensis NationalWildlifeArea Reconyx Wildlife Canada CanEnvironment EnvironmentCanada WildlifePhotography CanadianWildlife ProtectedArea,"[""raven"",""corvuscorax"",""fisher"",""martespennanti"",""coyote"",""canislatrans"",""elk"",""wapiti"",""cervuscanadensis"",""nationalwildlifearea"",""reconyx"",""wildlife"",""canada"",""canenvironment"",""environmentcanada"",""wildlifephotography"",""canadianwildlife"",""protectedarea""]",11,116,127,Environmental,en,0.4037878787878788,canenvironment_instagram,"['wildlife', 'or', 'natural', 'species', 'mer']",positive
14,14,2017-01-30_08-00-10,2017-01-30 08:00:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/56e88eb95eed7da6b8a22f5d796ca0b5/5AF37832/t51.2885-15/e35/24327718_152329445402960_341727573962653696_n.jpg,"! This burrowing owl is doing his best to live up to the shining example set by our good friend the Common Loon. This little bird lives in one of National Wildlife Areas across Canada, where nationally significant habitats are protected for plants, animals and humans alike.  ",StrikeAPose burrowing owl best live shining example set good friend Common Loon nThis little bird lives one 54 National Wildlife Areas across Canada nationally significant habitats protected plants animals humans alike BirdYear BirdNerd BurrowingOwl Owl Owls InstaOwls Wildlife NationalWildlifeArea CanEnvironment NaturePhotography WildlifePhotography vogueingowl,"[""strikeapose"",""birdyear"",""birdnerd"",""burrowingowl"",""owl"",""owls"",""instaowls"",""wildlife"",""nationalwildlifearea"",""canenvironment"",""naturephotography"",""wildlifephotography"",""vogueingowl""]",0,105,105,Environmental,en,0.0,canenvironment_instagram,"['plants', 'wildlife', 'bird', 'nature']",neutral
16,16,2017-01-13_08-29-12,2017-01-13 08:29:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0788b0bc570e7db60bb0423d9a2f6778/5AE76F1E/t51.2885-15/e35/24178211_151359228828749_3263402128156131328_n.jpg,"Despite having the latest in technology, meteorologists still perform a hand analysis of weather maps daily at the Prairie and Arctic Storm Prediction Centre in Edmonton. Colouring is one of the best parts of the job! ",Despite latest technology meteorologists still perform hand analysis weather maps daily Prairie Arctic Storm Prediction Centre Edmonton Colouring one best parts job ColouringIsforAdultsToo Colouring Coloring HandDrawing meteorology deskjob busyatwork YEG alberta wx stormwarning severeweather computer setup weather weatherlive weathernerd mapmaker mymap photooftheday seasons Meteorologists Instaweather EnvironmentCan EnvironmentCanada,"[""colouringisforadultstoo"",""colouring"",""coloring"",""handdrawing"",""meteorology"",""deskjob"",""busyatwork"",""yeg"",""alberta"",""wx"",""stormwarning"",""severeweather"",""computer"",""setup"",""weather"",""weatherlive"",""weathernerd"",""mapmaker"",""mymap"",""photooftheday"",""seasons"",""meteorologists"",""instaweather"",""environmentcan"",""environmentcanada""]",6,98,104,Environmental,en,0.39341517857142855,canenvironment_instagram,"['or', 'air']",positive
17,17,2017-01-27_07-40-15,2017-01-27 07:40:15,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ee7bb98dd74cba78a3d64e4d6c490c93/5AF19563/t51.2885-15/e35/25010690_1570842046326225_5129324543617269760_n.jpg,"Pssst… If you didn’t know this by now, you should. We’re a little obsessed with owls 🦉 OWL OF EM’! (How couldn’t we?) So we just thought we would share this photo with you. A Snowy Owl hanging on a hay bale, no big thang.",know little obsessed owls OWL thought would share photo Snowy Owl hanging hay bale big thang CutenessOverload SnowyOwl Owls InstaOwls OwlsLovers HayBale Hay FarmLand Canada EnvironmentCan EnvironmentCanada FieldWork WolfeIsland Ontario DiscoverON NaturePhotography WildlifePhotography,"[""cutenessoverload"",""snowyowl"",""owls"",""instaowls"",""owlslovers"",""haybale"",""hay"",""farmland"",""canada"",""environmentcan"",""environmentcanada"",""fieldwork"",""wolfeisland"",""ontario"",""discoveron"",""naturephotography"",""wildlifephotography""]",1,103,104,Environmental,en,0.0,canenvironment_instagram,"['wildlife', 'or', 'nature']",neutral
46,46,2017-01-26_10-28-53,2017-01-26 10:28:53,https://instagram.fyvr3-1.fna.fbcdn.net/vp/53d39fcff287ea0e8555ef604a3e2168/5AF4B9F4/t51.2885-15/e35/24845450_172261746847438_2372639676335915008_n.jpg,"“Shhh, I think we’ve been spotted.” These pronghorns are a keen bunch!And fast too! Only the cheetah can outrun these speed demons; good thing they’re a whole ocean away from eachother!",Shhh think spotted pronghorns keen bunch nAnd fast cheetah outrun speed demons good thing whole ocean away eachother Pronghorn AntilocapraAmericana hithere Reconyx Wildlife Canada CanEnvironment WildlifePhotography InstaWild Prairies Grasslands NaturePhotography EnvironmentCanada FunnyAnimals AnimalSelfies CanadianWildlifeService CanadianWildlife,"[""pronghorn"",""antilocapraamericana"",""hithere"",""reconyx"",""wildlife"",""canada"",""canenvironment"",""wildlifephotography"",""instawild"",""prairies"",""grasslands"",""naturephotography"",""environmentcanada"",""funnyanimals"",""animalselfies"",""canadianwildlifeservice"",""canadianwildlife""]",5,83,88,Environmental,en,0.28065625,canenvironment_instagram,"['wildlife', 'lands', 'nature', 'ice', 'air', 'mer', 'or']",positive
53,53,2017-01-25_08-05-12,2017-01-25 08:05:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/43ca6a64853585508761e3757281cff0/5AFAC606/t51.2885-15/e35/25010251_539303213089588_32717420183420928_n.jpg,"It’s may seem tragic that this handsome bull will soon lose these spectacular antlers., but worry not, new and grander ones will grow. ",may seem tragic handsome bull soon lose spectacular antlers worry new grander ones grow Elk Wapiti CervusCanadensis Reconyx Wildlife Canada CanEnvironment WildlifePhotography InstaWild Prairies Grasslands NaturePhotography EnvironmentCanada FunnyAnimals AnimalSelfies,"[""elk"",""wapiti"",""cervuscanadensis"",""reconyx"",""wildlife"",""canada"",""canenvironment"",""wildlifephotography"",""instawild"",""prairies"",""grasslands"",""naturephotography"",""environmentcanada"",""funnyanimals"",""animalselfies""]",4,80,84,Environmental,en,0.5015625,canenvironment_instagram,"['air', 'wildlife', 'lands', 'or', 'nature']",positive
77,77,2017-01-16_06-15-25,2017-01-16 06:15:25,https://instagram.fyvr3-1.fna.fbcdn.net/vp/63bb19f25c6404c6b795b5661236f07c/5A63F277/t51.2885-15/e15/24331784_386478281810211_3612376201005367296_n.jpg,"Here is one of the most deceptively delightful predators in : The Fisher.Fishers are among the most effective land carnivores, especially given their size. Porcupine is their favourite prey! That’s one prickly meal.Here we see one hopping over and marking our bait stick (the scent glands are located in the rear). Then it’s off to investigate our camera as they click away.",one deceptively delightful predators NorthAmerica Fisher nFishers among effective land carnivores especially given size Porcupine favourite prey one prickly meal nHere see one hopping marking bait stick scent glands located rear investigate camera click away NationalWildlifeArea Reconyx Fisher MartesPennanti Wildlife Canada CanEnvironment WildlifePhotography InstaWild Prairies CanadianWildlife ExploreCanada ExploreAlberta FieldWork MammalSurvey WildlifeSurvey WildlifeMonitoring WildlifeResearch,"[""northamerica"",""nationalwildlifearea"",""reconyx"",""fisher"",""martespennanti"",""wildlife"",""canada"",""canenvironment"",""wildlifephotography"",""instawild"",""prairies"",""canadianwildlife"",""explorecanada"",""explorealberta"",""fieldwork"",""mammalsurvey"",""wildlifesurvey"",""wildlifemonitoring"",""wildliferesearch""]",1,74,75,Environmental,en,0.0,canenvironment_instagram,"['wildlife', 'lands', 'or', 'mer', 'air']",neutral
81,81,2017-01-18_06-42-49,2017-01-18 06:42:49,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9fdc0cccc90ecbdf753f1933edbe1c98/5AEEF8B1/t51.2885-15/e35/24845193_551353178532118_3425999183276933120_n.jpg,"Look deep into nature, and then you will understand everything better. –Albert EinsteinThis bear was soaking up the summer sights as much as he could. Autumn was a little less spectacular for him though, since he doesn't see much of the yellow-orange-red colour spectrum.   ",Look deep nature understand everything better Albert Einstein nThis bear soaking summer sights much could Autumn little less spectacular though since see much yellow orange red colour spectrum Ursidae UrsusAmericanus BlackBear Bear Bears InstaBears BearsOfInstagram Reconyx Wildlife Canada CanEnvironment WildlifePhotography InstaWild Prairies Grasslands NaturePhotography EnvironmentCanada FunnyAnimals QuotesOfInstagram Quote AlbertEinstein QuotesToLiveBy,"[""ursidae"",""ursusamericanus"",""blackbear"",""bear"",""bears"",""instabears"",""bearsofinstagram"",""reconyx"",""wildlife"",""canada"",""canenvironment"",""wildlifephotography"",""instawild"",""prairies"",""grasslands"",""naturephotography"",""environmentcanada"",""funnyanimals"",""quotesofinstagram"",""quote"",""alberteinstein"",""quotestoliveby""]",0,74,74,Environmental,en,0.0,canenvironment_instagram,"['wildlife', 'lands', 'nature', 'air', 'mer', 'or']",neutral
124,124,2017-01-03_06-57-52,2017-01-03 06:57:52,https://instagram.fyvr3-1.fna.fbcdn.net/vp/16fca4773d9c65bd7e92b6fbfd2c755a/5AFA1EEE/t51.2885-15/e35/24838458_824803227706150_4584350308229971968_n.jpg,"Tag a friend who can’t compete with puffins! The Tufted spends most of its life at sea, coming to land only to breed during a few critical months. Puffins are powerful flyers, beating their wings -400 times a minute to achieve speeds up to kph (40 mph). That would have just about any human puff-in through the day. : Catherine Jardine, Birds Studies Canada",Tag friend compete puffins nThe Tufted Puffin spends life sea land breed critical months Puffins powerful flyers beating wings 300 400 times minute achieve speeds 64 kph 40 mph would human puff day Catherine Jardine Birds Studies Canada BC ExploreBC Wildlife WildlifePhotography PuffinOfInstagram InstaBirds Nature NaturePhotography ProtectedArea ScottIslands CanEnvironment Breeding BirdLovers SeaAnimals BirdWatching EnvironmentCanada,"[""puffin"",""puffin"",""bc"",""explorebc"",""wildlife"",""wildlifephotography"",""puffinofinstagram"",""instabirds"",""nature"",""naturephotography"",""protectedarea"",""scottislands"",""canenvironment"",""breeding"",""birdlovers"",""seaanimals"",""birdwatching"",""environmentcanada""]",5,57,62,Environmental,en,0.0,canenvironment_instagram,"['or', 'wildlife', 'lands', 'bird', 'nature']",neutral
129,129,2017-01-24_05-49-52,2017-01-24 05:49:52,https://instagram.fyvr3-1.fna.fbcdn.net/vp/669bacf753e778f237765ca0b0e3b29e/5AFD0734/t51.2885-15/e35/25011670_138798590116721_4254050431061196800_n.jpg,"“I’m in love! I’m in love with this stick and I don’t care who knows it!”, exclaimed this twitterpated Mule Deer.🦌 It’s fun to imagine this deer is signing its heart out, but our say she was just enjoying a snack. ",love love stick care knows exclaimed twitterpated Mule Deer fun imagine deer signing heart biologists say enjoying snack AnimalSelfies Deer MuleDeer SigningAnimal OdocoileusHemionus Reconyx Wildlife Canada CanEnvironment WildlifePhotography InstaWild CanadianWildlifeService Prairies Grasslands NaturePhotography EnvironmentCanada FunnyAnimals ProtectedArea HiddenGems,"[""biologists"",""animalselfies"",""deer"",""muledeer"",""signinganimal"",""odocoileushemionus"",""reconyx"",""wildlife"",""canada"",""canenvironment"",""wildlifephotography"",""instawild"",""canadianwildlifeservice"",""prairies"",""grasslands"",""naturephotography"",""environmentcanada"",""funnyanimals"",""protectedarea"",""hiddengems""]",1,60,61,Environmental,en,0.5,canenvironment_instagram,"['air', 'wildlife', 'lands', 'ice', 'nature']",positive
