,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
300,300,2017-01-23_13-28-10,2017-01-23 13:28:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/64dc1a9a4058b3f78f6ddb37cb137b39/5AFBB0C0/t51.2885-15/e35/16110180_785033408301978_8492509362038767616_n.jpg,"It might be cold out there, but that’s no reason to stay inside. This beautiful picture of the Wapta Falls by will inspire you to , with Canada’s frozen beauty as your backdrop.",might cold reason stay inside beautiful picture Wapta Falls stevint inspire GetOutAndPlay frozen beauty backdrop MondayMotivation Canada150 ExploreCanada explorebc YohoNP YNP Canada Adventure LifeInCanada EnjoyCanada ImagesOfCanada travelgram,"[""getoutandplay"",""mondaymotivation"",""canada150"",""explorecanada"",""explorebc"",""yohonp"",""ynp"",""canada"",""adventure"",""lifeincanada"",""enjoycanada"",""imagesofcanada"",""travelgram""]",26,1589,1615,Environmental,en,0.09227022977022978,parks.canada_instagram,"['eau', 'or']",positive
301,301,2017-01-03_07-14-20,2017-01-03 07:14:20,https://instagram.fyvr3-1.fna.fbcdn.net/vp/117deaa36383eacc4a6b0be61ed131b1/5AD83162/t51.2885-15/e35/15877327_964286083701512_4801767063196532736_n.jpg,"How very fitting that the first park we feature in is Canada's first national park! Established in , Banff National Park has been protecting mountains, glaciers, waterfalls, lakes and wildlife for years! ",fitting first park feature 2017 Canada first national park Established 1885 Banff National Park protecting mountains glaciers waterfalls lakes wildlife 132 years adamcdyoung Canada150 ParksCanada Banff BanffNP mountains glaciers waterfalls lakes wildlife,"[""canada150"",""parkscanada"",""banff"",""banffnp"",""mountains"",""glaciers"",""waterfalls"",""lakes"",""wildlife""]",24,1586,1610,Environmental,en,0.2575617283950617,parks.canada_instagram,"['water', 'wildlife', 'park', 'lakes']",positive
312,312,2017-01-25_12-44-19,2017-01-25 12:44:19,https://instagram.fyvr3-1.fna.fbcdn.net/vp/efa2914cb44fa73bb5270e2e310b2dd0/5ADC68CD/t51.2885-15/e35/16123971_1877528645815978_4934522337652375552_n.jpg,"A Steller’s Jay, one of the emblems of British Columbia, poses gracefully for the camera in Glacier National Park. You won’t have problems observing this beautiful bird, as it isn’t normally frightened by humans.",Jay one emblems British Columbia poses gracefully camera Glacier National Park problems observing beautiful bird normally frightened humans GlacierNationalParkCanada Canada150 parkscanada explorecanada Stellersjay birds bird birding nature birdsofinstagram birdstagram wildlifephotography birdphotography photography birdlover wildlifewednesday,"[""glaciernationalparkcanada"",""canada150"",""parkscanada"",""explorecanada"",""stellersjay"",""birds"",""bird"",""birding"",""nature"",""birdsofinstagram"",""birdstagram"",""wildlifephotography"",""birdphotography"",""photography"",""birdlover"",""wildlifewednesday""]",15,1395,1410,Environmental,en,0.3516666666666667,parks.canada_instagram,"['wildlife', 'nature', 'park', 'or', 'mer', 'eau', 'bird']",positive
313,313,2017-01-18_12-56-14,2017-01-18 12:56:14,https://instagram.fyvr3-1.fna.fbcdn.net/vp/515017b04dc2ffc0a8fb1a0cc782c9bd/5AEC25C5/t51.2885-15/e35/16110240_1431967613481038_7432310209873182720_n.jpg,"With exceptional hiking and sightseeing, Yoho National Park offers a unique glimpse of Canada’s natural wonders, from the secrets of ancient ocean life to the power of ice and water!! PHOTO .photos ",exceptional hiking sightseeing Yoho National Park offers unique glimpse natural wonders secrets ancient ocean life power ice water PHOTO jpr photos ParksCanada Canada150 YohoNP YohoNationalPark hiking sighseeing YNP,"[""parkscanada"",""canada150"",""yohonp"",""yohonationalpark"",""hiking"",""sighseeing"",""ynp""]",19,1388,1407,Environmental,en,0.1537280701754386,parks.canada_instagram,"['water', 'natural', 'park', 'ice']",positive
323,323,2017-01-20_12-37-55,2017-01-20 12:37:55,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2f3c5441885a65123ccc78ad66deab5b/5AE4D9B5/t51.2885-15/e35/16123350_1643649039272279_1044541754398736384_n.jpg,There are new surprises to discover around every bend in Kootenay National Park! You can spend the day eloring deep canyons and tumbling waterfalls or traverse the park's backcountry trails! What are you waiting for??.,new surprises discover around every bend Kootenay National Park spend day exploring deep canyons tumbling waterfalls traverse park backcountry trails waiting ParksCanada Canada150 KootenayNP KootenayNationalPark canyons waterfalls backcountry KickingHorseRiver hiking,"[""parkscanada"",""canada150"",""kootenaynp"",""kootenaynationalpark"",""canyons"",""waterfalls"",""backcountry"",""kickinghorseriver"",""hiking""]",11,1310,1321,Environmental,en,0.2369318181818182,parks.canada_instagram,"['water', 'park', 'or']",positive
327,327,2017-01-30_13-48-16,2017-01-30 13:48:16,https://instagram.fyvr3-1.fna.fbcdn.net/vp/452767d633b2cf5d9ecb5d9fa110a369/5ADF0FFD/t51.2885-15/e35/16229200_163932860769955_4575806389917581312_n.jpg,Western Brook Pond in Gros Morne National Park is surrounded by steep rock walls at metres high. You can reach this oh-so-worth-it destination by following a km trail over coastal bogs and low limestone ridges. Would you like to ? Enter our Discover Canada contest for a chance to win! Details on our website - link in bio.,Western Brook Pond Gros Morne National Park surrounded steep rock walls 600 metres high reach oh worth destination following km trail coastal bogs low limestone ridges nWould like exploreNL Enter Discover Canada contest chance win Details website link bio hike hiking snowshoe westernbrookpond parkscanada GrosMorneNP grosmorne newfoundland explorenl discovernl canada canada150 getoutside explorecanada,"[""explorenl"",""hike"",""hiking"",""snowshoe"",""westernbrookpond"",""parkscanada"",""grosmornenp"",""grosmorne"",""newfoundland"",""explorenl"",""discovernl"",""canada"",""canada150"",""getoutside"",""explorecanada""]",21,1273,1294,Environmental,en,0.20892857142857146,parks.canada_instagram,"['park', 'or', 'coastal', 'coast']",positive
337,337,2017-01-13_12-53-56,2017-01-13 12:53:56,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6430640d92764664b80b6eff702e3602/5AF7D986/t51.2885-15/e35/16110988_1855559771334654_7791253782284730368_n.jpg,What a great view! Winter sure is an excellent time to enjoy mountain scenery and the serenity of Waterton Lakes National Park! PHOTO ,great view Winter sure excellent time enjoy mountain scenery serenity Waterton Lakes National Park PHOTO jillianangermeier WatertonLakesNP ShareTheChair ParksCanada Canada150 Winter Showshoeing,"[""watertonlakesnp"",""sharethechair"",""parkscanada"",""canada150"",""winter"",""showshoeing""]",22,1168,1190,Environmental,en,0.17941017316017316,parks.canada_instagram,"['water', 'park', 'lakes', 'air']",positive
339,339,2017-01-31_13-07-45,2017-01-31 13:07:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/77edf109c07553a7d3e430d9740a1383/5AE6BEA6/t51.2885-15/e35/16464422_1404484886259864_3899394034874974208_n.jpg,"The Appalachian mountain range gives Forillon National Park an out of this world beauty. In this enchanting site, you can hike and go kayaking at your heart’s content while admiring the abundant wildlife inhabiting the park Thanks for the picture, !",Appalachian mountain range gives Forillon National Park world beauty enchanting site hike go kayaking content admiring abundant wildlife inhabiting park nThanks picture lenezdehors Hiking Kayak ForillonNP ParksCanada Quebec canada canada150 GetOutside ExploreCanada QuebecMaritime roadtripqm,"[""hiking"",""kayak"",""forillonnp"",""parkscanada"",""quebec"",""canada"",""canada150"",""getoutside"",""explorecanada"",""roadtripqm""]",9,1138,1147,Environmental,en,0.40208333333333335,parks.canada_instagram,"['eau', 'wildlife', 'park', 'or']",positive
340,340,2017-01-28_15-57-17,2017-01-28 15:57:17,https://instagram.fyvr3-1.fna.fbcdn.net/vp/afcc8e027c606db31c5efb67387d4ab1/5AE7DE4F/t51.2885-15/e35/16228541_1853966711540971_3670996955498020864_n.jpg,"What a magnificent landscape! At the Saguenay-St. Lawrence Marine Park, admire the immensity of the sea in an exceptional setting. You might even see whales and belugas swimming gracefully in the waters. ",magnificent landscape Saguenay St Lawrence Marine Park admire immensity sea exceptional setting might even see whales belugas swimming gracefully waters Canada150 parkscanada explorecanada Saguenay SaguenayFjord underwater wildlife fish nature ocean sea Whale Whales,"[""canada150"",""parkscanada"",""explorecanada"",""saguenay"",""saguenayfjord"",""underwater"",""wildlife"",""fish"",""nature"",""ocean"",""sea"",""whale"",""whales""]",3,1138,1141,Environmental,en,0.45,parks.canada_instagram,"['wildlife', 'lands', 'nature', 'park', 'gas', 'ice', 'water', 'marine', 'or', 'landscape']",positive
343,343,2017-01-21_16-10-51,2017-01-21 16:10:51,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bbd1dd8716b55f9b947247ee44164ed4/5AF88394/t51.2885-15/e35/16122560_1807224019525363_4365250080702201856_n.jpg,"The grizzly bear is normally a solitary animal, but not today! After all, nothing beats a bear hug on .This adorable picture was taken in in Canada. The dense forests of the park allow for populations of large mammals, birds, and alpine species. Visit it this year!",grizzly bear normally solitary animal today nothing beats bear hug NationalHuggingDay nThis adorable picture taken GlacierNationalPark Canada dense forests park allow populations large mammals birds alpine species Visit year Canada150 grizzly bear cub cute animal wildlife wildlifephotography wildlifephotographer mycanadianphotos parkscanada explorecanada naturephoto naturephotography GlacierNationalParkCanada,"[""nationalhuggingday"",""glaciernationalpark"",""canada150"",""grizzly"",""bear"",""cub"",""cute"",""animal"",""wildlife"",""wildlifephotography"",""wildlifephotographer"",""mycanadianphotos"",""parkscanada"",""explorecanada"",""naturephoto"",""naturephotography"",""glaciernationalparkcanada""]",7,1089,1096,Environmental,en,0.07142857142857142,parks.canada_instagram,"['wildlife', 'or', 'populations', 'nature', 'park', 'bird', 'species']",positive
