,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,832288516444925953,2017-02-16 18:00:20,"['https://t.co/DaqUfcjdAN', 'https://t.co/C2lFhjQvDJ']",Célébrez le #JourAgCan. Découvrez l’agriculture canadienne : https://t.co/DaqUfcjdAN Une culture en pleine croissance! https://t.co/C2lFhjQvDJ,brez le JourAgCan couvrez agriculture canadienne https co DaqUfcjdAN Une culture en pleine croissance https co C2lFhjQvDJ,['#JourAgCan'],Environmental,18,0.0,fr,AAC_Canada_tweeter
1,828679816933175297,2017-02-06 19:00:39,['https://t.co/v4IKOaMZN6'],Février est le #MoisDeLaPomme! SVQ la pomme est la deuxième plus importante culture fruitière du Canada? #AgCan https://t.co/v4IKOaMZN6,vrier est le MoisDeLaPomme SVQ la pomme est la plus importante culture du Canada AgCan https co v4IKOaMZN6,"['#MoisDeLaPomme', '#AgCan']",Social,16,0.0,fr,AAC_Canada_tweeter
2,829015671363207168,2017-02-07 17:15:13,"['https://t.co/oBnBS1uEtN', 'https://t.co/U4FHqV8kna']",Qui est le plus grand exportateur de bleuets sauvages frais et congelés au monde? Le Canada! Célébrez l’#AgCan : https://t.co/oBnBS1uEtN https://t.co/U4FHqV8kna,Qui est le plus grand exportateur de bleuets sauvages frais et au monde Le Canada brez AgCan https co oBnBS1uEtN https co U4FHqV8kna,['#AgCan'],Economical,7,0.625,fr,AAC_Canada_tweeter
3,831571290419032064,2017-02-14 18:30:20,"['https://t.co/4IOoFW1JOi', 'https://t.co/8FJ22Nt7x']",Le #JourAgCan est ce jeudi! Que ferez-vous pour célébrer? #DécouvrezAg : https://t.co/4IOoFW1JOi https://t.co/8FJ22Nt7x8,Le JourAgCan est ce jeudi Que ferez vous pour brer couvrezAg https co 4IOoFW1JOi https co 8FJ22Nt7x8,"['#JourAgCan', '#D']",Social,7,0.0,fr,AAC_Canada_tweeter
4,836267746732146688,2017-02-27 17:32:22,"['https://t.co/bnDEX2N1ck', 'https://t.co/vvyX8qSnRk']",Vous voulez connaître les débouchés qu’offre l’#AECG pour vos produits de confiserie sur le marché de l’#UE? https://t.co/bnDEX2N1ck #AgCan https://t.co/vvyX8qSnRk,Vous voulez tre les offre AECG pour vos produits de confiserie sur le de UE https co bnDEX2N1ck AgCan https co vvyX8qSnRk,"['#AECG', '#UE', '#AgCan']",Economical,7,0.0,fr,AAC_Canada_tweeter
5,832303632213221376,2017-02-16 19:00:24,"['https://t.co/724gX2kPF', 'https://t.co/EfcO6iX5S']",Célébrez le #JourAgCan avec les aliments que vous aimez et les gens qui les produisent. Découvrez l’agriculture : https://t.co/724gX2kPF9 https://t.co/EfcO6iX5S2,brez le JourAgCan avec les aliments que vous aimez et les gens qui les produisent couvrez agriculture https co 724gX2kPF9 https co EfcO6iX5S2,['#JourAgCan'],Environmental,6,0.0,fr,AAC_Canada_tweeter
6,832318761524928513,2017-02-16 20:00:31,"['https://t.co/jkyS3908Wh', 'https://t.co/0BaPc1KZsz']",Découvrez de nouvelles recettes préparées avec des ingrédients canadiens! https://t.co/jkyS3908Wh #JourAgCan https://t.co/0BaPc1KZsz,couvrez de nouvelles recettes es avec des dients canadiens https co jkyS3908Wh JourAgCan https co 0BaPc1KZsz,['#JourAgCan'],Social,5,0.0,fr,AAC_Canada_tweeter
7,836622098189717504,2017-02-28 17:00:26,"['https://t.co/yoQUjfsuuV', 'https://t.co/FMFcFJN3E']",Le secteur #AgCan produit plus de 75 % du sirop d’érable au monde. Célébrez ses nombreuses réalisations : https://t.co/yoQUjfsuuV https://t.co/FMFcFJN3Eu,Le secteur AgCan produit plus de 75 du sirop rable au monde brez ses nombreuses alisations https co yoQUjfsuuV https co FMFcFJN3Eu,['#AgCan'],Economical,5,0.0,fr,AAC_Canada_tweeter
8,829030765002366976,2017-02-07 18:15:11,['https://t.co/oyfGVMn2l'],Des chercheurs du secteur #AgCan ont créé un nouveau système d’éclairage de serre qui combine des lampes HPS et DEL: https://t.co/oyfGVMn2ld,Des chercheurs du secteur AgCan ont un nouveau clairage de serre qui combine des lampes HPS et DEL https co oyfGVMn2ld,['#AgCan'],Environmental,4,0.0,fr,AAC_Canada_tweeter
9,833766798847782915,2017-02-20 19:54:30,"['https://t.co/2Evr1e8Sia', 'https://t.co/EKdAsqmN0J']",Les fermes canadiennes devraient afficher leur quatrième meilleur résultat annuel en termes de revenu net. https://t.co/2Evr1e8Sia #AgCan https://t.co/EKdAsqmN0J,Les fermes canadiennes devraient afficher leur meilleur sultat annuel en termes de revenu net https co 2Evr1e8Sia AgCan https co EKdAsqmN0J,['#AgCan'],Economical,3,0.0,fr,AAC_Canada_tweeter
