,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
0,0,798775163588850_1022430584556639,2017-02-09 10:50:19,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022430584556639/?type=3,Le Canada produit beaucoup de sirop d’érable! Renseignez-vous sur ce produit-vedette. http://ow.ly/lZJs308OBUD,Le Canada produit beaucoup de sirop d’érable! Renseignez-vous sur ce produit-vedette. UD,[],2016,88,453,1849,126,13,24,0,4,0,2557,Environmental,fr,0.008786137234413096,AgricultureCanadienne_facebook,['eau'],positive
1,1,798775163588850_1022331494566548,2017-02-09 07:10:14,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022331494566548/?type=3,Les pommes se conservent et restent fraîches plus longtemps grâce à l'innovation. Voyez comment : http://ow.ly/QaDq308OAbW,Les pommes se conservent et restent fraîches plus longtemps grâce à l'innovation. Voyez comment :,[],1574,65,370,1475,66,11,14,0,8,0,2009,Economical,fr,0.0,AgricultureCanadienne_facebook,['innovation'],neutral
2,2,798775163588850_1021979637935067,2017-02-08 16:50:11,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1021979637935067/?type=3,Nos chercheurs étudient la saveur des produits de l’érable canadiens. Découvrez pourquoi. http://ow.ly/MGn0308OADW,Nos chercheurs étudient la saveur des produits de l’érable canadiens. Découvrez pourquoi.,[],1123,196,378,1023,81,5,11,1,2,0,1697,Economical,fr,0.0,AgricultureCanadienne_facebook,['produits'],neutral
3,3,798775163588850_1020525681413796,2017-02-06 10:14:48,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1020525681413796/?type=3,Besoin d’un prêt pour améliorer votre ferme? Nous pouvons vous aider. Découvrez comment. http://ow.ly/HH4i308J3W5,Besoin d’un prêt pour améliorer votre ferme? Nous pouvons vous aider. Découvrez comment.,[],1046,42,324,1017,17,2,9,1,0,0,1412,Environmental,fr,0.0,AgricultureCanadienne_facebook,['or'],neutral
4,4,798775163588850_1021963211270043,2017-02-08 16:07:36,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1021963211270043/?type=3,Le lycopène donne sa couleur rouge à la tomate. Découvrez pourquoi nous l’étudions. http://ow.ly/FTNi308OBBT,Le lycopène donne sa couleur rouge à la tomate. Découvrez pourquoi nous l’étudions.,[],911,94,234,840,35,28,6,1,1,0,1239,unknown,fr,0.0,AgricultureCanadienne_facebook,,neutral
6,6,798775163588850_1022360681230296,2017-02-09 08:25:12,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022360681230296/?type=3,SVQ que le blé peut être utilisé pour fabriquer du maquillage et des tees pour le golf? http://ow.ly/olV6308OCt6,SVQ que le blé peut être utilisé pour fabriquer du maquillage et des tees pour le golf?,[],730,42,163,660,18,38,7,0,7,0,935,unknown,fr,0.0,AgricultureCanadienne_facebook,,neutral
7,7,798775163588850_1022409154558782,2017-02-09 10:10:11,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022409154558782/?type=3,La recherche menée au Canada aide à réduire les GES émis par les vaches. Voyez comment. http://ow.ly/yAZf308QiCP,La recherche menée au Canada aide à réduire les GES émis par les vaches. Voyez comment.,[],565,111,144,460,10,4,58,1,32,0,820,unknown,fr,0.03290250700517014,AgricultureCanadienne_facebook,,positive
9,9,798775163588850_1021897921276572,2017-02-08 14:27:26,https://www.facebook.com/AgricultureCanadienne/videos/1021897921276572/,Notre recherche permet au Canada de produire certaines des meilleures pommes au monde. Voyez comment : http://ow.ly/qPFi308OROV.,Notre recherche permet au Canada de produire certaines des meilleures pommes au monde. Voyez comment : .,[],150,13,69,136,10,0,2,1,1,0,232,unknown,fr,-0.05357142857142857,AgricultureCanadienne_facebook,,negative
11,11,798775163588850_1022391057893925,2017-02-09 09:36:18,https://www.facebook.com/AgricultureCanadienne/videos/1022391057893925/,Nous étudions les tomates depuis plus d’un siècle. Découvrez pourquoi : http://ow.ly/fTiJ308ORWJ.,Nous étudions les tomates depuis plus d’un siècle. Découvrez pourquoi : .,[],116,20,56,97,16,1,1,1,0,0,192,unknown,fr,-0.4,AgricultureCanadienne_facebook,,negative
48,48,798775163588850_1021196288013402,2017-02-07 11:55:11,http://ow.ly/3Oxv308LwIz,Nous acceptons les candidatures pour des postes de conseillers à Financement agricole Canada. Vous pensez avoir ce qu’il faut? Renseignez-vous sur les postes offerts et posez votre candidature dès aujourd’hui : http://ow.ly/3Oxv308LwIz,Nous acceptons les candidatures pour des postes de conseillers à Financement agricole Canada. Vous pensez avoir ce qu’il faut? Renseignez-vous sur les postes offerts et posez votre candidature dès aujourd’hui :,[],5,3,8,5,0,0,0,0,0,0,16,Economical,fr,0.0,AgricultureCanadienne_facebook,"['financement', 'finance']",neutral
51,51,798775163588850_1017356358397395,2017-02-01 12:00:43,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1017356358397395/?type=3,Nous célébrons la pomme de terre ce mois-ci en dévoilant nos nouvelles sélections de pommes de terre pour 2017! Consultez notre page tout au long du mois pour en savoir plus sur ces tubercules utiles et avoir un aperçu des nouvelles sélections de 2017. Quelle est votre pomme de terre préférée et comment l’apprêtez-vous? Répondez-nous dans la section des commentaires.,Nous célébrons la pomme de terre ce mois-ci en dévoilant nos nouvelles sélections de pommes de terre pour ! Consultez notre page tout au long du mois pour en savoir plus sur ces tubercules utiles et avoir un aperçu des nouvelles sélections de . Quelle est votre pomme de terre préférée et comment l’apprêtez-vous? Répondez-nous dans la section des commentaires.,[],11,0,4,11,0,0,0,0,0,0,15,Environmental,fr,0.0,AgricultureCanadienne_facebook,['air'],neutral
86,86,798775163588850_1032299703569727,2017-02-24 10:23:35,http://ow.ly/r61z309ka6c,"Les probiotiques ne sont pas destinés qu’aux humains! Magdalena Kostrzynska (Ph. D.), de notre centre de recherche et de développement à Guelph, a découvert que les probiotiques peuvent contribuer à améliorer la santé des animaux d’élevage lorsqu’ils sont consommés avec des fibres alimentaires. Apprenez-en davantage sur les travaux de Mme Kostrzynska : http://ow.ly/r61z309ka6c","Les probiotiques ne sont pas destinés qu’aux humains! Magdalena Kostrzynska (Ph. D.), de notre centre de recherche et de développement à Guelph, a découvert que les probiotiques peuvent contribuer à améliorer la santé des animaux d’élevage lorsqu’ils sont consommés avec des fibres alimentaires. Apprenez-en davantage sur les travaux de Mme Kostrzynska : c",[],8,1,3,7,1,0,0,0,0,0,12,Environmental,fr,0.0,AgricultureCanadienne_facebook,"['or', 'vert', 'air']",neutral
103,103,798775163588850_1026959090770455,2017-02-16 10:30:14,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1026959090770455/?type=3,Nous célébrons le Jour de l’agriculture canadienne aujourd’hui et tous les jours avec les aliments que nous aimons et les personnes qui les produisent. Essayez un nouvel aliment et découvrez de nouvelles saveurs merveilleuses. Découvrez l’agriculture canadienne : http://ow.ly/XqrI30948h1,Nous célébrons le Jour de l’agriculture canadienne aujourd’hui et tous les jours avec les aliments que nous aimons et les personnes qui les produisent. Essayez un nouvel aliment et découvrez de nouvelles saveurs merveilleuses. Découvrez l’agriculture canadienne : 1,[],3,1,7,3,0,0,0,0,0,0,11,Environmental,fr,0.0,AgricultureCanadienne_facebook,"['agriculture', 'mer']",neutral
104,104,798775163588850_1027944310671933,2017-02-17 13:08:23,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1027944310671933/?type=3,Les Perspectives agricoles canadiennes pour 2017 viennent tout juste d’être publiées. Faits saillants : http://ow.ly/szeT3096Pfb,Les Perspectives agricoles canadiennes pour viennent tout juste d’être publiées. Faits saillants :,[],6,0,5,6,0,0,0,0,0,0,11,unknown,fr,0.0,AgricultureCanadienne_facebook,,neutral
132,132,798775163588850_1022578541208510,2017-02-09 16:10:06,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/1022578541208510/?type=3,Le Jour de l’agriculture canadienne est le 16 février. Découvrez de nouveaux aliments et de nouvelles saveurs intéressantes ou essayez une nouvelle recette! Vous pourriez être surpris de ce que vous pouvez créer avec des ingrédients canadiens. Connaissez-vous bien l’agriculture canadienne? Une culture en pleine croissance! http://ow.ly/E8LA308Rdc6,Le Jour de l’agriculture canadienne est le février. Découvrez de nouveaux aliments et de nouvelles saveurs intéressantes ou essayez une nouvelle recette! Vous pourriez être surpris de ce que vous pouvez créer avec des ingrédients canadiens. Connaissez-vous bien l’agriculture canadienne? Une culture en pleine croissance!,[],6,0,3,6,0,0,0,0,0,0,9,Environmental,fr,0.0,AgricultureCanadienne_facebook,"['eau', 'agriculture']",neutral
