,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
0,0,883120228472315_1168600633257605,2017-02-09 10:10:11,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168600633257605/?type=3,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how. http://ow.ly/67Xi308QixN,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how.,[],7164,2077,1539,5452,129,74,860,43,606,0,10780,Environmental,en,0.05339751912883031,CanadianAgriculture_facebook,"['gas', 'emissions ', 'greenhouse gas']",positive
1,1,883120228472315_1168625373255131,2017-02-09 10:50:17,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168625373255131/?type=3,Canada produces a lot of maple syrup! Learn all about this Canadian icon. http://ow.ly/oKiN308OBQ5,Canada produces a lot of maple syrup! Learn all about this Canadian icon.,[],8816,267,1678,7988,597,200,21,4,6,0,10761,unknown,en,0.19477726239845367,CanadianAgriculture_facebook,,positive
2,2,883120228472315_1168515283266140,2017-02-09 08:25:11,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168515283266140/?type=3,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop. http://ow.ly/ACgQ308R6gX,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop.,[],5527,403,872,5141,110,199,16,19,42,0,6802,Environmental,en,0.0,CanadianAgriculture_facebook,['or'],neutral
3,3,883120228472315_1168458146605187,2017-02-09 07:10:15,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168458146605187/?type=3,Canadian scientists help extend the shelf life and freshness of apples. Find out how: http://ow.ly/C8ib308OA4s,Canadian scientists help extend the shelf life and freshness of apples. Find out how:,[],5375,480,831,4890,212,40,8,21,204,0,6686,unknown,en,0.0,CanadianAgriculture_facebook,,neutral
4,4,883120228472315_1167946449989690,2017-02-08 16:07:20,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1167946449989690/?type=3,Lycopene gives the tomato its red colour. Find out why our researchers are studying it. http://ow.ly/DXmn308OBu1,Lycopene gives the tomato its red colour. Find out why our researchers are studying it. u1,[],5250,314,899,4981,131,113,15,3,7,0,6463,unknown,en,0.0,CanadianAgriculture_facebook,,neutral
6,6,883120228472315_1167969256654076,2017-02-08 16:50:12,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1167969256654076/?type=3,Our researchers are studying the flavours in Canadian maple products. Find out why. http://ow.ly/TCoh308OAtN,Our researchers are studying the flavours in Canadian maple products. Find out why.,[],4340,770,997,3973,239,35,69,6,18,0,6107,unknown,en,0.0,CanadianAgriculture_facebook,,neutral
8,8,883120228472315_1167882279996107,2017-02-08 14:16:45,https://www.facebook.com/CanadianAgriculture/videos/1167882279996107/,Our research helps Canada produce some of the best apples in the world. Find out how: http://ow.ly/MHgF308ORLj,Our research helps Canada produce some of the best apples in the world. Find out how:,[],841,87,357,767,54,4,8,3,5,0,1285,Environmental,en,0.0,CanadianAgriculture_facebook,['or'],neutral
10,10,883120228472315_1168573073260361,2017-02-09 09:35:03,https://www.facebook.com/CanadianAgriculture/videos/1168573073260361/,We've been studying tomatoes for over a century. Find out why: http://ow.ly/FFRo308ORTW.,We've been studying tomatoes for over a century. Find out why: .,[],459,64,160,413,35,9,1,1,0,0,683,Environmental,en,0.0,CanadianAgriculture_facebook,['or'],neutral
21,21,883120228472315_1176244239159911,2017-02-17 13:07:55,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1176244239159911/?type=3,The 2017 Canadian Agricultural Outlook has just been released. Check out the highlights: http://ow.ly/dMIs3096P3j,The Canadian Agricultural Outlook has just been released. Check out the highlights:,[],76,2,27,74,1,1,0,0,0,0,105,unknown,en,0.0,CanadianAgriculture_facebook,,neutral
40,40,883120228472315_1173944049389930,2017-02-15 13:15:00,http://www.agr.gc.ca/eng/?id=1486504891903,"Today, we’re excited to be releasing our new 2017 potato selections! 

Every year, using a combination of traditional techniques and new technologies we release about 10-15 new kinds of potatoes. These new types have been narrowed down from roughly 120,000 seedlings.

For more info on this year’s potatoes, see: http://ow.ly/DFgi3092bvd.","Today, we’re excited to be releasing our new potato selections! Every year, using a combination of traditional techniques and new technologies we release about -15 new kinds of potatoes. These new types have been narrowed down from roughly ,000 seedlings. For more info on this year’s potatoes, see: d.",[],40,6,12,40,0,0,0,0,0,0,58,Economical,en,0.08051748800295312,CanadianAgriculture_facebook,"['technologies', 'technologie']",positive
