,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
7,7,831942920597037056,2017-02-15 19:07:03,['https://t.co/BdLfqjdN7j'],"Flag Day is celebrated everywhere in the country, even on board Canadian Coast Guard hovercraft #CanadianFlag #FlagDay #Canada150 #CCG55 https://t.co/BdLfqjdN7j",Flag Day celebrated everywhere country even board Canadian Coast Guard hovercraft CanadianFlag FlagDay Canada150 CCG55 https co BdLfqjdN7j,"['#CanadianFlag', '#FlagDay', '#Canada150', '#CCG55']",23,54,77,Environmental,en,0.35,Positive,DFO_CCG_Quebec_tweeter,"['guard', 'coast']"
40,40,836683993861001216,2017-02-28 21:06:23,"['https://t.co/CUlQIiKaSa', 'https://t.co/OGz\xe2\x80\xa6']",RT @DFO_MPO: Interested in marine conservation and law enforcement? Apply to be a Fishery Officer! https://t.co/CUlQIiKaSa https://t.co/OGz…,RT Interested marine conservation law enforcement Apply Fishery Officer https co CUlQIiKaSa https co,[],41,0,41,Environmental,en,0.3125,Neutral,DFO_CCG_Quebec_tweeter,"['conservation', 'marine', 'or', 'ice']"
77,77,834784657162043392,2017-02-23 15:19:06,"['https://t.co/vS4syuee6r', 'https://t.co/f1FdePJsbl']",RT @DFO_MPO: Love whales but can’t seem to tell them apart? We have a video for that https://t.co/vS4syuee6r https://t.co/f1FdePJsbl,RT Love whales seem tell apart video https co vS4syuee6r https co f1FdePJsbl,[],27,0,27,unknown,en,0.5,Positive,DFO_CCG_Quebec_tweeter,
100,100,831876481655721985,2017-02-15 14:43:03,['https://t.co/i8MdcwTBVw'],Canadian Coast Guard team in Montreal proudly holding the #CanadianFlag #FlagDay #Canada150 #CCG55 https://t.co/i8MdcwTBVw,Canadian Coast Guard team Montreal proudly holding CanadianFlag FlagDay Canada150 CCG55 https co i8MdcwTBVw,"['#CanadianFlag', '#FlagDay', '#Canada150', '#CCG55']",6,18,24,Environmental,en,0.8,Positive,DFO_CCG_Quebec_tweeter,"['guard', 'coast']"
104,104,830066475683676160,2017-02-10 14:50:44,['https://\xe2\x80\xa6'],RT @CCG_GCC: #BravoZulu to everyone who contributed to the successful outcome of the MV Thorco Crown incident. #Partners #CCGProud https://…,RT BravoZulu everyone contributed successful outcome MV Thorco Crown incident Partners CCGProud https,"['#BravoZulu', '#Partners', '#CCGProud']",23,0,23,Social,en,0.75,Positive,DFO_CCG_Quebec_tweeter,['crown']
112,112,833015017448546305,2017-02-18 18:07:11,"['https://t.co/KvBhxTJ7Z4', 'https://\xe2\x80\xa6']",RT @DFO_MPO: Happy #WorldWhaleDay! It’s a great time to learn more about these amazing creatures creatures https://t.co/KvBhxTJ7Z4 https://…,RT Happy WorldWhaleDay great time learn amazing creatures creatures https co KvBhxTJ7Z4 https,['#WorldWhaleDay'],22,0,22,Environmental,en,0.725,Positive,DFO_CCG_Quebec_tweeter,['or']
177,177,834416646555054081,2017-02-22 14:56:45,"['https://t.co/m8xwoC6nEL', 'https://t.co/FMjZVIKJ\xe2\x80\xa6']",RT @CCG_GCC: #CCGCollege is recruiting now. Apply today for an exciting career with the #CCG! https://t.co/m8xwoC6nEL https://t.co/FMjZVIKJ…,RT CCGCollege recruiting Apply today exciting career CCG https co m8xwoC6nEL https co,"['#CCGCollege', '#CCG']",16,0,16,unknown,en,0.375,Positive,DFO_CCG_Quebec_tweeter,
188,188,831188032594251777,2017-02-13 17:07:24,['https://t.co/iZJE2j1pqS'],RT @DFO_Science: Canada needs more #womeninscience! Learn about DFO science career opportunities here: https://t.co/iZJE2j1pqS #WomenScienc…,RT Canada needs womeninscience Learn DFO science career opportunities https co iZJE2j1pqS,"['#womeninscience', '#WomenScienc']",16,0,16,Social,en,0.625,Positive,DFO_CCG_Quebec_tweeter,['women']
247,247,829046988423442432,2017-02-07 19:19:39,[],"RT @CCG_GCC: 1/4 The #CCG is monitoring a disabled cargo ship 32NM off Port aux Basques, NL.",RT CCG monitoring disabled cargo ship 32NM Port aux Basques NL,['#CCG'],13,0,13,Environmental,en,-0.2,Neutral,DFO_CCG_Quebec_tweeter,['or']
248,248,829755708363124737,2017-02-09 18:15:51,"['https://t.co/OX2FJY6Ith', 'https://t.co/TbIjfprKF']",See Radio-Canada's report on the work of #CCG’s #icebreaker CCGS #DesGroseilliers https://t.co/OX2FJY6Ith In French only https://t.co/TbIjfprKFC,See Radio Canada report work icebreaker CCGS DesGroseilliers https co OX2FJY6Ith French https co TbIjfprKFC,"['#CCG', '#icebreaker', '#DesGroseilliers']",7,6,13,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['or', 'ice']"
