,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,832008451492610049,2017-02-15 23:27:27,[],"RT @ParksCanada: It’s been quite the race, but here we are! Happy #FlagDay Canada! Celebrating 52 years of the #CanadianFlag @WatertonLakes…",RT ParksCanada quite race Happy FlagDay Canada Celebrating 52 years CanadianFlag,"['#FlagDay', '#CanadianFlag']",Environmental,567,1.0,en,DFO_Central_tweeter
1,832318645569216513,2017-02-16 20:00:03,['https://t.co/s2Zeg704'],CCGS #SamuelRisley #icebreaking into #Goderich ON for @AlgomaCentral M/V John B. Aird. Photo courtesy Captain C. Vautier #CCGproud @CCG_GCC https://t.co/s2Zeg704U8,CCGS SamuelRisley icebreaking Goderich AlgomaCentral John Aird Photo courtesy Captain Vautier CCGproud https co s2Zeg704U8,"['#SamuelRisley', '#icebreaking', '#Goderich', '#CCGproud']",Environmental,54,0.0,en,DFO_Central_tweeter
2,830143304385888256,2017-02-10 19:56:01,['https://t.co/z3Mte9tgIl'],Ready to respond on the #GreatLakes: CCGS #Griffon training with #USCG Air Station Detroit @USCGGreatLakes #SARpartners #MaritimeSafety https://t.co/z3Mte9tgIl,Ready respond GreatLakes CCGS Griffon training USCG Air Station Detroit USCGGreatLakes SARpartners MaritimeSafety https co z3Mte9tgIl,"['#GreatLakes', '#Griffon', '#USCG', '#SARpartners', '#MaritimeSafety']",Environmental,42,0.2,en,DFO_Central_tweeter
3,831817369701986304,2017-02-15 10:48:10,"['https://t.co/CjTv6BPFbf', 'https://t.co/v8jANyB0wl']",It’s National Flag of Canada Day! @CCG_GCC crews of CCGS #Griffon and CCGS #SamuelRisley celebrate the #CanadianFlag https://t.co/CjTv6BPFbf https://t.co/v8jANyB0wl,National Flag Canada Day crews CCGS Griffon CCGS SamuelRisley celebrate CanadianFlag https co CjTv6BPFbf https co v8jANyB0wl,"['#Griffon', '#SamuelRisley', '#CanadianFlag']",Social,41,0.0,en,DFO_Central_tweeter
4,828274636135751680,2017-02-05 16:10:36,['https://t.\xe2\x80\xa6'],RT @CCG_GCC: #DYK the #CCG operates 100+ vessels from coast to coast to coast to serve on &amp; protect Cdn waters? #twentyfourseven https://t.…,RT DYK CCG operates 100 vessels coast coast coast serve amp protect Cdn waters twentyfourseven https,"['#DYK', '#CCG', '#twentyfourseven']",Environmental,38,0.0,en,DFO_Central_tweeter
5,831854297402966016,2017-02-15 13:14:54,['https://t.co/7KjGoexZyw'],RT @CCG_GCC: All #CCG ships and employees proud to fly the #CanadianFlag #FlagDay #Canada150 #CCG55 https://t.co/7KjGoexZyw,RT CCG ships employees proud fly CanadianFlag FlagDay Canada150 CCG55 https co 7KjGoexZyw,"['#CCG', '#CanadianFlag', '#FlagDay', '#Canada150', '#CCG55']",Social,38,0.8,en,DFO_Central_tweeter
6,830445073976479752,2017-02-11 15:55:09,[],"RT @CCG_GCC: Behind the vessels and helicopters, our employees dedicate their lives to saving others. Thanks to all of you! #SAR #Partners…",RT Behind vessels helicopters employees dedicate lives saving others Thanks SAR,"['#SAR', '#Partners']",Social,29,-0.07500000000000001,en,DFO_Central_tweeter
7,833001202396823552,2017-02-18 17:12:17,"['https://t.co/cA58C9Am1p', 'https://t.co/EM\xe2\x80\xa6']",RT @ec_minister: #DYK: the #GreatLakes supply drinking water to 40M Americans and Canadians. #CanUS https://t.co/cA58C9Am1p https://t.co/EM…,RT DYK GreatLakes supply drinking water 40M Americans Canadians CanUS https co cA58C9Am1p https co,"['#DYK', '#GreatLakes', '#CanUS']",Environmental,26,0.0,en,DFO_Central_tweeter
8,831963110151970821,2017-02-15 20:27:17,[],"RT @DFO_CCG_Quebec: Flag Day is celebrated everywhere in the country, even on board Canadian Coast Guard hovercraft #CanadianFlag #FlagDay…",RT Flag Day celebrated everywhere country even board Canadian Coast Guard hovercraft CanadianFlag,"['#CanadianFlag', '#FlagDay']",Environmental,23,0.35,en,DFO_Central_tweeter
9,833001361000243200,2017-02-18 17:12:55,"['https://t.co/KvBhxTJ7Z4', 'https://\xe2\x80\xa6']",RT @DFO_MPO: Happy #WorldWhaleDay! It’s a great time to learn more about these amazing creatures creatures https://t.co/KvBhxTJ7Z4 https://…,RT Happy WorldWhaleDay great time learn amazing creatures creatures https co KvBhxTJ7Z4 https,['#WorldWhaleDay'],Environmental,22,0.725,en,DFO_Central_tweeter
