,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,830155928464928769,2017-02-10 20:46:11,['https://t.co\xe2\x80\xa6'],RT @DFO_Science: Tomorrow we start a month long celebration of DFO’s #WomenInScience. How will you celebrate #WomenScienceDay? https://t.co…,RT Tomorrow start month long celebration WomenInScience celebrate WomenScienceDay https,"['#WomenInScience', '#WomenScienceDay']",Social,80,-0.05,en,DFO_NL_tweeter
1,836240565687681024,2017-02-27 15:44:22,"['https://t.co/cCjrMnV59s', 'https://t\xe2\x80\xa6']","RT @DFO_MPO: Fishery Officers enforce the Fisheries Act by patrolling the land, air and sea. Apply today! https://t.co/cCjrMnV59s https://t…",RT Fishery Officers enforce Fisheries Act patrolling land air sea Apply today https co cCjrMnV59s https,[],Environmental,65,0.0,en,DFO_NL_tweeter
2,827871122616094722,2017-02-04 13:27:11,['https://t.co/f96D62oLlI'],"RT @JTFA_FOIA: Dramatic video of #103Sqn #SAR near Burin, NL, yesterday https://t.co/f96D62oLlI",RT Dramatic video 103Sqn SAR near Burin NL yesterday https co f96D62oLlI,"['#103Sqn', '#SAR']",Social,42,-0.16666666666666666,en,DFO_NL_tweeter
3,832255007093305345,2017-02-16 15:47:10,['https://t.co/jAeQSCq98T'],CCGS #TerryFox assisting tugs R.J. Ballott and Hudson Bay Explorer on northeast coast Feb. 15. #CCG #Icebreaking. Photos: Richard Ballott https://t.co/jAeQSCq98T,CCGS TerryFox assisting tugs Ballott Hudson Bay Explorer northeast coast Feb 15 CCG Icebreaking Photos Richard Ballott https co jAeQSCq98T,"['#TerryFox', '#CCG', '#Icebreaking']",Environmental,41,0.0,en,DFO_NL_tweeter
4,828605664876429313,2017-02-06 14:05:59,['https://t.\xe2\x80\xa6'],RT @CCG_GCC: #DYK the #CCG operates 100+ vessels from coast to coast to coast to serve on &amp; protect Cdn waters? #twentyfourseven https://t.…,RT DYK CCG operates 100 vessels coast coast coast serve amp protect Cdn waters twentyfourseven https,"['#DYK', '#CCG', '#twentyfourseven']",Environmental,38,0.0,en,DFO_NL_tweeter
5,834848407185408002,2017-02-23 19:32:25,['https://t.co/RTJz31StW'],Photos taken from the MV Apollo of CCGS #HenryLarsen #icebreaking in the Strait of Belle Isle this morning #CCG Photos: Kirk McNeil https://t.co/RTJz31StWu,Photos taken MV Apollo CCGS HenryLarsen icebreaking Strait Belle Isle morning CCG Photos Kirk McNeil https co RTJz31StWu,"['#HenryLarsen', '#icebreaking', '#CCG']",Environmental,36,0.0,en,DFO_NL_tweeter
6,829340818880208897,2017-02-08 14:47:14,['https://t.co/Ed6mIQ6tFt'],Photos of  CCGS #EarlGrey escorting @ApolloFerry Feb. 6 &amp; 7 across Belle Isle Strait. #CCG #Icebreaking https://t.co/Ed6mIQ6tFt,Photos CCGS EarlGrey escorting ApolloFerry Feb amp across Belle Isle Strait CCG Icebreaking https co Ed6mIQ6tFt,"['#EarlGrey', '#CCG', '#Icebreaking']",Environmental,35,0.0,en,DFO_NL_tweeter
7,830078111370838017,2017-02-10 15:36:58,[],#DFONL is celebrating early. International Day of Women and Girls in Science is tomorrow. Meet some of our amazing #WomenInScience today!,DFONL celebrating early International Day Women Girls Science tomorrow Meet amazing WomenInScience today,"['#DFONL', '#WomenInScience']",Social,35,0.2833333333333334,en,DFO_NL_tweeter
8,832654557356306433,2017-02-17 18:14:51,['https://t.co/U7YqytOskw'],#WorldWhaleDay is tomorrow. Have a listen to minke whales recorded off NL. @DFO_Science #DFONL https://t.co/U7YqytOskw,WorldWhaleDay tomorrow listen minke whales recorded NL DFONL https co U7YqytOskw,"['#WorldWhaleDay', '#DFONL']",Environmental,31,0.0,en,DFO_NL_tweeter
9,829771406053359616,2017-02-09 19:18:14,['https://t.co/UyY65va2U4'],"See a seal hanging around your community? Laying about is normal behaviour. Please, leave it be. #DFONL https://t.co/UyY65va2U4",See seal hanging around community Laying normal behaviour Please leave DFONL https co UyY65va2U4,['#DFONL'],Social,29,0.15,en,DFO_NL_tweeter
