,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,830416468185587712,2017-02-11 14:01:29,"['https://t.co/DYwz9KHh95', 'https://t.co/xhhXcvpMSs']",Envie de découvrir les sites de #ParcsCanada? N’oubliez pas de commander votre carte d’entrée Découverte #GRATUITE! https://t.co/DYwz9KHh95 https://t.co/xhhXcvpMSs,Envie de couvrir les sites de ParcsCanada oubliez pas de commander votre carte couverte GRATUITE https co DYwz9KHh95 https co xhhXcvpMSs,"['#ParcsCanada', '#GRATUITE']",Environmental,287,0.0,fr,ParcsCanada_tweeter
1,828634757747601412,2017-02-06 16:01:36,"['https://t.co/pjaSWvHGe', 'https://t.co/U6bNFQXSWF']",Le #Canada a le plus grand réseau d’aires protégées au monde! Aidez à protéger l’environnement pendant vos vacances https://t.co/pjaSWvHGeu https://t.co/U6bNFQXSWF,Le Canada le plus grand seau aires es au monde Aidez ger environnement pendant vos vacances https co pjaSWvHGeu https co U6bNFQXSWF,['#Canada'],Environmental,39,0.625,fr,ParcsCanada_tweeter
2,831476940993331207,2017-02-14 12:15:25,['https://t.co/o72aXQxJZ'],Joyeuse #SaintValentin aux amoureux! Envoyez ceci à l’être cher. 💞❤️ https://t.co/o72aXQxJZ8,Joyeuse SaintValentin aux amoureux Envoyez ceci cher https co o72aXQxJZ8,['#SaintValentin'],Social,33,0.0,fr,ParcsCanada_tweeter
3,836280567155027968,2017-02-27 18:23:19,"['https://t.co/vmyGIswNwo', 'https://t.co/XmFeHfolcR']",NOUVELLES du #PNMauricie : #SophieGrégoireTrudeau est notre guide honoraire pour #Canada150! https://t.co/vmyGIswNwo https://t.co/XmFeHfolcR,NOUVELLES du PNMauricie goireTrudeau est notre guide honoraire pour Canada150 https co vmyGIswNwo https co XmFeHfolcR,"['#PNMauricie', '#SophieGr', '#Canada150']",Environmental,30,0.0,fr,ParcsCanada_tweeter
4,831850820291403777,2017-02-15 13:01:05,['https://t.co/2PCnYQddXf'],"Ce fut toute une course, mais nous y voici : Joyeux #JourDuDrapeau Canada! Célébrons les 52 ans du #DrapeauCanadien  au @PNLacsWaterton. https://t.co/2PCnYQddXf",Ce fut toute une course mais nous voici Joyeux JourDuDrapeau Canada brons les 52 ans du DrapeauCanadien au PNLacsWaterton https co 2PCnYQddXf,"['#JourDuDrapeau', '#DrapeauCanadien']",Environmental,30,0.0,fr,ParcsCanada_tweeter
5,828740375816859648,2017-02-06 23:01:17,['https://t.co/JyvGPn93dS'],Plongez-vous dans l’histoire grâce au #NOUVEAU guide des lieux hist. nationaux du #Canada de @NatGeo #LHN100 https://t.co/JyvGPn93dS,Plongez vous dans histoire ce au NOUVEAU guide des lieux hist nationaux du Canada de NatGeo LHN100 https co JyvGPn93dS,"['#NOUVEAU', '#Canada', '#LHN100']",Environmental,19,0.0,fr,ParcsCanada_tweeter
6,827154952070000645,2017-02-02 14:01:23,['https://t.co/LHJhQNzmW'],"Joyeux Jour de la marmotte! Voici un chien de prairie, un cousin de la marmotte, au parc national des Prairies 📷 @krista_prairie_photos https://t.co/LHJhQNzmWD",Joyeux Jour de la marmotte Voici un chien de prairie un cousin de la marmotte au parc national des Prairies https co LHJhQNzmWD,[],Environmental,19,0.0,fr,ParcsCanada_tweeter
7,833662754057764865,2017-02-20 13:01:03,['https://t.co/xJHN7IUFZ'],"Nous avons reçu des commandes de partout dans le monde pour la #CarteDécouverte, même du Vatican et de l'Antarctique! Célébrons #Canada150 🎉 https://t.co/xJHN7IUFZu",Nous avons des commandes de partout dans le monde pour la couverte du Vatican et de Antarctique brons Canada150 https co xJHN7IUFZu,"['#CarteD', '#Canada150']",Environmental,19,0.0,fr,ParcsCanada_tweeter
8,836287779629903872,2017-02-27 18:51:58,['https://t.co/aYjE384ZbE'],Nous sommes très heureux que #SophieGrégoireTrudeau soit notre guide honoraire pour les #familles toute l’année! https://t.co/aYjE384ZbE,Nous sommes heureux que goireTrudeau soit notre guide honoraire pour les familles toute https co aYjE384ZbE,"['#SophieGr', '#familles']",Environmental,18,0.0,fr,ParcsCanada_tweeter
9,827861025982705665,2017-02-04 12:47:04,['https://t.co/gDrdUmXvRp'],Profitez du beau temps pour venir patiner sur le @LHNCanalRideau! Joignez-vous à la @ministre_ec et Parka à 13 h! @VivezlaCapitale https://t.co/gDrdUmXvRp,Profitez du beau temps pour venir patiner sur le LHNCanalRideau Joignez vous la et Parka 13 VivezlaCapitale https co gDrdUmXvRp,[],Environmental,17,0.0,fr,ParcsCanada_tweeter
