,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
41,41,829336357663281152,2017-02-08 14:29:30,"['https://t.co/IasfEhdynM', 'https://t.c\xe2\x80\xa6']",RT @VIA_Rail: Vous prévoyez prendre part aux célébrations du #Canada150? On vous transporte avec style. https://t.co/IasfEhdynM https://t.c…,RT Vous voyez prendre part aux brations du Canada150 vous transporte avec style https co IasfEhdynM https,['#Canada150'],25,0,25,Economical,fr,0.0,Neutral,Transports_gc_tweeter,['transport']
42,42,829032909852069889,2017-02-07 18:23:43,['https://t.co/5qBOv78kAS'],"Le ministre Garneau, @VIA_Rail and @JimWatsonOttawa célèbrent ensemble #Canada150 à #Ottawa https://t.co/5qBOv78kAS",Le ministre Garneau JimWatsonOttawa brent ensemble Canada150 Ottawa https co 5qBOv78kAS,"['#Canada150', '#Ottawa']",7,17,24,Economical,fr,0.0,Neutral,Transports_gc_tweeter,['ministre']
69,69,833049926753988608,2017-02-18 20:25:54,['https://t.co/hWp92eIX'],RT @MPO_DFO: Respectez les #baleines pour protéger ces superbes créatures. Voici nos conseils pour les marins https://t.co/hWp92eIXU8 https…,RT Respectez les baleines pour ger ces superbes atures Voici nos conseils pour les marins https co hWp92eIXU8,['#baleines'],18,0,18,unknown,fr,0.0,Neutral,Transports_gc_tweeter,
89,89,833049952616140801,2017-02-18 20:26:00,['https://t.co/zPtIVBq\xe2\x80\xa6'],RT @MPO_DFO: Joyeuse Journée mondiale des #baleines! Voici l’occasion de tout connaître sur ces créatures stupéfiantes https://t.co/zPtIVBq…,RT Joyeuse mondiale des baleines Voici occasion de tout tre sur ces atures fiantes https co,['#baleines'],15,0,15,Economical,fr,0.0,Neutral,Transports_gc_tweeter,"['mondiale', 'mondial']"
117,117,831850885387055104,2017-02-15 13:01:20,['https://t.co/BERahbqfnB'],#JourDuDrapeau Sortez votre #DrapeauCanadien aujourd’hui! Célébrons #Canada150 @AuCanada https://t.co/BERahbqfnB,JourDuDrapeau Sortez votre DrapeauCanadien hui brons Canada150 AuCanada https co BERahbqfnB,"['#JourDuDrapeau', '#DrapeauCanadien', '#Canada150']",4,8,12,Environmental,es,0.0,Neutral,Transports_gc_tweeter,"['eau', 'or']"
120,120,834734874447794176,2017-02-23 12:01:17,"['https://t.co/AiK6ZXB0hr', 'https://t.co/4DpZ1ZZPG']","Bonne #JournéeAviationDay! La sécurité aérienne au #Canada, nous y voyons! https://t.co/AiK6ZXB0hr https://t.co/4DpZ1ZZPGu",Bonne eAviationDay La rienne au Canada nous voyons https co AiK6ZXB0hr https co 4DpZ1ZZPGu,"['#Journ', '#Canada']",6,6,12,unknown,fr,0.0,Neutral,Transports_gc_tweeter,
158,158,826596137503170561,2017-02-01 01:00:51,"['https://t.co/sS59WqfOfJ', 'https://t.co/XpHVPXtS2z']","#Rappel: Ford F150. Après démarrage par temps froid, défaillance possible de l’affichage du groupe instruments. https://t.co/sS59WqfOfJ https://t.co/XpHVPXtS2z",Rappel Ford F150 marrage par temps froid faillance possible de affichage du groupe instruments https co sS59WqfOfJ https co XpHVPXtS2z,['#Rappel'],8,2,10,Environmental,fr,0.0,Neutral,Transports_gc_tweeter,['or']
170,170,827139920548491264,2017-02-02 13:01:39,['https://t.co/Zya7hjLCsz'],#JourDeLaMarmotte Vous l’apercevez et voulez l’annoncer! #LaisseFaireLeCellulaire Gardez les mains sur le volant et les yeux sur la route! https://t.co/Zya7hjLCsz,JourDeLaMarmotte Vous apercevez et voulez annoncer LaisseFaireLeCellulaire Gardez les mains sur le volant et les yeux sur la route https co Zya7hjLCsz,"['#JourDeLaMarmotte', '#LaisseFaireLeCellulaire']",6,4,10,Environmental,fr,0.0,Neutral,Transports_gc_tweeter,['air']
237,237,830106629513281537,2017-02-10 17:30:17,"['https://t.co/KjO9gOcIRe', 'https://t.co/1d9Fu3ShGi']",#PlanDeProtectionDesOcéans : Le gouvernement du Canada travaille à la protection de #NosCôtes en #BC : https://t.co/KjO9gOcIRe https://t.co/1d9Fu3ShGi,ans Le gouvernement du Canada travaille la protection de tes en BC https co KjO9gOcIRe https co 1d9Fu3ShGi,"['#PlanDeProtectionDesOc', '#NosC', '#BC']",7,2,9,unknown,fr,0.0,Neutral,Transports_gc_tweeter,
228,228,834828475072647169,2017-02-23 18:13:13,"['https://t.co/koYnakcm8j', 'https://t.co/RI69GHyu5']",Vous voyez quelqu’un pointer un #laser vers un #aéronef? Communiquez avec la police locale: https://t.co/koYnakcm8j #PasBrillant https://t.co/RI69GHyu52,Vous voyez un pointer un laser vers un ronef Communiquez avec la police locale https co koYnakcm8j PasBrillant https co RI69GHyu52,"['#laser', '#a', '#PasBrillant']",6,3,9,Social,fr,0.0,Neutral,Transports_gc_tweeter,"['locale', 'local']"
