,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
14,14,831904798207258624,2017-02-15 16:35:34,"['https://t.co/t6syWD89jq', 'https://t\xe2\x80\xa6']",RT @Europarl_EN: ...And it's a yes! MEPs back #Ceta. Read more about the EU-Canada trade agreement here → https://t.co/t6syWD89jq https://t…,RT yes MEPs back Ceta Read EU Canada trade agreement https co t6syWD89jq https,['#Ceta'],658,0,658,unknown,en,0.25,Neutral,ec_minister_tweeter,
18,18,829125282091134976,2017-02-08 00:30:46,"['https://t.co/WIlShJNHWp', 'https://t.co/qFBXi8K6l']",What an amazing operation by @ParksCanada! A historic moment and a perfect way to mark #Canada150! https://t.co/WIlShJNHWp @BanffNP #bison https://t.co/qFBXi8K6lC,amazing operation ParksCanada historic moment perfect way mark Canada150 https co WIlShJNHWp BanffNP bison https co qFBXi8K6lC,"['#Canada150', '#bison']",202,383,585,Environmental,en,0.5833333333333334,Positive,ec_minister_tweeter,"['park', 'or']"
28,28,830409712332050432,2017-02-11 13:34:38,[],Today is International Day of Women and Girls in Science! Follow @environmentca for great profiles of women in the field. #WomenScienceDay,Today International Day Women Girls Science Follow environmentca great profiles women field WomenScienceDay,['#WomenScienceDay'],193,241,434,Social,en,0.4,Positive,ec_minister_tweeter,['women']
57,57,828684726902935552,2017-02-06 19:20:09,['https://t.co/q9CcFecB4v'],This is a big deal for #conservation: the return of #bison to @BanffNP will restore a keystone species to the #PantherValley ecosystem. https://t.co/q9CcFecB4v,big deal conservation return bison BanffNP restore keystone species PantherValley ecosystem https co q9CcFecB4v,"['#conservation', '#bison', '#PantherValley']",96,196,292,Environmental,en,0.0,Neutral,ec_minister_tweeter,"['ecosystem', 'conservation', 'species', 'or']"
73,73,828675443838554112,2017-02-06 18:43:16,['https://t.co/VSL9hiz6h3'],The #bison are home! This is an important milestone for @BanffNP. A celebration of the #environment &amp; #culture for #Canada150! @ParksCanada https://t.co/VSL9hiz6h3,bison home important milestone BanffNP celebration environment amp culture Canada150 ParksCanada https co VSL9hiz6h3,"['#bison', '#environment', '#culture', '#Canada150']",78,176,254,Social,en,0.5,Positive,ec_minister_tweeter,['culture']
108,108,834009971541102593,2017-02-21 12:00:47,['https://t.co/Osqz4XUZo'],"TODAY: I’m on #FacebookLive hosted by @enertweets, 12:30 EST! I’ll #TalkEnergy &amp; climate action w/ #youth. @Gilwad https://t.co/Osqz4XUZo9",TODAY FacebookLive hosted enertweets 12 30 EST TalkEnergy amp climate action youth Gilwad https co Osqz4XUZo9,"['#FacebookLive', '#TalkEnergy', '#youth']",39,149,188,Environmental,en,0.1,Neutral,ec_minister_tweeter,"['climate', 'climat']"
128,128,831257863351836672,2017-02-13 21:44:53,[],RT @CanadianPM: PM Trudeau and President Trump announce the creation of the Council for Advancement of Women Entrepreneurs and Business Lea…,RT CanadianPM PM Trudeau President Trump announce creation Council Advancement Women Entrepreneurs Business,[],169,0,169,Social,en,0.0,Neutral,ec_minister_tweeter,['women']
134,134,831257789095882752,2017-02-13 21:44:35,[],RT @CanadianPM: PM Trudeau and President Trump reaffirm the close relationship and ongoing collaboration between our two countries: https:/…,RT CanadianPM PM Trudeau President Trump reaffirm close relationship ongoing collaboration two countries https,[],161,0,161,Social,en,0.0,Neutral,ec_minister_tweeter,['collaboration']
142,142,827140841286336512,2017-02-02 13:05:18,['https://t.co/rLgKSwYPv'],"#DYK it's #WorldWetlandsDay? Wetlands host diverse plant and animal life, and provide habitat for #speciesatrisk! #WetlandsForOurFuture https://t.co/rLgKSwYPv1",DYK WorldWetlandsDay Wetlands host diverse plant animal life provide habitat speciesatrisk WetlandsForOurFuture https co rLgKSwYPv1,"['#DYK', '#WorldWetlandsDay', '#speciesatrisk', '#WetlandsForOurFuture']",65,93,158,Environmental,en,0.0,Neutral,ec_minister_tweeter,"['wetlands', 'lands', 'species', 'or']"
159,159,830044948863004672,2017-02-10 13:25:11,['https://t.co/rGSmgykgj5'],"Celebrate #WinterBikeToWorkDay! If the weather doesn’t allow biking in your region, try taking transit for the day! #CANClimateAction https://t.co/rGSmgykgj5",Celebrate WinterBikeToWorkDay weather allow biking region try taking transit day CANClimateAction https co rGSmgykgj5,"['#WinterBikeToWorkDay', '#CANClimateAction']",54,93,147,Environmental,en,0.0,Neutral,ec_minister_tweeter,"['climate', 'biking', 'or', 'climat']"
