,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
4,4,831905454443859970,2017-02-15 16:38:11,['https://t.co/DnxU5X4wmH'],RT @Europarl_FR: #CETA Le Parlement européen approuve l'accord économique et commercial global avec le Canada 🇪🇺🇨🇦 https://t.co/DnxU5X4wmH,RT CETA Le Parlement en approuve accord conomique et commercial global avec le Canada https co DnxU5X4wmH,['#CETA'],217,0,217,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,"['or', 'mer']"
9,9,834009970333073411,2017-02-21 12:00:46,['https://t.co/42rjUIXF0R'],"AJD : Suiv.-moi s. Facebook Live à @tweetsenergie 12h30 (HNE) #ParlonsEnergie + action clim. av. #jeunes. @Gilwad 
https://t.co/42rjUIXF0R",AJD Suiv moi Facebook Live tweetsenergie 12h30 HNE ParlonsEnergie action clim av jeunes Gilwad https co 42rjUIXF0R,"['#ParlonsEnergie', '#jeunes']",21,77,98,Social,en,0.11818181818181818,Neutral,ministre_ec_tweeter,['jeunes']
49,49,831258185797398529,2017-02-13 21:46:10,[],RT @PMcanadien: Le PM Trudeau et le président Trump réitèrent la relation étroite et la collaboration continue entre nos deux pays: https:/…,RT PMcanadien Le PM Trudeau et le sident Trump rent la relation troite et la collaboration continue entre nos deux pays https,[],37,0,37,Social,fr,0.0,Neutral,ministre_ec_tweeter,['collaboration']
54,54,831258316391272450,2017-02-13 21:46:41,['https://t.co\xe2\x80\xa6'],RT @PMcanadien: Le premier ministre Justin Trudeau conclut sa première rencontre officielle avec le président Donald J. Trump: https://t.co…,RT PMcanadien Le premier ministre Justin Trudeau conclut sa rencontre officielle avec le sident Donald Trump https,[],36,0,36,Economical,fr,0.0,Neutral,ministre_ec_tweeter,['ministre']
55,55,829126987901984769,2017-02-08 00:37:33,"['https://t.co/Z0dha3OLTy', 'https://t.co/xlIc1Li8ai']",Quelle opération de @ParcsCanada! Un moment historique et une façon idéale de souligner #Canada150! https://t.co/Z0dha3OLTy @pnBanff #bison https://t.co/xlIc1Li8ai,Quelle ration de ParcsCanada Un moment historique et une ale de souligner Canada150 https co Z0dha3OLTy pnBanff bison https co xlIc1Li8ai,"['#Canada150', '#bison']",14,20,34,Social,fr,0.0,Neutral,ministre_ec_tweeter,"['parc', 'historique']"
60,60,831258262414716928,2017-02-13 21:46:28,[],RT @PMcanadien: Le PM Trudeau et le président Trump annoncent la création du Conseil pour l’avancement des femmes entrepreneures et chefs d…,RT PMcanadien Le PM Trudeau et le sident Trump annoncent la ation du Conseil pour avancement des femmes entrepreneures et chefs,[],33,0,33,Social,fr,0.0,Neutral,ministre_ec_tweeter,['femmes']
79,79,831925255958646785,2017-02-15 17:56:52,['https://t.\xe2\x80\xa6'],RT @PMcanadien: Le Canada se réjouit que l'@Europarl_FR ait voté en faveur de l'#AECG et de l'Accord de partenariat stratégique. https://t.…,RT PMcanadien Le Canada se jouit que ait en faveur de AECG et de Accord de partenariat gique https,['#AECG'],29,0,29,Economical,fr,0.0,Neutral,ministre_ec_tweeter,['partenariat']
105,105,836326318430105601,2017-02-27 21:25:07,['https://t.co/E9LMuICQO3'],J’ai visité le labo des technos de l'énergie d’Hydro-Québec. Au menu : utilisation efficace de l’énergie. #EfficacitéÉnergétique https://t.co/E9LMuICQO3,ai le labo des technos de nergie Hydro bec Au menu utilisation efficace de nergie tique https co E9LMuICQO3,['#Efficacit'],9,16,25,unknown,fr,0.0,Neutral,ministre_ec_tweeter,
130,130,832332520834400257,2017-02-16 20:55:11,['https://t.co/0mdTFyCsOW'],RT @CommerceCanada: Voici plusieurs secteurs d’activités qui bénéficieront de l’#AECG : https://t.co/0mdTFyCsOW,RT CommerceCanada Voici plusieurs secteurs qui ficieront de AECG https co 0mdTFyCsOW,['#AECG'],22,0,22,Economical,fr,0.0,Neutral,ministre_ec_tweeter,"['secteur', 'commerce']"
137,137,830410257990111236,2017-02-11 13:36:48,[],Bonne Journée internat.  femmes + filles en science! Voyez profils de femmes dans le domaine @environnementca.  #FemmesDeScience,Bonne internat femmes filles en science Voyez profils de femmes dans le domaine environnementca FemmesDeScience,['#FemmesDeScience'],9,12,21,Social,fr,0.0,Neutral,ministre_ec_tweeter,['femmes']
145,145,831902332422078464,2017-02-15 16:25:46,[],RT @PMcanadien: L'@Europarl_FR a voté OUI à la ratification de l'#AECG.,RT PMcanadien OUI la ratification de AECG,['#AECG'],21,0,21,unknown,es,0.0,Neutral,ministre_ec_tweeter,
209,209,836281746622722048,2017-02-27 18:28:00,"['https://t.co/rNilvQaxjH', 'https://t.co/AFhW5Wn2sB']",Quelle journée idéale pour annoncer que Sophie Grégoire Trudeau est la guide honoraire de @ParcsCanada! #Canada150 https://t.co/rNilvQaxjH https://t.co/AFhW5Wn2sB,Quelle ale pour annoncer que Sophie goire Trudeau est la guide honoraire de ParcsCanada Canada150 https co rNilvQaxjH https co AFhW5Wn2sB,['#Canada150'],9,7,16,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,"['eau', 'parc', 'or', 'air']"
214,214,828675602987225089,2017-02-06 18:43:54,['https://t.co/PKMdZtb7LO'],Les #bisons sont arrivés! Événement marquant pour le @PNBanff. Fêtons l'#environment et la  #culture pour #Canada150! @ParcsCanada https://t.co/PKMdZtb7LO,Les bisons sont nement marquant pour le PNBanff environment et la culture pour Canada150 ParcsCanada https co PKMdZtb7LO,"['#bisons', '#environment', '#culture', '#Canada150']",7,9,16,Social,fr,0.0,Neutral,ministre_ec_tweeter,"['culture', 'parc']"
218,218,831902775579648000,2017-02-15 16:27:32,[],RT @CommerceCanada: Le vote positif d'aujourd'hui au Parlement sur C-30 nous rapproche des avantages qu’offrira l’#AECG aux Canadiens. http…,RT CommerceCanada Le vote positif aujourd hui au Parlement sur 30 nous rapproche des avantages offrira AECG aux Canadiens,['#AECG'],16,0,16,Social,fr,0.0,Neutral,ministre_ec_tweeter,"['vote', 'mer']"
223,223,836287384991981570,2017-02-27 18:50:24,['https://t.co/dwzLNpnEJo'],"En raquettes au #PNMauricie, c’est amusant! Surtout avec ce groupe de #jeunes intrépides et la charmante #SophieGrégoireTrudeau! https://t.co/dwzLNpnEJo",En raquettes au PNMauricie est amusant Surtout avec ce groupe de jeunes pides et la charmante goireTrudeau https co dwzLNpnEJo,"['#PNMauricie', '#jeunes', '#SophieGr']",6,10,16,Social,fr,0.0,Neutral,ministre_ec_tweeter,['jeunes']
249,249,831491975157264384,2017-02-14 13:15:09,['https://t.co/bb7GJTiPo'],Montrez votre #amour pour l’environnement cette #SaintValentin en nous disant comment vous luttez c. les #ChangementsClimatiques! https://t.co/bb7GJTiPo2,Montrez votre amour pour environnement cette SaintValentin en nous disant comment vous luttez les ChangementsClimatiques https co bb7GJTiPo2,"['#amour', '#SaintValentin', '#ChangementsClimatiques']",5,10,15,Social,fr,0.0,Neutral,ministre_ec_tweeter,"['changement', 'change']"
246,246,836330091487559681,2017-02-27 21:40:06,['https://t.co/khj3UN85v'],Le labo des technos de l’énergie d’Hydro-Québec : des gens qui développent des mesures et des technos en #EfficacitéÉnergétique. https://t.co/khj3UN85v8,Le labo des technos de nergie Hydro bec des gens qui veloppent des mesures et des technos en tique https co khj3UN85v8,['#Efficacit'],7,8,15,unknown,fr,0.0,Neutral,ministre_ec_tweeter,
238,238,829038133996036097,2017-02-07 18:44:28,[],"RT @DevCanada: Les collectivités pauvres + marginalisées, en particulier les femmes+les jeunes, sont les plus vulnérables aux effets des ch…",RT DevCanada Les pauvres es en particulier les femmes les jeunes sont les plus rables aux effets des,[],15,0,15,Social,fr,0.0,Neutral,ministre_ec_tweeter,"['femmes', 'jeunes']"
266,266,826904685365825540,2017-02-01 21:26:54,['https://t.co/rzBUOjfMMM'],"2017 est une année spéciale pour le Canada. Célébrons le patrimoine de notre pays et un élément imp. de sa beauté, la #nature! #Canada150 https://t.co/rzBUOjfMMM",2017 est une ciale pour le Canada brons le patrimoine de notre pays et un ment imp de sa la nature Canada150 https co rzBUOjfMMM,"['#nature', '#Canada150']",4,10,14,Social,fr,0.0,Neutral,ministre_ec_tweeter,['nature']
270,270,831206328345489415,2017-02-13 18:20:06,"['https://t.co/efqAfZszv', 'https://t.co/uy8IfcgsIR']",Le Canada et les É-U célèbrent 100 ans de protection des #OiseauxMigrateurs. https://t.co/efqAfZszvu https://t.co/uy8IfcgsIR,Le Canada et les brent 100 ans de protection des OiseauxMigrateurs https co efqAfZszvu https co uy8IfcgsIR,['#OiseauxMigrateurs'],7,7,14,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,"['oiseau', 'eau', 'oiseaux']"
316,316,835999182024556546,2017-02-26 23:45:11,"['https://t.co/q7HJCMSvPF', 'https://t.co/oLJJoNphzQ']","À @ParcsCanada, les #étudiants ont un impact réel sur la #conservation et l’expérience du visiteur. Pour postuler : https://t.co/q7HJCMSvPF https://t.co/oLJJoNphzQ",ParcsCanada les tudiants ont un impact el sur la conservation et rience du visiteur Pour postuler https co q7HJCMSvPF https co oLJJoNphzQ,"['#', '#conservation']",4,9,13,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,"['conservation', 'parc']"
338,338,831987724366274561,2017-02-15 22:05:05,['https://t.co/zZ0Lhf5wuk'],"L’#AECG prévoit des engagements de gestion durable des forêts et des pêches, de conservation et de lutte c. les changements climatiques. https://t.co/zZ0Lhf5wuk",AECG voit des engagements de gestion durable des et des de conservation et de lutte les changements climatiques https co zZ0Lhf5wuk,['#AECG'],6,6,12,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,"['durable', 'conservation', 'climat']"
377,377,828665850139901952,2017-02-06 18:05:09,"['https://t.co/aPgyrQKYYe', 'https://t.co/rrUENiPR3s']",Je suis fière du transfert réussi de 16 #bisons dans le @pnBanff par @ParcsCanada : https://t.co/aPgyrQKYYe #conservation https://t.co/rrUENiPR3s,Je suis du transfert ussi de 16 bisons dans le pnBanff par ParcsCanada https co aPgyrQKYYe conservation https co rrUENiPR3s,"['#bisons', '#conservation']",4,7,11,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,"['conservation', 'parc']"
411,411,831208866692157443,2017-02-13 18:30:11,"['https://t.co/Ly8Ly1FxOk', 'https://t.co/uc36BOcqJe']","#SVQ? Le 16 août 1916, le 1er traité pour les #OiseauxMigrateurs fut signé par #CanUs. #BirdYear https://t.co/Ly8Ly1FxOk https://t.co/uc36BOcqJe",SVQ Le 16 1916 le 1er pour les OiseauxMigrateurs fut par CanUs BirdYear https co Ly8Ly1FxOk https co uc36BOcqJe,"['#SVQ', '#OiseauxMigrateurs', '#CanUs', '#BirdYear']",4,7,11,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,"['oiseau', 'eau', 'bird', 'oiseaux']"
423,423,836624670082355200,2017-02-28 17:10:39,"['https://t.co/W3dkP1hopv', 'https://t.co/uNPkp1CeKa']",Bonne nouvelle! Ns modernisons réseau prévisions météo cdn pour vs aider à vs protéger en cas temps violent. ⚡ https://t.co/W3dkP1hopv https://t.co/uNPkp1CeKa,Bonne nouvelle Ns modernisons seau visions cdn pour vs aider vs ger en cas temps violent https co W3dkP1hopv https co uNPkp1CeKa,[],8,3,11,Environmental,fr,-0.8,Negative,ministre_ec_tweeter,['eau']
439,439,833782448823627776,2017-02-20 20:56:41,[],"#ParlonsEnergie @tweetsenergie, 21févr.: de l’idée à l’action p. le climat! Joign.-vs à moi, Andrea Brazeau et @Gilwad s. Facebook Live!",ParlonsEnergie tweetsenergie vr de action le climat Joign vs moi Andrea Brazeau et Gilwad Facebook Live,['#ParlonsEnergie'],4,6,10,Environmental,nl,0.1477272727272727,Neutral,ministre_ec_tweeter,"['eau', 'climat']"
449,449,836336380817068033,2017-02-27 22:05:06,['https://t.co/gWiEES6nzW'],#SVQ? Ces maisons d’Hydro-Québec utiliseront des #TechnologiesVertes et aideront à combler les besoins futurs des familles moyennes. 👏 https://t.co/gWiEES6nzW,SVQ Ces maisons Hydro bec utiliseront des TechnologiesVertes et aideront combler les besoins futurs des familles moyennes https co gWiEES6nzW,"['#SVQ', '#TechnologiesVertes']",4,6,10,Social,fr,0.0,Neutral,ministre_ec_tweeter,"['ami', 'famille', 'futur']"
466,466,827140841315696640,2017-02-02 13:05:18,['https://t.co/f5Es6Imftk'],#SVQ c'est la Journée mondiale des #zoneshumides? Les zones humides abritent une diversité végétale et des #espècesenpéril! https://t.co/f5Es6Imftk,SVQ est la mondiale des zoneshumides Les zones humides abritent une tale et des ril https co f5Es6Imftk,"['#SVQ', '#zoneshumides', '#esp']",5,5,10,Economical,fr,0.0,Neutral,ministre_ec_tweeter,"['mondiale', 'mondial']"
494,494,828684726563172352,2017-02-06 19:20:09,['https://t.co/gCr8EOgZ9L'],Apport colossal en #conservation : le retour du #bison au @PNBanff rétablira une espèce maîtresse dans l'écosystème de la #ValléePanther. https://t.co/gCr8EOgZ9L,Apport colossal en conservation le retour du bison au PNBanff tablira une ce tresse dans de la ePanther https co gCr8EOgZ9L,"['#conservation', '#bison', '#Vall']",5,5,10,Environmental,fr,0.3,Neutral,ministre_ec_tweeter,"['conservation', 'or']"
536,536,829753975574495232,2017-02-09 18:08:58,['https://t.co/SA1DZmhk\xe2\x80\xa6'],"RT @canada150e: Le Jour du drapeau est dans une semaine! D’ici là, participez au défi du #drapeaucanadien! #Canada150 https://t.co/SA1DZmhk…",RT canada150e Le Jour du drapeau est dans une semaine ici participez au fi du drapeaucanadien Canada150 https co,"['#drapeaucanadien', '#Canada150']",9,0,9,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,['eau']
563,563,832331692622897152,2017-02-16 20:51:54,['https://t.co/DaqUfcjdAN'],RT @AAC_Canada: Célébrez le #JourAgCan. Découvrez l’agriculture canadienne : https://t.co/DaqUfcjdAN Une culture en pleine croissance! http…,RT brez le JourAgCan couvrez agriculture canadienne https co DaqUfcjdAN Une culture en pleine croissance,['#JourAgCan'],9,0,9,Environmental,fr,0.0,Neutral,ministre_ec_tweeter,['agriculture']
