,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,2017-02-10_14-39-39,2017-02-10 14:39:39,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c364e6cd407fa387255afcd6bcc9deb8/5ADCEC62/t51.2885-15/e35/16584805_247772829006528_1838026753197473792_n.jpg,"Kootenay national park is a place of unique contrasts, from icy mountain rivers to steamy hot springs. Not only can you admire this ️️, you can also visit exhibits at the Kootenay national park Visitor Centre illuminating the fascinating cultural and natural heritage of the park and the Columbia Valley – with a special focus on local Ktunaxa First Nations culture. Thanks for the photo ",Kootenay national park place unique contrasts icy mountain rivers steamy hot springs nNot admire WinterWonderland also visit exhibits Kootenay national park Visitor Centre illuminating fascinating cultural natural heritage park Columbia Valley special focus local Ktunaxa First Nations culture nThanks photo stevint wilderness travel themountainiscalling keepitwild explore explorebc explorecanada canada KootenayNP parkscanada canada150,"[""winterwonderland"",""wilderness"",""travel"",""themountainiscalling"",""keepitwild"",""explore"",""explorebc"",""explorecanada"",""canada"",""kootenaynp"",""parkscanada"",""canada150""]",Social,2341,0.17329545454545456,en,parks.canada_instagram
1,2017-02-12_15-20-34,2017-02-12 15:20:34,https://instagram.fyvr3-1.fna.fbcdn.net/vp/653b591eff39c09f9ca212a93a2975bf/5AF50B36/t51.2885-15/e35/16583146_1834727763453214_6846125153395408896_n.jpg,"A fun little throwback to last fall by . Remember when it wasn’t minus °C, and °C weather felt really cold? Nonetheless, we love our cold winters in beautiful Yoho national park!",fun little throwback last fall Picobac Remember minus 10 weather felt really cold Nonetheless love cold winters beautiful Yoho national park adventure travel beautifuldestinations explorecanada explorebc parkscanada canada150 winterwonderland YohoNP YNP,"[""adventure"",""travel"",""beautifuldestinations"",""explorecanada"",""explorebc"",""parkscanada"",""canada150"",""winterwonderland"",""yohonp"",""ynp""]",Environmental,1958,0.13794642857142858,en,parks.canada_instagram
2,2017-02-27_13-16-52,2017-02-27 13:16:52,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2e24c14706d2d58d8189bea843d16125/5AE06281/t51.2885-15/e35/16908186_240191506442355_812751453289447424_n.jpg,"Happy ! This photo from was taken in Wapusk National Park, which protects one of the largest polar bear maternity denning areas in the world. We are committed to the protection of these majestic, curious and agile creatures, the largest land carnivores in North America.",Happy InternationalPolarBearDay photo daisygilardini taken Wapusk National Park protects one largest polar bear maternity denning areas world committed protection majestic curious agile creatures largest land carnivores North America WapuskNationalPark WapuskNP ParksCanada Canada150 ExploreCanada Canada PolarBears Bears Conservation AnimalProtection Arctic GreatNorth North,"[""internationalpolarbearday"",""wapusknationalpark"",""wapusknp"",""parkscanada"",""canada150"",""explorecanada"",""canada"",""polarbears"",""bears"",""conservation"",""animalprotection"",""arctic"",""greatnorth"",""north""]",Environmental,1944,0.14970238095238098,en,parks.canada_instagram
3,2017-02-04_05-42-26,2017-02-04 05:42:26,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c12684b4075f794ea3c6e107ec43201a/5AFB9B8C/t51.2885-15/e35/16465627_378389345874910_6949097170410668032_n.jpg,"Every winter, the historic Rideau Canal, a World Heritage Site, becomes the Rideau Canal Skateway, the world’s largest natural skating rink. Today at p.m., join Catherine McKenna, Minister of Environment and Climate Change, for a group skate on the Rideau Canal! The minister will be waiting for you at the Junction of the Rideau Canal National Historic Site and Dow's Lake (1000 Colonel By Drive). Eect marshmallows to roast, a genuine Parks Canada oTentik, and our one and only mascot, !Image by .photo",Every winter historic Rideau Canal UNESCO World Heritage Site becomes Rideau Canal Skateway largest natural skating rink nToday 1p join Catherine McKenna Minister Environment Climate Change group skate Rideau Canal minister waiting Junction Rideau Canal National Historic Site Dow Lake 1000 Colonel Drive Expect marshmallows roast genuine Parks Canada oTentik one mascot Parka nImage alt photo parkscanada canada150 winterlude explorecanada imagesofcanada discoverON ottawa myottawa ottawa2017 rideaucanal rideau skating winter ice,"[""unesco"",""parka"",""parkscanada"",""canada150"",""winterlude"",""explorecanada"",""imagesofcanada"",""discoveron"",""ottawa"",""myottawa"",""ottawa2017"",""rideaucanal"",""rideau"",""skating"",""winter"",""ice""]",Environmental,1916,0.0796590909090909,en,parks.canada_instagram
4,2017-02-06_13-17-19,2017-02-06 13:17:19,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f536af4bb9190e26bd2d2b4242e37ac0/5AD96DCD/t51.2885-15/e35/16230398_1822975927965260_8276863443563184128_n.jpg,"Welcome home, bison!From Elk Island National Park to Banff National Park, the bison are now home again among the mountains. After being absent from the wild for over a century, their homecoming is a historic and cultural triumph.For months, the bison will remain in an enclosed pasture in the Panther Valley, closely monitored by Parks Canada. In approximately June , the herd will be released to elore the full ~1200km2 reintroduction zone in the remote eastern slopes of Banff where they will interact with other native species, forage for food and fulfill their missing role in the ecosystem.",Welcome home bison nFrom Elk Island National Park Banff National Park bison home among mountains absent wild century homecoming historic cultural triumph nFor 16 months bison remain enclosed pasture Panther Valley closely monitored Parks Canada approximately June 2018 herd released explore full 1200km2 reintroduction zone remote eastern slopes Banff interact native species forage food fulfill missing role ecosystem Bison Wildlife BanffNP Nature Ecosystem Conservation ExploreCanada Canada150 ParksCanada BNP,"[""bison"",""wildlife"",""banffnp"",""nature"",""ecosystem"",""conservation"",""explorecanada"",""canada150"",""parkscanada"",""bnp""]",Environmental,1759,0.42914351851851856,en,parks.canada_instagram
5,2017-02-05_11-05-45,2017-02-05 11:05:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fbf7f5ab9c34764b359be1ab418ee621/5ADBB2F1/t51.2885-15/e35/16464347_254903664936636_5808722738449219584_n.jpg,"Kluane National Park and Reserve protects over ,000 km2 of spectacular northern mountains. Mountaineering eeditions in this incredible setting attracts climbers from around the world, an eerience few will ever forget.Thanks for the stunning picture !",Kluane National Park Reserve protects 22 000 km2 spectacular northern mountains Mountaineering expeditions incredible setting attracts climbers around world experience ever forget nThanks stunning picture taylormichaelburk keepitwild nature beautifuldestinations travel kluane exploreyukon explorecanada ParksCanadaYukon Canada150 parkscanada,"[""keepitwild"",""nature"",""beautifuldestinations"",""travel"",""kluane"",""exploreyukon"",""explorecanada"",""parkscanadayukon"",""canada150"",""parkscanada""]",Environmental,1601,0.15416666666666667,en,parks.canada_instagram
6,2017-02-21_11-09-42,2017-02-21 11:09:42,https://instagram.fyvr3-1.fna.fbcdn.net/vp/660cf3145865c0e6a7cf1272c1e54fe0/5AEF772B/t51.2885-15/e35/16583586_598778500317152_247752632964218880_n.jpg,"This is your year! Be part of the very few lucky ones who visit Nááts'ihch'oh National Park Reserve every year, and discover an undisturbed eanse of river valleys and spectacular peaks. Nááts’ihch’oh has no blazed trails yet. It’s your chance to map routes that may one day become part of the park’s established trail network! ",year part lucky ones visit ts ihch oh National Park Reserve every year discover undisturbed expanse river valleys spectacular peaks oh blazed trails yet chance map routes may one day become part established trail network parkscanada canada150 explorecanada canada NWT adventure travel wilderness outside nature outdoors camping wildernessculture explore wanderlust hiking mountainlife mountain spectacularnwt spectacularNWT,"[""parkscanada"",""canada150"",""explorecanada"",""canada"",""nwt"",""adventure"",""travel"",""wilderness"",""outside"",""nature"",""outdoors"",""camping"",""wildernessculture"",""explore"",""wanderlust"",""hiking"",""mountainlife"",""mountain"",""spectacularnwt""]",Social,1579,0.3086177357456141,en,parks.canada_instagram
7,2017-02-16_13-23-30,2017-02-16 13:23:30,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1fbb3ab7db6b45982b0bb55f8ec9d76d/5AE68D0B/t51.2885-15/e35/16789292_244617879331817_7848589461087584256_n.jpg,"Escape. Elore. Eerience… the wonder and drama of Canada’s most easterly national park, Terra Nova. It’s a magical place where the land and sea compete for your attention. This place is ready for your next adventure – make it your own!Picture by ",Escape Explore wonder drama easterly national park Terra Nova magical place land sea compete attention place ready next adventure make nPicture bourque49 parkscanada TerraNovaNP ExploreNL ExploreCanada canada150 adventure travel beautifuldestinations,"[""parkscanada"",""terranovanp"",""explorenl"",""explorecanada"",""canada150"",""adventure"",""travel"",""beautifuldestinations""]",Environmental,1505,0.4571428571428572,en,parks.canada_instagram
8,2017-02-26_17-14-09,2017-02-26 17:14:09,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4ccc1457ab31ba795931d0139fc239ef/5AEE7C28/t51.2885-15/e35/16906722_124705021386511_2718064783348727808_n.jpg,"Dramatic skies overlook Gulf Islands National Park Reserve, which encompasses over islands and numerous islets and reefs in the southern Strait of Georgia. Elore the secluded islands, but fear not, as you shall not be lonely! Sea lions, porpoises and killer whales will accompany you in your many adventures.Thanks for the photo ",Dramatic skies overlook Gulf Islands National Park Reserve encompasses 15 islands numerous islets reefs southern Strait Georgia Explore secluded islands fear shall lonely Sea lions porpoises killer whales accompany many adventures nThanks photo cdnwanderer gulfislands parkscanada explorebc gulfislandsnationalpark gulfislandsNP canada150 explorecanada beautifuldestinations adventures exploration islandliving Canada,"[""gulfislands"",""parkscanada"",""explorebc"",""gulfislandsnationalpark"",""gulfislandsnp"",""canada150"",""explorecanada"",""beautifuldestinations"",""adventures"",""exploration"",""islandliving"",""canada""]",Environmental,1470,0.2161458333333333,en,parks.canada_instagram
9,2017-02-24_13-18-11,2017-02-24 13:18:11,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2967b80c59633de8e49e11cf959ffb9c/5AE113A7/t51.2885-15/e35/16788939_955015314628723_7565715665068228608_n.jpg,"Battle Harbour may seem peaceful and serene today, but it once was a major port in the Labrador fishery. Today, this National Historic District of Canada has been revived as a place to immerse yourself in the life of Newfoundlanders and Labradorians in this traditional outport community.Picture by ",Battle Harbour may seem peaceful serene today major port Labrador fishery Today National Historic District Canada revived place immerse life Newfoundlanders Labradorians traditional outport community nPicture Picobac mynewfoundland historicplaces adventure travel beautifuldestinations explorecanada canada labrador NHS100 BattleHarbour exploreNL newfoundland labrador parkscanada canada150 heritage,"[""mynewfoundland"",""historicplaces"",""adventure"",""travel"",""beautifuldestinations"",""explorecanada"",""canada"",""labrador"",""nhs100"",""battleharbour"",""explorenl"",""newfoundland"",""labrador"",""parkscanada"",""canada150"",""heritage""]",Environmental,1428,0.2189236111111111,en,parks.canada_instagram
