,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
11,11,837120339977064451,2017-03-02 02:00:16,['https://t.co/P8MchKW3dJ'],Wondering about the Surface Design engagement for #GiantMine? Get up to date here: https://t.co/P8MchKW3dJ,Wondering Surface Design engagement GiantMine Get date https co P8MchKW3dJ,['#GiantMine'],3,0,3,Social,nl,0.0,Neutral,GiantMine_tweeter,['engagement']
15,15,837332133488312324,2017-03-02 16:01:52,"['https://t.co/UXWEZoDWQ5', 'https://t.co/n5tqgymTfn']",Public forum on #GiantMine site . 7pm tonight at the Museum Café in Yellowknife. Everyone welcome. https://t.co/UXWEZoDWQ5 https://t.co/n5tqgymTfn,Public forum GiantMine site 7pm tonight Museum Yellowknife Everyone welcome https co UXWEZoDWQ5 https co n5tqgymTfn,['#GiantMine'],2,0,2,Environmental,en,0.4,Positive,GiantMine_tweeter,['or']
21,21,837120338836275200,2017-03-02 02:00:16,['https://t.co/zQkqsd7hES'],Des questions sur la consultation quant à la conception de la surface pour #MineGiant? Obtenez des réponses ici : https://t.co/zQkqsd7hES,Des questions sur la consultation quant la conception de la surface pour MineGiant Obtenez des ponses ici https co zQkqsd7hES,['#MineGiant'],0,1,1,unknown,fr,0.0,Neutral,GiantMine_tweeter,
25,25,837711767493095428,2017-03-03 17:10:23,"['https://t.co/j8ZyVxAP7Z', 'https://t.co/gDOI1vDS4b']",Notre DP de directeur principal des travaux est en appel d’offres! Apprenez-en plus ici : https://t.co/j8ZyVxAP7Z https://t.co/gDOI1vDS4b,Notre DP de directeur principal des travaux est en appel offres Apprenez en plus ici https co j8ZyVxAP7Z https co gDOI1vDS4b,[],1,0,1,unknown,fr,0.0,Neutral,GiantMine_tweeter,
26,26,837711767589515264,2017-03-03 17:10:23,"['https://t.co/FzYxiJJSzv', 'https://t.co/mCoTK9JiEo']",Our Main Construction Manager RFP is out to tender!  Learn more here: https://t.co/FzYxiJJSzv https://t.co/mCoTK9JiEo,Main Construction Manager RFP tender Learn https co FzYxiJJSzv https co mCoTK9JiEo,[],1,0,1,unknown,en,0.35416666666666663,Positive,GiantMine_tweeter,
28,28,838135765985001478,2017-03-04 21:15:13,"['https://t.co/R9Yjhqw6G', 'https://t.co/keLIXpnhLn']",The C5-09 pit may be stabilized over the coming work season. Visit https://t.co/R9Yjhqw6GU for details. https://t.co/keLIXpnhLn,C5 09 pit may stabilized coming work season Visit https co R9Yjhqw6GU details https co keLIXpnhLn,[],1,0,1,Environmental,en,0.0,Neutral,GiantMine_tweeter,['or']
41,41,837362141204209669,2017-03-02 18:01:06,['https://t.co/gUPwqx0lgj'],"Pour en savoir plus sur le choix d’un nouvel emplacement de point de rejet par #MineGiant, visitez : https://t.co/gUPwqx0lgj",Pour en savoir plus sur le choix un nouvel emplacement de point de rejet par MineGiant visitez https co gUPwqx0lgj,['#MineGiant'],0,0,0,unknown,fr,0.0,Neutral,GiantMine_tweeter,
42,42,837362144106721281,2017-03-02 18:01:07,"['https://t.co/T44aWWAhE', 'https://t.co/lNsHZmE0gF']",Want to learn more about how #GiantMine is choosing a new outfall location? visit: https://t.co/T44aWWAhEc https://t.co/lNsHZmE0gF,Want learn GiantMine choosing new outfall location visit https co T44aWWAhEc https co lNsHZmE0gF,['#GiantMine'],0,0,0,unknown,en,0.3181818181818182,Neutral,GiantMine_tweeter,
43,43,837414761449078784,2017-03-02 21:30:12,['https://t.co/LrIKB09IUw'],Joignez-vous à l’équipe de #MineGiant ce soir pour un forum public à 19 h au Café du Musée. (article en anglais) https://t.co/LrIKB09IUw,Joignez vous quipe de MineGiant ce soir pour un forum public 19 au du article en anglais https co LrIKB09IUw,['#MineGiant'],0,0,0,Environmental,fr,0.0,Neutral,GiantMine_tweeter,['or']
44,44,837414764875812864,2017-03-02 21:30:13,['https://t.co/CmkotHqGua'],Join the #GiantMine team for a public forum at 7pm March 2 at the Museum Café in Yellowknife. https://t.co/CmkotHqGua,Join GiantMine team public forum 7pm March Museum Yellowknife https co CmkotHqGua,['#GiantMine'],0,0,0,Environmental,en,0.0,Neutral,GiantMine_tweeter,['or']
45,45,838135761354518535,2017-03-04 21:15:11,"['https://t.co/vu06HoeobN', 'https://t.co/eILAKjz88A']",La fosse C5-09 pourrait être stabilisée au cours de la prochaine saison de travaux. Visitez https://t.co/vu06HoeobN pour en savoir plus. https://t.co/eILAKjz88A,La fosse C5 09 pourrait au cours de la prochaine saison de travaux Visitez https co vu06HoeobN pour en savoir plus https co eILAKjz88A,[],0,0,0,unknown,fr,0.0,Neutral,GiantMine_tweeter,
