,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,854371647167574016,2017-04-18 16:30:48,['https://t.co/g7Eprig2h'],What happens if you miss your flight? Check out our video and know your rights &gt; https://t.co/g7Eprig2hc &gt; #TravelTuesdays,happens miss flight Check video know rights gt https co g7Eprig2hc gt TravelTuesdays,['#TravelTuesdays'],Economical,4,0.0,en,CTA_gc_tweeter
1,853261963807383552,2017-04-15 15:01:19,['https://t.co/DVOGLFR86t'],Dissatisfied with your air travel experience? Contact us here &gt; https://t.co/DVOGLFR86t #air #travel #passenger #canada #FlightProblems,Dissatisfied air travel experience Contact us gt https co DVOGLFR86t air travel passenger canada FlightProblems,"['#air', '#travel', '#passenger', '#canada', '#FlightProblems']",Environmental,4,0.0,en,CTA_gc_tweeter
2,852914798627102720,2017-04-14 16:01:49,"['https://t.co/wE2DObLjbO', 'https://t.co/Ae73fVhe7I']",Learn more about coasting trade licences &gt; https://t.co/wE2DObLjbO #cabotage https://t.co/Ae73fVhe7I,Learn coasting trade licences gt https co wE2DObLjbO cabotage https co Ae73fVhe7I,['#cabotage'],Environmental,3,0.5,en,CTA_gc_tweeter
3,854409644407754752,2017-04-18 19:01:48,"['https://t.co/f3mxCARdpo', 'https://t.co/BlD3hxucqW']",Mediation provides opportunities for meaningful discussion in a face to face format &gt; https://t.co/f3mxCARdpo #CdnMuni #agchat #CdnAg https://t.co/BlD3hxucqW,Mediation provides opportunities meaningful discussion face face format gt https co f3mxCARdpo CdnMuni agchat CdnAg https co BlD3hxucqW,"['#CdnMuni', '#agchat', '#CdnAg']",Environmental,2,0.5,en,CTA_gc_tweeter
4,853639485103517696,2017-04-16 16:01:27,['https://t.co/mzqrfiyyZO'],Make sure you know what documents your child will need in the event that they travel alone. Visit us at #FlySmart https://t.co/mzqrfiyyZO,Make sure know documents child need event travel alone Visit us FlySmart https co mzqrfiyyZO,['#FlySmart'],Social,1,0.5,en,CTA_gc_tweeter
5,852144874723745792,2017-04-12 13:02:24,"['https://t.co/L1bz8MqddK', 'https://t.co/AaJ6v9oOjQ']","Check-ins, #delays, #cancellations, #bumped from your #flight? What you need to know here &gt; https://t.co/L1bz8MqddK #TravelTuesday https://t.co/AaJ6v9oOjQ",Check ins delays cancellations bumped flight need know gt https co L1bz8MqddK TravelTuesday https co AaJ6v9oOjQ,"['#delays', '#cancellations', '#bumped', '#flight', '#TravelTuesday']",Social,1,0.0,en,CTA_gc_tweeter
6,851834915847057414,2017-04-11 16:30:44,['https://t.co/2bexGXGOde'],Problems with your flight? Be sure to keep records of your correspondence - more info here &gt; https://t.co/2bexGXGOde &gt; #TravelTuesdays,Problems flight sure keep records correspondence info gt https co 2bexGXGOde gt TravelTuesdays,['#TravelTuesdays'],Environmental,1,0.5,en,CTA_gc_tweeter
7,851506367957479424,2017-04-10 18:45:13,['https://t.co/COOh9mxZgA'],Respect your carrier's check-in time-limits and be sure to check your flight status well in advance. #FlySmart &gt; https://t.co/COOh9mxZgA,Respect carrier check time limits sure check flight status well advance FlySmart gt https co COOh9mxZgA,['#FlySmart'],Social,1,0.5,en,CTA_gc_tweeter
8,851468607758512128,2017-04-10 16:15:10,['https://t.co/COOh9mxZgA'],Reservations do not guarantee a place on board the flight you have booked. visit #FlySmart for more information &gt; https://t.co/COOh9mxZgA,Reservations guarantee place board flight booked visit FlySmart information gt https co COOh9mxZgA,['#FlySmart'],Environmental,1,0.5,en,CTA_gc_tweeter
9,856908428287062017,2017-04-25 16:31:04,"['https://t.co/EymKFKaVaT', 'https://t.co/u27wGRTiI4']",Be sure to know the fare rules for your ticket before you fly! Learn more here &gt; https://t.co/EymKFKaVaT  &gt; #TravelTuesdays https://t.co/u27wGRTiI4,sure know fare rules ticket fly Learn gt https co EymKFKaVaT gt TravelTuesdays https co u27wGRTiI4,['#TravelTuesdays'],Environmental,1,0.6666666666666666,en,CTA_gc_tweeter
