,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
12,12,851527599079772162,2017-04-10 20:09:34,['https://t.co/FHIZFbSxSF\xe2\x80\xa6'],"RT @DFO_Science: There are almost 4000 floats drifting in the oceans, relaying real-time data on #ocean conditions https://t.co/FHIZFbSxSF…",RT almost 4000 floats drifting oceans relaying real time data ocean conditions https co,['#ocean'],61,0,61,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,['oceans']
63,63,853987090387828736,2017-04-17 15:02:43,[],RT @CCG_GCC: #DYK that on an average day the CCG coordinates the response of 19 #SAR incidents during which 68 people are assisted &amp; 18 liv…,RT DYK average day CCG coordinates response 19 SAR incidents 68 people assisted amp 18,"['#DYK', '#SAR']",31,0,31,Environmental,en,-0.15,Neutral,DFO_CCG_Quebec_tweeter,['or']
74,74,855126819602923521,2017-04-20 18:31:35,['https://t.co/amZIfomyQL\xe2\x80\xa6'],RT @CCG_GCC: Keep our emergency numbers handy and report anything that you see or hear on the water #MaritimeSafety https://t.co/amZIfomyQL…,RT Keep emergency numbers handy report anything see hear water MaritimeSafety https co,['#MaritimeSafety'],29,0,29,Environmental,en,0.6,Positive,DFO_CCG_Quebec_tweeter,"['water', 'or', 'mer']"
80,80,858012194109345792,2017-04-28 17:37:02,"['https://t.co/MTKUyO17kj', 'https://t.co/5nnYvmPu0Y']","RT @Transport_gc: Have your eye on a new #boat? Check out these tips: https://t.co/MTKUyO17kj 
#SafeBoating https://t.co/5nnYvmPu0Y",RT eye new boat Check tips https co MTKUyO17kj SafeBoating https co 5nnYvmPu0Y,"['#boat', '#SafeBoating']",27,0,27,Social,en,0.13636363636363635,Neutral,DFO_CCG_Quebec_tweeter,['safe']
113,113,850340049371713536,2017-04-07 13:30:40,['https://t.co/Syi1SESmK'],Flood control: the Coast Guard is at work on rivers with its hovercrafts. @CCG_GCC @DFO_MPO https://t.co/Syi1SESmKc,Flood control Coast Guard work rivers hovercrafts https co Syi1SESmKc,[],10,12,22,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['guard', 'coast', 'or', 'rivers']"
114,114,857949298830585856,2017-04-28 13:27:07,"['https://t.co/qC0JNa2hVr', 'https://t.co/\xe2\x80\xa6']",RT @DFO_MPO: Fishery officers enforce the Fisheries Act and work with communities to protect habitat. https://t.co/qC0JNa2hVr https://t.co/…,RT Fishery officers enforce Fisheries Act work communities protect habitat https co qC0JNa2hVr https co,[],22,0,22,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['fisheries ', 'or', 'ice']"
146,146,858009187934244865,2017-04-28 17:25:06,['https://t.co/EdLHYf7aHZ'],RT @DFO_MPO: Today we honour colleagues who were injured or lost their lives in the workplace #DayofMourning https://t.co/EdLHYf7aHZ,RT Today honour colleagues injured lost lives workplace DayofMourning https co EdLHYf7aHZ,['#DayofMourning'],19,0,19,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,['or']
149,149,849001226482192384,2017-04-03 20:50:40,['https://t.co/mVSlLY6Qht'],"RT @CCG_GCC: Warmer temperatures mean thinner ice, be vigilant on the water. #StaySafe #BePrepared #Hypothermia #SAR https://t.co/mVSlLY6Qht",RT Warmer temperatures mean thinner ice vigilant water StaySafe BePrepared Hypothermia SAR https co mVSlLY6Qht,"['#StaySafe', '#BePrepared', '#Hypothermia', '#SAR']",19,0,19,Environmental,en,-0.3125,Neutral,DFO_CCG_Quebec_tweeter,"['water', 'ice', 'mer']"
163,163,850059173777813505,2017-04-06 18:54:35,['https://t.co/4g54cqdqCF'],1/3 The Canadian Coast Guard has begun tending priority buoys on the St. Lawrence. @CCG_GCC @DFO_MPO https://t.co/4g54cqdqCF,Canadian Coast Guard begun tending priority buoys St Lawrence https co 4g54cqdqCF,[],6,11,17,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['guard', 'or', 'coast']"
171,171,854742714331648001,2017-04-19 17:05:18,['https://t.co/xIVUPcMaqs'],RT @Transport_gc: #OceansProtectionPlan: Addressing key threats to marine wildlife that call #OurCoasts home. https://t.co/xIVUPcMaqs https…,RT OceansProtectionPlan Addressing key threats marine wildlife call OurCoasts home https co xIVUPcMaqs,"['#OceansProtectionPlan', '#OurCoasts']",17,0,17,Environmental,en,0.0,Neutral,DFO_CCG_Quebec_tweeter,"['coasts', 'wildlife', 'oceans', 'marine', 'coast']"
