,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
29,29,856870462365814789,2017-04-25 14:00:12,['https://t.co/wrPjsxV28L'],"Les employés de la base de Parry Sound, #Ontario accueillent fièrement la nouvelle addition à leur flotte. #Bell412EPi https://t.co/wrPjsxV28L",Les de la base de Parry Sound Ontario accueillent rement la nouvelle addition leur flotte Bell412EPi https co wrPjsxV28L,"['#Ontario', '#Bell412EPi']",10,16,26,unknown,fr,-0.2,Neutral,GCC_CCG_tweeter,
37,37,856870238553612290,2017-04-25 13:59:19,['https://t.co/csSU3A59Rw'],Quelle beauté! Regardez notre hélicoptère #Bell412EPi débuter son aventure en tant que membre de notre Flotte. #GCCFière https://t.co/csSU3A59Rw,Quelle Regardez notre Bell412EPi buter son aventure en tant que membre de notre Flotte https co csSU3A59Rw,"['#Bell412EPi', '#GCCFi']",9,14,23,unknown,fr,0.0,Neutral,GCC_CCG_tweeter,
346,346,849322281587408896,2017-04-04 18:06:26,['https://t.co/bbu\xe2\x80\xa6'],RT @SPAC_PSPC: Voyez le premier navire hauturier de sciences halieutiques prendre forme dans cette vidéo en accéléré #SNCN https://t.co/bbu…,RT Voyez le premier navire hauturier de sciences halieutiques prendre forme dans cette en SNCN https co,['#SNCN'],6,0,6,Environmental,fr,0.0,Neutral,GCC_CCG_tweeter,['or']
398,398,848554698508554241,2017-04-02 15:16:20,['https://t.co/dQy2cQVtvF'],"Renflouement de la barge semi-submergée réussi à la baie de #Picton, ON. GCC encore sur place. https://t.co/dQy2cQVtvF",Renflouement de la barge semi ussi la baie de Picton GCC encore sur place https co dQy2cQVtvF,['#Picton'],3,2,5,Environmental,fr,0.0,Neutral,GCC_CCG_tweeter,['or']
466,466,853941462467301376,2017-04-17 12:01:24,['https://t.co/xR6SipLpwQ'],#LSV pendant 1 journée moyenne la GCC coordonne la réponse de 19 cas #SAR dans lesquels 68 pers reçoivent de l’aide &amp; 18 vies sont sauvées? https://t.co/xR6SipLpwQ,LSV pendant moyenne la GCC coordonne la ponse de 19 cas SAR dans lesquels 68 pers oivent de aide amp 18 vies sont es https co xR6SipLpwQ,"['#LSV', '#SAR']",4,1,5,Environmental,fr,0.0,Neutral,GCC_CCG_tweeter,['or']
490,490,857942869994336256,2017-04-28 13:01:34,['https://t.co/YgxsbMaB9K'],La GCC se joint aux autres ministères fédéraux pour célébrer le Jour de deuil national. Cérémonie à 11 h 00 #Jourdedeuil https://t.co/YgxsbMaB9K,La GCC se joint aux autres res raux pour brer le Jour de deuil national monie 11 00 Jourdedeuil https co YgxsbMaB9K,['#Jourdedeuil'],4,1,5,unknown,fr,0.0,Neutral,GCC_CCG_tweeter,
494,494,857257636240273410,2017-04-26 15:38:42,['https://t.co/C46kPbGO'],#GCCFière d'être partenaire. (en anglais) https://t.co/C46kPbGODC,partenaire en anglais https co C46kPbGODC,['#GCCFi'],3,2,5,Environmental,fr,0.0,Neutral,GCC_CCG_tweeter,['air']
507,507,856130845404430337,2017-04-23 13:01:14,['https://t.co/hho2vZ1IyO'],Bonne semaine de l’action bénévole à tous les membres de la #GCCAuxiliaire ! #GCCFière #SAR #SAB2017 https://t.co/hho2vZ1IyO,Bonne semaine de action vole tous les membres de la GCCAuxiliaire SAR SAB2017 https co hho2vZ1IyO,"['#GCCAuxiliaire', '#GCCFi', '#SAR', '#SAB2017']",3,2,5,Environmental,fr,0.125,Neutral,GCC_CCG_tweeter,['air']
607,607,851444418066436096,2017-04-10 14:39:02,['https://\xe2\x80\xa6'],"RT @Transports_gc: #DunOcéanÀLautre Le #PlanDeProtectionDesOcéans, un système de #sécurité parmi les meilleurs au monde. #NosCôtes https://…",RT Lautre Le ans un de parmi les meilleurs au monde tes https,"['#DunOc', '#PlanDeProtectionDesOc', '#s', '#NosC']",4,0,4,unknown,fr,0.0,Neutral,GCC_CCG_tweeter,
663,663,848272942618292224,2017-04-01 20:36:44,['https://t.co/ic2mh86PW'],Bons progrès afin de récupérer la barge dans la baie de #Picton aujourd'hui; GCC continue à surveiller et à soutenir les opérations https://t.co/ic2mh86PW2,Bons afin de rer la barge dans la baie de Picton aujourd hui GCC continue surveiller et soutenir les rations https co ic2mh86PW2,['#Picton'],2,2,4,unknown,fr,0.0,Neutral,GCC_CCG_tweeter,
624,624,855102396380459012,2017-04-20 16:54:32,[],"RT @MPO_Golfe: L’aéroglisseur Sipu Muin de @GCC_CCG fait du #déglaçage dans le secteur de Lamèque, N.-B., aujourd’hui et se dirige ensuite…",RT roglisseur Sipu Muin de fait du age dans le secteur de que hui et se dirige,['#d'],4,0,4,Economical,fr,0.0,Neutral,GCC_CCG_tweeter,['secteur']
622,622,856870674069159936,2017-04-25 14:01:03,['https://t.co/Ampp8sR1xX'],Les hélicoptères de la Garde côtière canadienne fournissent une variété de services. https://t.co/Ampp8sR1xX,Les res de la Garde canadienne fournissent une de services https co Ampp8sR1xX,[],3,1,4,Environmental,fr,0.0,Neutral,GCC_CCG_tweeter,['ice']
621,621,856953999974686720,2017-04-25 19:32:09,[],"RT @MPO_TNL: La côte nord-est de TNL bloquée avec la glace, causant de gros problèmes aux pêcheurs &amp; au trafic maritime #GCC #déglaçage #Sé…",RT La te nord est de TNL avec la glace causant de gros mes aux amp au trafic maritime GCC age,"['#GCC', '#d', '#S']",4,0,4,Social,fr,0.0,Neutral,GCC_CCG_tweeter,['nord']
613,613,857338404031410177,2017-04-26 20:59:38,[],RT @salledepresseGC: Min. LeBlanc et Lebouthillier aux IDM : Étude technique pour une solution à long terme du SS Corfu Island @GCC_CCG htt…,RT salledepresseGC Min LeBlanc et Lebouthillier aux IDM tude technique pour une solution long terme du SS Corfu Island,[],4,0,4,Environmental,fr,-0.05,Neutral,GCC_CCG_tweeter,['or']
