,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,123326971154939_823554061132223,2017-04-11 14:28:30,http://www.cbc.ca/news/canada/montreal/quebec-spending-5m-to-encourage-sustainable-greenhouse-gardens-in-nunavik-1.4064194,,,[],Social,20,0.0,tl,GovCanNorth_facebook
1,123326971154939_833904123430550,2017-04-28 13:30:19,,"The final ""What We Heard"" report from the Nutrition North Canada 2016 engagement sessions is now available online. The report includes the views and suggestions from over 500 people across Canada, including members of 19 communities that are eligible for the Nutrition North Canada subsidy. Learn more: http://ow.ly/Lmth30bgATs","The final ""What We Heard"" report from the Nutrition North Canada engagement sessions is now available online. The report includes the views and suggestions from over people across Canada, including members of communities that are eligible for the Nutrition North Canada subsidy. Learn more:",[],Social,6,0.0,en,GovCanNorth_facebook
2,123326971154939_823420274478935,2017-04-11 10:45:22,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/823420274478935/?type=3,"The Nutrition North Canada program supports residents in more than 120 northern communities by ensuring they have access to fresh, healthy, and affordable food. If you’d like to help continually improve this program, apply by April 16, 2017, to join the Nutrition North Canada advisory board. http://ow.ly/Qu3k30aJLWO","The Nutrition North Canada program supports residents in more than northern communities by ensuring they have access to fresh, healthy, and affordable food. If you’d like to help continually improve this program, apply by April , , to join the Nutrition North Canada advisory board.",[],Social,5,0.1225,en,GovCanNorth_facebook
3,123326971154939_824621244358838,2017-04-13 08:01:02,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/824621244358838/?type=3,Indigenous Youth: the Nutrition North Canada advisory board needs you! Share your unique knowledge and experience in the North to help improve the Nutrition North Canada program. Apply now! http://ow.ly/HnCt30aO8mm,Indigenous Youth: the Nutrition North Canada advisory board needs you! Share your unique knowledge and eerience in the North to help improve the Nutrition North Canada program. Apply now!,[],Social,5,0.0,en,GovCanNorth_facebook
4,123326971154939_825942220893407,2017-04-15 08:00:55,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/825942220893407/?type=3,"The Nutrition North Canada (NNC) Advisory Board is looking for new volunteer members aged 18 and older. Help the Minister of Indigenous and Northern Affairs improve the NNC program and make a difference in the lives of Northerners. The deadline to apply is April 16, 2017. http://ow.ly/4Ic930aQhlj","The Nutrition North Canada (NNC) Advisory Board is looking for new volunteer members aged and older. Help the Minister of Indigenous and Northern Affairs improve the NNC program and make a difference in the lives of Northerners. The deadline to apply is April , .",[],Environmental,4,-0.2,en,GovCanNorth_facebook
5,123326971154939_819298601557769,2017-04-05 11:13:08,https://www.facebook.com/HealthyFirstNationsandInuit/photos/a.431338880230134.101373.310939332270090/1481718171858861/?type=3,,,[],Social,2,0.0,tl,GovCanNorth_facebook
6,123326971154939_823516254469337,2017-04-11 12:55:15,http://ow.ly/zM7c30aLoz6,,,[],Social,2,0.0,tl,GovCanNorth_facebook
7,123326971154939_832131970274432,2017-04-25 12:13:54,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10155980883194045/?type=3,,,[],Social,2,0.0,tl,GovCanNorth_facebook
8,123326971154939_823517074469255,2017-04-11 12:57:17,https://youtu.be/RgI7mTwwKNw,,,[],Social,1,0.0,tl,GovCanNorth_facebook
9,123326971154939_820974284723534,2017-04-07 13:35:05,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/820974284723534/?type=3,"Northerners deserve access to fresh, healthy, and affordable food. If you're 18 and older, why not consider joining the Nutrition North Canada Advisory Board and contribute to improving this important program. Make your view count! Apply now: http://ow.ly/KiJW30aFCJA","Northerners deserve access to fresh, healthy, and affordable food. If you're and older, why not consider joining the Nutrition North Canada Advisory Board and contribute to improving this important program. Make your view count! Apply now:",[],Economical,1,0.0,en,GovCanNorth_facebook
10,123326971154939_829247013896261,2017-04-20 15:45:05,,"Due to ice conditions in Basse-Côte-Nord QC, Nutrition North Canada is restoring the program in affected communities: http://ow.ly/OuQL30b1WzO","Due to ice conditions in Basse-Côte-Nord QC, Nutrition North Canada is restoring the program in affected communities:",[],Environmental,1,0.0,en,GovCanNorth_facebook
