,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,854321985769402368,2017-04-18 13:13:28,['https://t.co\xe2\x80\xa6'],RT @FinancesCanada: #Budget2017 : plus de formation dans les compétences numériques et d'inscriptions dans les domaines #STIM. https://t.co…,RT FinancesCanada plus de formation dans les tences riques et inscriptions dans les domaines STIM https,"['#Budget2017', '#STIM']",Economical,8,0.0,fr,MPO_Science_tweeter
1,849341898556919808,2017-04-04 19:24:23,['https://t.co/bbu\xe2\x80\xa6'],RT @SPAC_PSPC: Voyez le premier navire hauturier de sciences halieutiques prendre forme dans cette vidéo en accéléré #SNCN https://t.co/bbu…,RT Voyez le premier navire hauturier de sciences halieutiques prendre forme dans cette en SNCN https co,['#SNCN'],Environmental,6,0.0,fr,MPO_Science_tweeter
2,850394091120726016,2017-04-07 17:05:25,"['https://t.co/3Avh78ShAV', 'https://t.co/yrCW9n2Jpa']","Il y a près de 4000 flotteurs dérivant dans les océans, relayant des données en temps réel sur l’état des #océans https://t.co/3Avh78ShAV https://t.co/yrCW9n2Jpa",Il de 4000 flotteurs rivant dans les ans relayant des es en temps el sur tat des ans https co 3Avh78ShAV https co yrCW9n2Jpa,['#oc'],Social,3,0.0,fr,MPO_Science_tweeter
3,851444776721371136,2017-04-10 14:40:28,"['https://t.co/pOHHBNC7M3', 'https://t.co/D6yAFlD4Qb']",Le modèle des espèces jumelles aide à prévoir les stocks de saumon. Apprenez-en plus grâce à notre glossaire https://t.co/pOHHBNC7M3 https://t.co/D6yAFlD4Qb,Le le des ces jumelles aide voir les stocks de saumon Apprenez en plus ce notre glossaire https co pOHHBNC7M3 https co D6yAFlD4Qb,[],Environmental,3,0.0,fr,MPO_Science_tweeter
4,855803444099198976,2017-04-22 15:20:15,"['https://t.co/If0aMTFXm', 'https://t.co/i6Mo46nhbb']",Les océans couvrent plus de 70% de la surface de la Terre. Apprenez comment on étudie les nôtres: https://t.co/If0aMTFXmD #JourDeLaTerre2017 https://t.co/i6Mo46nhbb,Les ans couvrent plus de 70 de la surface de la Terre Apprenez comment tudie les tres https co If0aMTFXmD JourDeLaTerre2017 https co i6Mo46nhbb,['#JourDeLaTerre2017'],Social,3,0.0,fr,MPO_Science_tweeter
5,855105093716369408,2017-04-20 17:05:16,"['https://t.co/caDWWWSfa', 'https://t.co/AchcNI80q4']","La carpe de roseau, une espèce envahissante, mange la nourriture des poissons indigènes. Sachez le repérer: https://t.co/caDWWWSfaD https://t.co/AchcNI80q4",La carpe de roseau une ce envahissante mange la nourriture des poissons nes Sachez le rer https co caDWWWSfaD https co AchcNI80q4,[],Environmental,3,0.0,fr,MPO_Science_tweeter
6,852214762008170501,2017-04-12 17:40:07,"['https://t.co/B3obtV3OML', 'https://t.co/4PFfSIMMCy']",Nos scientifiques utilisent des rosettes pour tester l'eau et comprendre nos #océans. Plongez dans la science! https://t.co/B3obtV3OML https://t.co/4PFfSIMMCy,Nos scientifiques utilisent des rosettes pour tester eau et comprendre nos ans Plongez dans la science https co B3obtV3OML https co 4PFfSIMMCy,['#oc'],Environmental,2,0.0,fr,MPO_Science_tweeter
7,848920725331341312,2017-04-03 15:30:47,"['https://t.co/8BrEyLTR', 'https://t.co/3GWu7Op7PB']",Bon voyage! Aujourd’hui le NGCC Otter Bay part pour 52 jours relever le fond marin de Prince Rupert! #SciCdn https://t.co/8BrEyLTR2d https://t.co/3GWu7Op7PB,Bon voyage hui le NGCC Otter Bay part pour 52 jours relever le fond marin de Prince Rupert SciCdn https co 8BrEyLTR2d https co 3GWu7Op7PB,['#SciCdn'],Social,2,0.0,fr,MPO_Science_tweeter
8,849350150346723328,2017-04-04 19:57:10,['https://t.co/dTaB8OBi1Y'],RT @MindesSciences: Découvrez comment @MPO_DFO étudie les #mammifèresmarins au moyen d’enregistreurs #acoustiques https://t.co/dTaB8OBi1Y #…,RT MindesSciences couvrez comment tudie les resmarins au moyen enregistreurs acoustiques https co dTaB8OBi1Y,"['#mammif', '#acoustiques', '#']",Social,2,0.0,fr,MPO_Science_tweeter
9,849650445240987648,2017-04-05 15:50:26,"['https://t.co/tRKZDeAdlZ', 'https://t.co/wgS9HE1h6e']","Notre catalogue-bibliothèque, VAGUES, fait partie de la NOUVELLE bibliothèque scientifique fédérale! https://t.co/tRKZDeAdlZ #SciCdn https://t.co/wgS9HE1h6e",Notre catalogue que VAGUES fait partie de la NOUVELLE que scientifique rale https co tRKZDeAdlZ SciCdn https co wgS9HE1h6e,['#SciCdn'],Social,2,0.0,fr,MPO_Science_tweeter
10,849689808838504448,2017-04-05 18:26:51,"['https://t.co/Om8QDlMKyg', 'https://\xe2\x80\xa6']",RT @SPAC_PSPC: Mari-Tech 2017 Séance sur les perspectives d’approvisionnement maritime le 19 avril 13h-17h https://t.co/Om8QDlMKyg https://…,RT Mari Tech 2017 ance sur les perspectives approvisionnement maritime le 19 avril 13h 17h https co Om8QDlMKyg https,[],Social,2,0.0,fr,MPO_Science_tweeter
11,851812680562298880,2017-04-11 15:02:23,"['https://t.co/08u1mQCvfx', 'https://t.co/Tzl1gyZarS']","Les poissons ont des anneaux de croissance dans leur tête appelés “otolites”. Comme un arbre, ça indique l’âge. https://t.co/08u1mQCvfx https://t.co/Tzl1gyZarS",Les poissons ont des anneaux de croissance dans leur Comme un arbre indique ge https co 08u1mQCvfx https co Tzl1gyZarS,[],Environmental,2,0.0,fr,MPO_Science_tweeter
12,850070747645190144,2017-04-06 19:40:34,"['https://t.co/HNiOFsgNoE', 'https://t.co/oPwvs4ofSF', 'https://t.co/MlZ5tzJEk']",Merci d'avoir joué! Le rorqual bleu n'a pas de dents #JourduMensonge #TellALieDay https://t.co/HNiOFsgNoE https://t.co/oPwvs4ofSF https://t.co/MlZ5tzJEk8,Merci avoir Le rorqual bleu pas de dents JourduMensonge TellALieDay https co HNiOFsgNoE https co oPwvs4ofSF https co MlZ5tzJEk8,"['#JourduMensonge', '#TellALieDay']",Environmental,2,0.0,fr,MPO_Science_tweeter
13,855467495741952000,2017-04-21 17:05:19,"['https://t.co/mvdG9fOa1S', 'https://t.co/kTLr2mwgrf']","Fiers de participer au réseau @OceanTracking,un réseau mondial de surveillance des #océans https://t.co/mvdG9fOa1S  #SuivezVendredi https://t.co/kTLr2mwgrf",Fiers de participer au seau OceanTracking un seau mondial de surveillance des ans https co mvdG9fOa1S SuivezVendredi https co kTLr2mwgrf,"['#oc', '#SuivezVendredi']",Economical,2,0.0,fr,MPO_Science_tweeter
14,856555636120846340,2017-04-24 17:09:12,"['https://t.co/239swAcYT', 'https://t.co/8U9vFNo01X']",Comment mesurer une cible mobile? Découvrez la #science qui compte les poissons! #SciCdn https://t.co/239swAcYT0 https://t.co/8U9vFNo01X,Comment mesurer une cible mobile couvrez la science qui compte les poissons SciCdn https co 239swAcYT0 https co 8U9vFNo01X,"['#science', '#SciCdn']",Social,2,0.0,fr,MPO_Science_tweeter
15,856896951656304640,2017-04-25 15:45:28,"['https://t.co/XgfsUiPhjY', 'https://t.co/cQEMcGvz4A']",Voyez comment nos chercheurs étudient de grandes zones aquatiques grâce à l'ADN enviro (e-ADN): https://t.co/XgfsUiPhjY #JourADN https://t.co/cQEMcGvz4A,Voyez comment nos chercheurs tudient de grandes zones aquatiques ce ADN enviro ADN https co XgfsUiPhjY JourADN https co cQEMcGvz4A,['#JourADN'],Social,2,0.0,fr,MPO_Science_tweeter
16,857302712156901376,2017-04-26 18:37:49,['https://t.co/3BzBl2MQe'],Les recherches de la biologiste de la vie aquatique Megan Otu  maintiennent une saine pisciculture. https://t.co/3BzBl2MQeD,Les recherches biologiste vie aquatique Megan Otu maintiennent saine pisciculture https co 3BzBl2MQeD,[],Social,2,0.0,fr,MPO_Science_tweeter
17,857942762452377601,2017-04-28 13:01:09,"['https://t.co/diWao6yiwS', 'https://t.co/O0VTBw3SlX']",L'Odyssée des sciences arrive à grands pas! Trouvez une activité près de chez vous #OdySci  https://t.co/diWao6yiwS https://t.co/O0VTBw3SlX,des sciences arrive grands pas Trouvez une de chez vous OdySci https co diWao6yiwS https co O0VTBw3SlX,['#OdySci'],Social,2,0.0,fr,MPO_Science_tweeter
18,854764868838322176,2017-04-19 18:33:20,"['https://t.co/f3TRxAdaG3', 'https://t.co/lbj2XHXlK4']","Aujourd’hui, nous effectuons un exercice sur un incident avec la #CarpeAsiatique à #Dunnville, ON, sous la pluie: https://t.co/f3TRxAdaG3 https://t.co/lbj2XHXlK4",hui nous effectuons un exercice sur un incident avec la CarpeAsiatique Dunnville sous la pluie https co f3TRxAdaG3 https co lbj2XHXlK4,"['#CarpeAsiatique', '#Dunnville']",Environmental,2,0.0,fr,MPO_Science_tweeter
19,857643054068617218,2017-04-27 17:10:12,"['https://t.co/nlhlKo7NCG', 'https://t.co/poQOZ2nOTQ']",L’Institut Maurice-Lamontagne fête 30 ans de leadership en #sciences marines au Canada #SciCdn https://t.co/nlhlKo7NCG https://t.co/poQOZ2nOTQ,Institut Maurice Lamontagne 30 ans de leadership en sciences marines au Canada SciCdn https co nlhlKo7NCG https co poQOZ2nOTQ,"['#sciences', '#SciCdn']",Environmental,1,0.0,fr,MPO_Science_tweeter
20,856588879780077570,2017-04-24 19:21:18,[],"RT @MPO_Golfe: Bénévole pour mesurer &amp; prélever des centaines d’espèces au relevé de sept. 2016 avec @mpo_science. Merci, Diane Beausoleil…",RT vole pour mesurer amp lever des centaines ces au de sept 2016 avec Merci Diane,[],Environmental,1,0.0,fr,MPO_Science_tweeter
