,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
16,16,566325673547435_690878024425532,2017-04-10 09:01:25,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/690878024425532/?type=3,"#Astucesvoyage > Enregistrez-vous à l'avance Si cette option est disponible, enregistrez-vous en ligne jusqu’à 24 heures précédant votre départ. Arrivez suffisamment tôt à l'aéroport pour vous enregistrer, enregistrer vos bagages, passer les points de contrôle et vous présenter à la porte d'embarquement à temps. > Prenez l'air averti > Dix conseils clés > http://ow.ly/4nk1SM","> Enregistrez-vous à l'avance Si cette option est disponible, enregistrez-vous en ligne jusqu’à heures précédant votre départ. Arrivez suffisamment tôt à l'aéroport pour vous enregistrer, enregistrer vos bagages, passer les points de contrôle et vous présenter à la porte d'embarquement à temps. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],0,0,4,0,0,0,0,0,0,0,4,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,"['or', 'vert', 'air']",neutral
36,36,566325673547435_692769417569726,2017-04-13 09:01:52,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/692769417569726/?type=3,"Voyager avec un enfant peut être stressant. Si vous avez un enfant de moins de deux ans, nous vous recommandons de communiquer avec votre compagnie aérienne à l'avance pour vous informer sur les dispositifs de retenue pour enfant. Pour plus de renseignements, consultez la page http://ow.ly/8EGl309bsrd","Voyager avec un enfant peut être stressant. Si vous avez un enfant de moins de deux ans, nous vous recommandons de communiquer avec votre compagnie aérienne à l'avance pour vous informer sur les dispositifs de retenue pour enfant. Pour plus de renseignements, consultez la page d",[],2,0,0,2,0,0,0,0,0,0,2,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,"['or', 'mer']",neutral
35,35,566325673547435_695657833947551,2017-04-18 11:02:56,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/695657833947551/?type=3,La saison de navigation bat maintenant son plein. Savez-vous combien longtemps d'avance vous devez déposer votre demande de licence de cabotage? Cela varie selon le type d'activité que vous prévoyez exercer. Informez-vous sur nos diverses périodes minimales de préavis requises à http://ow.ly/pBZO309IiWf.,La saison de navigation bat maintenant son plein. Savez-vous combien longtemps d'avance vous devez déposer votre demande de licence de cabotage? Cela varie selon le type d'activité que vous prévoyez exercer. Informez-vous sur nos diverses périodes minimales de préavis requises à .,[],2,0,0,2,0,0,0,0,0,0,2,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,"['or', 'ice']",neutral
117,117,566325673547435_697412570438744,2017-04-21 11:02:14,,"Un navire canadien adapté est-il disponible pour exercer l'activité décrite dans une demande de licence de cabotage? Nous faisons cette détermination à la suite du processus d'actes de procédure, processus auquel prennent part le demandeur et les offrants. Apprenez-en davantage sur ce processus et sur les rôles et les responsabilités des parties ici http://ow.ly/aQxC309It0v.","Un navire canadien adapté est-il disponible pour exercer l'activité décrite dans une demande de licence de cabotage? Nous faisons cette détermination à la suite du processus d'actes de procédure, processus auquel prennent part le demandeur et les offrants. Apprenez-en davantage sur ce processus et sur les rôles et les responsabilités des parties ici .",[],1,0,0,1,0,0,0,0,0,0,1,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,['ice'],neutral
126,126,566325673547435_691082754405059,2017-04-19 17:26:00,https://www.facebook.com/OfficeDesTransportsDuCanada/videos/691082754405059/,Prenez l'air averti cet hiver – Des conseils utiles > http://bit.ly/2aFim46  #VoyageCanada #transports #plaintes,Prenez l'air averti cet hiver – Des conseils utiles >,"['#VoyageCanada', '#transports', '#plaintes']",1,0,0,1,0,0,0,0,0,0,1,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,"['vert', 'air']",neutral
122,122,566325673547435_695290213984313,2017-04-17 17:30:36,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/695290213984313/?type=3,"#Astucesvoyage > Comprenez les règles tarifaires de votre billet

Notez ou imprimez les règles tarifaires de votre billet avant de procéder à l'achat de votre billet et gardez-les sur vous lorsque vous voyagez – elles peuvent servir en cas de différend avec votre transporteur aérien.

  > Prenez l'air averti > Dix conseils clés > http://ow.ly/4nk1SM",> Comprenez les règles tarifaires de votre billet Notez ou imprimez les règles tarifaires de votre billet avant de procéder à l'achat de votre billet et gardez-les sur vous lorsque vous voyagez – elles peuvent servir en cas de différend avec votre transporteur aérien. > Prenez l'air averti > Dix conseils clés >,['#Astucesvoyage'],1,0,0,1,0,0,0,0,0,0,1,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,"['or', 'vert', 'air']",neutral
137,137,566325673547435_697361870443814,2017-04-21 09:02:06,,"Nous ne nous veillons pas seulement à l'accessibilité du transport aérien. Nous traitons toute une gamme de plaintes en matière d'accessibilité, y compris celles relatives aux transporteurs ferroviaires, aux exploitants de traversiers et aux exploitants d'autobus et d'autocars qui exploitent des services extraprovinciaux… même les plaintes relatives aux gares ferroviaires, aux terminus d'autobus et aux aéroports > http://ow.ly/Gi0B309MuQe","Nous ne nous veillons pas seulement à l'accessibilité du transport aérien. Nous traitons toute une gamme de plaintes en matière d'accessibilité, y compris celles relatives aux transporteurs ferroviaires, aux eloitants de traversiers et aux eloitants d'autobus et d'autocars qui eloitent des services extraprovinciaux… même les plaintes relatives aux gares ferroviaires, aux terminus d'autobus et aux aéroports >",[],1,0,0,1,0,0,0,0,0,0,1,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,"['or', 'ice', 'air']",neutral
100,100,566325673547435_699233723589962,2017-04-24 17:30:30,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/699233723589962/?type=3,"#Astucesvoyage > Vérifiez à l'avance

Qu'il s'agisse de transport d'équipement sportif ou d'instruments de musique, de restrictions alimentaires, de conditions médicales et de besoins liés à une déficience, la plupart des transporteurs exigent un préavis de 48 à 72 heures pour répondre aux demandes de service spécial.

  > Prenez l'air averti > Dix conseils clés > http://ow.ly/4nk1SM","> Vérifiez à l'avance Qu'il s'agisse de transport d'équipement sportif ou d'instruments de musique, de restrictions alimentaires, de conditions médicales et de besoins liés à une déficience, la plupart des transporteurs exigent un préavis de à heures pour répondre aux demandes de service spécial. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],1,0,0,1,0,0,0,0,0,0,1,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,"['or', 'vert', 'ice', 'air']",neutral
78,78,566325673547435_693388954174439,2017-04-14 09:01:49,,"Comme pour tout autre contrat, vous devez vous assurer de comprendre les conditions de votre billet d'avion avant de vous engager à le payer. Visitez notre site Web pour en savoir davantage sur vos droits et responsabilités avant de planifier votre voyage. http://ow.ly/47iL309bsg7 #ConseilsVoyage #DroitsVoyageurs","Comme pour tout autre contrat, vous devez vous assurer de comprendre les conditions de votre billet d'avion avant de vous engager à le payer. Visitez notre site Web pour en savoir davantage sur vos droits et responsabilités avant de planifier votre voyage.","['#ConseilsVoyage', '#DroitsVoyageurs']",1,0,0,1,0,0,0,0,0,0,1,Economical,fr,0.0,OfficeDesTransportsDuCanada_facebook,['droits'],neutral
67,67,566325673547435_695094337337234,2017-04-17 08:01:34,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/695094337337234/?type=3,"L'avion s'envole.
Mes bagages!!! Je me désole…
Que faire? Toute une colle!

http://ow.ly/69zI30aFjrj 

#JournéeNationaledeHaïku",L'avion s'envole. Mes bagages!!! Je me désole… Que faire? Toute une colle! éeNationaledeHaïku,['#Journ'],1,0,0,1,0,0,0,0,0,0,1,Environmental,fr,0.0,OfficeDesTransportsDuCanada_facebook,['air'],neutral
