,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,858038107832057858,2017-04-28 19:20:01,"['https://t.co/PSaXGNeiPZ', 'https://t.co/8VghflZtub']",Comment vous rapprochez-vous de la #nature? Pourquoi est-ce si important pour vous? Ns voulons vs entendre! #JMECan https://t.co/PSaXGNeiPZ https://t.co/8VghflZtub,Comment rapprochez nature Pourquoi si important Ns voulons vs entendre JMECan https co PSaXGNeiPZ https co 8VghflZtub,"['#nature', '#JMECan']",Environmental,10,0.5,fr,environnementca_tweeter
1,857963164746600448,2017-04-28 14:22:13,['https://t\xe2\x80\xa6'],RT @MPO_DFO: L'agent des pêches assure l’application de la loi sur les pêches pour préserver les ressources et les milieux marins https://t…,RT agent des assure application de la loi sur les pour server les ressources et les milieux marins https,[],Social,8,0.0,fr,environnementca_tweeter
2,857694759615377408,2017-04-27 20:35:40,['https://t.co/LkUc126pfV'],Le Canada compte 532 #EspècesEnPéril. Nous travaillons avec des experts de tout le Canada pour assurer leur conservation à l’avenir. https://t.co/LkUc126pfV,Le Canada compte 532 ril Nous travaillons avec des experts de tout le Canada pour assurer leur conservation avenir https co LkUc126pfV,['#Esp'],Environmental,7,0.0,fr,environnementca_tweeter
3,857699978071953409,2017-04-27 20:56:24,['https://t.co/lur6jY8ccN'],RT @ACEE_CEAA: Le rapport du Comité d’experts sur l’#examenEE est publié. Lisez-le et exprimez vos commentaires à https://t.co/lur6jY8ccN h…,RT Le rapport du experts sur examenEE est Lisez le et exprimez vos commentaires https co lur6jY8ccN,['#examenEE'],Environmental,4,0.0,fr,environnementca_tweeter
4,858055273298186243,2017-04-28 20:28:13,['https://t.co/1mP7LMacx4'],"RT @ministre_ec: C’est la #JournéeDeLArbre! Pour célébrer, prenez une pelle et plantez un #arbre https://t.co/1mP7LMacx4",RT est la eDeLArbre Pour brer prenez une pelle et plantez un arbre https co 1mP7LMacx4,"['#Journ', '#arbre']",Economical,3,0.0,fr,environnementca_tweeter
5,858049084346826752,2017-04-28 20:03:38,['https://t.co/Asf3PvtSx'],Êtes-vous enseignant? Impliquez vos élèves dans la #science et la #technologie en organisant des activités intéressantes! #OdySciPOP https://t.co/Asf3PvtSx1,tes vous enseignant Impliquez vos ves dans la science et la technologie en organisant des ressantes OdySciPOP https co Asf3PvtSx1,"['#science', '#technologie', '#OdySciPOP']",Environmental,3,0.0,fr,environnementca_tweeter
6,857971884599779332,2017-04-28 14:56:52,['https://t.c\xe2\x80\xa6'],RT @RNCan: Notre #énergie évolue. Participez à l’écriture du prochain chapitre de l’histoire de l’énergie du Canada #GénÉnergie https://t.c…,RT RNCan Notre nergie volue Participez criture du prochain chapitre de histoire de nergie du Canada nergie https,"['#', '#G']",Social,3,0.0,fr,environnementca_tweeter
7,857961958972239872,2017-04-28 14:17:25,[],RT @ministre_ec: Je suis impressionnée par la technologie que j’ai vue à @CarbonCure! On utilise émissions de carbone p. créer béton + soli…,RT Je suis par la technologie que ai vue CarbonCure utilise missions de carbone er ton,[],Economical,3,0.0,fr,environnementca_tweeter
8,858055165542363137,2017-04-28 20:27:48,['https://t.co/grJsdbSNsV'],RT @RNCan: Le système d’#énergie du Canada est vaste et complexe. Découvrez-le pour aider à définir son avenir: https://t.co/grJsdbSNsV #Gé…,RT RNCan Le nergie du Canada est vaste et complexe couvrez le pour aider finir son avenir https co grJsdbSNsV,"['#', '#G']",Social,2,0.0,fr,environnementca_tweeter
9,858027286305669120,2017-04-28 18:37:01,['https://t.co/8eowPG2EpM'],Protéger santé des Canadiens + enviro :  GdC favorise inscription #amiante chrysotile à #RotterdamConvention #COP8 https://t.co/8eowPG2EpM,ger des Canadiens enviro GdC favorise inscription amiante chrysotile RotterdamConvention COP8 https co 8eowPG2EpM,"['#amiante', '#RotterdamConvention', '#COP8']",Social,2,0.0,fr,environnementca_tweeter
10,857951946749214720,2017-04-28 13:37:38,"['https://t.co/naqxncFnBv', 'https://t.co/aDOABFJ6CR']",#SemaineDeLarbre en #ON débute ajd. ➡️ 7 mai. #SVQ les #arbres nettoient poll. #air + #DioxydeCarbone? Plantez un 🌳! https://t.co/naqxncFnBv https://t.co/aDOABFJ6CR,SemaineDeLarbre en bute ajd mai SVQ les arbres nettoient poll air DioxydeCarbone Plantez un https co naqxncFnBv https co aDOABFJ6CR,"['#SemaineDeLarbre', '#ON', '#SVQ', '#arbres', '#air', '#DioxydeCarbone']",Environmental,2,0.0,fr,environnementca_tweeter
11,858050725385035776,2017-04-28 20:10:09,"['https://t.co/3ErMbdNq3k', 'https://t.co/iH6RmCRMy4']","Date à retenir : 7 mai, @NHC_Atlantic sera à #Gander, 1er arrêt de la Tournée sensibilisation aux #ouragans 2017! ✈️ https://t.co/3ErMbdNq3k https://t.co/iH6RmCRMy4",Date retenir mai sera Gander 1er de la sensibilisation aux ouragans 2017 https co 3ErMbdNq3k https co iH6RmCRMy4,"['#Gander', '#ouragans']",Social,1,0.0,fr,environnementca_tweeter
