,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
1,1,863025802023231489,2017-05-12 13:39:20,['https://t.co/\xe2\x80\xa6'],RT @MPO_Science: FLASH INFO: Toute première vidéo de #Narvals utilisant leur défense pour se nourrir dans l’#Arctique #OdySci https://t.co/…,RT FLASH INFO Toute de Narvals utilisant leur fense pour se nourrir dans Arctique OdySci https co,"['#Narvals', '#Arctique', '#OdySci']",32,0,32,unknown,fr,0.0,Neutral,MPO_TNL_tweeter,
20,20,869945462610173952,2017-05-31 15:55:35,['https://\xe2\x80\xa6'],RT @Transports_gc: Min. Garneau annonce un programme pour enlever les bateaux abandonnés sur #NosCôtes. #PlanDeProtectionDesOcéans https://…,RT Min Garneau annonce un programme pour enlever les bateaux sur tes ans https,"['#NosC', '#PlanDeProtectionDesOc']",12,0,12,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['eau']
30,30,860160611229065217,2017-05-04 15:54:05,[],"RT @MPO_Science: Il y a longtemps, dans un centre de recherche pas si lointain, est né le programme de marquage d'espadron #StarWars https:…",RT Il longtemps dans un centre de recherche pas si lointain est le programme de marquage espadron StarWars https,['#StarWars'],10,0,10,unknown,fr,0.0,Neutral,MPO_TNL_tweeter,
34,34,859084688962486272,2017-05-01 16:38:45,['https://t.co/oylhm\xe2\x80\xa6'],"RT @Transports_gc: #PlanDeProtectionDesOcéans du Canada: présence de la @GCC_CCG en tout temps pour protéger #NosCôtes. 
https://t.co/oylhm…",RT ans du Canada sence de la en tout temps pour ger tes https co,"['#PlanDeProtectionDesOc', '#NosC']",10,0,10,unknown,fr,0.0,Neutral,MPO_TNL_tweeter,
41,41,869943928065327104,2017-05-31 15:49:29,['https://t.c\xe2\x80\xa6'],RT @MPO_DFO: Fiers d’annoncer l’investissement  de 75 M$ pour la restauration et la protection des côtes du Canada! #NosCôtes 🌊 https://t.c…,RT Fiers annoncer investissement de 75 pour la restauration et la protection des tes du Canada tes https,['#NosC'],9,0,9,Economical,fr,0.0,Neutral,MPO_TNL_tweeter,['invest']
79,79,863029806362894336,2017-05-12 13:55:14,"['https://t.co/Tu9GOqDcj3', 'https://t.co/\xe2\x80\xa6']",RT @MPO_Science: Le #Narval utilise sa défense pour frapper et assommer le poisson avant de le manger https://t.co/Tu9GOqDcj3 https://t.co/…,RT Le Narval utilise sa fense pour frapper et assommer le poisson avant de le manger https co Tu9GOqDcj3 https co,['#Narval'],7,0,7,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['mer']
80,80,869252379979513856,2017-05-29 18:01:31,['https://t.c\xe2\x80\xa6'],RT @MPO_DFO: La 2e zone de protection marine du Canada en #Arctique protège le béluga &amp; les ours polaire #JournéeMondialeOcéans https://t.c…,RT La 2e zone de protection marine du Canada en Arctique ge le luga amp les polaire ans https,"['#Arctique', '#Journ']",7,0,7,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,"['marine', 'air']"
91,91,869932114619375618,2017-05-31 15:02:33,[],"RT @Transports_gc: #PlanDeProtectionDesOcéans: Avec nos partenaires, nous prenons des mesures dans 5 secteurs pour protéger #NosCôtes https…",RT ans Avec nos partenaires nous prenons des mesures dans secteurs pour ger tes,"['#PlanDeProtectionDesOc', '#NosC']",7,0,7,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['air']
106,106,860189374000095232,2017-05-04 17:48:22,['https://t.co/5mHtz7GHfj'],RT @MPO_DFO: Tenté par la carrière d’agent des pêches? Ce questionnaire vous aidera à en avoir le cœur net! https://t.co/5mHtz7GHfj,RT par la agent des Ce questionnaire vous aidera en avoir le ur net https co 5mHtz7GHfj,[],7,0,7,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['air']
143,143,861960283404865536,2017-05-09 15:05:20,"['https://t.co/iJOFB8dSCF', 'https://t.co/bWSDZjiX\xe2\x80\xa6']","RT @MPO_DFO: Avant de partir en mer, vérifiez qu'il n'a pas d'alerte météo pour votre région. https://t.co/iJOFB8dSCF https://t.co/bWSDZjiX…",RT Avant de partir en mer rifiez qu il pas alerte pour votre gion https co iJOFB8dSCF https co,[],6,0,6,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['mer']
159,159,864107511359705089,2017-05-15 13:17:39,[],"RT @CommerceCanada: C’est la saison du homard! SVQ le Canada a exporté 192,5 millions de homards vers l'Union Européenne en 2016? #AECG htt…",RT CommerceCanada est la saison du homard SVQ le Canada 192 millions de homards vers Union enne en 2016 AECG,['#AECG'],6,0,6,Economical,fr,0.0,Neutral,MPO_TNL_tweeter,['commerce']
137,137,867426836963348480,2017-05-24 17:07:28,['https://t.co\xe2\x80\xa6'],RT @MPO_DFO: Vous pouvez nous aider à protéger nos océans. Signalez les situations d'urgence en mer et vos préoccupations ici: https://t.co…,RT Vous pouvez nous aider ger nos ans Signalez les situations urgence en mer et vos occupations ici https,[],6,0,6,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['mer']
123,123,859782149465047040,2017-05-03 14:50:13,['https://t.co/rfVYwV5MFW'],RT @salledepresseGC: #GC ajoute/reclasse 12 espèces aquatiques sur la liste en vertu de la LEP https://t.co/rfVYwV5MFW,RT salledepresseGC GC ajoute reclasse 12 ces aquatiques sur la liste en vertu de la LEP https co rfVYwV5MFW,['#GC'],6,0,6,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['vert']
193,193,868136997029904386,2017-05-26 16:09:23,['https://t\xe2\x80\xa6'],RT @MPO_DFO: Avez-vous votre permis de pêche? Vérifiez où vous souhaitez pêcher pour obtenir des informations et acheter en ligne https://t…,RT Avez vous votre permis de rifiez vous souhaitez pour obtenir des informations et acheter en ligne https,[],5,0,5,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['or']
215,215,859084528404639745,2017-05-01 16:38:07,"['https://t.co/uxZl2um4JB', 'https://t.co\xe2\x80\xa6']",RT @MPO_DFO: Découvrez comment le Canada protège ses écosystèmes grâce aux zones de protection marine: https://t.co/uxZl2um4JB https://t.co…,RT couvrez comment le Canada ge ses mes ce aux zones de protection marine https co uxZl2um4JB https,[],5,0,5,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['marine']
290,290,867038982454030338,2017-05-23 15:26:16,['https://t.co/hBrIBtMDVf\xe2\x80\xa6'],RT @MPO_DFO: Célébrez la #JournéedelaTortue! 🐢 Découvrez les trois espèces de tortues de mer qui vivent au Canada: https://t.co/hBrIBtMDVf…,RT brez la edelaTortue couvrez les trois ces de tortues de mer qui vivent au Canada https co,['#Journ'],4,0,4,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,"['or', 'mer']"
356,356,867078194557583360,2017-05-23 18:02:05,['https://t.co/ieqxcB\xe2\x80\xa6'],RT @MPO_DFO: La tortue luth est le reptile qui nage la plus grande distance; 15 000 km chaque année! #JournéedelaTortue https://t.co/ieqxcB…,RT La tortue luth est le reptile qui nage la plus grande distance 15 000 km chaque edelaTortue https co,['#Journ'],3,0,3,Environmental,fr,0.0,Neutral,MPO_TNL_tweeter,['or']
399,399,869979061073924106,2017-05-31 18:09:06,['https://t\xe2\x80\xa6'],RT @GCC_CCG: 7 nouvelles stations de sauvetage pour augmenter capacité en recherche et sauvetage. #SAR #PlandeProtectiondesOcéans https://t…,RT nouvelles stations de sauvetage pour augmenter en recherche et sauvetage SAR ans https,"['#SAR', '#PlandeProtectiondesOc']",3,0,3,unknown,fr,0.0,Neutral,MPO_TNL_tweeter,
