,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
9,9,865575303988469760,2017-05-19 14:30:08,"['https://t.co/fKLHj7WoxX', 'https://t.co/sDSJBsDvWq']",Elle est enfin arrivée!! Notre nouvelle #AppliPC rendra votre expérience dans nos sites encore plus mémorable! https://t.co/fKLHj7WoxX https://t.co/sDSJBsDvWq,Elle est enfin Notre nouvelle AppliPC rendra votre rience dans nos sites encore plus morable https co fKLHj7WoxX https co sDSJBsDvWq,['#AppliPC'],44,21,65,Environmental,fr,0.0,Neutral,ParcsCanada_tweeter,['or']
19,19,865550195492134913,2017-05-19 12:50:22,['https://t.co/xMGZYNeda'],C'est notre anniversaire! Nous existons depuis 1911 et nous sommes très heureux de célébrer #Canada150! Partagez vos souvenirs avec nous ☺ https://t.co/xMGZYNeda1,est notre anniversaire Nous existons depuis 1911 et nous sommes heureux de brer Canada150 Partagez vos souvenirs avec nous https co xMGZYNeda1,['#Canada150'],13,23,36,Environmental,fr,0.0,Neutral,ParcsCanada_tweeter,['air']
28,28,869561755701325824,2017-05-30 14:30:52,['https://t.co/ITBLTrxirS'],Découvrez l'#histoire riche du #Canada et visitez l'un des 171 lieux historiques nationaux cette année (#GRATUIT!) #LHN100 https://t.co/ITBLTrxirS,couvrez histoire riche du Canada et visitez un des 171 lieux historiques nationaux cette GRATUIT LHN100 https co ITBLTrxirS,"['#histoire', '#Canada', '#GRATUIT', '#LHN100']",15,15,30,Social,fr,0.0,Neutral,ParcsCanada_tweeter,['historique']
57,57,864215905898778630,2017-05-15 20:28:22,[],"RT @ParksCanadaNL: This year, in addition to #Canada150, we’re celebrating the 60th anniversary of #TerraNovaNP!  Visit this year and celeb…",RT ParksCanadaNL year addition Canada150 celebrating 60th anniversary TerraNovaNP Visit year,"['#Canada150', '#TerraNovaNP']",23,0,23,Environmental,en,0.0,Neutral,ParcsCanada_tweeter,['park']
56,56,865238081061957632,2017-05-18 16:10:08,['https://t.co/wnUGZl2R'],Amusez-vous avec le #DéfiParcs de la semaine : montrez-nous vos meilleures photos de nos chaises rouges. #PartagezLaChaise https://t.co/wnUGZl2Rc8,Amusez vous avec le fiParcs de la semaine montrez nous vos meilleures photos de nos chaises rouges PartagezLaChaise https co wnUGZl2Rc8,"['#D', '#PartagezLaChaise']",11,12,23,Social,fr,0.0,Neutral,ParcsCanada_tweeter,['parc']
122,122,869535206805561348,2017-05-30 12:45:23,['https://t.co/4VyxjNSyGe'],.@LHNCanalRideau s’ouvrait en ce jour de 1832! C'est le système de canaux utilisé en continu le plus ancien en Am. du Nord #ExploreCanada https://t.co/4VyxjNSyGe,LHNCanalRideau ouvrait en ce jour de 1832 est le de canaux en continu le plus ancien en du Nord ExploreCanada https co 4VyxjNSyGe,['#ExploreCanada'],8,8,16,Environmental,fr,0.0,Neutral,ParcsCanada_tweeter,"['eau', 'or']"
123,123,862080018998075392,2017-05-09 23:01:07,['https://t.co/tOGslxPrIl'],Avis aux passionnés de plein air : le guide des parcs nationaux du #Canada de #NationalGeographic est maintenant dispo.! @MEC https://t.co/tOGslxPrIl,Avis aux de plein air le guide des parcs nationaux du Canada de NationalGeographic est maintenant dispo MEC https co tOGslxPrIl,"['#Canada', '#NationalGeographic']",6,10,16,Environmental,fr,0.0,Neutral,ParcsCanada_tweeter,"['parc', 'air']"
136,136,860173434806034433,2017-05-04 16:45:02,['https://t.co/XypToywGmm'],"Le #DéfiParcs de cette semaine est étoilé 🌟! Admirez le ciel la nuit, prenez une 📷 et partagez-la avec #DéfiParcs! #QueLaForceSoitAvecVous https://t.co/XypToywGmm",Le fiParcs de cette semaine est Admirez le ciel la nuit prenez une et partagez la avec fiParcs QueLaForceSoitAvecVous https co XypToywGmm,"['#D', '#D', '#QueLaForceSoitAvecVous']",13,3,16,Environmental,fr,0.0,Neutral,ParcsCanada_tweeter,"['parc', 'or']"
140,140,867402172396429313,2017-05-24 15:29:28,['https://t.co/U9bGvVU413'],Une participation délirante à #DéfiParcs cette semaine! Nous adorons voir vos photos et espérons en voir beaucoup d'autres cet été! https://t.co/U9bGvVU413,Une participation lirante fiParcs cette semaine Nous adorons voir vos photos et rons en voir beaucoup autres cet https co U9bGvVU413,['#D'],4,11,15,Environmental,fr,0.0,Neutral,ParcsCanada_tweeter,"['eau', 'parc', 'or']"
164,164,860470443777634306,2017-05-05 12:25:15,['https://t.co/Cpqgv5hRiL'],Le parc marin du Saguenay–Saint-Laurent vu du ciel! C'est l’un des meilleurs endroits au monde pour observer les 🐋! #SpaceDay 📷 @asc_csa https://t.co/Cpqgv5hRiL,Le parc marin du Saint Laurent vu du ciel est un des meilleurs endroits au monde pour observer les SpaceDay https co Cpqgv5hRiL,['#SpaceDay'],4,10,14,Social,fr,0.0,Neutral,ParcsCanada_tweeter,['parc']
