,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,2017-05-03_13-57-23,2017-05-03 13:57:23,https://instagram.fyvr3-1.fna.fbcdn.net/vp/86249ddce87fe088027b51c30d486957/5ADC9D75/t51.2885-15/e35/24332371_1760660574239720_9107351131805188096_n.jpg,"Did you know that we are responsible for managing wildlife habitats at National Wildlife Areas nationwide? In the prairie provinces, habitat management sometimes includes using carefully planned prescribed burning to restore or recreate natural habitat conditions and eradicate invasive species. In many grassland ecosystems, fire is a natural process – just like grazing – and is important for maintaining natural habitats for wildlife.....",know responsible managing wildlife habitats 54 National Wildlife Areas nationwide prairie provinces habitat management sometimes includes using carefully planned prescribed burning restore recreate natural habitat conditions eradicate invasive species many grassland ecosystems fire natural process like grazing important maintaining natural habitats wildlife NationalWildlifeArea ProtectedArea ProtectedAreas fieldwork WildlifeConservation Prairies CanadianPrairies HabitatManagement FieldWork PrescribeFire Grassland InvasiveSpecies EnvironmentCanada CanadianWildlifeService DYK NoFilter TalentedStaff,"[""nationalwildlifearea"",""protectedarea"",""protectedareas"",""fieldwork"",""wildlifeconservation"",""prairies"",""canadianprairies"",""habitatmanagement"",""fieldwork"",""prescribefire"",""grassland"",""invasivespecies"",""environmentcanada"",""canadianwildlifeservice"",""dyk"",""nofilter"",""talentedstaff""]",Environmental,95,0.0,en,canenvironment_instagram
1,2017-05-15_08-45-10,2017-05-15 08:45:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/76dfa23dc16fc67d879082d88dedbe8e/5AFAA9CD/t51.2885-15/e35/25005806_166880477389621_8285166933901312000_n.jpg,"Do you recognize this geodesic dome that became an icon of the Montréal landscape in ? Do you know what it’s used for now? The Biosphere is the only environment museum in North America! If you find yourself in Montréal this summer, take the opportunity to visit the Museum! We have organized several new exhibitions to celebrate the th anniversary of Montréal, the th anniversary of Canada, and the th anniversary of E ...... éal éal",recognize geodesic dome became icon al landscape 1967 know used Biosphere environment museum North America find al summer take opportunity visit Museum organized several new exhibitions celebrate 375th anniversary al 150th anniversary Canada 50th anniversary Expo 67 Biosphere MTLBiosphere MTLMOMENTS al Quebec Canada ExploreCanada al Vacation2017 Summer2017 EnvironmentCanada MontrealMuseums 375MTL Expo67 Canada150 ECCan150 WEDCan,"[""biosphere"",""mtlbiosphere"",""mtlmoments"",""montréal"",""quebec"",""canada"",""explorecanada"",""exploremontréal"",""vacation2017"",""summer2017"",""environmentcanada"",""montrealmuseums"",""375mtl"",""expo67"",""canada150"",""eccan150"",""wedcan""]",Environmental,95,0.26666666666666666,en,canenvironment_instagram
2,2017-05-04_11-05-14,2017-05-04 11:05:14,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ea1c6d80731e8c80a9239d5de23a5630/5AF71AA9/t51.2885-15/e35/25012451_381268128979423_439259134429233152_n.jpg,"What a cool blast from the past! Canadian Wildlife Service biologist Ron Mackay examines a Trumpeter Swan in the s. In , because of hunting and harassment, there were only Trumpeters in Canada and in the US. Today, as a result of an intensive international conservation effort, there are about wild Trumpeter Swans, and the species is no longer considered in danger of extinction......",cool blast past nCanadian Wildlife Service biologist Ron Mackay examines Trumpeter Swan 1950s 1933 hunting harassment 77 Trumpeters Canada 50 US Today result intensive international conservation effort 16 000 wild Trumpeter Swans species longer considered danger extinction Canada150 TBT throwbackthursday throwback CanadianWildlifeService FlashBack Retro BlackAndWhite CanadianWildife Swan BiologistOfInstagram FieldWork WildlifeConservation CanEnvironment EnvironmentCanada Canada ProtectedArea TrumpeterSwan WithNature,"[""canada150"",""tbt"",""throwbackthursday"",""throwback"",""canadianwildlifeservice"",""flashback"",""retro"",""blackandwhite"",""canadianwildife"",""swan"",""biologistofinstagram"",""fieldwork"",""wildlifeconservation"",""canenvironment"",""environmentcanada"",""canada"",""protectedarea"",""trumpeterswan"",""withnature""]",Environmental,90,0.4,en,canenvironment_instagram
3,2017-05-31_13-30-51,2017-05-31 13:30:51,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3f201816730aec8f3efae0999e2db9a3/5AE7D143/t51.2885-15/s1080x1080/e35/24845119_259705131226878_2407726294969090048_n.jpg,"A Swainson’s hawk was sitting on a fencepost, eating its prey (a northern pocket gopher) when I stopped well back to have a look. Although I used a telephoto lens and was trying not to bother it, after stripping off and gulping a few bits of meat from this headless snack, the hawk decided it wanted to nosh the rest without an audience, and took off (dramatically) to find a solitary perch.Swainson’s Hawks show up for our prescribed fires. Once the smoke starts rising, Swainson’s will be attracted to forage for mice/voles/shrews who have no more grass cover to hide in. We’ve seen as many as or hawks in one area that has been recently burned.Over species (301 at the last official count) use the Last Mountain Lake National Wildlife Area for breeding (180 species) and passing through on migration.People like Kerry monitor nesting success of these large hawks at the LML NWA. Come and see for yourself at our open house June -6pm.... ",hawk sitting fencepost eating prey northern pocket gopher stopped well back look Although used telephoto lens trying bother stripping gulping bits meat headless snack hawk decided wanted nosh rest without audience took dramatically find solitary perch Hawks show prescribed fires smoke starts rising attracted forage mice voles shrews grass cover hide seen many 10 hawks one area recently burned nOver 300 species 301 last official count use Last Mountain Lake National Wildlife Area breeding 180 species passing migration nPeople like Kerry monitor nesting success large hawks LML NWA Come see open house June 2017 6pm EnvironmentCanada BirdOfPrey MigratoryBirds ProtectedAreas ProtectedArea CanadianWildlifeService CanadianWildife Saskatchewan WildlifeConservation WildlifePhotography ExploreCanada OpenHouse MigratoryBirdSanctuary,"[""environmentcanada"",""birdofprey"",""migratorybirds"",""protectedareas"",""protectedarea"",""canadianwildlifeservice"",""canadianwildife"",""saskatchewan"",""wildlifeconservation"",""wildlifephotography"",""explorecanada"",""openhouse"",""migratorybirdsanctuary""]",Environmental,89,0.0,en,canenvironment_instagram
4,2017-05-26_14-13-13,2017-05-26 14:13:13,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f9bb9e9f389ba376b9f737a779b04b6a/5AF7585E/t51.2885-15/s1080x1080/e35/24331901_511559552570220_9017572064617299968_n.jpg,"Wondering what a weather office looks like? Step in and meet Bob, our warning preparedness meteorologist! Here, he’s checking over some recent hurricane information in preparation for what could be an active hurricane season.Cool eh?Don’t forget, hurricane season, runs from June st until the end of October. Don’t be scared, just be prepared!....",Wondering weather office looks like Step meet Bob warning preparedness meteorologist checking recent hurricane information preparation could active hurricane season nCool eh forget hurricane season runs June 1st end October scared prepared GetPrepared WeatherWise Hurricane HurricaneSeason HurricaneStrong CanadianHuricaneCentre StormReady HurricanePreparedness Meteorologists TropicalCyclones MeteorologistsOfInstagram InstaWeather Canada AtlanticCanada,"[""getprepared"",""weatherwise"",""hurricane"",""hurricaneseason"",""hurricanestrong"",""canadianhuricanecentre"",""stormready"",""hurricanepreparedness"",""meteorologists"",""tropicalcyclones"",""meteorologistsofinstagram"",""instaweather"",""canada"",""atlanticcanada""]",Environmental,79,0.0,en,canenvironment_instagram
5,2017-05-10_10-03-35,2017-05-10 10:03:35,https://instagram.fyvr3-1.fna.fbcdn.net/vp/229fcd6beaa2f7e35430b4b982820906/5AEF118C/t51.2885-15/s1080x1080/e35/25009482_135578457155642_6286360205986889728_n.jpg,"It may not look like much but over the last year, scientists have been using these new solar-powered satellite transmitters to tag and track Thayer’s Gulls from the high arctic to BC. This data is helping scientists learn about the foraging and migrating behavior of this species, and how they overlap with areas of high marine shipping. Recently, a bird with a transmitter stopped moving. The signal remained strong, and coordinates indicated it was located in a remote area of Alaska. Scientists presumed the device lost until a local resident offered to help with the search. Equipped with his boat, GPS, and coordinates provided by ECCC, he found the transmitter on a remote beach off of Iyoukeen Bay – km from ! Thanks Mr. Chew!.....",may look like much last year scientists using new solar powered satellite transmitters tag track Gulls high arctic BC data helping scientists learn foraging migrating behavior species overlap areas high marine shipping nRecently bird transmitter stopped moving signal remained strong coordinates indicated located remote area Alaska Scientists presumed device lost local resident offered help search Equipped boat GPS coordinates provided ECCC found transmitter remote beach Iyoukeen Bay 100km Juneau Thanks Mr Chew MigratoryBirds BritishColumbia Arctic Gull Alaska Nature TenakeeSprings WldlifeScience MarineSafety WildlifeConservation CanEnvironment EnvironmentCan CanadianWildlife OurCoasts,"[""juneau"",""migratorybirds"",""britishcolumbia"",""arctic"",""gull"",""alaska"",""nature"",""tenakeesprings"",""wldlifescience"",""marinesafety"",""wildlifeconservation"",""canenvironment"",""environmentcan"",""canadianwildlife"",""ourcoasts""]",Environmental,67,0.0,en,canenvironment_instagram
6,2017-05-30_06-03-28,2017-05-30 06:03:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b45924f16939779a619a4e8e8ae608aa/5AEB1EAD/t51.2885-15/e35/25006834_467888623608416_514701261480656896_n.jpg,"Nature is everywhere including in your schoolyard, backyard and outside your community center. One of our employees took this shot during lunch time…we’re all surrounded by beauty, we only have to observe! This World Environment Day (Monday June th), or any day this June, teachers, youth program leaders and parents can help young people discover the nature around them by bringing them outside for a mini-Bioblitz.! Tap the link in our bio to register!!....",Nature everywhere including schoolyard backyard outside community center One employees took shot lunch surrounded beauty observe World Environment Day Monday June 5th day June teachers youth program leaders parents help young people discover nature around bringing outside mini Bioblitz Tap link bio register Biodiversity Bioblitz DiscoverNature ExploreCanada WorldEnvironmentDay WithNature Canada150 Canada EnvironmentCanada BioBlitz150 CitizenScience,"[""biodiversity"",""bioblitz"",""discovernature"",""explorecanada"",""worldenvironmentday"",""withnature"",""canada150"",""canada"",""environmentcanada"",""bioblitz150"",""citizenscience""]",Environmental,67,0.41215277777777776,en,canenvironment_instagram
7,2017-05-25_11-27-13,2017-05-25 11:27:13,https://instagram.fyvr3-1.fna.fbcdn.net/vp/937b3dd5f87de4afd3eaadbf9e727a96/5AF70FBD/t51.2885-15/e35/24838787_545825195784983_7739199375657664512_n.jpg,"“Last summer I travelled with Adventure Canada to the Prince Leopold Island Migratory Bird Sanctuary in Lancaster Sound, Nunavut. Because of the tight schedule of the ship our only opportunity to get out in Zodiacs below the seabird cliffs was at :30 before breakfast but despite this and a biting cold wind, about passengers took part and all were thrilled by the eerience!” – Garry, CWS Crew.....: Garry Donaldson",Last summer travelled Adventure Canada Prince Leopold Island Migratory Bird Sanctuary Lancaster Sound Nunavut tight schedule ship opportunity get Zodiacs seabird cliffs 30 breakfast despite biting cold wind 80 passengers took part thrilled experience Garry CWS Crew Garry Donaldson CanadianWildlifeService MigratoryBirds AdventureCanada MigratoryBirdSanctuary ProtectedLand WildlifePhotography Nunavut EnvironmentCanada CanEnvironment SummerVibes NoFilterNeeded EyeCandy,"[""canadianwildlifeservice"",""migratorybirds"",""adventurecanada"",""migratorybirdsanctuary"",""protectedland"",""wildlifephotography"",""nunavut"",""environmentcanada"",""canenvironment"",""summervibes"",""nofilterneeded"",""eyecandy""]",Environmental,64,0.64,en,canenvironment_instagram
8,2017-05-09_06-03-47,2017-05-09 06:03:47,https://instagram.fyvr3-1.fna.fbcdn.net/vp/628cc74f626b63e54468d9bb144075b3/5A637D16/t51.2885-15/e15/25014253_1409479775845771_4534021305929826304_n.jpg,"We want YOU to join us! You could win airfare and accommodations to attend World Environment Day events! It’s as easy as !World Environment Day is all about connecting people to nature, and Canada has a lot of hidden gems where Canadians can enjoy nature. Canadian Youth between the age of to , we want you to show us what you like the most about Canada and why it is important that we continue our work to safeguard our natural heritage. So grab your phone, your selfie stick or your tripod and get out there! Once it’s ready, tweet us your video environmentca and complete the entry form. Tap the link in our bio for all the deets!.....",want join us could win airfare accommodations attend World Environment Day events easy nWorld Environment Day 2017 connecting people nature Canada lot hidden gems Canadians enjoy nature Canadian Youth age 18 25 want show us like Canada important continue work safeguard natural heritage grab phone selfie stick tripod get ready tweet us video environmentca WEDCan complete entry form Tap link bio deets WorldEnvironmentDay WithNature Canada ExploreCanada CanadianWildlife CanadianAdventures CanadianYouth Contest WEDCan EnvironmentCanada EnvironmentCan CanEnvironment Canada150 ECCan150,"[""wedcan"",""worldenvironmentday"",""withnature"",""canada"",""explorecanada"",""canadianwildlife"",""canadianadventures"",""canadianyouth"",""contest"",""wedcan"",""environmentcanada"",""environmentcan"",""canenvironment"",""canada150"",""eccan150""]",Environmental,60,-0.5625,en,canenvironment_instagram
9,2017-05-22_12-32-06,2017-05-22 12:32:06,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bc2078bc518a88077979f607706531e3/5AEC8904/t51.2885-15/e35/25018186_381383138978210_492631198368006144_n.jpg,"This is a mosaic created by one of our employees with about photos of waterfalls taken during a field trip to Garden of Eden Fall, Five Islands, Nova Scotia last fall. Cool right!.....",mosaic created one employees 100 photos waterfalls taken field trip Garden Eden Fall Five Islands Nova Scotia last fall Cool right PerksOfFieldWork Flashback Waterfalls Art Mosaic IDB2017 Biodiversity CanadaWater WaterScience ScienceAndTechnology CdnScience NaturePhotography ScientistsofInstagram EnvironmentCanada CanEnvironment NovaScotia,"[""perksoffieldwork"",""flashback"",""waterfalls"",""art"",""mosaic"",""idb2017"",""biodiversity"",""canadawater"",""waterscience"",""scienceandtechnology"",""cdnscience"",""naturephotography"",""scientistsofinstagram"",""environmentcanada"",""canenvironment"",""novascotia""]",Environmental,59,0.875,en,canenvironment_instagram
