,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
23,23,2017-06-05_11-50-31,2017-06-05 11:50:31,https://instagram.fyvr3-1.fna.fbcdn.net/vp/73eec99889853208743672890fe3de12/5AEECDAA/t51.2885-15/e35/18950284_1908119876121389_8241940519018561536_n.jpg,"Minister Carr and delegates meet with Vice Chairman of CNPC, Wang Dongjin",Minister Carr delegates meet Vice Chairman CNPC Wang Dongjin partners CanadaChina,"[""partners"",""canadachina""]",1,29,30,Environmental,en,0.0,naturalresourcescanada_instagram,"['ice', 'air']",neutral
47,47,2017-06-09_11-59-03,2017-06-09 11:59:03,https://instagram.fyvr3-1.fna.fbcdn.net/vp/601a230c302d7a7277caf23994948ee1/5A63EF77/t51.2885-15/e15/19120920_666189980243142_1042691920574283776_n.jpg,Going to this Sat? Stop by & visit the team at their booth to tell them what looks like!,Going festibieredegatineau Sat Stop visit GenEnergy team booth tell YourEnergyFuture looks like,"[""genenergy"",""yourenergyfuture""]",0,22,22,Social,en,0.0,naturalresourcescanada_instagram,"['future', 'futur']",neutral
48,48,2017-06-12_11-38-53,2017-06-12 11:38:53,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3f3a0eafaeffe4b7c4250bb6ba22b140/5AE579DA/t51.2885-15/e35/19121799_622078837986346_8016564008536506368_n.jpg,Min Carr & delegation elain how innovation in wood products & can contribute to China’s environmental goals,Min Carr delegation explain innovation wood products CleanTech contribute environmental goals CanadaChina,"[""cleantech"",""canadachina""]",0,22,22,Economical,en,0.0,naturalresourcescanada_instagram,['innovation'],neutral
64,64,2017-06-07_09-59-11,2017-06-07 09:59:11,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b2d47ec34d39d2554329ecf58219a793/5AE64F01/t51.2885-15/e35/18888613_347196659028641_7491141228784779264_n.jpg,"Yesterday, Min Carr & Bai Chunli, President of the Chinese Academy of Sciences, discussed mutual interests related to science and tech. They then renewed the MOU on Cooperation in the Sustainable Development of",Yesterday Min Carr Bai Chunli President Chinese Academy Sciences discussed mutual interests related science tech renewed MOU Cooperation Sustainable Development NaturalResources CanadaChina,"[""naturalresources"",""canadachina""]",0,20,20,Environmental,en,0.0,naturalresourcescanada_instagram,"['sustainable', 'natural', 'resources']",neutral
74,74,2017-06-12_11-36-27,2017-06-12 11:36:27,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c5ca4ec3450e250f7b51be82cd82e21f/5AD8C0A4/t51.2885-15/e35/19227255_1390133031066066_7940393755679391744_n.jpg,"Min Carr, forest & delegations showcased CDN innovation in wood products & clean tech during visit to Eco-Village",Min Carr forest CleanTech delegations showcased CDN innovation wood products clean tech visit Eco Village CanadaChina,"[""cleantech"",""canadachina""]",0,19,19,Economical,en,0.0,naturalresourcescanada_instagram,['innovation'],neutral
96,96,2017-06-07_09-56-01,2017-06-07 09:56:01,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1f35fddd2a41085fc8606207cc32e7cc/5ADDDDB0/t51.2885-15/e35/18888843_1931936963742650_8793882183497416704_n.jpg,"Min Carr discussed , use & storage with colleagues from US, Norway & China at IEA panel",Min Carr discussed CarbonCapture use storage colleagues US Norway China IEA panel CanadaChina,"[""carboncapture"",""canadachina""]",1,15,16,Environmental,en,0.0,naturalresourcescanada_instagram,"['carbon', 'or']",neutral
105,105,2017-06-09_06-20-49,2017-06-09 06:20:49,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1eadd8d8fa9509348476caee6d1ac852/5AE96E93/t51.2885-15/e35/18888447_1392525337504692_1580108009953034240_n.jpg,Min Carr announced Canada’s intent to host the & Ministerial in,Min Carr announced intent host CleanEnergy MissionInnovation Ministerial 2019 CanadaChina,"[""cleanenergy"",""missioninnovation"",""canadachina""]",0,15,15,Economical,en,0.0,naturalresourcescanada_instagram,"['energy', 'minister', 'innovation']",neutral
126,126,2017-06-07_09-54-44,2017-06-07 09:54:44,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8dca3b41e871adf5faac45062cd6cfc7/5AD85468/t51.2885-15/e35/18949808_333376180415363_3350839514749730816_n.jpg,"Min Carr and Norwegian Minister of Petroleum & Energy, Terje Søviknes, advanced mutual interests & discussed",Min Carr Norwegian Minister Petroleum Energy Terje viknes advanced mutual interests discussed MissionInnovation CanadaChina,"[""missioninnovation"",""canadachina""]",0,14,14,Economical,en,0.0,naturalresourcescanada_instagram,"['energy', 'minister', 'innovation']",neutral
130,130,2017-06-12_11-42-39,2017-06-12 11:42:39,https://instagram.fyvr3-1.fna.fbcdn.net/vp/00a797b4b8f8809fd96ee7aba37201d1/5AFF2EC0/t51.2885-15/e35/19050267_129182907660093_3312504522156277760_n.jpg,Minister Carr met with Mayor Wang Dongfeng to discuss how Canada & China can collaborate in areas of mutual interest,Minister Carr met Mayor Wang Dongfeng discuss Canada China collaborate areas mutual interest CanadaChina,"[""canadachina""]",0,13,13,Economical,en,0.0,naturalresourcescanada_instagram,['minister'],neutral
159,159,2017-06-21_13-18-09,2017-06-21 13:18:09,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0b64fcf1a879d9a7455e8ea2373abaae/5A645AB1/t51.2885-15/e15/19228561_144434379456235_1547656272151576576_n.jpg,Imani has some innovative ideas about ’s energy future. Find out what she has to say!Have some more cool suggestions? Visit our ideas forum at generationenergy.ca,Imani innovative ideas energy future Find say nHave cool suggestions Visit ideas forum generationenergy ca GenEnergy YourEnergyFuture,"[""canada"",""genenergy"",""yourenergyfuture""]",0,11,11,Social,en,0.0,naturalresourcescanada_instagram,"['future', 'futur']",neutral
161,161,2017-06-23_08-21-36,2017-06-23 08:21:36,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d737d8f0b39084c31432fa9d9f3f76e9/5A6480A7/t51.2885-15/e15/19367912_1917100741906749_2646466961264869376_n.jpg,Emorose wants his energy future to be nothing short of “beautiful.” Learn more about his vision for ! Have something to add? Visit our ideas forum at generationenergy.ca,Emorose wants energy future nothing short beautiful Learn vision Canada nHave something add Visit ideas forum generationenergy ca GenEnergy YourEnergyFuture,"[""canada"",""genenergy"",""yourenergyfuture""]",0,11,11,Social,en,0.0,naturalresourcescanada_instagram,"['future', 'futur']",neutral
165,165,2017-06-07_12-10-59,2017-06-07 12:10:59,https://instagram.fyvr3-1.fna.fbcdn.net/vp/17d295e07fa7953f155468ae508ecb5c/5AEAB9D3/t51.2885-15/e35/18950034_347608952320922_6645917821282811904_n.jpg,Min Carr met with Minister Jiang Daming to promote bilateral trade and investment opportunities in Canada,Min Carr met Minister Jiang Daming promote bilateral trade investment opportunities Canada CanadaChina,"[""canadachina""]",0,11,11,Economical,en,0.0,naturalresourcescanada_instagram,"['invest', 'minister']",neutral
176,176,2017-06-07_12-12-10,2017-06-07 12:12:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/22a44e8b4d30ee00a1ad427ef698ef56/5AFDFB26/t51.2885-15/e35/18950416_269347226806890_8715787304255356928_n.jpg,Min Carr underlined the support for CNNC Joint Ventures during meeting with Chairman Wang Shoujun,Min Carr underlined GoC support CNNC Joint Ventures meeting Chairman Wang Shoujun CanadaChina,"[""goc"",""canadachina""]",0,10,10,Environmental,en,0.0,naturalresourcescanada_instagram,"['or', 'air']",neutral
211,211,2017-06-09_06-44-20,2017-06-09 06:44:20,https://instagram.fyvr3-1.fna.fbcdn.net/vp/48ed4ef9329b28dd38196ec8942e6c75/5AF63B66/t51.2885-15/e35/18889283_507913222890525_7114864555641012224_n.jpg,Mininster Carr promoted market access for Canada’s wood products in China at meeting with Vice-Minister Yi Jun,Mininster Carr promoted market access wood products China meeting Vice Minister Yi Jun CanadaChina,"[""canadachina""]",0,7,7,Economical,en,0.0,naturalresourcescanada_instagram,['minister'],neutral
