,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
42,42,2017-06-21_13-21-10,2017-06-21 13:21:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4231ffb41a4aebe80fd546b47f45ab7b/5A63A441/t51.2885-15/e15/19367283_1453727291354278_7302135948769230848_n.jpg,À quoi ressemble l’avenir énergétique du et comment le réaliser? Voyez ce qu’en pense Isabelle!Vous voulez ajouter votre mot? Participez à notre forum des idées à generationenergie.ca.énÉnergie Énergétique,quoi ressemble avenir tique du Canada et comment le aliser Voyez ce en pense Isabelle nVous voulez ajouter votre mot Participez notre forum des es generationenergie ca nergie tique,"[""canada"",""génénergie"",""votreavenirénergétique""]",0,4,4,Social,fr,0.0,ressourcenaturellescanada_instagram,['avenir'],neutral
69,69,2017-06-05_11-51-17,2017-06-05 11:51:17,https://instagram.fyvr3-1.fna.fbcdn.net/vp/481dc8ec93c46834c6aa02b4e8a9cd5d/5AED0673/t51.2885-15/e35/18812725_1873086016280851_5708678209797619712_n.jpg,"Le ministre Carr et des délégués rencontrent le VP du conseil de CNPC, Wang Dongjin",Le ministre Carr et des rencontrent le VP du conseil de CNPC Wang Dongjin partenaires CanadaChine,"[""partenaires"",""canadachine""]",0,3,3,Environmental,fr,0.0,ressourcenaturellescanada_instagram,['air'],neutral
74,74,2017-06-09_12-02-50,2017-06-09 12:02:50,https://instagram.fyvr3-1.fna.fbcdn.net/vp/de724cc578f440d8a817af60efebe98c/5A647BB4/t51.2885-15/e15/18947998_1803689119943756_2676941128619524096_n.jpg,Vous irez au samedi? Rendez-vous au kiosque énÉnergie et dites-nous comment vous envisagez Énergétique!,Vous irez au festibieredegatineau samedi Rendez vous au kiosque nergie et dites nous comment vous envisagez tique,"[""génénergie"",""votreavenirénergétique""]",0,3,3,Environmental,fr,0.0,ressourcenaturellescanada_instagram,['eau'],neutral
126,126,2017-06-07_09-55-18,2017-06-07 09:55:18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e6337c62375b56f05e9ab6b69390c367/5AFC6AF2/t51.2885-15/e35/18888794_663650397167816_2472290957781893120_n.jpg,"Le min. Carr et Terje Søviknes, min. norvégien du Pétrole et de l’Énergie discutent d’intérêts mutuels.",Le min Carr et Terje viknes min gien du trole et de nergie discutent mutuels MissionInnovation CanadaChine,"[""missioninnovation"",""canadachine""]",0,2,2,Economical,fr,0.0,ressourcenaturellescanada_instagram,['innovation'],neutral
156,156,2017-06-12_11-40-32,2017-06-12 11:40:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/32de0726df6e3680db64af083679df5d/5AFB186C/t51.2885-15/e35/19227279_1876881585867759_3616754013925539840_n.jpg,Le ministre Carr + délégation eliquent comment innovation des produits du bois et de contribuent aux objectifs environnement Chine,Le ministre Carr gation expliquent comment innovation des produits du bois et de TechPropre contribuent aux objectifs environnement Chine CanadaChine,"[""techpropre"",""canadachine""]",0,2,2,Economical,fr,0.0,ressourcenaturellescanada_instagram,"['ministre', 'produits du bois', 'produits', 'innovation']",neutral
187,187,2017-06-07_09-57-27,2017-06-07 09:57:27,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d8bc32c125ffc25606f4cdec94737446/5AD87A53/t51.2885-15/e35/18949711_175541332980177_5254730386000314368_n.jpg,"Panel IEA : le min Carr parle avec des collègues de Chine, Norvège et USA",Panel IEA CanadaChine le min Carr parle CaptageCO2 avec des gues de Chine ge et USA,"[""canadachine"",""captageco2""]",0,1,1,unknown,fr,0.0,ressourcenaturellescanada_instagram,,neutral
188,188,2017-06-07_10-00-07,2017-06-07 10:00:07,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b46acad32664c8f36cc89f5a2bee8331/5AE025F2/t51.2885-15/e35/18947611_1843390999317851_7924299757307035648_n.jpg,"Hier, le min. Carr et Bai Chunli, prés. de l’Académie chinoise des sciences, ont discuté d’intérêts mutuels liés aux sciences et techno. Ils ont ensuite renouvelé le PE sur la coopération aux fins du dév. durable des .",Hier le min Carr et Bai Chunli de mie chinoise des sciences ont mutuels aux sciences et techno Ils ont ensuite le PE sur la ration aux fins du durable des RessourcesNaturelles CanadaChine,"[""ressourcesnaturelles"",""canadachine""]",0,1,1,Environmental,fr,0.0,ressourcenaturellescanada_instagram,"['durable', 'nature']",neutral
189,189,2017-06-07_12-06-13,2017-06-07 12:06:13,https://instagram.fyvr3-1.fna.fbcdn.net/vp/949ca8bd3915b64be85ae493f557ddb4/5AF1437C/t51.2885-15/e35/18947739_1996231827266706_6753451561717858304_n.jpg,Le min. Carr a rencontré le min. Jiang Daming pr promouvoir le commerce bilatéral et des occasions d’investissement au Canada.,Le min Carr le min Jiang Daming pr promouvoir le commerce ral et des occasions investissement au Canada CanadaChine,"[""canadachine""]",0,1,1,Economical,fr,0.0,ressourcenaturellescanada_instagram,"['invest', 'commerce']",neutral
191,191,2017-06-07_12-07-26,2017-06-07 12:07:26,https://instagram.fyvr3-1.fna.fbcdn.net/vp/872b1cfdb68793fdc78d9415783edce6/5AF77756/t51.2885-15/e35/18947585_152654568609863_5545200643431464960_n.jpg,Le min. Carr souligne le soutien du pour des coentreprises du SNNC pendant une réunion avec le président Wang Shoujun.,Le min Carr souligne le soutien du GC pour des coentreprises du SNNC pendant une union avec le sident Wang Shoujun CanadaChine,"[""gc"",""canadachine""]",0,1,1,unknown,fr,0.0,ressourcenaturellescanada_instagram,,neutral
192,192,2017-06-09_06-21-28,2017-06-09 06:21:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/93fee22f34ee5ea727a72e946d508d87/5AE946AD/t51.2885-15/e35/18948062_117608808829958_300150104399020032_n.jpg,Le min. Carr a annoncé intention du Canada d’être l’hôte de la réunion min. sur ÉnergiePropre et en .,Le min Carr intention du Canada te de la union min sur nergiePropre et MissionInnovation en 2019 CanadaChine,"[""énergiepropre"",""missioninnovation"",""canadachine""]",0,1,1,Economical,fr,0.0,ressourcenaturellescanada_instagram,['innovation'],neutral
193,193,2017-06-09_06-45-05,2017-06-09 06:45:05,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b9121bcd10937e00be35c7d0e4db40ce/5AF65D06/t51.2885-15/e35/18947406_141402469740951_5373295462172327936_n.jpg,Le mininstre Carr a fait la promotion de l’accès au marché pour les produits du bois canadiens en Chine auprès du vice-min. Yi Jun,Le mininstre Carr fait la promotion de au pour les produits du bois canadiens en Chine du vice min Yi Jun CanadaChine,"[""canadachine""]",0,1,1,Economical,fr,0.0,ressourcenaturellescanada_instagram,"['produits du bois', 'produits']",neutral
194,194,2017-06-12_11-37-56,2017-06-12 11:37:56,https://instagram.fyvr3-1.fna.fbcdn.net/vp/16103535c7cab37bfa41cc75dc6b7a2d/5AFCFD83/t51.2885-15/e35/19052045_1432688360120839_8803536200531968_n.jpg,"À l’éco-village, le min. Carr et délégation (forêts et ) montrent l’innovation canadien des produits du bois et de la .",co village le min Carr et gation et TechPropre montrent innovation canadien des produits du bois et de la TechPropre CanadaChine,"[""techpropre"",""techpropre"",""canadachine""]",0,1,1,Economical,fr,0.0,ressourcenaturellescanada_instagram,"['produits du bois', 'produits', 'innovation']",neutral
198,198,2017-06-12_11-44-16,2017-06-12 11:44:16,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ec6d39f55c0c2ce1524e5463cfb9ab71/5AE08B81/t51.2885-15/e35/19050494_248326725651040_5087278136639356928_n.jpg,Le ministre Carr et le maire Wang Dongfeng discutent de la collaboration entre Canada et Chine sur intérêts communs.,Le ministre Carr et le maire Wang Dongfeng discutent de la collaboration entre Canada et Chine sur communs CanadaChine,"[""canadachine""]",0,1,1,Environmental,fr,0.0,ressourcenaturellescanada_instagram,"['or', 'air']",neutral
200,200,2017-06-23_08-23-24,2017-06-23 08:23:24,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f2bf1e605ab88159e559ab2baa2a46c2/5A6387A8/t51.2885-15/e15/19228759_330785627354977_6296011757710213120_n.jpg,Écoutez Camille nous parler de ce qu’elle entrevoit de l’avenir énergétique au !Vous avez vous aussi des idées? Participez à notre forum des idées à generationenergie.ca.énÉnergie Énergétique,coutez Camille nous parler de ce elle entrevoit de avenir tique au Canada nVous avez vous aussi des es Participez notre forum des es generationenergie ca nergie tique,"[""canada"",""génénergie"",""votreavenirénergétique""]",0,1,1,Social,fr,0.0,ressourcenaturellescanada_instagram,"['ami', 'avenir']",neutral
