,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
14,14,884417901352144897,2017-07-10 14:23:54,"['https://t.co/OJT3P4n0mm', 'https://t.co/KmWYAwJUVT']",RT @MPO_DFO: Nous sommes maintenant sur Facebook! Plongez dans notre contenu 🌊🐳 https://t.co/OJT3P4n0mm https://t.co/KmWYAwJUVT,RT Nous sommes maintenant sur Facebook Plongez dans notre contenu https co OJT3P4n0mm https co KmWYAwJUVT,[],12,0,12,unknown,fr,0.0,Neutral,MPO_MAR_tweeter,
25,25,890633840007532544,2017-07-27 18:03:49,['https://t.co/MKzATENvy'],"RT @MPO_DFO: Ensemble, protégeons les poissons et leur habitat! #ParlonsHabitatDuPoisson #LoiSurLesPêches 🐟 https://t.co/MKzATENvy8",RT Ensemble geons les poissons et leur habitat ParlonsHabitatDuPoisson https co MKzATENvy8,"['#ParlonsHabitatDuPoisson', '#LoiSurLesP']",9,0,9,unknown,fr,0.0,Neutral,MPO_MAR_tweeter,
81,81,889846708443774976,2017-07-25 13:56:02,[],RT @GCC_CCG: L'équipage d'une ESC à #Halifax a sauvé une chienne égarée hier à Conrad's Beach – Contents qu'elle soit en sécurité chez elle…,RT quipage une ESC Halifax une chienne hier Conrad Beach Contents qu elle soit en chez,['#Halifax'],7,0,7,unknown,fr,0.0,Neutral,MPO_MAR_tweeter,
99,99,886971277348659200,2017-07-17 15:30:06,['https://t.co/U\xe2\x80\xa6'],"RT @GCC_CCG: Nous avons une annonce… nous sommes sur Facebook 🚢🌊 Suivez-nous pour apprendre sur les navires, les hélicos &amp; + https://t.co/U…",RT Nous avons une nous sommes sur Facebook Suivez nous pour apprendre sur les navires les licos amp https co,[],6,0,6,unknown,fr,0.0,Neutral,MPO_MAR_tweeter,
103,103,890199757850804224,2017-07-26 13:18:56,[],RT @GCC_CCG: La GCC lutte contre pollution marine provenant des navires qui soulèvent des préoccupations sur #NosCôtes #PlanDeProtectionDes…,RT La GCC lutte contre pollution marine provenant des navires qui vent des occupations sur tes,"['#NosC', '#PlanDeProtectionDes']",6,0,6,Environmental,fr,0.0,Neutral,MPO_MAR_tweeter,"['marine', 'pollution']"
142,142,883026411539320832,2017-07-06 18:14:37,[],"RT @GCC_CCG: Avec ses partenaires, la GCC effectue aujourd’hui un exercice de formation majeur en recherche et sauvetage à Pictou #Nouvelle…",RT Avec ses partenaires la GCC effectue hui un exercice de formation majeur en recherche et sauvetage Pictou,['#Nouvelle'],5,0,5,Environmental,fr,0.0,Neutral,MPO_MAR_tweeter,"['or', 'ice', 'air']"
299,299,881242406720598021,2017-07-01 20:05:37,['https://t.co/C\xe2\x80\xa6'],RT @MPO_DFO: Peter Mitchell fut le premier ministre des Pêches en 1867 et un ardent défenseur des droits de pêche #Canada150 https://t.co/C…,RT Peter Mitchell fut le premier ministre des en 1867 et un ardent fenseur des droits de Canada150 https co,['#Canada150'],3,0,3,Economical,fr,0.0,Neutral,MPO_MAR_tweeter,"['ministre', 'droits']"
433,433,889941004253528068,2017-07-25 20:10:44,['https://t\xe2\x80\xa6'],RT @MPO_Science: Travail d’équipe! Merci à @GCC_CCG pour votre aide avec le @ROPOS_ROV pour une future mission dans l’Atlantique! https://t…,RT Travail quipe Merci pour votre aide avec le pour une future mission dans Atlantique https,[],2,0,2,Social,fr,0.0,Neutral,MPO_MAR_tweeter,"['future', 'futur', 'mer']"
434,434,890201871599759364,2017-07-26 13:27:19,['https://t.co/xoE2aKgJR'],"RT @GCC_CCG: Le remorquage du Farley Mowat est en cours à Shelburne, en #NouvelleÉcosse https://t.co/xoE2aKgJRU",RT Le remorquage du Farley Mowat est en cours Shelburne en cosse https co xoE2aKgJRU,['#Nouvelle'],2,0,2,Environmental,fr,0.0,Neutral,MPO_MAR_tweeter,['or']
432,432,888010746273116161,2017-07-20 12:20:35,[],"RT @GCC_CCG: 1/2 la cause de l'incendie au phare de la pointe Swift, au Nouveau-Brunswick, n'a pas pu être déterminée par service d'incendi…",RT la cause de incendie au phare de la pointe Swift au Nouveau Brunswick pas pu par service,[],2,0,2,Environmental,fr,0.0,Neutral,MPO_MAR_tweeter,"['eau', 'ice']"
