,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,885585691819880448,2017-07-13 19:44:16,[],RT @PMcanadien: Le PM annonce que la Reine a approuvé la nomination de Mme Julie Payette à titre de gouverneure générale du Canada: https:/…,RT PMcanadien Le PM annonce que la Reine la nomination de Mme Julie Payette titre de gouverneure rale du Canada https,[],Social,65,0.0,fr,ministre_ec_tweeter
1,884484995481563136,2017-07-10 18:50:30,['https://t.\xe2\x80\xa6'],RT @PMcanadien: Les Canadiens peuvent aider les personnes touchées par les feux de forêt en C.-B. avec un don à @redcrosscanada: https://t.…,RT PMcanadien Les Canadiens peuvent aider les personnes es par les feux de en avec un redcrosscanada https,[],Environmental,27,0.0,fr,ministre_ec_tweeter
2,886189881533313024,2017-07-15 11:45:07,['https://t.co/tzFtogzbXK'],"Joyeuse #Journéedesparcs! Vive l'entrée gratuite dans les parcs nationaux pour #Canada150, car plusieurs ont visité nos trésors naturels! ❤ https://t.co/tzFtogzbXK",Joyeuse edesparcs Vive gratuite dans les parcs nationaux pour Canada150 car plusieurs ont nos sors naturels https co tzFtogzbXK,"['#Journ', '#Canada150']",Environmental,26,0.0,fr,ministre_ec_tweeter
3,884377357733199872,2017-07-10 11:42:47,[],RT @PMcanadien: Le PM et le président Macron s'engagent à agir face aux changements climatiques et à intensifier le commerce entre nos 2 pa…,RT PMcanadien Le PM et le sident Macron engagent agir face aux changements climatiques et intensifier le commerce entre nos,[],Social,25,0.0,fr,ministre_ec_tweeter
4,881594718316109824,2017-07-02 19:25:34,['https://t.co/nW2ADUSr4m'],Des cérémonies de citoyenneté ont eu lieu le jour de la #FêteCanada dans des sites de @ParcsCanada. Bon #Canada150 aux #NouveauxCanadiens! https://t.co/nW2ADUSr4m,Des monies de ont eu lieu le jour de la dans des sites de ParcsCanada Bon Canada150 aux NouveauxCanadiens https co nW2ADUSr4m,"['#F', '#Canada150', '#NouveauxCanadiens']",Environmental,24,0.0,fr,ministre_ec_tweeter
5,885194932843163653,2017-07-12 17:51:32,[],"RT @PMcanadien: EN BREF: Le PM conclut le Sommet du #G20 en discutant des engagements des dirigeants pour la croissance durable, le commerc…",RT PMcanadien EN BREF Le PM conclut le Sommet du G20 en discutant des engagements des dirigeants pour la croissance durable le,['#G20'],Social,23,0.0,fr,ministre_ec_tweeter
6,883721359104323584,2017-07-08 16:16:05,"['https://t.co/r5Se1G5M', 'https://t.co/EQ0AZrQaGo']",Joyeuse #JournéeLieuxHistoriques 🇨🇦! Découvrez l’#histoire du Canada dans un lieu de @ParcsCanada près de chez vous! https://t.co/r5Se1G5MDd https://t.co/EQ0AZrQaGo,Joyeuse eLieuxHistoriques couvrez histoire du Canada dans un lieu de ParcsCanada de chez vous https co r5Se1G5MDd https co EQ0AZrQaGo,"['#Journ', '#histoire']",Social,22,0.0,fr,ministre_ec_tweeter
7,881131547792781312,2017-07-01 12:45:06,['https://t.co/fyBwstaSCk'],Bonne #FêteDuCanada! Célébrez en plein air et explorez la beauté de notre pays 🇨🇦 #Canada150 https://t.co/fyBwstaSCk,Bonne brez en plein air et explorez la de notre pays Canada150 https co fyBwstaSCk,"['#F', '#Canada150']",Environmental,21,0.0,fr,ministre_ec_tweeter
8,884377432081432580,2017-07-10 11:43:05,['https://t.c\xe2\x80\xa6'],"RT @PMcanadien: Le premier ministre Justin Trudeau conclut un Sommet des dirigeants du #G20 fructueux à Hambourg, en Allemagne: https://t.c…",RT PMcanadien Le premier ministre Justin Trudeau conclut un Sommet des dirigeants du G20 fructueux Hambourg en Allemagne https,['#G20'],Economical,19,0.0,fr,ministre_ec_tweeter
9,883372834969591808,2017-07-07 17:11:10,"['https://t.co/BFhHE0ADUy', 'https://t.co/ydnIfaCAl']",".@ScottBrison et moi sommes ravis d’annoncer un invest. de 925 k$ pour le renommé site de l’UNESCO, le LHN #GrandPre https://t.co/BFhHE0ADUy https://t.co/ydnIfaCAld",ScottBrison et moi sommes ravis annoncer un invest de 925 pour le site de UNESCO le LHN GrandPre https co BFhHE0ADUy https co ydnIfaCAld,['#GrandPre'],Economical,19,0.0,fr,ministre_ec_tweeter
