,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
17,17,892400874248695809,2017-08-01 15:05:23,[],RT @CommerceCanada: Heureux que les entreprises canadiennes puissent tirer parti de nouvelles opportunités économiques en Ukraine avec l’#A…,RT CommerceCanada Heureux que les entreprises canadiennes puissent tirer parti de nouvelles conomiques en Ukraine avec,['#A'],17,0,17,Economical,fr,0.0,Neutral,AAC_Canada_tweeter,['commerce']
32,32,892843376227229696,2017-08-02 20:23:43,['https://t.co/HvdZ2fFLb'],1/2 Le SP Poissant explique q'une #PolitiqueAlimentaireCanada porte sur divers thèmes. https://t.co/HvdZ2fFLbc,Le SP Poissant explique une PolitiqueAlimentaireCanada porte sur divers mes https co HvdZ2fFLbc,['#PolitiqueAlimentaireCanada'],5,5,10,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,"['or', 'air']"
36,36,892482073847529472,2017-08-01 20:28:02,"['https://t.co/u4sVDmHZ', 'https://t.co/AO6sn6G4rb']",SVQ les producteurs laitiers ont droit à 250 K$ pour améliorer leurs technologies et leur productivité? https://t.co/u4sVDmHZ9D #CdnAg #CETA https://t.co/AO6sn6G4rb,SVQ les producteurs laitiers ont droit 250 pour liorer leurs technologies et leur https co u4sVDmHZ9D CdnAg CETA https co AO6sn6G4rb,"['#CdnAg', '#CETA']",5,4,9,Economical,fr,0.0,Neutral,AAC_Canada_tweeter,"['technologies', 'technologie']"
48,48,895687459845099524,2017-08-10 16:45:06,"['https://t.co/kmhsNLBSq', 'https://t.co/ZLV3mEqxD3']",Nous voulons sonder l’opinion des Canadiens sur la meilleure façon d’élaborer une #PolitiqueAlimentaireCanada : https://t.co/kmhsNLBSqD https://t.co/ZLV3mEqxD3,Nous voulons sonder opinion des Canadiens sur la meilleure laborer une PolitiqueAlimentaireCanada https co kmhsNLBSqD https co ZLV3mEqxD3,['#PolitiqueAlimentaireCanada'],6,1,7,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,"['or', 'air']"
59,59,901112065330380802,2017-08-25 16:00:32,['https://t.co/ljRm1c0ao'],Vous voulez développer vos exportations en #Europe? La série de webinaires de @TCS_SDC peut vous aider : https://t.co/ljRm1c0aoD,Vous voulez velopper vos exportations en Europe La rie de webinaires de peut vous aider https co ljRm1c0aoD,['#Europe'],7,0,7,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,"['or', 'air']"
72,72,902248205190135813,2017-08-28 19:15:09,"['https://t.co/ijTM1cFbbJ', 'https://t.co/VksGyupO']",C’est la dernière semaine pour donner votre opinion sur la #PolitiqueAlimentaireCanada. Faites vite! https://t.co/ijTM1cFbbJ https://t.co/VksGyupO92,est la semaine pour donner votre opinion sur la PolitiqueAlimentaireCanada Faites vite https co ijTM1cFbbJ https co VksGyupO92,['#PolitiqueAlimentaireCanada'],5,1,6,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,['air']
83,83,898625590621724672,2017-08-18 19:20:11,[],"1/2 Vous voulez de l’info sur la dynamique de marché en #Europe, entre autres?",Vous voulez de info sur la dynamique de en Europe entre autres,['#Europe'],6,0,6,Social,fr,0.0,Neutral,AAC_Canada_tweeter,['ami']
89,89,898275696887214080,2017-08-17 20:09:49,[],RT @CommerceCanada: Les renégociations de l’#ALENA s’appuient sur des consultations auprès des Canadiens. On veut encore vous entendre : ht…,RT CommerceCanada Les gociations de ALENA appuient sur des consultations des Canadiens veut encore vous entendre,['#ALENA'],6,0,6,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,"['or', 'mer']"
123,123,901089369137741824,2017-08-25 14:30:21,"['https://t.co/tUZHOlLEkF', 'https://t.co/m8cDUiFckS']",Il ne vous reste plus qu’un weekend pour répondre au sondage sur la #PolitiqueAlimentaireCanada. Dites votre mot! https://t.co/tUZHOlLEkF https://t.co/m8cDUiFckS,Il ne vous reste plus un weekend pour pondre au sondage sur la PolitiqueAlimentaireCanada Dites votre mot https co tUZHOlLEkF https co m8cDUiFckS,['#PolitiqueAlimentaireCanada'],5,0,5,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,['air']
135,135,899722935056965633,2017-08-21 20:00:38,"['https://t.co/TwsSB7ptqi', 'https://t.co/5V4YrLQGk']",Donnez votre opinion sur une #PolitiqueAlimentaireCanada avant la fermeture de notre sondage la semaine prochaine : https://t.co/TwsSB7ptqi https://t.co/5V4YrLQGkU,Donnez opinion PolitiqueAlimentaireCanada avant fermeture sondage semaine prochaine https co TwsSB7ptqi https co 5V4YrLQGkU,['#PolitiqueAlimentaireCanada'],3,2,5,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,['air']
133,133,897862283057127425,2017-08-16 16:47:04,['https://t.co/JxrBKmpwlK'],RT @MinistreISDE: J’ai hâte collaborer avec des industries novatrices pour appuyer la croissance https://t.co/JxrBKmpwlK #InnovationCdn #St…,RT MinistreISDE ai te collaborer avec des industries novatrices pour appuyer la croissance https co JxrBKmpwlK InnovationCdn,"['#InnovationCdn', '#St']",5,0,5,Economical,fr,0.0,Neutral,AAC_Canada_tweeter,"['novatrice', 'industrie', 'ministre', 'croissance', 'innovation']"
126,126,902964199122489346,2017-08-30 18:40:15,['https://t.co/GGevuHpb8X'],Nous nous sommes joints à @redcouchtour pour parler de l’#AgCan et de #Canada150! https://t.co/GGevuHpb8X,Nous nous sommes joints redcouchtour pour parler de AgCan et de Canada150 https co GGevuHpb8X,"['#AgCan', '#Canada150']",1,4,5,unknown,fr,0.0,Neutral,AAC_Canada_tweeter,
124,124,897911162058162176,2017-08-16 20:01:18,[],1/2 Vous voulez en apprendre sur les débouchés en #Europe?,Vous voulez en apprendre sur les en Europe,['#Europe'],5,0,5,unknown,fr,0.0,Neutral,AAC_Canada_tweeter,
100,100,900825272622120960,2017-08-24 21:00:56,[],"Félicitations @grapegrowersont, qui célèbrent leur 70e anniversaire #AgOnt",licitations grapegrowersont qui brent leur 70e anniversaire AgOnt,['#AgOnt'],3,2,5,Environmental,fr,0.0,Neutral,AAC_Canada_tweeter,['air']
