,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,883120228472315_1350884481695885,2017-08-01 15:32:44,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1350884481695885/?type=3,If you are a dairy farmer you can receive up to $250K for targeted investments in farm technologies and upgrades to your equipment.  Learn more: http://ow.ly/tvDk30e5AhA,If you are a dairy farmer you can receive up to $250K for targeted investments in farm technologies and upgrades to your equipment. Learn more:,[],Environmental,71,0.05,en,CanadianAgriculture_facebook
1,883120228472315_1378977312219935,2017-08-31 09:30:17,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1378977312219935/?type=3,"1921: Canadian experts develop wheat varieties resistant to rust, a disease that frequently threatened to wipe out entire crops. By the late 1930s, the new strain saves Canadian wheat farmers an average of $25 million a year in losses. Celebrate #CdnAg and learn about other memorable agricultural moments: ow.ly/V3Qx30eOvzc",": Canadian eerts develop wheat varieties resistant to rust, a disease that frequently threatened to wipe out entire crops. By the late s, the new strain saves Canadian wheat farmers an average of $25 million a year in losses. Celebrate and learn about other memorable agricultural moments: c",['#CdnAg'],Environmental,59,0.17588369963369965,en,CanadianAgriculture_facebook
2,883120228472315_1364316587019341,2017-08-15 15:31:36,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1364316587019341/?type=3,"Did you know Canada is the world's third-largest producer, and third-largest exporter of cultivated blueberries? We’re also the top producer of wild blueberries! In the provinces, B.C. produces 95% of Canada’s cultivated blueberries, and in 2015, they exported 53 million pounds! You can learn more about B.C‘s blueberry sector on our website: ow.ly/iLjq30eqWOi #BlueberryMonth","Did you know Canada is the world's third-largest producer, and third-largest erter of cultivated blueberries? We’re also the top producer of wild blueberries! In the provinces, B.C. produces % of Canada’s cultivated blueberries, and in , they erted million pounds! You can learn more about B.C‘s blueberry sector on our website:",['#BlueberryMonth'],Economical,52,0.07333333333333332,en,CanadianAgriculture_facebook
3,883120228472315_1365904513527215,2017-08-17 10:30:12,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1365904513527215/?type=3,"These caterpillars will be making their butterfly debut at our Kentville Open House Saturday August 26, 10-3pm. Details: ow.ly/CHwS30etN2o","These caterpillars will be making their butterfly debut at our Kentville Open House Saturday August , -3pm. Details:",[],Social,36,0.0,en,CanadianAgriculture_facebook
4,883120228472315_1370411346409865,2017-08-22 11:45:07,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1370411346409865/?type=3,Do your household items contain agricultural products? Check out our infographic and learn more. Celebrate #CdnAg: ow.ly/ZgvW30eALRN,Do your household items contain agricultural products? Check out our infographic and learn more. Celebrate :,['#CdnAg'],Social,35,0.25,en,CanadianAgriculture_facebook
5,883120228472315_1352749141509419,2017-08-03 15:30:14,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1352749141509419/?type=3,"It’s #BlueberryMonth! Did you know Canada is the world’s number one producer of fresh and frozen wild blueberries, with exports valued at over $250 million in 2015?","It’s ! Did you know Canada is the world’s number one producer of fresh and frozen wild blueberries, with erts valued at over $250 million in ?",['#BlueberryMonth'],Economical,35,0.0,en,CanadianAgriculture_facebook
6,883120228472315_1365112380273095,2017-08-16 12:15:16,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1365112380273095/?type=3,Did you know that blueberries can be beneficial to heart health? Learn more: ow.ly/rTPZ30eskG6,Did you know that blueberries can be beneficial to heart health? Learn more:,[],Social,34,0.3,en,CanadianAgriculture_facebook
7,883120228472315_1371371589647174,2017-08-23 14:00:54,http://ow.ly/3lC330eCPVb,"Did you know our scientists have been growing and studying wheat at the research centre in Lethbridge, Alberta for 100 years? That’s a whole lot of science! ow.ly/3lC330eCPVb","Did you know our scientists have been growing and studying wheat at the research centre in Lethbridge, Alberta for years? That’s a whole lot of science!",[],Environmental,26,0.01155404057909657,en,CanadianAgriculture_facebook
8,883120228472315_1351719841612349,2017-08-02 13:05:38,https://www.facebook.com/CanadianAgriculture/videos/1351719841612349/,Min MacAulay talks a #FoodPolicy4Canada & what it's all about! Share your views too: ow.ly/LyGc30e7fvM,Min MacAulay talks a & what it's all about! Share your views too:,['#FoodPolicy4Canada'],Economical,25,0.0,en,CanadianAgriculture_facebook
9,883120228472315_1365150033602663,2017-08-16 13:15:08,http://ow.ly/Cbdo30eskAk,Better managing what sows eat during pregnancy leads to an increase in the amount of milk produced - that helps piglets develop! ow.ly/Cbdo30eskAk,Better managing what sows eat during pregnancy leads to an increase in the amount of milk produced - that helps piglets develop!,[],Social,24,0.052173524419163946,en,CanadianAgriculture_facebook
