,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,460123390028_10159273154960029,2017-08-30 11:01:13,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159273154960029/?type=3,"Trouvez une solution au changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique!
http://ow.ly/xsJn30eEJkz #GénÉnergie",Trouvez une solution au changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique! énÉnergie,['#G'],Social,391,-0.01527777777777778,fr,EnvironnementetressourcesnaturellesauCanada_facebook
1,460123390028_10159232972350029,2017-08-21 14:01:13,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159232972350029/?type=3,"Le changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique!
http://ow.ly/FtKp30ez1HX #GénÉnergie",Le changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique! énÉnergie,['#G'],Social,139,0.017857142857142856,fr,EnvironnementetressourcesnaturellesauCanada_facebook
2,460123390028_10159268635940029,2017-08-29 13:41:34,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.10159268635620029.1073741891.460123390028/10159268635940029/?type=3,"Il y a 100 ans aujourd’hui, le Canada devenait l’un des premiers pays au monde à adopter une loi pour protéger ses oiseaux migrateurs. Vous aussi pouvez agir : choisissez l’une des huit façons d’aider les oiseaux en visitant : http://ow.ly/Jeu030eLoZp","Il y a ans aujourd’hui, le Canada devenait l’un des premiers pays au monde à adopter une loi pour protéger ses oiseaux migrateurs. Vous aussi pouvez agir : choisissez l’une des huit façons d’aider les oiseaux en visitant :",[],Environmental,17,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
3,460123390028_10159154198365029,2017-08-04 15:15:05,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159154198365029/?type=3,"Que faut-il faire si l’on est pris dehors sans aucun abri durant une tornade? 

 
1. Se coucher dans un fossé, un ravin ou une autre dépression de terrain. 
2. Se protéger la tête avec ses bras. 

Pour d’autres conseils, cliquez ici : http://ow.ly/S8Nu30e8Dfm","Que faut-il faire si l’on est pris dehors sans aucun abri durant une tornade? . Se coucher dans un fossé, un ravin ou une autre dépression de terrain. . Se protéger la tête avec ses bras. Pour d’autres conseils, cliquez ici :",[],Environmental,14,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
4,460123390028_10159205139915029,2017-08-15 11:35:05,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159205139915029/?type=3,"Saviez-vous que depuis 2012, nous avons fourni près de 14 millions de dollars pour soutenir 83 projets qui ont des effets positifs sur les pollinisateurs, y compris les monarques, partout au Canada?! Voici des exemples d’activités réalisées dans le cadre de ces projets : création de jardins pour pollinisateurs, notamment en utilisant des plantes comme l’asclépiade sur laquelle les monarques pondent leurs œufs; sensibilisation des collectivités locales au déclin des pollinisateurs et à la manière de mettre en œuvre des pratiques de gestion dans sa propre cour; suppression des espèces envahissantes pouvant détrôner les plantes utilisées par les pollinisateurs, et bien plus!  

Pour en apprendre davantage sur nos programmes de financement, visitez http://ow.ly/N3ma30eqq8u","Saviez-vous que depuis , nous avons fourni près de millions de dollars pour soutenir projets qui ont des effets positifs sur les pollinisateurs, y compris les monarques, partout au Canada?! Voici des exemples d’activités réalisées dans le cadre de ces projets : création de jardins pour pollinisateurs, notamment en utilisant des plantes comme l’asclépiade sur laquelle les monarques pondent leurs œufs; sensibilisation des collectivités locales au déclin des pollinisateurs et à la manière de mettre en œuvre des pratiques de gestion dans sa propre cour; suppression des espèces envahissantes pouvant détrôner les plantes utilisées par les pollinisateurs, et bien plus! Pour en apprendre davantage sur nos programmes de financement, visitez 8u",[],Social,10,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
5,460123390028_10159201249855029,2017-08-14 14:35:04,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159201249855029/?type=3,"Le saviez-vous? Au Canada, le monarque a été désigné espèce préoccupante au titre de la Loi sur les espèces en péril du gouvernement fédéral.

Comme la migration du monarque s’étend sur trois pays (le Canada, les États-Unis et le Mexique), ces derniers travaillent de concert pour assurer la conservation de cette espèce. Un de leurs objectifs consiste à atteindre 6 hectares d’habitat d’hivernage occupé au Mexique d’ici 2020! 

L’an dernier, Environnement et Changement climatique Canada a parachevé un plan de gestion pour le monarque afin d’appuyer la conservation de cette espèce. La participation de tous les Canadiens est sollicitée afin de soutenir et de mettre en œuvre ce plan. Jetez un coup d’œil au document et découvrez ce que vous pouvez faire! http://ow.ly/cSzo30eogbK","Le saviez-vous? Au Canada, le monarque a été désigné espèce préoccupante au titre de la Loi sur les espèces en péril du gouvernement fédéral. Comme la migration du monarque s’étend sur trois pays (le Canada, les États-Unis et le Mexique), ces derniers travaillent de concert pour assurer la conservation de cette espèce. Un de leurs objectifs consiste à atteindre hectares d’habitat d’hivernage occupé au Mexique d’ici ! L’an dernier, Environnement et Changement climatique Canada a parachevé un plan de gestion pour le monarque afin d’appuyer la conservation de cette espèce. La participation de tous les Canadiens est sollicitée afin de soutenir et de mettre en œuvre ce plan. Jetez un coup d’œil au document et découvrez ce que vous pouvez faire!",[],Environmental,9,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
6,460123390028_10159153147370029,2017-08-04 11:00:29,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159153147370029/?type=3,Avis aux chercheurs : offre de fonds pour la recherche en biologie marine. Le Fonds pour l’étude de l’environnement souhaite recevoir des lettres d’intérêt pour la réalisation de nouveaux projets de recherche  pour étudier les effets de l’exploration pétrolière et gazière en zones extracôtières sur les espèces marines. http://ow.ly/3hvd30e8P3X,Avis aux chercheurs : offre de fonds pour la recherche en biologie marine. Le Fonds pour l’étude de l’environnement souhaite recevoir des lettres d’intérêt pour la réalisation de nouveaux projets de recherche pour étudier les effets de l’eloration pétrolière et gazière en zones extracôtières sur les espèces marines.,[],Environmental,6,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
7,460123390028_10159250384005029,2017-08-25 10:00:36,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159250384005029/?type=3,"Le vent, les vagues, le soleil. Le Canada devrait-il investir dans la mise en valeur énergétique de ces ressources? Dites-nous ce que vous en pensez!
http://ow.ly/BPG830eCVKk
#GénÉnergie","Le vent, les vagues, le soleil. Le Canada devrait-il investir dans la mise en valeur énergétique de ces ressources? Dites-nous ce que vous en pensez! énÉnergie",['#G'],Economical,6,0.3255208333333333,fr,EnvironnementetressourcesnaturellesauCanada_facebook
8,460123390028_10159173400330029,2017-08-14 08:00:00,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10159173400330029/,"« Il faut tout prendre en considération. »  – Kayla, participante de Génération Énergie

Dans le cadre de l’initiative #GénÉnergie, Ressources naturelles Canada invite les Canadiens à exprimer leur vision de l’avenir énergétique du Canada.

Prenez connaissance des avis exprimés :
http://ow.ly/i7oN30eggaP","« Il faut tout prendre en considération. » – Kayla, participante de Génération Énergie Dans le cadre de l’initiative énÉnergie, Ressources naturelles Canada invite les Canadiens à erimer leur vision de l’avenir énergétique du Canada. Prenez connaissance des avis erimés :",['#G'],Social,4,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
9,460123390028_10159205513075029,2017-08-15 13:20:05,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159205513075029/?type=3,"Saviez-vous que les employeurs peuvent recevoir du financement pour embaucher une personne ayant obtenu un diplôme en sciences, en technologie en ingénierie ou en mathématique, afin de favoriser l’atteinte des objectifs environnementaux? 
http://ow.ly/IGQJ30eqqwA #EmploisVerts","Saviez-vous que les employeurs peuvent recevoir du financement pour embaucher une personne ayant obtenu un diplôme en sciences, en technologie en ingénierie ou en mathématique, afin de favoriser l’atteinte des objectifs environnementaux?",['#EmploisVerts'],Economical,4,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
10,460123390028_10159209173465029,2017-08-16 09:15:14,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10159209173465029/?type=3,"Nous sommes heureux de vous présenter Indi, notre mascotte de la Cote air santé (CAS). Regardez cette vidéo pour apprendre comment utiliser l’échelle de la CAS, afin de déterminer les journées où vous pouvez jouer dehors et les journées où il est préférable de rester à l’intérieur! http://ow.ly/JiGI30erYyX","Nous sommes heureux de vous présenter Indi, notre mascotte de la Cote air santé (CAS). Regardez cette vidéo pour apprendre comment utiliser l’échelle de la CAS, afin de déterminer les journées où vous pouvez jouer dehors et les journées où il est préférable de rester à l’intérieur!",[],Environmental,4,0.0,fr,EnvironnementetressourcesnaturellesauCanada_facebook
