,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,902587367462236160,2017-08-29 17:42:52,"['https://t.co/U3tTGAoKkw', 'https://t.co/2ddH7eTwuh']",Le changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique! https://t.co/U3tTGAoKkw  #GénÉnergie https://t.co/2ddH7eTwuh,Le changement climatique vous tient ur Aidez nous finir notre avenir tique https co U3tTGAoKkw nergie https co 2ddH7eTwuh,['#G'],Social,124,0.0,fr,RNCan_tweeter
1,899702457021984769,2017-08-21 18:39:16,"['https://t.co/ymXJGMc3vg', 'https://t.co/f6FRMnGzoQ']",Le changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique! https://t.co/ymXJGMc3vg #GénÉnergie https://t.co/f6FRMnGzoQ,Le changement climatique vous tient ur Aidez nous finir notre avenir tique https co ymXJGMc3vg nergie https co f6FRMnGzoQ,['#G'],Social,110,0.0,fr,RNCan_tweeter
2,897460824079556608,2017-08-15 14:11:49,"['https://t.co/ymXJGMc3vg', 'https://t.co/xzzLrnipfV']",Moins consommer et mieux conserver l’énergie : comment faire? Participez à la discussion https://t.co/ymXJGMc3vg #GénÉnergie https://t.co/xzzLrnipfV,Moins consommer et mieux conserver nergie comment faire Participez la discussion https co ymXJGMc3vg nergie https co xzzLrnipfV,['#G'],Environmental,85,0.0,fr,RNCan_tweeter
3,902233817007697920,2017-08-28 18:17:59,['https://t.co/gBHmJp5gGF'],RT @PMcanadien: Déclaration du premier ministre Justin Trudeau au sujet de changements au Conseil des ministres: https://t.co/gBHmJp5gGF #p…,RT PMcanadien claration du premier ministre Justin Trudeau au sujet de changements au Conseil des ministres https co gBHmJp5gGF,['#p'],Social,45,0.0,fr,RNCan_tweeter
4,903305788965478401,2017-08-31 17:17:37,"['https://t.co/L4DRNtfSZz', 'https://t.co/AfR056HouM']",Le changement climatique vous tient à cœur? Aidez-nous à définir notre avenir énergétique! https://t.co/L4DRNtfSZz #GénÉnergie https://t.co/AfR056HouM,Le changement climatique vous tient ur Aidez nous finir notre avenir tique https co L4DRNtfSZz nergie https co AfR056HouM,['#G'],Social,41,0.0,fr,RNCan_tweeter
5,892405551711346688,2017-08-01 15:23:58,['https://\xe2\x80\xa6'],RT @ACEE_CEAA: Lisez le document de travail sur l’examen des processus environnementaux et réglementaires. Faites vos commentaires https://…,RT Lisez le document de travail sur examen des processus environnementaux et glementaires Faites vos commentaires https,[],Environmental,13,0.0,fr,RNCan_tweeter
6,900730366868279296,2017-08-24 14:43:48,['https://t.co/Nl5CCKbX\xe2\x80\xa6'],RT @ACEE_CEAA: Lisez le doc. de travail et commentez-le en ligne ou téléchargez votre présentation d’ici le 28 août : https://t.co/Nl5CCKbX…,RT Lisez le doc de travail et commentez le en ligne ou chargez votre sentation ici le 28 https co,[],Social,10,0.0,fr,RNCan_tweeter
7,898248448625057794,2017-08-17 18:21:33,[],RT @GCAutochtones: Le #GdC investit pour connecter la #PremièreNation de #Pikangikum au réseau électrique de l'Ontario. En savoir + :  http…,RT GCAutochtones Le GdC investit pour connecter la reNation de Pikangikum au seau lectrique de Ontario En savoir,"['#GdC', '#Premi', '#Pikangikum']",Economical,9,0.0,fr,RNCan_tweeter
8,892397856958689280,2017-08-01 14:53:23,['https://\xe2\x80\xa6'],RT @PMcanadien: Le gouv. du Canada met tout en œuvre pour aider les gens de la C.-B. touchés par les feux de forêt. Voici comment: https://…,RT PMcanadien Le gouv du Canada met tout en uvre pour aider les gens de la par les feux de Voici comment https,[],Environmental,7,0.0,fr,RNCan_tweeter
9,892497712347828224,2017-08-01 21:30:11,"['https://t.co/PLNs6crhzZ', 'https://t.co/dlwX5llqM']","Le pôle Nord magnétique, localisé en 1948, est maintenant situé à des centaines de km dans l’océan Arctique #CGC175 https://t.co/PLNs6crhzZ https://t.co/dlwX5llqMd",Le le Nord tique en 1948 est maintenant des centaines de km dans Arctique CGC175 https co PLNs6crhzZ https co dlwX5llqMd,['#CGC175'],Social,7,0.0,fr,RNCan_tweeter
10,900434564937592834,2017-08-23 19:08:24,[],RT @salledepresseGC: La @ministre_ec annonce 14M$ pour les #EmploisVerts du programme de stages pour les jeunes Horizons Sciences : https:/…,RT salledepresseGC La annonce 14M pour les EmploisVerts du programme de stages pour les jeunes Horizons Sciences https,['#EmploisVerts'],Economical,7,0.0,fr,RNCan_tweeter
11,900090470977732608,2017-08-22 20:21:05,['https://t.co/9YmIRa1m'],RT @Securite_Canada: Vous vous demandez si les #FeuxDeForêt sont près de vous? Consulter la carte de @RNCan : https://t.co/9YmIRa1mu0 https…,RT Vous vous demandez si les sont de vous Consulter la carte de RNCan https co 9YmIRa1mu0,['#FeuxDeFor'],Environmental,7,0.0,fr,RNCan_tweeter
