,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
28,28,318424514044_10156523732504045,2017-09-16 07:48:41,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156523732504045/,"The Minister of Environment and Climate Change, Catherine McKenna is in Montreal to address global leaders as part of the Ministerial Meeting on Climate Action.
 
Canada will be a global leader in the fight against climate change!","The Minister of Environment and Climate Change, Catherine McKenna is in Montreal to address global leaders as part of the Ministerial Meeting on Climate Action. Canada will be a global leader in the fight against climate change!",[],85,41,54,73,9,0,0,0,3,0,180,Environmental,en,0.09617593344155843,EnvironmentandNaturalResourcesinCanada_facebook,"['climate change', 'climate', 'climat']",positive
95,95,318424514044_10156520897604045,2017-09-15 09:12:38,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156520897604045/,"With all the hurricane activity in the Atlantic Basin, Canadians are wondering if climate change is to blame. 

Meteorologists from the Canadian Hurricane Centre at Environment and Climate Change Canada see a difference in storm projections. Climate change may have a variety of impacts on hurricanes, such as stronger winds and more rain. Be prepared!","With all the hurricane activity in the Atlantic Basin, Canadians are wondering if climate change is to blame. Meteorologists from the Canadian Hurricane Centre at Environment and Climate Change Canada see a difference in storm projections. Climate change may have a variety of impacts on hurricanes, such as stronger winds and more rain. Be prepared!",[],43,15,30,48,1,0,0,0,0,-6,88,Environmental,en,-0.010873604547020629,EnvironmentandNaturalResourcesinCanada_facebook,"['climate change', 'climate', 'or', 'climat']",negative
173,173,318424514044_10156524806879045,2017-09-16 14:40:32,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156524806879045/,"Tune in to watch live the Minister of Environment and Climate Change, Catherine McKenna’s press conference at the Ministerial Meeting on Climate Action.","Tune in to watch live the Minister of Environment and Climate Change, Catherine McKenna’s press conference at the Ministerial Meeting on Climate Action.",[],28,12,22,27,1,0,0,0,0,0,62,Environmental,en,0.13333333333333333,EnvironmentandNaturalResourcesinCanada_facebook,"['climate change', 'climate', 'climat']",positive
183,183,318424514044_10156508332809045,2017-09-11 08:45:20,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156508332809045/,Did you know the Canadian north is home to over 60% of the global polar bear population? Climate change is impacting the species and remains the most important threat to this iconic Canadian species. Learn about our plan to fight climate change at http://ow.ly/yy1t30f41Q9,Did you know the Canadian north is home to over % of the global polar bear population? Climate change is impacting the species and remains the most important threat to this iconic Canadian species. Learn about our plan to fight climate change at 9,[],35,2,22,25,4,4,0,2,0,0,59,Environmental,en,0.0125,EnvironmentandNaturalResourcesinCanada_facebook,"['climate change', 'climate', 'species', 'climat', 'or']",positive
205,205,318424514044_10156521339384045,2017-09-15 12:33:10,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156521339384045/,"Tune in now to see Minister of Environment and Climate Change Canada, Catherine McKenna, deliver remarks on the 30th anniversary of the Montreal Protocol!","Tune in now to see Minister of Environment and Climate Change Canada, Catherine McKenna, deliver remarks on the th anniversary of the Montreal Protocol!",[],20,12,22,23,6,0,0,1,0,-10,54,Environmental,en,0.2466762866762867,EnvironmentandNaturalResourcesinCanada_facebook,"['climate change', 'climate', 'climat']",positive
208,208,318424514044_10156537329414045,2017-09-20 14:01:01,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10156537329414045/?type=3,The Canadian Hurricane Centre is tracking Jose and Maria.  Get the latest: http://ow.ly/q8zO30fiYFY http://ow.ly/KXBc30fiYGt,The Canadian Hurricane Centre is tracking Jose and Maria. Get the latest:,[],42,2,10,40,0,2,0,0,0,0,54,unknown,en,-0.0196310507674144,EnvironmentandNaturalResourcesinCanada_facebook,,negative
261,261,318424514044_10156476636594045,2017-09-01 13:30:21,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10156476636594045/?type=3,"This Labour Day long weekend, take some time to learn about Canada's water quality. 

Environment and Climate Change Canada's latest water quality results are out! Check out the latest data and trends:
http://ow.ly/5Hnu30eQBzo","This Labour Day long weekend, take some time to learn about Canada's water quality. Environment and Climate Change Canada's latest water quality results are out! Check out the latest data and trends:",[],33,3,9,32,1,0,0,0,0,0,45,Environmental,en,0.0,EnvironmentandNaturalResourcesinCanada_facebook,"['water', 'climate change', 'climate', 'climat']",neutral
262,262,318424514044_10156514406694045,2017-09-13 08:45:17,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10156514406694045/?type=3,"Hey, teachers! Did you know that Environment and Climate Change Canada has a fun web page that can help you introduce weather and meteorology to your students, through games and engaging activities? Check it out! http://ow.ly/VOLH30f7Cow","Hey, teachers! Did you know that Environment and Climate Change Canada has a fun web page that can help you introduce weather and meteorology to your students, through games and engaging activities? Check it out!",[],30,5,10,29,1,0,0,0,0,0,45,Environmental,en,0.3535714285714286,EnvironmentandNaturalResourcesinCanada_facebook,"['climate change', 'climate', 'or', 'climat']",positive
387,387,318424514044_10156499796994045,2017-09-08 15:29:00,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156499796994045/,"It’s busy in the Atlantic Basin! The Canadian Hurricane Centre is monitoring Irma, Jose and Katia.","It’s busy in the Atlantic Basin! The Canadian Hurricane Centre is monitoring Irma, Jose and Katia.",[],23,1,8,22,0,1,0,0,0,0,32,Environmental,en,0.5625,EnvironmentandNaturalResourcesinCanada_facebook,['or'],positive
417,417,318424514044_10156545023484045,2017-09-22 16:15:18,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10156545023484045/?type=3,"Before heading to the beach for the last time this year, why not check out the latest water quality results for your area? 

With the Canadian Environmental Sustainability Indicators interactive map, you can view the status of water quality in rivers at over 300 locations across Canada. Start exploring today! http://ow.ly/E0jW30fmA8a #CdnEnv  #Sustainability #Indicators","Before heading to the beach for the last time this year, why not check out the latest water quality results for your area? With the Canadian Environmental Sustainability Indicators interactive map, you can view the status of water quality in rivers at over locations across Canada. Start eloring today!","['#CdnEnv', '#Sustainability', '#Indicators']",20,0,10,19,1,0,0,0,0,0,30,Environmental,en,0.0,EnvironmentandNaturalResourcesinCanada_facebook,"['water', 'or', 'rivers']",neutral
425,425,318424514044_10156495688874045,2017-09-07 10:00:00,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156495688874045/,,,[],20,1,8,20,0,0,0,0,0,0,29,unknown,tl,0.0,EnvironmentandNaturalResourcesinCanada_facebook,,neutral
439,439,318424514044_10156563933764045,2017-09-28 12:40:16,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10156563933764045/?type=3,"Looking for a family activity? Until October 22, enjoy the Cap Tourmente National Wildlife Area, in the province of Quebec, and take part in “The Wind in their Wings.” Discover the challenges migratory birds face. http://ow.ly/rCqr30fuvtP","Looking for a family activity? Until October , enjoy the Cap Tourmente National Wildlife Area, in the province of Quebec, and take part in “The Wind in their Wings.” Discover the challenges migratory birds face.",[],24,2,2,23,0,1,0,0,0,0,28,Environmental,en,-0.3814697265625,EnvironmentandNaturalResourcesinCanada_facebook,"['wildlife', 'bird', 'or']",negative
