,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
39,39,299048997203389_347049622403326,2017-09-22 13:56:17,https://www.facebook.com/GardeCotiereCanadienne/photos/a.315762808865341.1073741828.299048997203389/347049469070008/?type=3,"Au cours d'une rare occasion après avoir été escorté en toute sécurité dans les glaces par le NGCC Des Groseilliers, le commandant du navire de croisière français LE BORÉAL a invité le commandant du brise-glace, Michel Dufresne, et ses officiers à monter à bord du BORÉAL afin de fournir un aperçu des opérations de déglaçage dans l'Arctique à ses passagers intéressés. 

Plus de 100 passagers très heureux ont assisté à une brève conférence où le capitaine du NGCC Des Groseilliers, Michel Dufresne, a expliqué comment nous brisons la glace, combien de temps le navire peut rester dans l'Arctique et d'autres facettes de notre vie quotidienne à bord d'un brise-glace.","Au cours d'une rare occasion après avoir été escorté en toute sécurité dans les glaces par le NGCC Des Groseilliers, le commandant du navire de croisière français LE BORÉAL a invité le commandant du brise-glace, Michel Dufresne, et ses officiers à monter à bord du BORÉAL afin de fournir un aperçu des opérations de déglaçage dans l'Arctique à ses passagers intéressés. Plus de passagers très heureux ont assisté à une brève conférence où le capitaine du NGCC Des Groseilliers, Michel Dufresne, a eliqué comment nous brisons la glace, combien de temps le navire peut rester dans l'Arctique et d'autres facettes de notre vie quotidienne à bord d'un brise-glace.",[],21,0,0,21,0,0,0,0,0,0,21,Environmental,fr,0.0,GardeCotiereCanadienne_facebook,['or'],neutral
44,44,299048997203389_341491599625795,2017-09-07 08:00:59,https://www.facebook.com/GardeCotiereCanadienne/photos/a.320505038391118.1073741830.299048997203389/341491596292462/?type=3,"En août, le MV Polar Prince @CanadaC3 s'est amarré près du NGCC Henry Larsen alors que celui-ci était ancré. Les deux équipages ont eu l'occasion de visiter chacun des navires, puis ont assisté à une réception à bord du NGCC Henry Larsen.

Photo 1 : Les navires amarrés d'un à côté de l'autre pour que les équipages puissent visiter les deux navires.  

Photo 2 : Vue des airs du MV Polar Prince et du NGCC Henry Larsen amarrés d'un à côté de l'autre. 

Photo 3 : Les équipages du MV Polar Prince et du NGCC Henry Larsen photographiés ensemble avec le drapeau du 150e anniversaire du Canada.","En août, le MV Polar Prince s'est amarré près du NGCC Henry Larsen alors que celui-ci était ancré. Les deux équipages ont eu l'occasion de visiter chacun des navires, puis ont assisté à une réception à bord du NGCC Henry Larsen. Photo : Les navires amarrés d'un à côté de l'autre pour que les équipages puissent visiter les deux navires. Photo : Vue des airs du MV Polar Prince et du NGCC Henry Larsen amarrés d'un à côté de l'autre. Photo : Les équipages du MV Polar Prince et du NGCC Henry Larsen photographiés ensemble avec le drapeau du e anniversaire du Canada.",[],18,0,2,18,0,0,0,0,0,0,20,Environmental,fr,0.0,GardeCotiereCanadienne_facebook,"['eau', 'or', 'air']",neutral
43,43,299048997203389_347031275738494,2017-09-27 08:00:00,https://www.facebook.com/GardeCotiereCanadienne/photos/a.315762808865341.1073741828.299048997203389/347031215738500/?type=3,,,[],16,0,4,15,1,0,0,0,0,0,20,unknown,tl,0.0,GardeCotiereCanadienne_facebook,,neutral
60,60,299048997203389_344426709332284,2017-09-16 08:00:00,https://www.facebook.com/GardeCotiereCanadienne/photos/a.315762808865341.1073741828.299048997203389/344426612665627/?type=3,"Saviez-vous que Louis S. St-Laurent, est le plus grand navire de la Garde côtière canadienne mesurant 120 mètres de long! Le navire se dirige présentement vers l'Arctique pour les opérations de déglaçage et la programmation scientifique.","Saviez-vous que Louis S. St-Laurent, est le plus grand navire de la Garde côtière canadienne mesurant mètres de long! Le navire se dirige présentement vers l'Arctique pour les opérations de déglaçage et la programmation scientifique.",[],10,1,6,10,0,0,0,0,0,0,17,unknown,fr,0.0,GardeCotiereCanadienne_facebook,,neutral
67,67,299048997203389_341817029593252,2017-09-08 08:00:32,https://www.facebook.com/GardeCotiereCanadienne/photos/a.321003938341228.1073741832.299048997203389/341817026259919/?type=3,Les élèves-officiers au Collège GCC du programme de génie effectuent une révision d’un petit moteur diesel.,Les élèves-officiers au Collège GCC du programme de génie effectuent une révision d’un petit moteur diesel.,[],9,0,6,9,0,0,0,0,0,0,15,unknown,fr,0.0,GardeCotiereCanadienne_facebook,,neutral
68,68,299048997203389_341257482982540,2017-09-06 15:01:22,https://www.facebook.com/GardeCotiereCanadienne/photos/a.321003938341228.1073741832.299048997203389/341257479649207/?type=3,Les étudiants se mettent en jambes. Pour de plus amples renseignements visiter http://ow.ly/G55Q30eEILJ,Les étudiants se mettent en jambes. Pour de plus amples renseignements visiter,[],9,0,6,9,0,0,0,0,0,0,15,unknown,fr,0.0,GardeCotiereCanadienne_facebook,,neutral
69,69,299048997203389_342172966224325,2017-09-09 08:00:20,https://www.facebook.com/GardeCotiereCanadienne/photos/a.321003938341228.1073741832.299048997203389/342172966224325/?type=3,Le Collège de la Garde côtière canadienne offre des programmes de formation en navigation maritime et mécanique maritime. http://www.ccg-gcc.gc.ca/College-et-carrieres/S-inscrire-au-College,Le Collège de la Garde côtière canadienne offre des programmes de formation en navigation maritime et mécanique maritime.,[],9,0,6,9,0,0,0,0,0,0,15,Environmental,fr,0.0,GardeCotiereCanadienne_facebook,['or'],neutral
73,73,299048997203389_347030352405253,2017-09-25 07:00:00,https://www.facebook.com/GardeCotiereCanadienne/photos/a.315762808865341.1073741828.299048997203389/347030169071938/?type=3,"Depuis 2003, le NGCC Louis S. St-Laurent a fait une mission annuelle à la mer de Beaufort pour supporter les scientifiques de Pêches et Océans Canada et leurs partenaires internationaux à étudier les conditions changeantes de l’océan et de la glace sous l’Études conjointes de la Glace de mer. Pendent la mission de l’année dernière, nous avons été assez chanceux pour avoir l’écrivain Peter Lourie nous rejoindre à bord avec Woods Hole Oceanographic Institution (WHOI), où il a documenté l’importance de cette expédition d’une durée de un mois. Pour un regard plus approfondi sur comment nous soutenons  la science sur cette mission et pour avoir un aperçu de ce que c’est de travailler en Arctique abord notre plus gros brise-glace, consultez le site web https://www.icebreakerstories.com/ (Anglais seulement)","Depuis , le NGCC Louis S. St-Laurent a fait une mission annuelle à la mer de Beaufort pour supporter les scientifiques de Pêches et Océans Canada et leurs partenaires internationaux à étudier les conditions changeantes de l’océan et de la glace sous l’Études conjointes de la Glace de mer. Pendent la mission de l’année dernière, nous avons été assez chanceux pour avoir l’écrivain Peter Lourie nous rejoindre à bord avec Woods Hole Oceanographic Institution (WHOI), où il a documenté l’importance de cette eédition d’une durée de un mois. Pour un regard plus approfondi sur comment nous soutenons la science sur cette mission et pour avoir un aperçu de ce que c’est de travailler en Arctique abord notre plus gros brise-glace, consultez le site web (Anglais seulement)",[],13,0,2,13,0,0,0,0,0,0,15,Environmental,fr,0.0,GardeCotiereCanadienne_facebook,"['mer', 'eau', 'or', 'air']",neutral
82,82,299048997203389_340816856359936,2017-09-05 09:01:15,https://www.facebook.com/GardeCotiereCanadienne/photos/a.324076844700604.1073741834.299048997203389/340816843026604/?type=3,Merci à nos équipages des embarcations de sauvetage côtier de nous avoir protégés cet été. La saison de la région de l'Atlantique prend fin aujourd'hui http://www.ccg-gcc.gc.ca/RES/Service-ESC,Merci à nos équipages des embarcations de sauvetage côtier de nous avoir protégés cet été. La saison de la région de l'Atlantique prend fin aujourd'hui C,[],13,1,0,12,1,0,0,0,0,0,14,Social,fr,0.0,GardeCotiereCanadienne_facebook,['mer'],neutral
83,83,299048997203389_344342842674004,2017-09-21 13:00:00,https://www.facebook.com/GardeCotiereCanadienne/photos/a.315762808865341.1073741828.299048997203389/344342476007374/?type=3,"Aujourd’hui marque l’arrivée officielle de l’automne. Le temps rafraîchit, les sorties sur l’eau se font plus rares. Nous en profitons pour vous rappeler que nos stations de sauvetage de Sorel, Pointe-aux-Anglais et Bainsville seront en opération cette fin de semaine de vendredi, 20 h, à dimanche, 18 h. Après quoi, elles cesseront leurs activités. Ainsi se terminera la saison 2017 du Service d’embarcations de sauvetage côtier au Québec. Pour tous les détails, consultez : http://ow.ly/nZvQ30fbt9L

Merci à nos équipes et à l’année prochaine!","Aujourd’hui marque l’arrivée officielle de l’automne. Le temps rafraîchit, les sorties sur l’eau se font plus rares. Nous en profitons pour vous rappeler que nos stations de sauvetage de Sorel, Pointe-aux-Anglais et Bainsville seront en opération cette fin de semaine de vendredi, h, à dimanche, h. Après quoi, elles cesseront leurs activités. Ainsi se terminera la saison du Service d’embarcations de sauvetage côtier au Québec. Pour tous les détails, consultez : Merci à nos équipes et à l’année prochaine!",[],11,0,3,10,1,0,0,0,0,0,14,Environmental,fr,0.0,GardeCotiereCanadienne_facebook,"['eau', 'or', 'ice', 'mer']",neutral
