,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,905836514709573632,2017-09-07 16:53:49,"['https://t.co/5tC304DrgO', 'https://t.co/QwDo3JHk2Q']",À ne pas manquer! Venez nous voir sur FB direct du @museedelanature avec @canada_c3 ce soir 18h #ParlonsBaleines https://t.co/5tC304DrgO https://t.co/QwDo3JHk2Q,ne pas manquer Venez nous voir sur FB direct du museedelanature avec ce soir 18h ParlonsBaleines https co 5tC304DrgO https co QwDo3JHk2Q,['#ParlonsBaleines'],Social,14,0.1,fr,MPO_DFO_tweeter
1,905083051864150018,2017-09-05 14:59:49,"['https://t.co/82xu65khB3', 'https://t.co/IDnj9eRIC6']",Les produits chimiques dans l'océan peuvent nuire aux baleines. Des idées de prévention? #Parlonsbaleines https://t.co/82xu65khB3 https://t.co/IDnj9eRIC6,Les produits chimiques dans peuvent nuire aux baleines Des es de vention Parlonsbaleines https co 82xu65khB3 https co IDnj9eRIC6,['#Parlonsbaleines'],Economical,13,0.0,fr,MPO_DFO_tweeter
2,908780315547701249,2017-09-15 19:51:26,['https://t.co/s7OGuL37jX'],Nous avons traversé le passage du Nord-Ouest de l'Arctique et recueilli des données hydrographiques avec les scientifiques chinois. https://t.co/s7OGuL37jX,Nous avons le passage du Nord Ouest de Arctique et recueilli des es hydrographiques avec les scientifiques chinois https co s7OGuL37jX,[],Economical,12,0.0,fr,MPO_DFO_tweeter
3,906155659183484928,2017-09-08 14:01:59,"['https://t.co/n92Vl2ntdq', 'https://t.co/SIoJiQkqN4']",Donnez votre avis sur la façon de protéger nos eaux navigables avec « Parlons Plan de protection des océans » https://t.co/n92Vl2ntdq https://t.co/SIoJiQkqN4,Donnez votre avis sur la de ger nos eaux navigables avec Parlons Plan de protection des ans https co n92Vl2ntdq https co SIoJiQkqN4,[],Environmental,7,0.0,fr,MPO_DFO_tweeter
4,905170040525389824,2017-09-05 20:45:29,['https://t.co/VEgQFF4H3j'],Soyez à l’affût. Le MPO &amp; @museedelanature animeront un Facebook Live sur #ParlonsBaleines ce jeudi. Plus de détails à venir… https://t.co/VEgQFF4H3j,Soyez Le MPO amp museedelanature animeront un Facebook Live sur ParlonsBaleines ce jeudi Plus de tails https co VEgQFF4H3j,['#ParlonsBaleines'],Social,7,0.13636363636363635,fr,MPO_DFO_tweeter
5,911301737478262788,2017-09-22 18:50:40,[],RT @ministre_ec: 🇨🇦 rejoint #OcéansPropres de @UNEPfr ! @environnementca @MPO_DFO @OceanWise engagés pour des océans sans plastique. https:…,RT rejoint ansPropres de UNEPfr environnementca OceanWise pour des ans sans plastique https,['#Oc'],Environmental,6,0.0,fr,MPO_DFO_tweeter
6,903676668069507076,2017-09-01 17:51:21,['https://t.co/TySyVrKt6Q'],Nous étendons la période de consultation sur le permis de #PêcRéc au Canada – Donnez votre avis jusqu’au 18 sept. https://t.co/TySyVrKt6Q,Nous tendons la riode de consultation sur le permis de au Canada Donnez votre avis au 18 sept https co TySyVrKt6Q,['#P'],Social,5,0.0,fr,MPO_DFO_tweeter
7,905869605222088705,2017-09-07 19:05:18,"['https://t.co/4GcIz4imUo', 'https://t.co/BeAhCwvTMN']",Dre. Caroline Fox @DalScience se joint à #ParlonsBaleines sur FB direct du navire @canada_c3 : 18h @museedelanature https://t.co/4GcIz4imUo https://t.co/BeAhCwvTMN,Dre Caroline Fox DalScience se joint ParlonsBaleines sur FB direct du navire 18h museedelanature https co 4GcIz4imUo https co BeAhCwvTMN,['#ParlonsBaleines'],Social,5,0.1,fr,MPO_DFO_tweeter
8,913509911627272193,2017-09-28 21:05:09,[],"RT @MPO_Golfe: Vous pouvez aider à protéger les #TortueLuth, une #EspèceEnPéril, en signalant leur présence à @canadaseaturtle : 1-888-729-…",RT Vous pouvez aider ger les TortueLuth une ril en signalant leur sence canadaseaturtle 888 729,"['#TortueLuth', '#Esp']",Environmental,4,0.0,fr,MPO_DFO_tweeter
9,913146660322205696,2017-09-27 21:01:43,"['https://t.co/YvVHWJCJ5a', 'https://t.co/FEiRkZWiZx']",Les modifications proposées à la Loi sur les océans feront l’objet d’un débat au Parlement auj. En savoir plus : https://t.co/YvVHWJCJ5a https://t.co/FEiRkZWiZx,Les modifications es la Loi sur les ans feront objet un bat au Parlement auj En savoir plus https co YvVHWJCJ5a https co FEiRkZWiZx,[],Social,4,0.0,fr,MPO_DFO_tweeter
10,903722072622411777,2017-09-01 20:51:47,['https://t.co/WImkBDVq\xe2\x80\xa6'],RT @Transports_gc: C’est la dernière longue fin de semaine de l’été! Prudence sur l’eau. Guide de #SécuritéNautique : https://t.co/WImkBDVq…,RT est la longue fin de semaine de Prudence sur eau Guide de Nautique https co,['#S'],Environmental,4,0.0,fr,MPO_DFO_tweeter
11,906170745067372544,2017-09-08 15:01:56,"['https://t.co/Rh2fHAHCuy', 'https://t.co/v4Ea0x3vf5']",Les collisions avec navires peuvent blesser et tuer les baleines. Comment pouvons-nous réduire le risque? https://t.co/Rh2fHAHCuy https://t.co/v4Ea0x3vf5,Les collisions avec navires peuvent blesser et tuer les baleines Comment pouvons nous duire le risque https co Rh2fHAHCuy https co v4Ea0x3vf5,[],Social,4,0.0,fr,MPO_DFO_tweeter
12,905850733697925120,2017-09-07 17:50:19,[],RT @Transports_gc: Que pensez-vous de #NosCôtes? Jetez un œil au nouveau portail de consultation Parlons #PlanDeProtectionDesOcéans https:/…,RT Que pensez vous de tes Jetez un il au nouveau portail de consultation Parlons ans https,"['#NosC', '#PlanDeProtectionDesOc']",Environmental,4,0.0,fr,MPO_DFO_tweeter
13,907676947152560128,2017-09-12 18:47:02,[],"Les agents des pêches enquêteront sur les individus, acheteurs et transformateurs qui participent à la vente illégale du poisson",Les agents des sur les individus acheteurs et transformateurs qui participent la vente gale du poisson,[],Environmental,4,0.0,fr,MPO_DFO_tweeter
14,908707494108762112,2017-09-15 15:02:04,"['https://t.co/UdshCheOQ', 'https://t.co/YZWk7ZAM0V']","Une idée sur la façon d'aider nos baleines? Il ne reste que quelque jours, donc dites-le-nous! #Parlonsbaleines https://t.co/UdshCheOQC https://t.co/YZWk7ZAM0V",Une sur la aider nos baleines Il ne reste que quelque jours donc dites le nous Parlonsbaleines https co UdshCheOQC https co YZWk7ZAM0V,['#Parlonsbaleines'],Social,4,0.0,fr,MPO_DFO_tweeter
15,909839596900544512,2017-09-18 18:00:38,"['https://t.co/qm2W5ii6bQ', 'https://t.co/98nDrQjrtI']",L’océan révèle une partie de l’histoire du 🇨🇦. Voyez ce que recèlent les épaves de bateau retrouvées dans nos eaux https://t.co/qm2W5ii6bQ https://t.co/98nDrQjrtI,le une partie de histoire du Voyez ce que lent les paves de bateau es dans nos eaux https co qm2W5ii6bQ https co 98nDrQjrtI,[],Environmental,4,0.0,fr,MPO_DFO_tweeter
16,912723484056408064,2017-09-26 17:00:10,"['https://t.co/RTx7nkwWyI', 'https://t.co/yF0shqy2g']",La musique donne vie à la mer ! 🎶 Les rorquals à bosse chantent des ballades qui durent entre 10 et 20 minutes. https://t.co/RTx7nkwWyI https://t.co/yF0shqy2g1,La musique donne vie la mer Les rorquals bosse chantent des ballades qui durent entre 10 et 20 minutes https co RTx7nkwWyI https co yF0shqy2g1,[],Environmental,4,0.0,fr,MPO_DFO_tweeter
17,908311275037446144,2017-09-14 12:47:38,['https://t.\xe2\x80\xa6'],RT @ScienceCdn: Aujourd’hui en #Arctique: @drvivcumming et des #scientifiques de @RNCan sont à la recherche de fossiles anciens: https://t.…,RT ScienceCdn hui en Arctique drvivcumming et des scientifiques de RNCan sont la recherche de fossiles anciens https,"['#Arctique', '#scientifiques']",Social,4,0.0,fr,MPO_DFO_tweeter
18,908819153594744833,2017-09-15 22:25:45,['https://t.co/qSxJ\xe2\x80\xa6'],"RT @MPO_Golfe: À date, la mort de 11 baleines noires de l'Atlantique Nord a été confirmée dans le golfe du Saint-Laurent. https://t.co/qSxJ…",RT date la mort de 11 baleines noires de Atlantique Nord dans le golfe du Saint Laurent https co,[],Economical,3,0.0,fr,MPO_DFO_tweeter
