,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
15,15,905842208787582977,2017-09-07 17:16:26,['https://t.co\xe2\x80\xa6'],RT @GCC_CCG: Notre nouveau bâteau d’intervention d’urgence sera basé à #Kitsilano pour intervenir sur les incidents maritimes. https://t.co…,RT Notre nouveau teau intervention urgence sera Kitsilano pour intervenir sur les incidents maritimes https,['#Kitsilano'],22,0,22,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['eau']
27,27,905839038225162241,2017-09-07 17:03:51,['https://t.co/\xe2\x80\xa6'],RT @MPO_DFO: À ne pas manquer! Venez nous voir sur FB direct du @museedelanature avec @canada_c3 ce soir 18h #ParlonsBaleines https://t.co/…,RT ne pas manquer Venez nous voir sur FB direct du museedelanature avec ce soir 18h ParlonsBaleines https co,['#ParlonsBaleines'],12,0,12,Social,fr,0.1,Neutral,MPO_Pacifique_tweeter,['nature']
100,100,906180355241201669,2017-09-08 15:40:07,['https://t.co/n92\xe2\x80\xa6'],RT @MPO_DFO: Donnez votre avis sur la façon de protéger nos eaux navigables avec « Parlons Plan de protection des océans » https://t.co/n92…,RT Donnez votre avis sur la de ger nos eaux navigables avec Parlons Plan de protection des ans https co,[],6,0,6,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['eau']
188,188,905851235982614528,2017-09-07 17:52:19,[],RT @Transports_gc: Que pensez-vous de #NosCôtes? Jetez un œil au nouveau portail de consultation Parlons #PlanDeProtectionDesOcéans https:/…,RT Que pensez vous de tes Jetez un il au nouveau portail de consultation Parlons ans https,"['#NosC', '#PlanDeProtectionDesOc']",4,0,4,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['eau', 'or']"
291,291,907358516461096961,2017-09-11 21:41:42,['https://t.co/\xe2\x80\xa6'],RT @MPO_DFO: Le nouveau programme permet d’évaluer nos écosystèmes marins pour mieux suivre les changements au fil du temps : https://t.co/…,RT Le nouveau programme permet valuer nos mes marins pour mieux suivre les changements au fil du temps https co,[],3,0,3,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['changement', 'change']"
300,300,911263785167540224,2017-09-22 16:19:51,['https://t.co/TKKWiU1AoP'],RT @GCC_CCG: C’est la première journée d’#automne! Habillez-vous chaudement lorsque vous sortez sur l'eau! https://t.co/TKKWiU1AoP,RT est la automne Habillez vous chaudement lorsque vous sortez sur eau https co TKKWiU1AoP,['#automne'],3,0,3,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['eau', 'or']"
306,306,908080200465952768,2017-09-13 21:29:25,['https://t.c\xe2\x80\xa6'],RT @MPO_DFO: Ne ratez pas cette occasion. Plus qu’une semaine pour échanger des idées pour aider nos baleines. #Parlonsbaleines https://t.c…,RT Ne ratez pas cette occasion Plus une semaine pour changer des es pour aider nos baleines Parlonsbaleines https,['#Parlonsbaleines'],3,0,3,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,['change']
322,322,909920833312878592,2017-09-18 23:23:26,[],RT @MPO_Science: C’est la Semaine de la culture scientifique! Nous sommes fiers de contribuer à l’excellence scientifique au Canada https:/…,RT est la Semaine de la culture scientifique Nous sommes fiers de contribuer excellence scientifique au Canada https,[],3,0,3,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,['culture']
418,418,907344408642813952,2017-09-11 20:45:39,[],"RT @salledepresseGC: Un nouveau programme scientifique du @MPO_DFO recevra 50,8 M$ pour étudier les zones marines à circulation élevée http…",RT salledepresseGC Un nouveau programme scientifique du recevra 50 pour tudier les zones marines circulation,[],2,0,2,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['eau', 'marine']"
427,427,908438574697205766,2017-09-14 21:13:28,[],RT @MPO_Science: Félicitations au récipiendaire du @AmFisheriesSoc 2017 prix d'excellence: Richard J. Beamish du MPO (ang. seulement) https…,RT licitations au cipiendaire du AmFisheriesSoc 2017 prix excellence Richard Beamish du MPO ang seulement,[],2,0,2,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['air']
423,423,903724369624616960,2017-09-01 21:00:54,['https://t.co/bOtQV3MKn5'],"Avion de surveillance, NGCC M.Charles et patrouilles terrestres &amp; marines : des outils des #agentspêches sur le fleuve #Fraser https://t.co/bOtQV3MKn5",Avion de surveillance NGCC Charles et patrouilles terrestres amp marines des outils des sur le fleuve Fraser https co bOtQV3MKn5,"['#agentsp', '#Fraser']",1,1,2,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['fleuve', 'marine', 'terres']"
422,422,903754454637391873,2017-09-01 23:00:27,['https://t.co/98BxuJIJem'],#SoyezPrudents sur l'eau. Déposez un plan de navigation avant de partir et remettez une copie à vos amis ou à votre famille. https://t.co/98BxuJIJem,SoyezPrudents sur eau posez un plan de navigation avant de partir et remettez une copie vos amis ou votre famille https co 98BxuJIJem,['#SoyezPrudents'],1,1,2,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['ami', 'famille']"
414,414,905839662752817153,2017-09-07 17:06:19,[],RT @salledepresseGC: Nouvelles mesures prises pr protéger milieu marin &amp; collectivités côtières grâce au Plan de protection des océans http…,RT salledepresseGC Nouvelles mesures prises pr ger milieu marin amp res ce au Plan de protection des ans,[],2,0,2,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
417,417,905115048951123969,2017-09-05 17:06:58,['https://t.co/FIT\xe2\x80\xa6'],RT @GCC_CCG: Félicitations aux derniers diplômés du programme de formation de plongée GCC Sea Island! #ColombieBritannique https://t.co/FIT…,RT licitations aux derniers du programme de formation de GCC Sea Island ColombieBritannique https co,['#ColombieBritannique'],2,0,2,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['or']
412,412,905869317299990529,2017-09-07 19:04:10,['https://t.c\xe2\x80\xa6'],RT @Transports_gc: Nouvelles mesures pour réduire les effets du bruit sous-marin des navires sur les épaulards résidents du sud https://t.c…,RT Nouvelles mesures pour duire les effets du bruit sous marin des navires sur les paulards sidents du sud https,[],2,0,2,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
411,411,906248907700699137,2017-09-08 20:12:31,['https://t\xe2\x80\xa6'],RT @MPO_DFO: Canada accueille IMPAC5 à #Vancouver en 2021 &amp; continuera le dialogue int’l sur la protection marine (ang seulement) https://t…,RT Canada accueille IMPAC5 Vancouver en 2021 amp continuera le dialogue sur la protection marine ang seulement https,['#Vancouver'],2,0,2,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['marine']
397,397,908438582968426498,2017-09-14 21:13:30,['https://\xe2\x80\xa6'],"RT @MPO_Science: On comprend mieux les pluies acides, le saumon &amp; l’effet des changements clim. sur le poisson grâce à Dr. Beamish https://…",RT comprend mieux les pluies acides le saumon amp effet des changements clim sur le poisson ce Dr Beamish https,[],2,0,2,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['ami', 'changement', 'change']"
647,647,910164964161318912,2017-09-19 15:33:32,['https://t.\xe2\x80\xa6'],RT @MPO_DFO: Aujourd’hui prend fin la campagne #Parlonsbaleines. Vous avez jusqu’à minuit HAE pour nous faire part de vos idées. https://t.…,RT hui prend fin la campagne Parlonsbaleines Vous avez minuit HAE pour nous faire part de vos es https,['#Parlonsbaleines'],1,0,1,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,['inuit']
661,661,905850519461220352,2017-09-07 17:49:28,"['https://t.co/y34nHwgXQv', 'https://t.co/\xe2\x80\xa6']","RT @MPO_DFO: Un symposium au sujet de l’épaulard résident du Sud sera tenu à Vancouver, 11-12 octobre https://t.co/y34nHwgXQv https://t.co/…",RT Un symposium au sujet de paulard sident du Sud sera tenu Vancouver 11 12 octobre https co y34nHwgXQv https co,[],1,0,1,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
656,656,907305188117098496,2017-09-11 18:09:48,['https://t\xe2\x80\xa6'],"RT @GCC_CCG: En service ou non, le personnel de la Garde côtière de Sea Island sauve des vies de différentes manières. #dondesang https://t…",RT En service ou non le personnel de la Garde de Sea Island sauve des vies de rentes res dondesang https,['#dondesang'],1,0,1,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['ice']
655,655,907366974484832256,2017-09-11 22:15:19,"['https://t.co/292Be7ifNR', 'https://t.co/txLqTDKIQG']",Le crabe vert est l'une des dix espèces les plus indésirables au monde. Comment l’identifier et le signaler : https://t.co/292Be7ifNR https://t.co/txLqTDKIQG,Le crabe vert est une des dix ces les plus sirables au monde Comment identifier et le signaler https co 292Be7ifNR https co txLqTDKIQG,[],1,0,1,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['vert']
651,651,905819303307554816,2017-09-07 15:45:25,[],RT @GCC_CCG: C'est terminé! Fin de la saison estivale pour les stations et équipages de petites embarcations de sauvetage côtières de C.-B.…,RT est Fin de la saison estivale pour les stations et quipages de petites embarcations de sauvetage res de,[],1,0,1,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
664,664,905846550215131136,2017-09-07 17:33:42,['https://t.co/mOPVLyMWVS\xe2\x80\xa6'],"RT @MPO_DFO: Fiers d’annoncer 1,3 M$ pour enlever les navires abandonnés &amp; les épaves des ports pour petits bateaux https://t.co/mOPVLyMWVS…",RT Fiers annoncer pour enlever les navires amp les paves des ports pour petits bateaux https co,[],1,0,1,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['eau', 'or']"
646,646,910225745573765121,2017-09-19 19:35:03,['https://t.co/WSQmbrr4YG'],La C.-B. vous souhaite la bienvenue! https://t.co/WSQmbrr4YG,souhaite bienvenue https co WSQmbrr4YG,[],0,1,1,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
614,614,904026339459690497,2017-09-02 17:00:49,"['https://t.co/szo84KJ6gn', 'https://t.co/2UQIABBoL']","Les #AgentsDesPêches patrouillent dans les eaux, les plages et les quais qui sont près de vous. https://t.co/szo84KJ6gn https://t.co/2UQIABBoLc",Les patrouillent dans les eaux les plages et les quais qui sont de vous https co szo84KJ6gn https co 2UQIABBoLc,['#AgentsDesP'],1,0,1,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['eau']
607,607,904766125166211072,2017-09-04 18:00:28,['https://t.co/bhqVQgMUvk'],#Agentspêches de NGCC M.Charles appliquent les règles près de #Steveston pour préserver les stocks de #saumons. https://t.co/bhqVQgMUvk,de NGCC Charles appliquent les gles de Steveston pour server les stocks de saumons https co bhqVQgMUvk,"['#Agentsp', '#Steveston', '#saumons']",0,1,1,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
638,638,913813713181962240,2017-09-29 17:12:21,[],RT @MPO_Science: Ns espérons trouver divers oursins comme ceux-ci lors de l'évaluation de la biodiversité au large de la côte en #CB https:…,RT Ns rons trouver divers oursins comme ceux ci lors de valuation de la au large de la te en CB https,['#CB'],1,0,1,Environmental,fr,0.21428571428571427,Neutral,MPO_Pacifique_tweeter,['or']
617,617,903663942966403074,2017-09-01 17:00:47,"['https://t.co/xH5Gdql1S5', 'https://t.co/xV9fjkTZN']",#Agentspêches : Plus de personnel sur #FleuveFraser ce long week-end. Témoin infraction : appelez 1-800-465-4336 https://t.co/xH5Gdql1S5 https://t.co/xV9fjkTZN9,Plus de personnel sur FleuveFraser ce long week end moin infraction appelez 800 465 4336 https co xH5Gdql1S5 https co xV9fjkTZN9,"['#Agentsp', '#FleuveFraser']",1,0,1,Social,fr,-0.05,Neutral,MPO_Pacifique_tweeter,['fleuve']
751,751,911360414222573569,2017-09-22 22:43:49,"['https://t.co/AXhaUrxkEb', 'https://t.co/SqXquJxvNf']","Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : sous-secteurs 14-1, 14-4, 14-5 &amp; 14-8 AP0990 https://t.co/AXhaUrxkEb https://t.co/SqXquJxvNf",Nouvelles fermetures de la colte de coquillages due aux biotoxines sous secteurs 14 14 14 amp 14 AP0990 https co AXhaUrxkEb https co SqXquJxvNf,['#coquillages'],0,0,0,Economical,fr,-0.125,Neutral,MPO_Pacifique_tweeter,['secteur']
753,753,911366870330150912,2017-09-22 23:09:28,"['https://t.co/cXcQES7doa', 'https://t.co/YZtvujxcj4']",Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : sous-secteurs 16-1 &amp; 16-2. AP0990 https://t.co/cXcQES7doa https://t.co/YZtvujxcj4,Nouvelles fermetures de la colte de coquillages due aux biotoxines sous secteurs 16 amp 16 AP0990 https co cXcQES7doa https co YZtvujxcj4,['#coquillages'],0,0,0,Economical,fr,-0.125,Neutral,MPO_Pacifique_tweeter,['secteur']
754,754,913471078479093760,2017-09-28 18:30:51,['https://t.co/qWzpM8zzja'],"Les progrès de cette année sont dûs à des investiss. en sciences aquatiques et au Plan de protection des océans (1,5 G$) #CommissionCohen https://t.co/qWzpM8zzja",Les de cette sont des investiss en sciences aquatiques et au Plan de protection des ans CommissionCohen https co qWzpM8zzja,['#CommissionCohen'],0,0,0,Economical,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['invest', 'commission']"
756,756,912079231349293058,2017-09-24 22:20:09,"['https://t.co/S6pEXvJcWm', 'https://t.co/qwPhzfkS9J']",LSV? Les populations saines de loutres de mer aident à réduire l'érosion côtière https://t.co/S6pEXvJcWm https://t.co/qwPhzfkS9J,LSV Les populations saines de loutres de mer aident duire rosion https co S6pEXvJcWm https co qwPhzfkS9J,[],0,0,0,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mer', 'population']"
758,758,912708339842371586,2017-09-26 16:00:00,['https://t.co/V4qqtIh9sh'],Entretien de 8 aides à la navigation cet été au port de Victoria https://t.co/V4qqtIh9sh,Entretien de aides la navigation cet au port de Victoria https co V4qqtIh9sh,[],0,0,0,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['or']
759,759,912757508074242048,2017-09-26 19:15:22,"['https://t.co/T9coYURsOw', 'https://t.co/AYe2zWMa5J']",Les biologistes du MPO nagent régulièrement dns les cours d’eau de la C.-B. à la recherche du saumon de l'Atlantique https://t.co/T9coYURsOw https://t.co/AYe2zWMa5J,Les biologistes du MPO nagent rement dns les cours eau de la la recherche du saumon de Atlantique https co T9coYURsOw https co AYe2zWMa5J,[],0,0,0,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['eau']
763,763,911705512567300102,2017-09-23 21:35:07,"['https://t.co/DZc8NLCZTx', 'https://t.co/6jZPt8DTKl']",Pêche au #crabe durant les mois froids? Mesurez bien &amp; remettez à l'eau des crabes sous-dimensionnés https://t.co/DZc8NLCZTx https://t.co/6jZPt8DTKl,au crabe durant les mois froids Mesurez bien amp remettez eau des crabes sous https co DZc8NLCZTx https co 6jZPt8DTKl,['#crabe'],0,0,0,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['eau']
765,765,906996990919180288,2017-09-10 21:45:08,"['https://t.co/4KMwUC9y6k', 'https://t.co/UJgyY7cKCX']",LSV? La côte de la Colombie‑Britannique compte 164 ACS. Les emplacements et activités permises sont les suivants : https://t.co/4KMwUC9y6k https://t.co/UJgyY7cKCX,LSV La te de la Britannique compte 164 ACS Les emplacements et permises sont les suivants https co 4KMwUC9y6k https co UJgyY7cKCX,[],0,0,0,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
782,782,903701652737335298,2017-09-01 19:30:38,"['https://t.co/emHkkFS53W', 'https://t.co/GyqjfykMpw']",Pêche d'un #saumon atlantique en C.-B.? Communiquez avec le programme de surveillance du saumon atlantique. https://t.co/emHkkFS53W https://t.co/GyqjfykMpw,un saumon atlantique en Communiquez avec le programme de surveillance du saumon atlantique https co emHkkFS53W https co GyqjfykMpw,['#saumon'],0,0,0,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
809,809,905200236125188097,2017-09-05 22:45:28,['https://t.co/cGehLbJlqJ'],Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : sous-secteurs 4-2 à 4-4. AP0901 https://t.co/cGehLbJlqJ,Nouvelles fermetures de la colte de coquillages due aux biotoxines sous secteurs AP0901 https co cGehLbJlqJ,['#coquillages'],0,0,0,Economical,fr,-0.125,Neutral,MPO_Pacifique_tweeter,['secteur']
810,810,905480782357168141,2017-09-06 17:20:16,"['https://t.co/B40rfvcK4s', 'https://t.co/fNCTPiZTfg']","Visitez l'écloserie de la rivière Capilano, les #saumons coho remontent les échelles à poissons! 🐟  https://t.co/B40rfvcK4s https://t.co/fNCTPiZTfg",Visitez closerie de la Capilano les saumons coho remontent les chelles poissons https co B40rfvcK4s https co fNCTPiZTfg,['#saumons'],0,0,0,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
757,757,912421747047256065,2017-09-25 21:01:11,"['https://t.co/Ubneequ6Ck', 'https://t.co/g8plpGh5fZ']",Nous nous associons à l'industrie et aux communautaires pour ce grand nettoyage jusqu'à 30 sept! https://t.co/Ubneequ6Ck https://t.co/g8plpGh5fZ,Nous nous associons industrie et aux communautaires pour ce grand nettoyage jusqu 30 sept https co Ubneequ6Ck https co g8plpGh5fZ,[],0,0,0,Environmental,fr,0.625,Positive,MPO_Pacifique_tweeter,['air']
818,818,905899526246068224,2017-09-07 21:04:12,"['https://t.co/nniLEO6fFL', 'https://t.co/oqr5EKunDo']",Ns vs écoutons! Consultations sur l'éventuelle inscription du bocaccio à la liste des espèces en voie de disparition https://t.co/nniLEO6fFL https://t.co/oqr5EKunDo,Ns vs coutons Consultations sur ventuelle inscription du bocaccio la liste des ces en voie de disparition https co nniLEO6fFL https co oqr5EKunDo,[],0,0,0,unknown,fr,0.0,Neutral,MPO_Pacifique_tweeter,
811,811,905517950320467969,2017-09-06 19:47:57,"['https://t.co/jSWMalrTO', 'https://t.co/kIg3LH2o2R']",Pêche d'un #saumon atlantique en C.-B.? Le conserver et appelez 1-800-811-6010. https://t.co/jSWMalrTOc https://t.co/kIg3LH2o2R,un saumon atlantique en Le conserver et appelez 800 811 6010 https co jSWMalrTOc https co kIg3LH2o2R,['#saumon'],0,0,0,Environmental,fr,0.0,Neutral,MPO_Pacifique_tweeter,['conserve']
820,820,906186371215314944,2017-09-08 16:04:01,"['https://t.co/up397PNPiX', 'https://t.co/nI8TMhpVB']",9 sept. : Trav. d’entretien sur le système des avis de pêche. Interruptions 21 h à minuit. Consultez https://t.co/up397PNPiX pr règlements. https://t.co/nI8TMhpVBD,sept Trav entretien sur le des avis de Interruptions 21 minuit Consultez https co up397PNPiX pr glements https co nI8TMhpVBD,[],0,0,0,Social,fr,0.0,Neutral,MPO_Pacifique_tweeter,['inuit']
823,823,906287644556099590,2017-09-08 22:46:27,['https://t.co/A70n3t1PH'],"Nouvelles fermetures de la récolte de #coquillages due aux biotoxines : ss. 11-2, 13-1, 13-15, 25-11 &amp; 25-12. AP0924 https://t.co/A70n3t1PHc",Nouvelles fermetures de la colte de coquillages due aux biotoxines ss 11 13 13 15 25 11 amp 25 12 AP0924 https co A70n3t1PHc,['#coquillages'],0,0,0,unknown,fr,-0.125,Neutral,MPO_Pacifique_tweeter,
