,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,566325673547435_764532017060132,2017-09-08 16:03:36,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/764532017060132/?type=3,Votre #voyage en avion ne s'est pas déroulé comme prévu? Communiquez avec nous > http://ow.ly/JVzk304E8BA #aérien #voyage #passager #canada,Votre en avion ne s'est pas déroulé comme prévu? Communiquez avec nous > érien,"['#voyage', '#a', '#voyage', '#passager', '#canada']",Social,2,0.0,fr,OfficeDesTransportsDuCanada_facebook
1,566325673547435_768313586681975,2017-09-17 11:30:20,https://www.youtube.com/watch?v=sxw4g-kbn-4,Un des mandats de l'OTC est la protection des passagers aériens en tant que consommateurs. Cela signifie que vous pouvez vous adresser à nous si vous croyez qu'une ligne aérienne n'a pas respecté ses conditions de transport ou si vous pensez que celles-ci ne sont pas raisonnables.,Un des mandats de l'OTC est la protection des passagers aériens en tant que consommateurs. Cela signifie que vous pouvez vous adresser à nous si vous croyez qu'une ligne aérienne n'a pas respecté ses conditions de transport ou si vous pensez que celles-ci ne sont pas raisonnables.,[],Economical,1,0.0,fr,OfficeDesTransportsDuCanada_facebook
2,566325673547435_769981543181846,2017-09-21 14:01:09,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/769981543181846/?type=3,Préavis de 30 jours ouvrables requis pour la plupart des demandes de licence de cabotage: http://ow.ly/bTAa30aDEoT #maritime,Préavis de jours ouvrables requis pour la plupart des demandes de licence de cabotage:,['#maritime'],Environmental,1,0.0,fr,OfficeDesTransportsDuCanada_facebook
3,566325673547435_770427866470547,2017-09-22 14:10:09,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/770427866470547/?type=3,"Pour en savoir plus sur les services d'arbitrage #ferroviaire de l'Office, allez > http://ow.ly/dzIs30dr4BK #AgCan","Pour en savoir plus sur les services d'arbitrage de l'Office, allez >","['#ferroviaire', '#AgCan']",Environmental,1,0.0,fr,OfficeDesTransportsDuCanada_facebook
4,566325673547435_765829990263668,2017-09-11 15:30:22,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/765829990263668/?type=3,Avis d'audience : West Vancouver vs. CN > http://ow.ly/F28k30f4pjh,Avis d'audience : West Vancouver vs. CN >,[],Social,1,0.0,en,OfficeDesTransportsDuCanada_facebook
5,566325673547435_767103380136329,2017-09-14 14:00:19,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/767103380136329/?type=3,Abonnez-vous au service d'avis de demandes de licence de cabotage pour être au courant > http://ow.ly/oxF530cIyOb #maritime,Abonnez-vous au service d'avis de demandes de licence de cabotage pour être au courant >,['#maritime'],Environmental,0,0.0,fr,OfficeDesTransportsDuCanada_facebook
6,566325673547435_766603223519678,2017-09-13 11:01:44,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/766603223519678/?type=3,"Vous pouvez accrocher vos gants. Nous avons d’autres moyens de régler les différends.

À titre de tribunal, nous pouvons régler les différends comme un tribunal. Mais nous disposons d’autres outils de règlement des différends, dont la facilitation, la médiation, l’arbitrage et le processus décisionnel formel.

Pour plusieurs différends, nous pouvons réunir les personnes au moyen d’un processus de résolution informel pour régler une question facilement et à la satisfaction des parties.

Pour en apprendre davantage, visitez","Vous pouvez accrocher vos gants. Nous avons d’autres moyens de régler les différends. À titre de tribunal, nous pouvons régler les différends comme un tribunal. Mais nous disposons d’autres outils de règlement des différends, dont la facilitation, la médiation, l’arbitrage et le processus décisionnel formel. Pour plusieurs différends, nous pouvons réunir les personnes au moyen d’un processus de résolution informel pour régler une question facilement et à la satisfaction des parties. Pour en apprendre davantage, visitez",[],Environmental,0,0.0,fr,OfficeDesTransportsDuCanada_facebook
7,566325673547435_766180346895299,2017-09-12 11:00:59,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/766180346895299/?type=3,"#Astucesvoyage > Comprenez vos droits et responsabilités

Le tarif constitue le contrat de transport entre vous et votre transporteur aérien – il couvre vos droits et obligations à titre de passager et les droits du transporteur et ses responsabilités envers vous. Vous les trouverez affichés aux bureaux des transporteurs aériens et sur leurs sites Web si ces derniers sont utilisés pour vendre des services de transport aérien. 

Prenez l'air averti > Dix conseils clés > http://ow.ly/4nk1SM",> Comprenez vos droits et responsabilités Le tarif constitue le contrat de transport entre vous et votre transporteur aérien – il couvre vos droits et obligations à titre de passager et les droits du transporteur et ses responsabilités envers vous. Vous les trouverez affichés aux bureaux des transporteurs aériens et sur leurs sites Web si ces derniers sont utilisés pour vendre des services de transport aérien. Prenez l'air averti > Dix conseils clés >,['#Astucesvoyage'],Environmental,0,0.0,fr,OfficeDesTransportsDuCanada_facebook
8,566325673547435_765665803613420,2017-09-11 07:01:11,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/765665803613420/?type=3,Le président et premier dirigeant Scott Streiner se présente devant le TRAN pour discuter du projet de loi C-49 > http://ow.ly/DRj430f1fHp,Le président et premier dirigeant Scott Streiner se présente devant le TRAN pour discuter du projet de loi C-49 >,[],Social,0,0.0,fr,OfficeDesTransportsDuCanada_facebook
9,566325673547435_765415466971787,2017-09-10 14:30:14,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/765415466971787/?type=3,"#Astucesvoyage > Vous avez un problème?

Si vous n'êtes pas satisfait de la réponse de votre transporteur aérien au sujet de votre plainte écrite, consultez ce site Web pour savoir comment nous pouvons vous aider.

  > Prenez l'air averti > Dix conseils clés > http://ow.ly/4nk1SM","> Vous avez un problème? Si vous n'êtes pas satisfait de la réponse de votre transporteur aérien au sujet de votre plainte écrite, consultez ce site Web pour savoir comment nous pouvons vous aider. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],Environmental,0,0.0,fr,OfficeDesTransportsDuCanada_facebook
