,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
8,8,431918433581020_1196427230463466,2017-09-11 17:41:17,https://www.facebook.com/YourMoneyMattersCanada/videos/1196427230463466/,"#ScamAlert: Got a call or voicemail from someone claiming to work for the Canada Revenue Agency (CRA) warning you’ll get sued or arrested?

It’s a SCAM! Hang up or delete the message! Never return the call—criminals want you to call back, using their fake telephone number, to steal your money or identity. Remember, the CRA will never threaten you or ask for your credit card or personal information by phone. 

Protect yourself from phone scams: http://ow.ly/fPi530f1gzR",": Got a call or voicemail from someone claiming to work for the Canada Revenue Agency (CRA) warning you’ll get sued or arrested? It’s a SCAM! Hang up or delete the message! Never return the call—criminals want you to call back, using their fake telephone number, to steal your money or identity. Remember, the CRA will never threaten you or ask for your credit card or personal information by phone. Protect yourself from phone scams:",['#ScamAlert'],50,14,157,46,0,0,1,0,3,0,221,Economical,en,0.09112723214285716,YourMoneyMattersCanada_facebook,"['money', 'revenu']",positive
224,224,431918433581020_1198592443580278,2017-09-14 17:45:16,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1198592443580278/?type=3,"#ScamAlert: PayPal scams are on the rise.

Fraudsters target people selling items online by pretending to be interested buyers. They send fake emails to online sellers, “phishing” for PayPal account details. 

Don’t take the bait! These scammers want to get access to your financial information. PayPal will never ask for your credit card information or account password by email. 

Learn to protect yourself from scammers preying on unsuspecting online sellers: http://ow.ly/uEwd30f3YoZ",": PayPal scams are on the rise. Fraudsters target people selling items online by pretending to be interested buyers. They send fake emails to online sellers, “phishing” for PayPal account details. Don’t take the bait! These scammers want to get access to your financial information. PayPal will never ask for your credit card information or account password by email. Learn to protect yourself from scammers preying on unsuspecting online sellers:",['#ScamAlert'],6,0,24,6,0,0,0,0,0,0,30,Environmental,en,0.0,YourMoneyMattersCanada_facebook,"['or', 'mer']",neutral
237,237,431918433581020_1205000569606132,2017-09-28 10:45:00,https://www.facebook.com/YourMoneyMattersCanada/videos/1205000569606132/,"Be wary of “secret shopper” job opportunities.

While legit secret shopper jobs do exist, there are lots of fake offers for these gigs. Scammers often contact you via spam email claiming that the job is quick and easy AND that it pays well. They then ask you to pay a fee upfront for a bogus “shopping certification.” 

Bottom line? If you have to pay a fee to take on a new job, chances are it’s a scam. http://ow.ly/uaiV30fmsxf","Be wary of “secret shopper” job opportunities. While legit secret shopper jobs do exist, there are lots of fake offers for these gigs. Scammers often contact you via spam email claiming that the job is quick and easy AND that it pays well. They then ask you to pay a fee upfront for a bogus “shopping certification.” Bottom line? If you have to pay a fee to take on a new job, chances are it’s a scam.",[],13,1,15,11,2,0,0,0,0,0,29,Economical,en,0.0,YourMoneyMattersCanada_facebook,['jobs'],neutral
254,254,431918433581020_1203409539765235,2017-09-20 09:37:46,https://www.facebook.com/YourMoneyMattersCanada/photos/a.431924240247106.1073741827.431918433581020/630436543729207/?type=3,,,[],25,0,2,25,0,0,0,0,0,0,27,unknown,tl,0.0,YourMoneyMattersCanada_facebook,,neutral
260,260,431918433581020_1207126472726875,2017-09-25 10:45:22,http://ow.ly/4WTw30fmosl,"DYK almost 50% of Canadians have an old cellphone stashed in a junk drawer? 

If your unused cellphone still works, consider taking it to a retailer as a trade-in toward your next purchase. If your device is broken or outdated, you can dispose of it responsibly with Recycle My Cell, Canada’s free cellphone recycling program that helps keep cellphones out of landfills. 

Visit http://ow.ly/4WTw30fmosl to find a drop-off location near you!","DYK almost % of Canadians have an old cellphone stashed in a junk drawer? If your unused cellphone still works, consider taking it to a retailer as a trade-in toward your next purchase. If your device is broken or outdated, you can dispose of it responsibly with Recycle My Cell, Canada’s free cellphone recycling program that helps keep cellphones out of landfills. Visit to find a drop-off location near you!",[],12,0,15,10,1,1,0,0,0,0,27,Environmental,en,0.0,YourMoneyMattersCanada_facebook,"['recycle', 'recycling', 'or', 'ice']",neutral
304,304,431918433581020_1191853767587479,2017-09-05 10:45:21,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1191853767587479/?type=3,"Do you need to update your relationship status? 

Don’t forget to inform the Canada Revenue Agency (CRA) soon after you get married, have been separated for over 90 days or have been living with a common-law partner for over a year.

CRA will recalculate your benefits and credits based on your adjusted family net income, the province or territory you live in and the number of children you have and their ages. 

Learn more about how to update your marital status and why it’s important: http://ow.ly/85hF30eQM39","Do you need to update your relationship status? Don’t forget to inform the Canada Revenue Agency (CRA) soon after you get married, have been separated for over days or have been living with a common-law partner for over a year. CRA will recalculate your benefits and credits based on your adjusted family net income, the province or territory you live in and the number of children you have and their ages. Learn more about how to update your marital status and why it’s important: 9",[],8,1,15,8,0,0,0,0,0,0,24,Social,en,-0.4,YourMoneyMattersCanada_facebook,"['ami', 'children', 'family']",negative
403,403,431918433581020_1197113193728203,2017-09-12 17:45:10,,"Have you been affected by the recent data breach involving credit reporting agency Equifax Inc.?

If you become a victim of fraud, contact your financial institution, report it to the police and notify the Canadian Anti-Fraud Centre. Also, consider placing a fraud alert on your credit report file to tell lenders to contact you and confirm your identity before they approve any applications for credit.

More information on how to protect your financial information in the event of a data breach: http://ow.ly/QQ8q30f5QtA","Have you been affected by the recent data breach involving credit reporting agency Equifax Inc.? If you become a victim of fraud, contact your financial institution, report it to the police and notify the Canadian Anti-Fraud Centre. Also, consider placing a fraud alert on your credit report file to tell lenders to contact you and confirm your identity before they approve any applications for credit. More information on how to protect your financial information in the event of a data breach:",[],4,0,15,4,0,0,0,0,0,0,19,Environmental,en,0.0,YourMoneyMattersCanada_facebook,"['or', 'ice']",neutral
404,404,431918433581020_1198348263604696,2017-09-14 10:45:25,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1198348263604696/?type=3,"#Checkintime ! How are you making out with the 52-week money challenge?  

Reminder: On the first week, you put aside a dollar. Week two, two dollars. Week three, three dollars… This is week 37—are you on track with $703 saved? By the end of 2017, you’ll have saved $1,378! 

More tips to reach your savings goals: http://ow.ly/YhMf30f3WPj #52weekmoneychallenge","! How are you making out with the -week money challenge? Reminder: On the first week, you put aside a dollar. Week two, two dollars. Week three, three dollars… This is week —are you on track with $703 saved? By the end of , you’ll have saved $1,378! More tips to reach your savings goals:","['#Checkintime', '#52weekmoneychallenge']",12,0,7,12,0,0,0,0,0,0,19,Economical,en,0.0,YourMoneyMattersCanada_facebook,['money'],neutral
494,494,431918433581020_1208017525971103,2017-09-26 17:45:11,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1208017525971103/?type=3,"Struggling to pay off bills? You have options – a Licensed Insolvency Trustee (LIT) can help! 

Find out more from the Office of the Superintendent of Bankruptcy: http://ow.ly/S1LF30fqYQd",Struggling to pay off bills? You have options – a Licensed Insolvency Trustee (LIT) can help! Find out more from the Office of the Superintendent of Bankruptcy: d,[],7,0,9,7,0,0,0,0,0,0,16,Environmental,en,0.0,YourMoneyMattersCanada_facebook,"['or', 'ice']",neutral
556,556,431918433581020_1191114987661357,2017-09-04 10:45:19,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1191114987661357/?type=3,"Thinking of moving out and renting for the first time? 

Before you make the move, calculate the costs of living on your own so you can set a realistic budget. Don’t forget to include up-front costs like moving expenses, first and last month rent, utilities, security deposits, and fees for Internet and/or cable.

Get started here: http://ow.ly/xAvp30eQLdr #FinancialFirsts","Thinking of moving out and renting for the first time? Before you make the move, calculate the costs of living on your own so you can set a realistic budget. Don’t forget to include up-front costs like moving eenses, first and last month rent, utilities, security deposits, and fees for Internet and/or cable. Get started here:",['#FinancialFirsts'],8,0,6,8,0,0,0,0,0,0,14,Environmental,en,0.0,YourMoneyMattersCanada_facebook,['or'],neutral
